Accession	Virus	Author	Publication_Title	Journal	Database
JQ901447	RSV-A	Tan,L., Lemey,P., Houspie,L., C Viveen,M., Jansen,N.J., van Loon,A.M., Wiertz,E., van Bleek,G.M., Martin,D.P. and Coenjaerts,F.E.	Genetic Variability among Complete Human Respiratory Syncytial Virus Subgroup A Genomes: Bridging Molecular Evolutionary Dynamics and Epidemiology	PLoS ONE 7 (12), E51439 (2012)	ViPR-BRC, Genbank
JX069799	RSV-A	Lorenzi,H., Halpin,R., Nguyen,A., Fedorova,N., Overton,L., Stockwell,T., Amedeo,P., Bishop,B., Chen,H., Edworthy,P., Gupta,N., Katzel,D., Li,K., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Shapiro,C.A., Williams,J., Peebles,S., Chi,M., Wentworth,D.E. and Moore,M.L.	Direct Submission	Submitted (04-MAY-2012) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	ViPR-BRC, Genbank
JX069803	RSV-A	Lorenzi,H., Halpin,R., Nguyen,A., Fedorova,N., Overton,L., Stockwell,T., Amedeo,P., Bishop,B., Chen,H., Edworthy,P., Gupta,N., Katzel,D., Li,K., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Shapiro,C.A., Williams,J., Peebles,S., Chi,M., Wentworth,D.E. and Moore,M.L.	Direct Submission	Submitted (04-MAY-2012) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	ViPR-BRC, Genbank
JX069801	RSV-A	Lorenzi,H., Halpin,R., Nguyen,A., Fedorova,N., Overton,L., Stockwell,T., Amedeo,P., Bishop,B., Chen,H., Edworthy,P., Gupta,N., Katzel,D., Li,K., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Shapiro,C.A., Williams,J., Peebles,S., Chi,M., Wentworth,D.E. and Moore,M.L.	Direct Submission	Submitted (04-MAY-2012) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	ViPR-BRC, Genbank
KF530268	RSV-A	Lorenzi,H., Town,C., Halpin,R., Bera,J., Ransier,A., Fedorova,N., Stockwell,T., Amedeo,P., Appalla,L., Bishop,B., Edworthy,P., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Rebuffo-Scheer,C., Fan,J., He,J., Kehl,S.C., Lederboer,N., Jurgens,L.A., Bose,M.E., Beck,E.T., Kumar,S., Noyola,D.E., Wentworth,D.E. and Henrickson,K.J.	Direct Submission	Submitted (31-JUL-2013) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	ViPR-BRC, Genbank
KF826840	RSV-A	Lorenzi,H., Town,C., Halpin,R., Bera,J., Ransier,A., Fedorova,N., Stockwell,T., Amedeo,P., Appalla,L., Bishop,B., Edworthy,P., Gupta,N., Hoover,J., Katzel,D., Li,K., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Rebuffo-Scheer,C., Fan,J., He,J., Kehl,S.C., Lederboer,N., Jurgens,L.A., Bose,M.E., Beck,E.T., Kumar,S., Noyola,D.E., Wentworth,D.E. and Henrickson,K.J.	Direct Submission	Submitted (19-SEP-2013) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	ViPR-BRC, Genbank
KP856967	RSV-A	Das,S.R., Halpin,R.A., Puri,V., Akopov,A., Fedorova,N., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Wentworth,D.E. and Caserta,M.	Direct Submission	Submitted (20-FEB-2015) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	ViPR-BRC, Genbank
KP856968	RSV-A	Das,S.R., Halpin,R.A., Puri,V., Akopov,A., Fedorova,N., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Wentworth,D.E. and Caserta,M.	Direct Submission	Submitted (20-FEB-2015) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	ViPR-BRC, Genbank
JX069802	RSV-A	Lorenzi,H., Halpin,R., Nguyen,A., Fedorova,N., Overton,L., Stockwell,T., Amedeo,P., Bishop,B., Chen,H., Edworthy,P., Gupta,N., Katzel,D., Li,K., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Shapiro,C.A., Williams,J., Peebles,S., Chi,M., Wentworth,D.E. and Moore,M.L.	Direct Submission	Submitted (04-MAY-2012) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	ViPR-BRC, Genbank
KU316142	RSV-A	Das,S.R., Halpin,R.A., Puri,V., Akopov,A., Fedorova,N., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Hall,C.B., Tesini,B.L., Schnabel,K.C., Walsh,E.E. and Caserta,M.	Direct Submission	Submitted (16-DEC-2015) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	ViPR-BRC, Genbank
