strain	strain_name	date	segment	country	host
LC123448.1	Influenza C virus (C/Miyagi/4/2005) PB1 gene for polymerase 1, complete cds	2005-05-16	PB1	Japan	Homo sapiens LC123448.1
LC123449.1	Influenza C virus (C/Fukuoka/1/2005) PB1 gene for polymerase 1, complete cds	2005-12-28	PB1	Japan	Homo sapiens LC123449.1
LC123450.1	Influenza C virus (C/Fukuoka/2/2006) PB1 gene for polymerase 1, complete cds	2006-03-08	PB1	Japan	Homo sapiens LC123450.1
LC123451.1	Influenza C virus (C/Yamagata/1/2006) PB1 gene for polymerase 1, complete cds	2006-01-23	PB1	Japan	Homo sapiens LC123451.1
LC123452.1	Influenza C virus (C/Yamagata/9/2006) PB1 gene for polymerase 1, complete cds	2006-06-13	PB1	Japan	Homo sapiens LC123452.1
LC123453.1	Influenza C virus (C/Yamagata/13/2006) PB1 gene for polymerase 1, complete cds	2006-08-08	PB1	Japan	Homo sapiens LC123453.1
LC123454.1	Influenza C virus (C/Yamagata/14/2006) PB1 gene for polymerase 1, complete cds	2006-08-28	PB1	Japan	Homo sapiens LC123454.1
LC123455.1	Influenza C virus (C/Yamagata/20/2006) PB1 gene for polymerase 1, complete cds	2006-11-24	PB1	Japan	Homo sapiens LC123455.1
LC123456.1	Influenza C virus (C/Miyagi/4/2006) PB1 gene for polymerase 1, complete cds	2006-06-04	PB1	Japan	Homo sapiens LC123456.1
LC123457.1	Influenza C virus (C/Yamagata/1/2007) PB1 gene for polymerase 1, complete cds	2007-01-17	PB1	Japan	Homo sapiens LC123457.1
LC123458.1	Influenza C virus (C/Yamagata/3/2008) PB1 gene for polymerase 1, complete cds	2008-03-26	PB1	Japan	Homo sapiens LC123458.1
LC123459.1	Influenza C virus (C/Yamagata/11/2008) PB1 gene for polymerase 1, complete cds	2008-04-30	PB1	Japan	Homo sapiens LC123459.1
LC123460.1	Influenza C virus (C/Yamagata/16/2008) PB1 gene for polymerase 1, complete cds	2008-05-19	PB1	Japan	Homo sapiens LC123460.1
LC123461.1	Influenza C virus (C/Yamagata/18/2008) PB1 gene for polymerase 1, complete cds	2008-06-25	PB1	Japan	Homo sapiens LC123461.1
LC123462.1	Influenza C virus (C/Miyagi/2/2008) PB1 gene for polymerase 1, complete cds	2008-02-21	PB1	Japan	Homo sapiens LC123462.1
LC123463.1	Influenza C virus (C/Yamagata/2/2010) PB1 gene for polymerase 1, complete cds	2010-02-09	PB1	Japan	Homo sapiens LC123463.1
LC123464.1	Influenza C virus (C/Miyagi/3/2010) PB1 gene for polymerase 1, complete cds	2010-04-12	PB1	Japan	Homo sapiens LC123464.1
LC123465.1	Influenza C virus (C/Tokyo/3/2010) PB1 gene for polymerase 1, complete cds	2010-04-23	PB1	Japan	Homo sapiens LC123465.1
LC123466.1	Influenza C virus (C/Yamagata/1/2012) PB1 gene for polymerase 1, complete cds	2012-01-16	PB1	Japan	Homo sapiens LC123466.1
LC123467.1	Influenza C virus (C/Yamagata/3/2012) PB1 gene for polymerase 1, complete cds	2012-02-07	PB1	Japan	Homo sapiens LC123467.1
LC123468.1	Influenza C virus (C/Yamagata/4/2012) PB1 gene for polymerase 1, complete cds	2012-02-22	PB1	Japan	Homo sapiens LC123468.1
LC123469.1	Influenza C virus (C/Yamagata/7/2012) PB1 gene for polymerase 1, complete cds	2012-03-14	PB1	Japan	Homo sapiens LC123469.1
LC123470.1	Influenza C virus (C/Yamagata/14/2012) PB1 gene for polymerase 1, complete cds	2012-06-01	PB1	Japan	Homo sapiens LC123470.1
LC123471.1	Influenza C virus (C/Yamagata/28/2012) PB1 gene for polymerase 1, complete cds	2012-07-12	PB1	Japan	Homo sapiens LC123471.1
LC123472.1	Influenza C virus (C/Yamagata/29/2012) PB1 gene for polymerase 1, complete cds	2012-07-30	PB1	Japan	Homo sapiens LC123472.1
LC123473.1	Influenza C virus (C/Miyagi/2/2012) PB1 gene for polymerase 1, complete cds	2012-01-26	PB1	Japan	Homo sapiens LC123473.1
LC123474.1	Influenza C virus (C/Fukuoka/1/2012) PB1 gene for polymerase 1, complete cds	2012-04-11	PB1	Japan	Homo sapiens LC123474.1
LC123475.1	Influenza C virus (C/Yamagata/6/2014) PB1 gene for polymerase 1, complete cds	2014-04-16	PB1	Japan	Homo sapiens LC123475.1
LC123476.1	Influenza C virus (C/Yamagata/13/2014) PB1 gene for polymerase 1, complete cds	2014-05-14	PB1	Japan	Homo sapiens LC123476.1
LC123477.1	Influenza C virus (C/Yamagata/16/2014) PB1 gene for polymerase 1, complete cds	2014-05-21	PB1	Japan	Homo sapiens LC123477.1
LC123478.1	Influenza C virus (C/Yamagata/30/2014) PB1 gene for polymerase 1, complete cds	2014-06-04	PB1	Japan	Homo sapiens LC123478.1
LC123479.1	Influenza C virus (C/Yamagata/32/2014) PB1 gene for polymerase 1, complete cds	2014-06-17	PB1	Japan	Homo sapiens LC123479.1
LC123480.1	Influenza C virus (C/Yamagata/33/2014) PB1 gene for polymerase 1, complete cds	2014-07-22	PB1	Japan	Homo sapiens LC123480.1
LC123481.1	Influenza C virus (C/Yamagata/35/2014) PB1 gene for polymerase 1, complete cds	2014-08-20	PB1	Japan	Homo sapiens LC123481.1
LC123482.1	Influenza C virus (C/Miyagi/2/2014) PB1 gene for polymerase 1, complete cds	2014-04-30	PB1	Japan	Homo sapiens LC123482.1
LC123483.1	Influenza C virus (C/Miyagi/5/2014) PB1 gene for polymerase 1, complete cds	2014-05-17	PB1	Japan	Homo sapiens LC123483.1
LC123484.1	Influenza C virus (C/Miyagi/6/2014) PB1 gene for polymerase 1, complete cds	2014-06-02	PB1	Japan	Homo sapiens LC123484.1
LC123485.1	Influenza C virus (C/Tokyo/1/2014) PB1 gene for polymerase 1, complete cds	2014-02-01	PB1	Japan	Homo sapiens LC123485.1
LC123486.1	Influenza C virus (C/Tokyo/4/2014) PB1 gene for polymerase 1, complete cds	2014-04-23	PB1	Japan	Homo sapiens LC123486.1
KM507546.1	Influenza C virus (C/India/P121719/2012) segment 2 polymerase PB1 (PB1) gene, complete cds	2012-02-24	PB1	India	Homo sapiens KM507546.1
KM507553.1	Influenza C virus (C/India/P135047/2013) segment 2 polymerase PB1 (PB1) gene, complete cds	2013-04-25	PB1	India	Homo sapiens KM507553.1
KT835335.1	Influenza C virus (C/Scotland/5500/2007) segment 2 polymerase PB1 (PB1) gene, partial cds	2007-07-XX	PB1	United Kingdom	Homo sapiens KT835335.1
KT835336.1	Influenza C virus (C/Scotland/7482/2007) segment 2 polymerase PB1 (PB1) gene, partial cds	2007-12-XX	PB1	United Kingdom	Homo sapiens KT835336.1
KT835337.1	Influenza C virus (C/Scotland/7383/2007) segment 2 polymerase PB1 (PB1) gene, partial cds	2007-12-XX	PB1	United Kingdom	Homo sapiens KT835337.1
KT835338.1	Influenza C virus (C/Scotland/6855/2007) segment 2 polymerase PB1 (PB1) gene, partial cds	2007-11-XX	PB1	United Kingdom	Homo sapiens KT835338.1
KT835339.1	Influenza C virus (C/Scotland/7274/2007) segment 2 polymerase PB1 (PB1) gene, partial cds	2007-12-XX	PB1	United Kingdom	Homo sapiens KT835339.1
AB980262.1	Influenza C virus (C/Leyte/1/2011) PB1 gene for polymerase protein 1, partial cds	2011-XX-XX	PB1	Philippines	Homo sapiens AB980262.1
AB980263.1	Influenza C virus (C/Leyte/2/2011) PB1 gene for polymerase protein 1, partial cds	2011-XX-XX	PB1	Philippines	Homo sapiens AB980263.1
AB980264.1	Influenza C virus (C/Leyte/3/2011) PB1 gene for polymerase protein 1, partial cds	2011-XX-XX	PB1	Philippines	Homo sapiens AB980264.1
AB980265.1	Influenza C virus (C/Sendai/TU1/2008) PB1 gene for polymerase protein 1, partial cds	2008-XX-XX	PB1	Japan	Homo sapiens AB980265.1
AB980266.1	Influenza C virus (C/Sendai/TU2/2008) PB1 gene for polymerase protein 1, partial cds	2008-XX-XX	PB1	Japan	Homo sapiens AB980266.1
AB980267.1	Influenza C virus (C/Sendai/TU3/2008) PB1 gene for polymerase protein 1, partial cds	2008-XX-XX	PB1	Japan	Homo sapiens AB980267.1
AB980268.1	Influenza C virus (C/Sendai/TU5/2008) PB1 gene for polymerase protein 1, partial cds	2008-XX-XX	PB1	Japan	Homo sapiens AB980268.1
AB980269.1	Influenza C virus (C/Sendai/TU1/2012) PB1 gene for polymerase protein 1, partial cds	2012-XX-XX	PB1	Japan	Homo sapiens AB980269.1
AB980270.1	Influenza C virus (C/Sendai/TU2/2012) PB1 gene for polymerase protein 1, partial cds	2012-XX-XX	PB1	Japan	Homo sapiens AB980270.1
AB980271.1	Influenza C virus (C/Biliran/1/2013) PB1 gene for polymerase protein 1, partial cds	2013-XX-XX	PB1	Philippines	Homo sapiens AB980271.1
AB980272.1	Influenza C virus (C/Biliran/2/2013) PB1 gene for polymerase protein 1, partial cds	2013-XX-XX	PB1	Philippines	Homo sapiens AB980272.1
AB980273.1	Influenza C virus (C/Biliran/3/2013) PB1 gene for polymerase protein 1, partial cds	2013-XX-XX	PB1	Philippines	Homo sapiens AB980273.1
AB980274.1	Influenza C virus (C/Leyte/1/2013) PB1 gene for polymerase protein 1, partial cds	2013-XX-XX	PB1	Philippines	Homo sapiens AB980274.1
AB980275.1	Influenza C virus (C/Leyte/2/2013) PB1 gene for polymerase protein 1, partial cds	2013-XX-XX	PB1	Philippines	Homo sapiens AB980275.1
AB980276.1	Influenza C virus (C/Leyte/3/2013) PB1 gene for polymerase protein 1, partial cds	2013-XX-XX	PB1	Philippines	Homo sapiens AB980276.1
AB980277.1	Influenza C virus (C/Palawan/1/2013) PB1 gene for polymerase protein 1, partial cds	2013-XX-XX	PB1	Philippines	Homo sapiens AB980277.1
KM504278.1	Influenza C virus (C/Victoria/2/2012) segment 2 polymerase PB1 gene, complete cds	2012-XX-XX	PB1	Australia	Homo sapiens KM504278.1
JX963122.1	Influenza C virus (C/Singapore/DSO-050530/2006) segment 2 polymerase PB1 (PB1) gene, partial cds	2006-05-18	PB1	Singapore	Homo sapiens JX963122.1
JX963123.1	Influenza C virus (C/Singapore/DSO-070170/2006) segment 2 polymerase PB1 (PB1) gene, partial cds	2006-11-17	PB1	Singapore	Homo sapiens JX963123.1
JX963124.1	Influenza C virus (C/Singapore/DSO-070193/2006) segment 2 polymerase PB1 (PB1) gene, partial cds	2006-11-29	PB1	Singapore	Homo sapiens JX963124.1
JX963125.1	Influenza C virus (C/Singapore/DSO-070203/2006) segment 2 polymerase PB1 (PB1) gene, partial cds	2006-12-04	PB1	Singapore	Homo sapiens JX963125.1
JX947864.1	Influenza C virus (C/Eastern India/1202/2011) segment 2 polymerase PB1 (PB1) gene, partial cds	2011-07-15	PB1	India	Homo sapiens JX947864.1
FR671421.1	Influenza C virus (C/JJ/1950) PB1 gene for polymerase subunit PB1, genomic RNA	1950-XX-XX	PB1		FR671421.1
D87372.1	Influenza C virus (C/Miyagi/2/92) PB1 gene for polymerase protein 1, partial cds	1992-XX-XX	PB1	Japan	D87372.1
D87373.1	Influenza C virus (C/Miyagi/3/91) PB1 gene for polymerase protein 1, partial cds	1991-XX-XX	PB1	Japan	D87373.1
D87374.1	Influenza C virus (C/Miyagi/9/91) PB1 gene for polymerase protein 1, partial cds	1991-XX-XX	PB1	Japan	D87374.1
D87375.1	Influenza C virus (C/Yamagata/10/89) PB1 gene for polymerase protein 1, partial cds	1989-XX-XX	PB1	Japan	D87375.1
AB182359.1	Influenza C virus (C/Aichi/1/99) PB1 gene for polymelase protein 1, partial cds	1999-XX-XX	PB1	Japan	AB182359.1
AB099456.1	Influenza C virus (C/Yamagata/2/99) PB1 gene for polymerase protein 1 (PB1), partial cds	1999-XX-XX	PB1	Japan	AB099456.1
AB099457.1	Influenza C virus (C/Yamagata/9/2000) PB1 gene for polymerase protein 1 (PB1), partial cds	2000-XX-XX	PB1	Japan	AB099457.1
AB099458.1	Influenza C virus (C/Yamagata/2/2000) PB1 gene for polymerase protein 1 (PB1), partial cds	2000-XX-XX	PB1	Japan	AB099458.1
AB099459.1	Influenza C virus (C/Yamagata/3/2000) PB1 gene for polymerase protein 1 (PB1), partial cds	2000-XX-XX	PB1	Japan	AB099459.1
AB099460.1	Influenza C virus (C/Yamagata/6/2000) PB1 gene for polymerase protein 1 (PB1), partial cds	2000-XX-XX	PB1	Japan	AB099460.1
AB099461.1	Influenza C virus (C/Yamagata/8/2000) PB1 gene for polymerase protein 1 (PB1), partial cds	2000-XX-XX	PB1	Japan	AB099461.1
AB099462.1	Influenza C virus (C/Miyagi/2/2000) PB1 gene for polymerase protein 1 (PB1), partial cds	2000-XX-XX	PB1	Japan	AB099462.1
AB099463.1	Influenza C virus (C/Miyagi/3/2000) PB1 gene for polymerase protein 1 (PB1), partial cds	2000-XX-XX	PB1	Japan	AB099463.1
AB099464.1	Influenza C virus (C/Miyagi/4/2000) PB1 gene for polymerase protein 1 (PB1), partial cds	2000-XX-XX	PB1	Japan	AB099464.1
