strain	strain_name	date	segment	country	host
NC_006308.2	Influenza C virus (C/Ann Arbor/1/50) PB1 gene for polymerase 1, complete cds	1950-XX-XX	PB1	USA	NC_006308.2
LC720289.1	Influenza C virus C/Fukushima/O181/2018 viral cRNA, segment 2, nearly complete sequence	2018-XX-XX	PB1	Japan	Homo sapiens LC720289.1
MH828693.1	Influenza C virus (C/Vietnam/1290/2014) segment 2 polymerase PB1 (PB1) gene, complete cds	2014-04-16	PB1	Viet Nam	Homo sapiens MH828693.1
MZ330886.1	Influenza C virus (C/Biliran/TB2-162/2014) segment 2 polymerase PB1 (PB1) gene, complete cds	2014-06-25	PB1	Philippines	Homo sapiens MZ330886.1
MZ330893.1	Influenza C virus (C/Biliran/TB2-180/2014) segment 2 polymerase PB1 (PB1) gene, complete cds	2014-07-07	PB1	Philippines	Homo sapiens MZ330893.1
MZ330900.1	Influenza C virus (C/Biliran/TB2-204/2014) segment 2 polymerase PB1 (PB1) gene, complete cds	2014-07-24	PB1	Philippines	Homo sapiens MZ330900.1
MZ330907.1	Influenza C virus (C/Biliran/TB2-293/2014) segment 2 polymerase PB1 (PB1) gene, complete cds	2014-10-02	PB1	Philippines	Homo sapiens MZ330907.1
MZ330914.1	Influenza C virus (C/Biliran/TB4-024/2017) segment 2 polymerase PB1 (PB1) gene, complete cds	2017-05-16	PB1	Philippines	Homo sapiens MZ330914.1
MZ330921.1	Influenza C virus (C/Biliran/TB4-067/2017) segment 2 polymerase PB1 (PB1) gene, complete cds	2017-06-15	PB1	Philippines	Homo sapiens MZ330921.1
MZ330928.1	Influenza C virus (C/Biliran/TB4-130/2018) segment 2 polymerase PB1 (PB1) gene, complete cds	2018-03-27	PB1	Philippines	Homo sapiens MZ330928.1
MZ330935.1	Influenza C virus (C/Biliran/TB4-169/2018) segment 2 polymerase PB1 (PB1) gene, complete cds	2018-04-24	PB1	Philippines	Homo sapiens MZ330935.1
MZ330942.1	Influenza C virus (C/Biliran/TB4-271/2019) segment 2 polymerase PB1 (PB1) gene, complete cds	2019-07-08	PB1	Philippines	Homo sapiens MZ330942.1
MZ330949.1	Influenza C virus (C/Biliran/TB5-195/2014) segment 2 polymerase PB1 (PB1) gene, complete cds	2014-06-02	PB1	Philippines	Homo sapiens MZ330949.1
MZ330956.1	Influenza C virus (C/Biliran/TB5-241/2014) segment 2 polymerase PB1 (PB1) gene, complete cds	2014-06-20	PB1	Philippines	Homo sapiens MZ330956.1
MZ330963.1	Influenza C virus (C/Biliran/TB5-312/2017) segment 2 polymerase PB1 (PB1) gene, complete cds	2017-06-13	PB1	Philippines	Homo sapiens MZ330963.1
MZ330970.1	Influenza C virus (C/Biliran/TB5-498/2016) segment 2 polymerase PB1 (PB1) gene, complete cds	2016-06-29	PB1	Philippines	Homo sapiens MZ330970.1
MZ330977.1	Influenza C virus (C/Biliran/TB5-536/2016) segment 2 polymerase PB1 (PB1) gene, complete cds	2016-07-18	PB1	Philippines	Homo sapiens MZ330977.1
MZ330984.1	Influenza C virus (C/Biliran/TB5-625/2016) segment 2 polymerase PB1 (PB1) gene, complete cds	2016-08-23	PB1	Philippines	Homo sapiens MZ330984.1
MZ330991.1	Influenza C virus (C/Biliran/TB5-736/2016) segment 2 polymerase PB1 (PB1) gene, complete cds	2016-10-05	PB1	Philippines	Homo sapiens MZ330991.1
MZ330998.1	Influenza C virus (C/Biliran/TB8-250/2014) segment 2 polymerase PB1 (PB1) gene, complete cds	2014-07-10	PB1	Philippines	Homo sapiens MZ330998.1
MZ331005.1	Influenza C virus (C/Palawan/061/2015) segment 2 polymerase PB1 (PB1) gene, complete cds	2015-07-03	PB1	Philippines	Homo sapiens MZ331005.1
MZ331012.1	Influenza C virus (C/Palawan/068/2014) segment 2 polymerase PB1 (PB1) gene, complete cds	2014-03-18	PB1	Philippines	Homo sapiens MZ331012.1
LC603647.1	Influenza C virus C/Yamagata/11/88 PB1 gene for polymerase 1, complete cds	1988-12-13	PB1	Japan	Homo sapiens LC603647.1
LC603654.1	Influenza C virus C/Yamagata/29/2004 PB1 gene for polymerase 1, complete cds	2004-05-25	PB1	Japan	Homo sapiens LC603654.1
MK480582.1	Influenza C virus (C/Thailand/c5395_PB1_gene/2015) segment 2 polymerase PB1 (PB1) gene, partial cds	2015-01-07	PB1	Thailand	Homo sapiens MK480582.1
MK480589.1	Influenza C virus (C/Thailand/B12597_PB1_gene/2015) segment 2 polymerase PB1 (PB1) gene, partial cds	2015-08-31	PB1	Thailand	Homo sapiens MK480589.1
MK480596.1	Influenza C virus (C/Thailand/B12983_PB1_gene/2015) segment 2 polymerase PB1 (PB1) gene, partial cds	2015-09-25	PB1	Thailand	Homo sapiens MK480596.1
MK480603.1	Influenza C virus (C/Thailand/CN38_PB1_gene/2017) segment 2 polymerase PB1 (PB1) gene, partial cds	2017-03-07	PB1	Thailand	Homo sapiens MK480603.1
MK050103.1	Influenza C virus (C/Seoul/APD462/2015) segment 2 polymerase PB1 (PB1) gene, complete cds	2015-04-11	PB1	South Korea	Homo sapiens MK050103.1
LC327653.1	Influenza C virus (C/Iwate/1/2016) PB1 gene for polymerase 1, partial cds	2016-03-XX	PB1	Japan	Homo sapiens LC327653.1
LC327660.1	Influenza C virus (C/Iwate/2/2016) PB1 gene for polymerase 1, partial cds	2016-05-XX	PB1	Japan	Homo sapiens LC327660.1
KT232083.1	Influenza C virus (C/India/P119564/2011) segment 2 polymerase PB1 (PB1) gene, partial cds	2011-06-10	PB1	India	Homo sapiens KT232083.1
LC123385.1	Influenza C virus (C/Taylor/1233/1947) PB1 gene for polymerase 1, complete cds	1947-XX-XX	PB1	USA	Homo sapiens LC123385.1
LC123386.1	Influenza C virus (C/Great Lakes/1167/1954) PB1 gene for polymerase 1, complete cds	1954-XX-XX	PB1	USA	Homo sapiens LC123386.1
LC123387.1	Influenza C virus (C/Yamagata/64) PB1 gene for polymerase 1, complete cds	1964-XX-XX	PB1	Japan	Homo sapiens LC123387.1
LC123388.1	Influenza C virus (C/Johannesburg/4/67) PB1 gene for polymerase 1, complete cds	1967-XX-XX	PB1	South Africa	Homo sapiens LC123388.1
LC123389.1	Influenza C virus (C/Paris/1/67) PB1 gene for polymerase 1, complete cds	1967-XX-XX	PB1	France	Homo sapiens LC123389.1
LC123390.1	Influenza C virus (C/Georgia/1/69) PB1 gene for polymerase 1, complete cds	1969-XX-XX	PB1	USA	Homo sapiens LC123390.1
LC123391.1	Influenza C virus (C/Sapporo/71) PB1 gene for polymerase 1, complete cds	1971-XX-XX	PB1	Japan	Homo sapiens LC123391.1
LC123392.1	Influenza C virus (C/Aomori/74) PB1 gene for polymerase 1, complete cds	1974-XX-XX	PB1	Japan	Homo sapiens LC123392.1
LC123393.1	Influenza C virus (C/New Jersey/1/76) PB1 gene for polymerase 1, complete cds	1976-XX-XX	PB1	USA	Homo sapiens LC123393.1
LC123394.1	Influenza C virus (C/Kanagawa/1/76) PB1 gene for polymerase 1, complete cds	1976-XX-XX	PB1	Japan	Homo sapiens LC123394.1
LC123395.1	Influenza C virus (C/Miyagi/77) PB1 gene for polymerase 1, complete cds	1977-XX-XX	PB1	Japan	Homo sapiens LC123395.1
LC123396.1	Influenza C virus (C/California/78) PB1 gene for polymerase 1, complete cds	1978-XX-XX	PB1	USA	Homo sapiens LC123396.1
LC123397.1	Influenza C virus (C/Kansas/1/79) PB1 gene for polymerase 1, complete cds	1979-XX-XX	PB1	USA	Homo sapiens LC123397.1
LC123398.1	Influenza C virus (C/Greece/1/79) PB1 gene for polymerase 1, complete cds	1979-XX-XX	PB1	Greece	Homo sapiens LC123398.1
LC123399.1	Influenza C virus (C/Kyoto/1/79) PB1 gene for polymerase 1, complete cds	1979-XX-XX	PB1	Japan	Homo sapiens LC123399.1
LC123400.1	Influenza C virus (C/Shizuoka/79) PB1 gene for polymerase 1, complete cds	1979-XX-XX	PB1	Japan	Homo sapiens LC123400.1
LC123401.1	Influenza C virus (C/Mississippi/80) PB1 gene for polymerase 1, complete cds	1980-XX-XX	PB1	USA	Homo sapiens LC123401.1
LC123402.1	Influenza C virus (C/Aichi/1/81) PB1 gene for polymerase 1, complete cds	1981-XX-XX	PB1	Japan	Homo sapiens LC123402.1
LC123403.1	Influenza C virus (C/Yamagata/7/81) PB1 gene for polymerase 1, complete cds	1981-03-18	PB1	Japan	Homo sapiens LC123403.1
LC123404.1	Influenza C virus (C/Yamagata/10/1981) PB1 gene for polymerase 1, complete cds	1981-03-18	PB1	Japan	Homo sapiens LC123404.1
LC123405.1	Influenza C virus (C/Yamagata/26/81) PB1 gene for polymerase 1, complete cds	1981-03-18	PB1	Japan	Homo sapiens LC123405.1
LC123407.1	Influenza C virus (C/Sao Paulo/378/82) PB1 gene for polymerase 1, complete cds	1982-XX-XX	PB1	Brazil	Homo sapiens LC123407.1
LC123408.1	Influenza C virus (C/Nara/82) PB1 gene for polymerase 1, complete cds	1982-XX-XX	PB1	Japan	Homo sapiens LC123408.1
LC123409.1	Influenza C virus (C/England/892/1983) PB1 gene for polymerase 1, complete cds	1983-XX-XX	PB1	United Kingdom	Homo sapiens LC123409.1
LC123410.1	Influenza C virus (C/Yamagata/7/88) PB1 gene for polymerase 1, complete cds	1988-11-03	PB1	Japan	Homo sapiens LC123410.1
LC123411.1	Influenza C virus (C/Yamagata/9/88) PB1 gene for polymerase 1, complete cds	1988-12-12	PB1	Japan	Homo sapiens LC123411.1
LC123412.1	Influenza C virus (C/Yamagata/10/89) PB1 gene for polymerase 1, complete cds	1989-08-03	PB1	Japan	Homo sapiens LC123412.1
LC123413.1	Influenza C virus (C/Miyagi/5/91) PB1 gene for polymerase 1, complete cds	1991-02-25	PB1	Japan	Homo sapiens LC123413.1
LC123414.1	Influenza C virus (C/Yamagata/4/92) PB1 gene for polymerase 1, complete cds	1992-11-19	PB1	Japan	Homo sapiens LC123414.1
LC123415.1	Influenza C virus (C/Yamagata/5/92) PB1 gene for polymerase 1, complete cds	1992-11-26	PB1	Japan	Homo sapiens LC123415.1
LC123416.1	Influenza C virus (C/Yamagata/1/93) PB1 gene for polymerase 1, complete cds	1993-04-30	PB1	Japan	Homo sapiens LC123416.1
LC123417.1	Influenza C virus (C/Miyagi/1/93) PB1 gene for polymerase 1, complete cds	1993-02-02	PB1	Japan	Homo sapiens LC123417.1
LC123418.1	Influenza C virus (C/Miyagi/3/93) PB1 gene for polymerase 1, complete cds	1993-04-13	PB1	Japan	Homo sapiens LC123418.1
LC123419.1	Influenza C virus (C/Miyagi/7/93) PB1 gene for polymerase 1, complete cds	1993-05-19	PB1	Japan	Homo sapiens LC123419.1
LC123420.1	Influenza C virus (C/Miyagi/8/96) PB1 gene for polymerase 1, complete cds	1996-05-23	PB1	Japan	Homo sapiens LC123420.1
LC123421.1	Influenza C virus (C/Miyagi/9/96) PB1 gene for polymerase 1, complete cds	1996-06-03	PB1	Japan	Homo sapiens LC123421.1
LC123422.1	Influenza C virus (C/Yamagata/8/96) PB1 gene for polymerase 1, complete cds	1996-06-13	PB1	Japan	Homo sapiens LC123422.1
LC123423.1	Influenza C virus (C/Yamagata/13/98) PB1 gene for polymerase 1, complete cds	1998-06-08	PB1	Japan	Homo sapiens LC123423.1
LC123424.1	Influenza C virus (C/Aichi/1/99) PB1 gene for polymerase 1, complete cds	1999-04-07	PB1	Japan	Homo sapiens LC123424.1
LC123425.1	Influenza C virus (C/Yamagata/3/2000) PB1 gene for polymerase 1, complete cds	2000-02-02	PB1	Japan	Homo sapiens LC123425.1
LC123426.1	Influenza C virus (C/Yamagata/6/2000) PB1 gene for polymerase 1, complete cds	2000-03-21	PB1	Japan	Homo sapiens LC123426.1
LC123427.1	Influenza C virus (C/Yamagata/5/2002) PB1 gene for polymerase 1, complete cds	2002-02-07	PB1	Japan	Homo sapiens LC123427.1
LC123428.1	Influenza C virus (C/Yamagata/7/2002) PB1 gene for polymerase 1, complete cds	2002-02-16	PB1	Japan	Homo sapiens LC123428.1
LC123429.1	Influenza C virus (C/Miyagi/4/2002) PB1 gene for polymerase 1, complete cds	2002-01-24	PB1	Japan	Homo sapiens LC123429.1
LC123430.1	Influenza C virus (C/Miyagi/11/2002) PB1 gene for polymerase 1, complete cds	2002-02-22	PB1	Japan	Homo sapiens LC123430.1
LC123431.1	Influenza C virus (C/Miyagi/20/2002) PB1 gene for polymerase 1, complete cds	2002-03-17	PB1	Japan	Homo sapiens LC123431.1
LC123432.1	Influenza C virus (C/Miyagi/28/2002) PB1 gene for polymerase 1, complete cds	2002-04-22	PB1	Japan	Homo sapiens LC123432.1
LC123433.1	Influenza C virus (C/Miyagi/31/2002) PB1 gene for polymerase 1, complete cds	2002-06-18	PB1	Japan	Homo sapiens LC123433.1
LC123434.1	Influenza C virus (C/Yamagata/3/2004) PB1 gene for polymerase 1, complete cds	2004-04-16	PB1	Japan	Homo sapiens LC123434.1
LC123435.1	Influenza C virus (C/Yamagata/14/2004) PB1 gene for polymerase 1, complete cds	2004-05-07	PB1	Japan	Homo sapiens LC123435.1
LC123436.1	Influenza C virus (C/Yamagata/15/2004) PB1 gene for polymerase 1, complete cds	2004-05-11	PB1	Japan	Homo sapiens LC123436.1
LC123437.1	Influenza C virus (C/Yamagata/18/2004) PB1 gene for polymerase 1, complete cds	2004-05-14	PB1	Japan	Homo sapiens LC123437.1
LC123438.1	Influenza C virus (C/Yamagata/26/2004) PB1 gene for polymerase 1, complete cds	2004-05-28	PB1	Japan	Homo sapiens LC123438.1
LC123439.1	Influenza C virus (C/Yamagata/27/2004) PB1 gene for polymerase 1, complete cds	2004-05-24	PB1	Japan	Homo sapiens LC123439.1
LC123440.1	Influenza C virus (C/Miyagi/12/2004) PB1 gene for polymerase 1, complete cds	2004-02-27	PB1	Japan	Homo sapiens LC123440.1
LC123441.1	Influenza C virus (C/Miyagi/25/2004) PB1 gene for polymerase 1, complete cds	2004-03-31	PB1	Japan	Homo sapiens LC123441.1
LC123442.1	Influenza C virus (C/Miyagi/42/2004) PB1 gene for polymerase 1, complete cds	2004-05-27	PB1	Japan	Homo sapiens LC123442.1
LC123443.1	Influenza C virus (C/Miyagi/47/2004) PB1 gene for polymerase 1, complete cds	2004-06-18	PB1	Japan	Homo sapiens LC123443.1
LC123444.1	Influenza C virus (C/Yamagata/1/2005) PB1 gene for polymerase 1, complete cds	2005-06-07	PB1	Japan	Homo sapiens LC123444.1
LC123445.1	Influenza C virus (C/Yamagata/2/2005) PB1 gene for polymerase 1, complete cds	2005-07-05	PB1	Japan	Homo sapiens LC123445.1
LC123446.1	Influenza C virus (C/Yamagata/3/2005) PB1 gene for polymerase 1, complete cds	2005-09-07	PB1	Japan	Homo sapiens LC123446.1
LC123447.1	Influenza C virus (C/Miyagi/2/2005) PB1 gene for polymerase 1, complete cds	2005-04-07	PB1	Japan	Homo sapiens LC123447.1
