strain	strain_name	date	segment	country	host
NC_006306.2	Influenza C virus (C/Ann Arbor/1/50) segment 7, complete sequence	1950-XX-XX	NS	USA	NC_006306.2
LC720288.1	Influenza C virus C/Fukushima/O181/2018 viral cRNA, segment 7, nearly complete sequence	2018-XX-XX	NS	Japan	Homo sapiens LC720288.1
MH828691.1	Influenza C virus (C/Vietnam/1290/2014) segment 7 nonstructural protein 2 (NEP) and nonstructural protein 1 (NS1) genes, complete cds	2014-04-16	NS	Viet Nam	Homo sapiens MH828691.1
MZ330884.1	Influenza C virus (C/Biliran/TB2-162/2014) segment 7 nonstructural protein 2 (NEP) and nonstructural protein 1 (NS1) genes, complete cds	2014-06-25	NS	Philippines	Homo sapiens MZ330884.1
MZ330891.1	Influenza C virus (C/Biliran/TB2-180/2014) segment 7 nonstructural protein 2 (NEP) and nonstructural protein 1 (NS1) genes, complete cds	2014-07-07	NS	Philippines	Homo sapiens MZ330891.1
MZ330898.1	Influenza C virus (C/Biliran/TB2-204/2014) segment 7 nonstructural protein 2 (NEP) and nonstructural protein 1 (NS1) genes, complete cds	2014-07-24	NS	Philippines	Homo sapiens MZ330898.1
MZ330905.1	Influenza C virus (C/Biliran/TB2-293/2014) segment 7 nonstructural protein 2 (NEP) and nonstructural protein 1 (NS1) genes, complete cds	2014-10-02	NS	Philippines	Homo sapiens MZ330905.1
MZ330912.1	Influenza C virus (C/Biliran/TB4-024/2017) segment 7 nonstructural protein 2 (NEP) and nonstructural protein 1 (NS1) genes, complete cds	2017-05-16	NS	Philippines	Homo sapiens MZ330912.1
MZ330919.1	Influenza C virus (C/Biliran/TB4-067/2017) segment 7 nonstructural protein 2 (NEP) and nonstructural protein 1 (NS1) genes, complete cds	2017-06-15	NS	Philippines	Homo sapiens MZ330919.1
MZ330926.1	Influenza C virus (C/Biliran/TB4-130/2018) segment 7 nonstructural protein 2 (NEP) and nonstructural protein 1 (NS1) genes, complete cds	2018-03-27	NS	Philippines	Homo sapiens MZ330926.1
MZ330933.1	Influenza C virus (C/Biliran/TB4-169/2018) segment 7 nonstructural protein 2 (NEP) and nonstructural protein 1 (NS1) genes, complete cds	2018-04-24	NS	Philippines	Homo sapiens MZ330933.1
MZ330940.1	Influenza C virus (C/Biliran/TB4-271/2019) segment 7 nonstructural protein 2 (NEP) and nonstructural protein 1 (NS1) genes, complete cds	2019-07-08	NS	Philippines	Homo sapiens MZ330940.1
MZ330947.1	Influenza C virus (C/Biliran/TB5-195/2014) segment 7 nonstructural protein 2 (NEP) and nonstructural protein 1 (NS1) genes, complete cds	2014-06-02	NS	Philippines	Homo sapiens MZ330947.1
MZ330954.1	Influenza C virus (C/Biliran/TB5-241/2014) segment 7 nonstructural protein 2 (NEP) and nonstructural protein 1 (NS1) genes, complete cds	2014-06-20	NS	Philippines	Homo sapiens MZ330954.1
MZ330961.1	Influenza C virus (C/Biliran/TB5-312/2017) segment 7 nonstructural protein 2 (NEP) and nonstructural protein 1 (NS1) genes, complete cds	2017-06-13	NS	Philippines	Homo sapiens MZ330961.1
MZ330968.1	Influenza C virus (C/Biliran/TB5-498/2016) segment 7 nonstructural protein 2 (NEP) and nonstructural protein 1 (NS1) genes, complete cds	2016-06-29	NS	Philippines	Homo sapiens MZ330968.1
MZ330975.1	Influenza C virus (C/Biliran/TB5-536/2016) segment 7 nonstructural protein 2 (NEP) and nonstructural protein 1 (NS1) genes, complete cds	2016-07-18	NS	Philippines	Homo sapiens MZ330975.1
MZ330982.1	Influenza C virus (C/Biliran/TB5-625/2016) segment 7 nonstructural protein 2 (NEP) and nonstructural protein 1 (NS1) genes, complete cds	2016-08-23	NS	Philippines	Homo sapiens MZ330982.1
MZ330989.1	Influenza C virus (C/Biliran/TB5-736/2016) segment 7 nonstructural protein 2 (NEP) and nonstructural protein 1 (NS1) genes, complete cds	2016-10-05	NS	Philippines	Homo sapiens MZ330989.1
MZ330996.1	Influenza C virus (C/Biliran/TB8-250/2014) segment 7 nonstructural protein 2 (NEP) and nonstructural protein 1 (NS1) genes, complete cds	2014-07-10	NS	Philippines	Homo sapiens MZ330996.1
MZ331003.1	Influenza C virus (C/Palawan/061/2015) segment 7 nonstructural protein 2 (NEP) and nonstructural protein 1 (NS1) genes, complete cds	2015-07-03	NS	Philippines	Homo sapiens MZ331003.1
MZ331010.1	Influenza C virus (C/Palawan/068/2014) segment 7 nonstructural protein 2 (NEP) and nonstructural protein 1 (NS1) genes, complete cds	2014-03-18	NS	Philippines	Homo sapiens MZ331010.1
LC603644.1	Influenza C virus C/Yamagata/11/88 NS2, NS1 genes for nonstructural protein 2, nonstructural protein 1, complete cds	1988-12-13	NS	Japan	Homo sapiens LC603644.1
LC603651.1	Influenza C virus C/Yamagata/29/2004 NS2, NS1 genes for nonstructural protein 2, nonstructural protein 1, complete cds	2004-05-25	NS	Japan	Homo sapiens LC603651.1
MK480580.1	Influenza C virus (C/Thailand/c5395_NS_gene/2015) segment 7 nonstructural protein 2 (NEP) gene, partial cds; and nonstructural protein 1 (NS1) gene, complete cds	2015-01-07	NS	Thailand	Homo sapiens MK480580.1
MK480587.1	Influenza C virus (C/Thailand/B12597_NS_gene/2015) segment 7 nonstructural protein 2 (NEP) gene, partial cds; and nonstructural protein 1 (NS1) gene, complete cds	2015-08-31	NS	Thailand	Homo sapiens MK480587.1
