strain	strain_name	segment	date	host	country	subtype	virus
KP317923	Kilifi_9465_4_RSVB_2012	NA	2012-03-01	Human	Kenya	B	Human_orthopneumovirus
JQ582843	NH1125	NA	2002-XX-XX	Human	USA	B	Human_orthopneumovirus
KP856961	RSVB/Homo_sapiens/USA/89E_108_01/1989-XX-XX	NA	1989-XX-XX	Human	USA	B	Human_orthopneumovirus
KP856963	RSVB/Homo_sapiens/USA/80E_030_01/1980-XX-XX	NA	1980-XX-XX	Human	USA	B	Human_orthopneumovirus
KP856965	RSVB/Homo_sapiens/USA/89E_067_01/1989-XX-XX	NA	1989-XX-XX	Human	USA	B	Human_orthopneumovirus
KP856966	RSVB/Homo_sapiens/USA/98I_010A_01/1998-XX-XX	NA	1998-XX-XX	Human	USA	B	Human_orthopneumovirus
JX576760	03_000005	NA	2003-01-01	Human	Netherlands	B	Human_orthopneumovirus
KF826853	RSVB/Homo_sapiens/DEU/114/2008	NA	2008-02-01	Human	Germany	B	Human_orthopneumovirus
KJ723466	RSVB/Homo_sapiens/USA/93I_109A_01/1993-XX-XX	NA	1993-XX-XX	Human	USA	B	Human_orthopneumovirus
KP258731	RSVB/Homo_sapiens/USA/82G_013_01/1982-XX-XX	NA	1982-XX-XX	Human	USA	B	Human_orthopneumovirus
KP258713	RSVB/Homo_sapiens/USA/93P_095_01/1993-XX-XX	NA	1993-XX-XX	Human	USA	B	Human_orthopneumovirus
KP258712	RSVB/Homo_sapiens/USA/79E_159_01/1979-XX-XX	NA	1979-XX-XX	Human	USA	B	Human_orthopneumovirus
KP258745	RSVB/Homo_sapiens/USA/92P_337_01/1992-XX-XX	NA	1992-XX-XX	Human	USA	B	Human_orthopneumovirus
KP258724	RSVB/Homo_sapiens/USA/97E_017_01/1997-XX-XX	NA	1997-XX-XX	Human	USA	B	Human_orthopneumovirus
KP258698	RSVB/Homo_sapiens/USA/91P_029_01/1991-XX-XX	NA	1991-XX-XX	Human	USA	B	Human_orthopneumovirus
KJ723460	RSVB/Homo_sapiens/USA/91I_144A_01/1991-XX-XX	NA	1991-XX-XX	Human	USA	B	Human_orthopneumovirus
KJ723480	RSVB/Homo_sapiens/USA/91I_020A_01/1991-XX-XX	NA	1991-XX-XX	Human	USA	B	Human_orthopneumovirus
KP258705	RSVB/Homo_sapiens/USA/95I_100A_01/1995-XX-XX	NA	1995-XX-XX	Human	USA	B	Human_orthopneumovirus
KP258721	RSVB/Homo_sapiens/USA/81E_119_01/1981-XX-XX	NA	1981-XX-XX	Human	USA	B	Human_orthopneumovirus
KP258702	RSVB/Homo_sapiens/USA/94E_551_01/1994-XX-XX	NA	1994-XX-XX	Human	USA	B	Human_orthopneumovirus
KJ723477	RSVB/Homo_sapiens/USA/91I_043A_01/1991-XX-XX	NA	1991-XX-XX	Human	USA	B	Human_orthopneumovirus
KU316147	RSVB/Homo_sapiens/USA/79I_058A_01_01/1979-XX-XX	NA	1979-XX-XX	Human	USA	B	Human_orthopneumovirus
KJ723485	RSVB/Homo_sapiens/USA/84I_250A_01/1984-XX-XX	NA	1984-XX-XX	Human	USA	B	Human_orthopneumovirus
KJ723482	RSVB/Homo_sapiens/USA/89I_132A_01/1989-XX-XX	NA	1989-XX-XX	Human	USA	B	Human_orthopneumovirus
KP258708	RSVB/Homo_sapiens/USA/96E_113_01/1996-XX-XX	NA	1996-XX-XX	Human	USA	B	Human_orthopneumovirus
KP258736	RSVB/Homo_sapiens/USA/82G_002_01/1982-XX-XX	NA	1982-XX-XX	Human	USA	B	Human_orthopneumovirus
KU316116	RSVB/Homo_sapiens/USA/81G_027_01/1977-XX-XX	NA	1977-XX-XX	Human	USA	B	Human_orthopneumovirus
KU316097	RSVB/Homo_sapiens/USA/78G_099_01/1978-XX-XX	NA	1978-XX-XX	Human	USA	B	Human_orthopneumovirus
KP258714	RSVB/Homo_sapiens/USA/86E_435_01/1986-XX-XX	NA	1986-XX-XX	Human	USA	B	Human_orthopneumovirus
KP258742	RSVB/Homo_sapiens/USA/94I_104A_01/1994-XX-XX	NA	1994-XX-XX	Human	USA	B	Human_orthopneumovirus
KJ723479	RSVB/Homo_sapiens/USA/83I_100A_01/1983-XX-XX	NA	1983-XX-XX	Human	USA	B	Human_orthopneumovirus
KJ723469	RSVB/Homo_sapiens/USA/87I_042A_01/1987-XX-XX	NA	1987-XX-XX	Human	USA	B	Human_orthopneumovirus
