strain	strain_name	segment	date	host	country	subtype	virus
KP258738	RSVB/Homo_sapiens/USA/80E_188_01/1980-XX-XX	NA	1980-XX-XX	Human	USA	B	Human_orthopneumovirus
KJ723470	RSVB/Homo_sapiens/USA/91I_116A_01/1991-XX-XX	NA	1991-XX-XX	Human	USA	B	Human_orthopneumovirus
KP258718	RSVB/Homo_sapiens/USA/83E_198_01/1983-XX-XX	NA	1983-XX-XX	Human	USA	B	Human_orthopneumovirus
KP258720	RSVB/Homo_sapiens/USA/90E_181_01/1990-XX-XX	NA	1990-XX-XX	Human	USA	B	Human_orthopneumovirus
KU316181	RSVB/Homo_sapiens/USA/90E_158_01/1990-XX-XX	NA	1990-XX-XX	Human	USA	B	Human_orthopneumovirus
KU316136	RSVB/Homo_sapiens/USA/87E_012_01/1987-XX-XX	NA	1987-XX-XX	Human	USA	B	Human_orthopneumovirus
KJ723484	RSVB/Homo_sapiens/USA/93I_159A_01/1993-XX-XX	NA	1993-XX-XX	Human	USA	B	Human_orthopneumovirus
KU316182	RSVB/Homo_sapiens/USA/90I_148A_01_01/1990-XX-XX	NA	1990-XX-XX	Human	USA	B	Human_orthopneumovirus
KU316132	RSVB/Homo_sapiens/USA/91I_110A_01_01/1991-XX-XX	NA	1991-XX-XX	Human	USA	B	Human_orthopneumovirus
KU316156	RSVB/Homo_sapiens/USA/89P_004_01/1989-XX-XX	NA	1989-XX-XX	Human	USA	B	Human_orthopneumovirus
KJ723481	RSVB/Homo_sapiens/USA/85I_063A_01/1985-XX-XX	NA	1985-XX-XX	Human	USA	B	Human_orthopneumovirus
KU316113	RSVB/Homo_sapiens/USA/89I_102A_01_01/1989-XX-XX	NA	1989-XX-XX	Human	USA	B	Human_orthopneumovirus
KU316102	RSVB/Homo_sapiens/USA/82E_087_01/1982-XX-XX	NA	1982-XX-XX	Human	USA	B	Human_orthopneumovirus
KU316117	RSVB/Homo_sapiens/USA/95I_016A_01_01/1995-XX-XX	NA	1995-XX-XX	Human	USA	B	Human_orthopneumovirus
KU316101	RSVB/Homo_sapiens/USA/82E_005_01/1982-XX-XX	NA	1982-XX-XX	Human	USA	B	Human_orthopneumovirus
KU316122	RSVB/Homo_sapiens/USA/80E_025_01/1980-XX-XX	NA	1980-XX-XX	Human	USA	B	Human_orthopneumovirus
KU316094	RSVB/Homo_sapiens/USA/89I_051A_01_01/1989-XX-XX	NA	1989-XX-XX	Human	USA	B	Human_orthopneumovirus
KU316114	RSVB/Homo_sapiens/USA/93I_084A_01_01/1993-XX-XX	NA	1993-XX-XX	Human	USA	B	Human_orthopneumovirus
KU316111	RSVB/Homo_sapiens/USA/92E_135_01/1992-XX-XX	NA	1992-XX-XX	Human	USA	B	Human_orthopneumovirus
KU316163	RSVB/Homo_sapiens/USA/93E_049_01/1993-XX-XX	NA	1993-XX-XX	Human	USA	B	Human_orthopneumovirus
KU316144	RSVB/Homo_sapiens/USA/91E_086_01/1991-XX-XX	NA	1991-XX-XX	Human	USA	B	Human_orthopneumovirus
KU316095	RSVB/Homo_sapiens/USA/79I_010A_01_01/1979-XX-XX	NA	1979-XX-XX	Human	USA	B	Human_orthopneumovirus
KU316130	RSVB/Homo_sapiens/USA/85I_031A_01_01/1985-XX-XX	NA	1985-XX-XX	Human	USA	B	Human_orthopneumovirus
KU316173	RSVB/Homo_sapiens/USA/85I_013A_01_01/1984-XX-XX	NA	1984-XX-XX	Human	USA	B	Human_orthopneumovirus
KU316115	RSVB/Homo_sapiens/USA/80I_058A_01_01/1980-XX-XX	NA	1980-XX-XX	Human	USA	B	Human_orthopneumovirus
KU316175	RSVB/Homo_sapiens/USA/85I_049A_01_01/1985-XX-XX	NA	1985-XX-XX	Human	USA	B	Human_orthopneumovirus
KU316127	RSVB/Homo_sapiens/USA/91I_167A_01_01/1991-XX-XX	NA	1991-XX-XX	Human	USA	B	Human_orthopneumovirus
KU316179	RSVB/Homo_sapiens/USA/94I_157A_01_01/1994-XX-XX	NA	1994-XX-XX	Human	USA	B	Human_orthopneumovirus
KU316128	RSVB/Homo_sapiens/USA/93E_654_01/1995-XX-XX	NA	1995-XX-XX	Human	USA	B	Human_orthopneumovirus
KU316177	RSVB/Homo_sapiens/USA/82I_117A_01_01/1982-XX-XX	NA	1982-XX-XX	Human	USA	B	Human_orthopneumovirus
KU316134	RSVB/Homo_sapiens/USA/94P_048_01/1994-XX-XX	NA	1994-XX-XX	Human	USA	B	Human_orthopneumovirus
KU316100	RSVB/Homo_sapiens/USA/94E_140_01/1994-XX-XX	NA	1994-XX-XX	Human	USA	B	Human_orthopneumovirus
KU316159	RSVB/Homo_sapiens/USA/97I_031A_01_01/1997-XX-XX	NA	1997-XX-XX	Human	USA	B	Human_orthopneumovirus
KU950605	RSVB/Homo_sapiens/USA/TH_10563/2013	NA	2013-08-13	Human	USA	B	Human_orthopneumovirus
KX655690	RSVB/Homo_sapiens/JOR/A0009/2010	NA	2010-03-31	Human	Jordan	B	Human_orthopneumovirus
MG642064	RSVB/Homo_sapiens/USA/MCRSV_280/1995-XX-XX	NA	1995-XX-XX	Human	USA	B	Human_orthopneumovirus
MG642065	RSVB/Homo_sapiens/USA/MCRSV_225/1981-XX-XX	NA	1981-XX-XX	Human	USA	B	Human_orthopneumovirus
MG642066	RSVB/Homo_sapiens/USA/MCRSV_273/1990-XX-XX	NA	1990-XX-XX	Human	USA	B	Human_orthopneumovirus
MG642072	RSVB/Homo_sapiens/USA/MCRSV_274/1991-XX-XX	NA	1991-XX-XX	Human	USA	B	Human_orthopneumovirus
MG642036	RSVB/Homo_sapiens/USA/MCRSV_271/1989-XX-XX	NA	1989-XX-XX	Human	USA	B	Human_orthopneumovirus
MG642037	RSVB/Homo_sapiens/USA/MCRSV_208/1980-XX-XX	NA	1980-XX-XX	Human	USA	B	Human_orthopneumovirus
MG642039	RSVB/Homo_sapiens/USA/MCRSV_268/1985-XX-XX	NA	1985-XX-XX	Human	USA	B	Human_orthopneumovirus
MG642042	RSVB/Homo_sapiens/USA/MCRSV_242/1985-XX-XX	NA	1985-XX-XX	Human	USA	B	Human_orthopneumovirus
MG642043	RSVB/Homo_sapiens/USA/MCRSV_228/1982-XX-XX	NA	1982-XX-XX	Human	USA	B	Human_orthopneumovirus
MG642044	RSVB/Homo_sapiens/USA/MCRSV_231/1982-XX-XX	NA	1982-XX-XX	Human	USA	B	Human_orthopneumovirus
MG642045	RSVB/Homo_sapiens/USA/MCRSV_205/1979-XX-XX	NA	1979-XX-XX	Human	USA	B	Human_orthopneumovirus
MG642047	RSVB/Homo_sapiens/USA/MCRSV_213/1980-XX-XX	NA	1980-XX-XX	Human	USA	B	Human_orthopneumovirus
MG642049	RSVB/Homo_sapiens/USA/MCRSV_278/1993-XX-XX	NA	1993-XX-XX	Human	USA	B	Human_orthopneumovirus
MG642054	RSVB/Homo_sapiens/USA/MCRSV_276/1991-XX-XX	NA	1991-XX-XX	Human	USA	B	Human_orthopneumovirus
MG642057	RSVB/Homo_sapiens/USA/MCRSV_241/1984-XX-XX	NA	1984-XX-XX	Human	USA	B	Human_orthopneumovirus
MG642059	RSVB/Homo_sapiens/USA/MCRSV_267/1983-XX-XX	NA	1983-XX-XX	Human	USA	B	Human_orthopneumovirus
MG642062	RSVB/Homo_sapiens/USA/MCRSV_282/1996-XX-XX	NA	1996-XX-XX	Human	USA	B	Human_orthopneumovirus
MG431253	STA754	NA	2010-01-04	Human	Brazil	B	Human_orthopneumovirus
MG642025	RSVB/Homo_sapiens/USA/MCRSV_232/1982-XX-XX	NA	1982-XX-XX	Human	USA	B	Human_orthopneumovirus
MG642027	RSVB/Homo_sapiens/USA/MCRSV_275/1991-XX-XX	NA	1991-XX-XX	Human	USA	B	Human_orthopneumovirus
MG642078	RSVB/Homo_sapiens/USA/MCRSV_230/1982-XX-XX	NA	1982-XX-XX	Human	USA	B	Human_orthopneumovirus
MG642082	RSVB/Homo_sapiens/USA/MCRSV_257/1989-XX-XX	NA	1989-XX-XX	Human	USA	B	Human_orthopneumovirus
MF185751	NH1161	NA	2002-XX-XX	Human	USA	B	Human_orthopneumovirus
MF185754	NH1001	NA	2002-XX-XX	Human	USA	B	Human_orthopneumovirus
MG813994	B_TX_80171_2010_WGS	NA	2010-12-XX	Human	USA	B	Human_orthopneumovirus
MG813995	B_WaDC_18537_1962-XX-XX_WGS	NA	1962-XX-XX	Human	USA	B	Human_orthopneumovirus
MN163124	HRSV/43/ZJ/CHN/2018	NA	2017-03-XX	Human	China	B	Human_orthopneumovirus
MT040081	RSVB/USA/UAMS_DID_006/2016	NA	2016-01-30	Human	USA	B	Human_orthopneumovirus
MT040084	RSVB/USA/UAMS_DID_014/2016	NA	2016-01-20	Human	USA	B	Human_orthopneumovirus
MT040085	RSVB/USA/UAMS_DID_025/2016	NA	2016-01-21	Human	USA	B	Human_orthopneumovirus
MT040087	RSVB/USA/ACRI_042/2016	NA	2016-02-29	Human	USA	B	Human_orthopneumovirus
MT040089	RSVB/USA/ACRI_128/2016	NA	2016-06-27	Human	USA	B	Human_orthopneumovirus
OK649740	HRSV/B/Canada/CAN2690/1995-XX-XX	NA	1995-XX-XX	Human	Canada	B	Human_orthopneumovirus
OK649746	HRSV/B/NewYork.USA/CH59III/1995-XX-XX	NA	1995-XX-XX	Human	USA	B	Human_orthopneumovirus
OK649747	HRSV/B/NewYork.USA/CH93_9B/1992-XX-XX	NA	1992-XX-XX	Human	USA	B	Human_orthopneumovirus
OK649748	HRSV/B/NewYork.USA/CH93_18B/1992-XX-XX	NA	1992-XX-XX	Human	USA	B	Human_orthopneumovirus
OK649749	HRSV/B/Texas.USA/57097/1991-XX-XX	NA	1991-XX-XX	Human	USA	B	Human_orthopneumovirus
OK649750	HRSV/B/Texas.USA/65449/1994-XX-XX	NA	1994-XX-XX	Human	USA	B	Human_orthopneumovirus
OK649751	HRSV/B/Texas.USA/65848/1994-XX-XX	NA	1994-XX-XX	Human	USA	B	Human_orthopneumovirus
OK649752	HRSV/B/Texas.USA/65859/1994-XX-XX	NA	1994-XX-XX	Human	USA	B	Human_orthopneumovirus
