strain	strain_name	segment	date	host	country	subtype	virus_species	hpiv_subtype
KF530224	HPIV1/FRA/31211174/2011	NA	2011-05-23	Human	France	NA	Human_parainfluenza_virus_1	HPIV1
KF530218	HPIV1/FRA/30393061/2010	NA	2010-09-29	Human	France	NA	Human_parainfluenza_virus_1	HPIV1
KX639498	NM001	NA	2015-12-16	Human	USA	NA	Human_parainfluenza_virus_1	HPIV1
KF530212	HPIV1/USA/38081A/2011	NA	2011-06-24	Human	USA	NA	Human_parainfluenza_virus_1	HPIV1
KF530203	HPIV1/USA/38078A/2011	NA	2011-06-03	Human	USA	NA	Human_parainfluenza_virus_1	HPIV1
KX570602	AR001	NA	2015-09-19	Human	USA	NA	Human_parainfluenza_virus_1	HPIV1
KF530213	HPIV1/USA/35686C/2011	NA	2011-10-13	Human	USA	NA	Human_parainfluenza_virus_1	HPIV1
KF530195	HPIV1/ZAF/2754/2010	NA	2010-08-25	Human	South_Africa	NA	Human_parainfluenza_virus_1	HPIV1
KF530210	HPIV1/FRA/31202043/2011	NA	2011-05-17	Human	France	NA	Human_parainfluenza_virus_1	HPIV1
KF687307	HPIV1/USA/629_D00712/2009	NA	2009-10-02	Human	USA	NA	Human_parainfluenza_virus_1	HPIV1
KF687316	HPIV1/USA/35745H/2011	NA	2011-10-12	Human	USA	NA	Human_parainfluenza_virus_1	HPIV1
KF687314	HPIV1/FRA/30384043/2010	NA	2010-09-23	Human	France	NA	Human_parainfluenza_virus_1	HPIV1
KF687308	HPIV1/USA/629_D02161/2009	NA	2009-10-03	Human	USA	NA	Human_parainfluenza_virus_1	HPIV1
KF530209	HPIV1/FRA/31225147/2011	NA	2011-06-03	Human	France	NA	Human_parainfluenza_virus_1	HPIV1
KF530216	HPIV1/USA/38761A/2011	NA	2011-10-10	Human	USA	NA	Human_parainfluenza_virus_1	HPIV1
KF530219	HPIV1/FRA/31026021/2011	NA	2011-01-15	Human	France	NA	Human_parainfluenza_virus_1	HPIV1
KF687315	HPIV1/USA/32193A/2010	NA	2010-04-09	Human	USA	NA	Human_parainfluenza_virus_1	HPIV1
KF687311	HPIV1/ZAF/879/2010	NA	2010-05-19	Human	South_Africa	NA	Human_parainfluenza_virus_1	HPIV1
KF530211	HPIV1/USA/33095J/2011	NA	2011-06-24	Human	USA	NA	Human_parainfluenza_virus_1	HPIV1
KF530214	HPIV1/ZAF/2614/2010	NA	2010-08-13	Human	South_Africa	NA	Human_parainfluenza_virus_1	HPIV1
JQ901993	HPIV1/WI/629_D02130/2009	NA	2009-10-06	Human	USA	NA	Human_respirovirus_1	HPIV1
JQ901998	HPIV1/WI/629_D00387/2009	NA	2009-10-22	Human	USA	NA	Human_respirovirus_1	HPIV1
MK167033	HPIV1/Seattle/USA/5T5/2005-XX-XX	NA	2005-XX-XX	Human	USA	NA	Human_respirovirus_1	HPIV1
JQ901996	HPIV1/WI/629_D01164/2009	NA	2009-10-20	Human	USA	NA	Human_respirovirus_1	HPIV1
JQ902010	HPIV1/WI/629_D02071/2010	NA	2010-03-02	Human	USA	NA	Human_respirovirus_1	HPIV1
KY674966	HPIV1/Seattle/USA/12O3/2016-XX-XX	NA	2016-XX-XX	Human	USA	NA	Human_respirovirus_1	HPIV1
JQ901999	HPIV1/WI/629_D02143/2009	NA	2009-10-24	Human	USA	NA	Human_respirovirus_1	HPIV1
JQ902000	HPIV1/WI/629_D01463/2009	NA	2009-11-07	Human	USA	NA	Human_respirovirus_1	HPIV1
MT232426	2019AZ	NA	2019-11-XX	Human	USA	NA	Human_respirovirus_1	HPIV1
KY967354	HPIV1/Seattle/USA/10D6/2015-XX-XX	NA	2015-XX-XX	Human	USA	NA	Human_respirovirus_1	HPIV1
JQ901992	HPIV1/WI/629_D01202/2009	NA	2009-10-06	Human	USA	NA	Human_respirovirus_1	HPIV1
JQ901986	HPIV1/WI/629_D01681/2009	NA	2009-09-29	Human	USA	NA	Human_respirovirus_1	HPIV1
JQ902001	HPIV1/WI/629_D01790/2009	NA	2009-11-07	Human	USA	NA	Human_respirovirus_1	HPIV1
KY674967	HPIV1/Seattle/USA/12S10/2016-XX-XX	NA	2016-XX-XX	Human	USA	NA	Human_respirovirus_1	HPIV1
KY674973	HPIV1/Seattle/USA/16A6/2016-XX-XX	NA	2016-XX-XX	Human	USA	NA	Human_respirovirus_1	HPIV1
MK167043	HPIV1/Los_Angeles/USA/CHLA36/2016-XX-XX	NA	2016-XX-XX	Human	USA	NA	Human_respirovirus_1	HPIV1
JQ902008	HPIV1/WI/629_D01774/2009	NA	2009-10-03	Human	USA	NA	Human_respirovirus_1	HPIV1
LC720862	PIV1_Fukushima_O81_2018-XX-XX	NA	2018-XX-XX	Human	Japan	NA	Human_respirovirus_1	HPIV1
MH828705	vzhpiv13	NA	2015-03-31	Human	Viet_Nam	NA	Human_respirovirus_1	HPIV1
MG773273	HPIV1/BuenosAires/ARG/001/2016	NA	2016-04-27	Human	Argentina	NA	Human_respirovirus_1	HPIV1
JQ902005	HPIV1/WI/629_D02209/2009	NA	2009-11-30	Human	USA	NA	Human_respirovirus_1	HPIV1
LC654457	NIID_79081_1_2019	NA	2017-11-29	Human	USA	NA	Human_respirovirus_1	HPIV1
JQ901988	HPIV1/WI/629_D01662/2009	NA	2009-09-29	Human	USA	NA	Human_respirovirus_1	HPIV1
JQ901989	HPIV1/WI/629_D00712/2009	NA	2009-10-02	Human	USA	NA	Human_respirovirus_1	HPIV1
JQ901991	HPIV1/WI/629_D01150/2009	NA	2009-10-06	Human	USA	NA	Human_respirovirus_1	HPIV1
JQ901990	HPIV1/WI/629_D02161/2009	NA	2009-10-03	Human	USA	NA	Human_respirovirus_1	HPIV1
MH828706	vzhpiv14	NA	2014-10-16	Human	Viet_Nam	NA	Human_respirovirus_1	HPIV1
