strain	strain_name	segment	date	host	country	subtype	virus_species	hpiv_subtype
KJ672565	HPIV3/Homo_sapiens/PER/FLU7204/2007	NA	2007-07-09	Human	Peru	NA	Human_parainfluenza_virus_3	HPIV3
KJ672596	HPIV3/Homo_sapiens/PER/FLU7236/2007	NA	2007-07-09	Human	Peru	NA	Human_parainfluenza_virus_3	HPIV3
KJ672527	HPIV3/Homo_sapiens/PER/FLU7965/2007	NA	2007-08-25	Human	Peru	NA	Human_parainfluenza_virus_3	HPIV3
KJ672539	HPIV3/Homo_sapiens/PER/FLU8586/2007	NA	2007-09-17	Human	Peru	NA	Human_parainfluenza_virus_3	HPIV3
KJ672576	HPIV3/Homo_sapiens/PER/FLU8361/2007	NA	2007-09-23	Human	Peru	NA	Human_parainfluenza_virus_3	HPIV3
KJ672607	HPIV3/Homo_sapiens/PER/FLU8364/2007	NA	2007-09-23	Human	Peru	NA	Human_parainfluenza_virus_3	HPIV3
KJ672610	HPIV3/Homo_sapiens/PER/FLU8594/2007	NA	2007-09-27	Human	Peru	NA	Human_parainfluenza_virus_3	HPIV3
KJ672606	HPIV3/Homo_sapiens/PER/FLU8652/2007	NA	2007-10-02	Human	Peru	NA	Human_parainfluenza_virus_3	HPIV3
KJ672612	HPIV3/Homo_sapiens/PER/FLU8666/2007	NA	2007-10-06	Human	Peru	NA	Human_parainfluenza_virus_3	HPIV3
KJ672546	HPIV3/Homo_sapiens/PER/FLU8917/2007	NA	2007-10-15	Human	Peru	NA	Human_parainfluenza_virus_3	HPIV3
KJ672616	HPIV3/Homo_sapiens/PER/FLU8925/2007	NA	2007-10-17	Human	Peru	NA	Human_parainfluenza_virus_3	HPIV3
KJ672604	HPIV3/Homo_sapiens/PER/FLU8889/2007	NA	2007-10-26	Human	Peru	NA	Human_parainfluenza_virus_3	HPIV3
KJ672532	HPIV3/Homo_sapiens/PER/FLU9187/2007	NA	2007-10-31	Human	Peru	NA	Human_parainfluenza_virus_3	HPIV3
KJ672615	HPIV3/Homo_sapiens/PER/FLA3621/2008	NA	2008-08-12	Human	Peru	NA	Human_parainfluenza_virus_3	HPIV3
KJ672556	HPIV3/Homo_sapiens/PER/FLA4224/2008	NA	2008-09-04	Human	Peru	NA	Human_parainfluenza_virus_3	HPIV3
KJ672551	HPIV3/Homo_sapiens/PER/FLA4052/2008	NA	2008-09-10	Human	Peru	NA	Human_parainfluenza_virus_3	HPIV3
KJ672597	HPIV3/Homo_sapiens/PER/FLA4215/2008	NA	2008-09-27	Human	Peru	NA	Human_parainfluenza_virus_3	HPIV3
KJ672547	HPIV3/Homo_sapiens/PER/FLA4275/2008	NA	2008-10-02	Human	Peru	NA	Human_parainfluenza_virus_3	HPIV3
KJ672534	HPIV3/Homo_sapiens/PER/FLA4284/2008	NA	2008-10-15	Human	Peru	NA	Human_parainfluenza_virus_3	HPIV3
KJ672529	HPIV3/Homo_sapiens/PER/FLA4571/2008	NA	2008-10-31	Human	Peru	NA	Human_parainfluenza_virus_3	HPIV3
KJ672601	HPIV3/Homo_sapiens/PER/FLA4815/2008	NA	2008-11-30	Human	Peru	NA	Human_parainfluenza_virus_3	HPIV3
KJ672573	HPIV3/Homo_sapiens/PER/FLA4876/2008	NA	2008-12-10	Human	Peru	NA	Human_parainfluenza_virus_3	HPIV3
KJ672603	HPIV3/Homo_sapiens/PER/FLA5080/2008	NA	2008-12-18	Human	Peru	NA	Human_parainfluenza_virus_3	HPIV3
KJ672560	HPIV3/Homo_sapiens/PER/FLA5162/2009	NA	2009-01-05	Human	Peru	NA	Human_parainfluenza_virus_3	HPIV3
KJ672550	HPIV3/Homo_sapiens/PER/FLA5339/2009	NA	2009-01-14	Human	Peru	NA	Human_parainfluenza_virus_3	HPIV3
KJ672588	HPIV3/Homo_sapiens/PER/FLA5350/2009	NA	2009-01-18	Human	Peru	NA	Human_parainfluenza_virus_3	HPIV3
KJ672572	HPIV3/Homo_sapiens/PER/FLA5976/2009	NA	2009-01-28	Human	Peru	NA	Human_parainfluenza_virus_3	HPIV3
KJ672530	HPIV3/Homo_sapiens/PER/FLA6024/2009	NA	2009-02-10	Human	Peru	NA	Human_parainfluenza_virus_3	HPIV3
KJ672562	HPIV3/Homo_sapiens/PER/FLA6503/2009	NA	2009-03-25	Human	Peru	NA	Human_parainfluenza_virus_3	HPIV3
KJ672528	HPIV3/Homo_sapiens/PER/FLA6504/2009	NA	2009-03-25	Human	Peru	NA	Human_parainfluenza_virus_3	HPIV3
KJ672594	HPIV3/Homo_sapiens/PER/FLA6722/2009	NA	2009-04-11	Human	Peru	NA	Human_parainfluenza_virus_3	HPIV3
KJ672600	HPIV3/Homo_sapiens/PER/FLA7405/2009	NA	2009-04-22	Human	Peru	NA	Human_parainfluenza_virus_3	HPIV3
KJ672538	HPIV3/Homo_sapiens/PER/FLA7452/2009	NA	2009-05-14	Human	Peru	NA	Human_parainfluenza_virus_3	HPIV3
KJ672545	HPIV3/Homo_sapiens/PER/FLA7749/2009	NA	2009-05-20	Human	Peru	NA	Human_parainfluenza_virus_3	HPIV3
KJ672540	HPIV3/Homo_sapiens/PER/FLA7653/2009	NA	2009-05-25	Human	Peru	NA	Human_parainfluenza_virus_3	HPIV3
KJ672552	HPIV3/Homo_sapiens/PER/FLA7771/2009	NA	2009-05-25	Human	Peru	NA	Human_parainfluenza_virus_3	HPIV3
KJ672593	HPIV3/Homo_sapiens/PER/FLA7790/2009	NA	2009-06-01	Human	Peru	NA	Human_parainfluenza_virus_3	HPIV3
KJ672558	HPIV3/Homo_sapiens/PER/FLA8253/2009	NA	2009-06-04	Human	Peru	NA	Human_parainfluenza_virus_3	HPIV3
KJ672617	HPIV3/Homo_sapiens/PER/FLE3936/2009	NA	2009-08-12	Human	Peru	NA	Human_parainfluenza_virus_3	HPIV3
KJ672561	HPIV3/Homo_sapiens/PER/FLE4303/2009	NA	2009-08-12	Human	Peru	NA	Human_parainfluenza_virus_3	HPIV3
KJ672605	HPIV3/Homo_sapiens/PER/FLE4204/2009	NA	2009-09-04	Human	Peru	NA	Human_parainfluenza_virus_3	HPIV3
KJ672542	HPIV3/Homo_sapiens/PER/CFI0090/2009	NA	2009-09-21	Human	Peru	NA	Human_parainfluenza_virus_3	HPIV3
KJ672564	HPIV3/Homo_sapiens/PER/FLE6163/2009	NA	2009-10-26	Human	Peru	NA	Human_parainfluenza_virus_3	HPIV3
KJ672578	HPIV3/Homo_sapiens/PER/CFI0033/2009	NA	2009-11-13	Human	Peru	NA	Human_parainfluenza_virus_3	HPIV3
