strain	strain_name	segment	date	host	country	subtype	virus_species	hpiv_subtype
AB641219	HPIVi/Yamagata/2005/2570	NA	2005-11-28	Unknown	Japan	NA	Human_parainfluenza_virus_1	HPIV1
AB641180	HPIVi/Yamagata/2005/1357	NA	2005-06-16	Unknown	Japan	NA	Human_parainfluenza_virus_1	HPIV1
KF530212	HPIV1/USA/38081A/2011	NA	2011-06-24	Human	USA	NA	Human_parainfluenza_virus_1	HPIV1
KF530200	HPIV1/CHE/1110180075/2011	NA	2011-10-18	Human	Switzerland	NA	Human_parainfluenza_virus_1	HPIV1
AB641155	HPIVi/Yamagata/2005/876	NA	2005-04-14	Unknown	Japan	NA	Human_parainfluenza_virus_1	HPIV1
AB641206	HPIVi/Yamagata/2005/1886	NA	2005-08-24	Unknown	Japan	NA	Human_parainfluenza_virus_1	HPIV1
KJ187009	CU284	NA	2012-02-08	Human	Thailand	NA	Human_parainfluenza_virus_1	HPIV1
AB641257	HPIVi/Yamagata/2007/2354	NA	2007-11-19	Unknown	Japan	NA	Human_parainfluenza_virus_1	HPIV1
AB641259	HPIVi/Yamagata/2008/982	NA	2008-05-14	Unknown	Japan	NA	Human_parainfluenza_virus_1	HPIV1
AB641297	HPIVi/Yamagata/2009/2130	NA	2009-09-17	Unknown	Japan	NA	Human_parainfluenza_virus_1	HPIV1
AB641263	HPIVi/Yamagata/2008/2018	NA	2008-10-31	Unknown	Japan	NA	Human_parainfluenza_virus_1	HPIV1
AB641210	HPIVi/Yamagata/2005/2107	NA	2005-09-21	Unknown	Japan	NA	Human_parainfluenza_virus_1	HPIV1
AB641288	HPIVi/Yamagata/2009/1982	NA	2009-09-01	Unknown	Japan	NA	Human_parainfluenza_virus_1	HPIV1
JQ268814	FLU9942	NA	2007-12-XX	Human	Peru	NA	Human_parainfluenza_virus_1	HPIV1
AB641279	HPIVi/Yamagata/2009/1626	NA	2009-07-16	Unknown	Japan	NA	Human_parainfluenza_virus_1	HPIV1
AB641226	HPIVi/Yamagata/2006/305	NA	2006-01-30	Unknown	Japan	NA	Human_parainfluenza_virus_1	HPIV1
AB641242	HPIVi/Yamagata/2007/1562	NA	2007-07-17	Unknown	Japan	NA	Human_parainfluenza_virus_1	HPIV1
AB641134	HPIVi/Yamagata/2003/1122	NA	2003-04-02	Unknown	Japan	NA	Human_parainfluenza_virus_1	HPIV1
AB641176	HPIVi/Yamagata/2005/1335	NA	2005-06-09	Unknown	Japan	NA	Human_parainfluenza_virus_1	HPIV1
AB641148	HPIVi/Yamagata/2004/1279	NA	2004-07-22	Unknown	Japan	NA	Human_parainfluenza_virus_1	HPIV1
AB641255	HPIVi/Yamagata/2007/2227	NA	2007-11-05	Unknown	Japan	NA	Human_parainfluenza_virus_1	HPIV1
AB641137	HPIVi/Yamagata/2003/1446	NA	2003-05-07	Unknown	Japan	NA	Human_parainfluenza_virus_1	HPIV1
AB641304	HPIVi/Yamagata/2009/2241	NA	2009-10-02	Unknown	Japan	NA	Human_parainfluenza_virus_1	HPIV1
AB641133	HPIVi/Yamagata/2002/1565	NA	2002-06-01	Unknown	Japan	NA	Human_parainfluenza_virus_1	HPIV1
AB641247	HPIVi/Yamagata/2007/1662	NA	2007-07-31	Unknown	Japan	NA	Human_parainfluenza_virus_1	HPIV1
AB641236	HPIVi/Yamagata/2006/1484	NA	2006-06-06	Unknown	Japan	NA	Human_parainfluenza_virus_1	HPIV1
AB641204	HPIVi/Yamagata/2005/1849	NA	2005-08-17	Unknown	Japan	NA	Human_parainfluenza_virus_1	HPIV1
KT336351	HPIV1i/Zagreb.HR/51.11_19282_	NA	2011-12-20	Human	Croatia	NA	Human_parainfluenza_virus_1	HPIV1
AB641187	HPIVi/Yamagata/2005/1501	NA	2005-07-05	Unknown	Japan	NA	Human_parainfluenza_virus_1	HPIV1
AB641144	HPIVi/Yamagata/2003/2066	NA	2003-07-24	Unknown	Japan	NA	Human_parainfluenza_virus_1	HPIV1
AB641162	HPIVi/Yamagata/2005/1109	NA	2005-05-16	Unknown	Japan	NA	Human_parainfluenza_virus_1	HPIV1
AB641260	HPIVi/Yamagata/2008/1154	NA	2008-05-26	Unknown	Japan	NA	Human_parainfluenza_virus_1	HPIV1
JQ268815	FLI3948	NA	2006-07-XX	Human	Peru	NA	Human_parainfluenza_virus_1	HPIV1
AB641299	HPIVi/Yamagata/2009/2141	NA	2009-09-24	Unknown	Japan	NA	Human_parainfluenza_virus_1	HPIV1
AB897869	HPIV1/Ehime/2012/1	NA	2012-04-11	Human	Japan	NA	Human_parainfluenza_virus_1	HPIV1
KF530205	HPIV1/AUS/57/2007-XX-XX	NA	2007-XX-XX	Human	Australia	NA	Human_parainfluenza_virus_1	HPIV1
KU050088	HPIV1s/Zagreb.HR/48.11_18494_	NA	2011-12-02	Human	Croatia	NA	Human_parainfluenza_virus_1	HPIV1
AB641214	HPIVi/Yamagata/2005/2227	NA	2005-10-12	Unknown	Japan	NA	Human_parainfluenza_virus_1	HPIV1
KU050094	HPIV1s/Zagreb.HR/47.13_1712_	NA	2013-11-21	Human	Croatia	NA	Human_parainfluenza_virus_1	HPIV1
KT992806	HPIV1s/Zagreb.HR/47.13_1712_	NA	2013-11-21	Human	Croatia	NA	Human_parainfluenza_virus_1	HPIV1
AB641151	HPIVi/Yamagata/2004/1907	NA	2004-10-25	Unknown	Japan	NA	Human_parainfluenza_virus_1	HPIV1
JQ268818	FLI3880	NA	2006-06-XX	Human	Peru	NA	Human_parainfluenza_virus_1	HPIV1
AB641196	HPIVi/Yamagata/2005/1684	NA	2005-07-25	Unknown	Japan	NA	Human_parainfluenza_virus_1	HPIV1
AB641179	HPIVi/Yamagata/2005/1356	NA	2005-06-16	Unknown	Japan	NA	Human_parainfluenza_virus_1	HPIV1
AB641202	HPIVi/Yamagata/2005/1789	NA	2005-08-08	Unknown	Japan	NA	Human_parainfluenza_virus_1	HPIV1
AB641234	HPIVi/Yamagata/2006/1093	NA	2006-04-26	Unknown	Japan	NA	Human_parainfluenza_virus_1	HPIV1
AB641268	HPIVi/Yamagata/2009/1336	NA	2009-05-28	Unknown	Japan	NA	Human_parainfluenza_virus_1	HPIV1
AB641140	HPIVi/Yamagata/2003/1644	NA	2003-05-28	Unknown	Japan	NA	Human_parainfluenza_virus_1	HPIV1
AB853067	K22_PIV1	NA	2012-XX-XX	Human	Japan	NA	Human_parainfluenza_virus_1	HPIV1
AB641277	HPIVi/Yamagata/2009/1622	NA	2009-07-14	Unknown	Japan	NA	Human_parainfluenza_virus_1	HPIV1
KF687313	HPIV1/FRA/29221106/2009	NA	2009-05-25	Human	France	NA	Human_parainfluenza_virus_1	HPIV1
KT336336	HPIV1i/Zagreb.HR/48.11_18494_	NA	2011-12-02	Human	Croatia	NA	Human_parainfluenza_virus_1	HPIV1
AB641269	HPIVi/Yamagata/2009/1346	NA	2009-06-02	Unknown	Japan	NA	Human_parainfluenza_virus_1	HPIV1
AB641256	HPIVi/Yamagata/2007/2274	NA	2007-11-09	Unknown	Japan	NA	Human_parainfluenza_virus_1	HPIV1
AB641169	HPIVi/Yamagata/2005/1217	NA	2005-05-31	Unknown	Japan	NA	Human_parainfluenza_virus_1	HPIV1
JQ268826	FLA9034	NA	2009-06-XX	Human	Nicaragua	NA	Human_parainfluenza_virus_1	HPIV1
AB641212	HPIVi/Yamagata/2005/2144	NA	2005-09-27	Unknown	Japan	NA	Human_parainfluenza_virus_1	HPIV1
AB641258	HPIVi/Yamagata/2008/413	NA	2008-02-20	Unknown	Japan	NA	Human_parainfluenza_virus_1	HPIV1
AB641154	HPIVi/Yamagata/2005/875	NA	2005-04-14	Unknown	Japan	NA	Human_parainfluenza_virus_1	HPIV1
KT336339	HPIV1i/Zagreb.HR/51.11_19355_	NA	2011-12-21	Human	Croatia	NA	Human_parainfluenza_virus_1	HPIV1
AB641280	HPIVi/Yamagata/2009/1653	NA	2009-07-21	Unknown	Japan	NA	Human_parainfluenza_virus_1	HPIV1
AB641211	HPIVi/Yamagata/2005/2139	NA	2005-09-27	Unknown	Japan	NA	Human_parainfluenza_virus_1	HPIV1
JQ268824	FLI2490	NA	2010-06-XX	Human	Nicaragua	NA	Human_parainfluenza_virus_1	HPIV1
KF530203	HPIV1/USA/38078A/2011	NA	2011-06-03	Human	USA	NA	Human_parainfluenza_virus_1	HPIV1
KT336352	HPIV1i/Zagreb.HR/41.11_15416_	NA	2011-10-10	Human	Croatia	NA	Human_parainfluenza_virus_1	HPIV1
AB641231	HPIVi/Yamagata/2006/587	NA	2006-02-28	Unknown	Japan	NA	Human_parainfluenza_virus_1	HPIV1
AB641150	HPIVi/Yamagata/2004/1773	NA	2004-10-06	Unknown	Japan	NA	Human_parainfluenza_virus_1	HPIV1
KF530220	HPIV1/MEX/1842/2005	NA	2005-10-19	Human	Mexico	NA	Human_parainfluenza_virus_1	HPIV1
AB641235	HPIVi/Yamagata/2006/1116	NA	2006-04-28	Unknown	Japan	NA	Human_parainfluenza_virus_1	HPIV1
AB641272	HPIVi/Yamagata/2009/1442	NA	2009-06-16	Unknown	Japan	NA	Human_parainfluenza_virus_1	HPIV1
AB641251	HPIVi/Yamagata/2007/2072	NA	2007-10-15	Unknown	Japan	NA	Human_parainfluenza_virus_1	HPIV1
KT992802	HPIV1s/Zagreb.HR/8.12_2000_	NA	2012-02-22	Human	Croatia	NA	Human_parainfluenza_virus_1	HPIV1
KU050090	HPIV1s/Zagreb.HR/8.12_2000_	NA	2012-02-22	Human	Croatia	NA	Human_parainfluenza_virus_1	HPIV1
JQ268837	FLE5798	NA	2009-08-XX	Human	Ecuador	NA	Human_parainfluenza_virus_1	HPIV1
KF530223	HPIV1/FRA/29212070/2009	NA	2009-05-19	Human	France	NA	Human_parainfluenza_virus_1	HPIV1
AB641311	HPIVi/Yamagata/2009/2531	NA	2009-11-04	Unknown	Japan	NA	Human_parainfluenza_virus_1	HPIV1
KT336338	HPIV1i/Zagreb.HR/50.11_19069_	NA	2011-12-16	Human	Croatia	NA	Human_parainfluenza_virus_1	HPIV1
AB641216	HPIVi/Yamagata/2005/2395	NA	2005-11-02	Unknown	Japan	NA	Human_parainfluenza_virus_1	HPIV1
KF530222	HPIV1/CHE/1109273044/2011	NA	2011-09-27	Human	Switzerland	NA	Human_parainfluenza_virus_1	HPIV1
AB641306	HPIVi/Yamagata/2009/2250	NA	2009-10-03	Unknown	Japan	NA	Human_parainfluenza_virus_1	HPIV1
JQ268811	CFI0414	NA	2010-07-XX	Human	Peru	NA	Human_parainfluenza_virus_1	HPIV1
AB641223	HPIVi/Yamagata/2005/2702	NA	2005-12-09	Unknown	Japan	NA	Human_parainfluenza_virus_1	HPIV1
AB641181	HPIVi/Yamagata/2005/1388	NA	2005-06-21	Unknown	Japan	NA	Human_parainfluenza_virus_1	HPIV1
KX570602	AR001	NA	2015-09-19	Human	USA	NA	Human_parainfluenza_virus_1	HPIV1
AB641141	HPIVi/Yamagata/2003/1665	NA	2003-06-04	Unknown	Japan	NA	Human_parainfluenza_virus_1	HPIV1
JQ268828	FLA3233	NA	2008-07-XX	Human	Peru	NA	Human_parainfluenza_virus_1	HPIV1
AB641254	HPIVi/Yamagata/2007/2211	NA	2007-11-06	Unknown	Japan	NA	Human_parainfluenza_virus_1	HPIV1
JQ268822	FLA1092	NA	2008-03-XX	Human	Peru	NA	Human_parainfluenza_virus_1	HPIV1
KF530213	HPIV1/USA/35686C/2011	NA	2011-10-13	Human	USA	NA	Human_parainfluenza_virus_1	HPIV1
KT336341	HPIV1i/Zagreb.HR/3.12_1020_	NA	2012-01-20	Human	Croatia	NA	Human_parainfluenza_virus_1	HPIV1
AB641138	HPIVi/Yamagata/2003/1521	NA	2003-05-14	Unknown	Japan	NA	Human_parainfluenza_virus_1	HPIV1
AB641153	HPIVi/Yamagata/2005/865	NA	2005-04-12	Unknown	Japan	NA	Human_parainfluenza_virus_1	HPIV1
AB641178	HPIVi/Yamagata/2005/1346	NA	2005-06-15	Unknown	Japan	NA	Human_parainfluenza_virus_1	HPIV1
AB641166	HPIVi/Yamagata/2005/1173	NA	2005-05-25	Unknown	Japan	NA	Human_parainfluenza_virus_1	HPIV1
AB641217	HPIVi/Yamagata/2005/2405	NA	2005-11-04	Unknown	Japan	NA	Human_parainfluenza_virus_1	HPIV1
AB641287	HPIVi/Yamagata/2009/1972	NA	2009-09-01	Unknown	Japan	NA	Human_parainfluenza_virus_1	HPIV1
KT336347	HPIV1i/Zagreb.HR/47.13_1712_	NA	2013-11-21	Human	Croatia	NA	Human_parainfluenza_virus_1	HPIV1
AB641237	HPIVi/Yamagata/2006/3027	NA	2006-12-08	Unknown	Japan	NA	Human_parainfluenza_virus_1	HPIV1
JQ268808	CFI0672	NA	2010-09-XX	Human	Peru	NA	Human_parainfluenza_virus_1	HPIV1
KF687312	HPIV1/FRA/27344044/2007	NA	2007-08-23	Human	France	NA	Human_parainfluenza_virus_1	HPIV1
AB897875	HPIV1/Ehime/2012/14	NA	2012-04-16	Human	Japan	NA	Human_parainfluenza_virus_1	HPIV1
AB641145	HPIVi/Yamagata/2003/2101	NA	2003-07-28	Unknown	Japan	NA	Human_parainfluenza_virus_1	HPIV1
AB641205	HPIVi/Yamagata/2005/1863	NA	2005-08-24	Unknown	Japan	NA	Human_parainfluenza_virus_1	HPIV1
AB641139	HPIVi/Yamagata/2003/1523	NA	2003-05-15	Unknown	Japan	NA	Human_parainfluenza_virus_1	HPIV1
KF687309	HPIV1/MEX/447/2003	NA	2003-09-04	Human	Mexico	NA	Human_parainfluenza_virus_1	HPIV1
KT992798	HPIV1s/Zagreb.HR/42.11_16046_	NA	2011-10-21	Human	Croatia	NA	Human_parainfluenza_virus_1	HPIV1
KU050085	HPIV1s/Zagreb.HR/42.11_16046_	NA	2011-10-21	Human	Croatia	NA	Human_parainfluenza_virus_1	HPIV1
AB641200	HPIVi/Yamagata/2005/1771	NA	2005-08-08	Unknown	Japan	NA	Human_parainfluenza_virus_1	HPIV1
AB641167	HPIVi/Yamagata/2005/1175	NA	2005-05-25	Unknown	Japan	NA	Human_parainfluenza_virus_1	HPIV1
KF530199	HPIV1/ZAF/3267/2010-XX-XX	NA	2010-XX-XX	Human	South_Africa	NA	Human_parainfluenza_virus_1	HPIV1
AB641244	HPIVi/Yamagata/2007/1599	NA	2007-07-25	Unknown	Japan	NA	Human_parainfluenza_virus_1	HPIV1
KT336342	HPIV1i/Zagreb.HR/3.12_1022_	NA	2012-01-22	Human	Croatia	NA	Human_parainfluenza_virus_1	HPIV1
KF530195	HPIV1/ZAF/2754/2010	NA	2010-08-25	Human	South_Africa	NA	Human_parainfluenza_virus_1	HPIV1
AB641194	HPIVi/Yamagata/2005/1641	NA	2005-07-19	Unknown	Japan	NA	Human_parainfluenza_virus_1	HPIV1
AB641142	HPIVi/Yamagata/2003/1764	NA	2003-06-18	Unknown	Japan	NA	Human_parainfluenza_virus_1	HPIV1
KT898920	Pavia/VR9348/2007	NA	2007-10-XX	Human	Italy	NA	Human_parainfluenza_virus_1	HPIV1
AB641185	HPIVi/Yamagata/2005/1498	NA	2005-07-05	Unknown	Japan	NA	Human_parainfluenza_virus_1	HPIV1
KF530210	HPIV1/FRA/31202043/2011	NA	2011-05-17	Human	France	NA	Human_parainfluenza_virus_1	HPIV1
AB641253	HPIVi/Yamagata/2007/2187	NA	2007-10-31	Unknown	Japan	NA	Human_parainfluenza_virus_1	HPIV1
KF530201	HPIV1/FRA/29171082/2009	NA	2009-04-20	Human	France	NA	Human_parainfluenza_virus_1	HPIV1
AB641164	HPIVi/Yamagata/2005/1153	NA	2005-05-21	Unknown	Japan	NA	Human_parainfluenza_virus_1	HPIV1
AB641238	HPIVi/Yamagata/2007/400	NA	2007-02-14	Unknown	Japan	NA	Human_parainfluenza_virus_1	HPIV1
AB641284	HPIVi/Yamagata/2009/1681	NA	2009-07-24	Unknown	Japan	NA	Human_parainfluenza_virus_1	HPIV1
JQ268830	FLA3538	NA	2008-07-XX	Human	Peru	NA	Human_parainfluenza_virus_1	HPIV1
AB641193	HPIVi/Yamagata/2005/1630	NA	2005-07-16	Unknown	Japan	NA	Human_parainfluenza_virus_1	HPIV1
AB641135	HPIVi/Yamagata/2003/1323	NA	2003-04-19	Unknown	Japan	NA	Human_parainfluenza_virus_1	HPIV1
AB641197	HPIVi/Yamagata/2005/1686	NA	2005-07-25	Unknown	Japan	NA	Human_parainfluenza_virus_1	HPIV1
JQ268804	FLU7079	NA	2007-04-XX	Human	Colombia	NA	Human_parainfluenza_virus_1	HPIV1
KT992799	HPIV1s/Zagreb.HR/47.11_18133_	NA	2011-10-27	Human	Croatia	NA	Human_parainfluenza_virus_1	HPIV1
KU050086	HPIV1s/Zagreb.HR/47.11_18133_	NA	2011-10-27	Human	Croatia	NA	Human_parainfluenza_virus_1	HPIV1
KF687307	HPIV1/USA/629_D00712/2009	NA	2009-10-02	Human	USA	NA	Human_parainfluenza_virus_1	HPIV1
AB641275	HPIVi/Yamagata/2009/1573	NA	2009-07-08	Unknown	Japan	NA	Human_parainfluenza_virus_1	HPIV1
KT992807	HPIV1s/Zagreb.HR/50.13_1833_	NA	2013-12-10	Human	Croatia	NA	Human_parainfluenza_virus_1	HPIV1
KU050095	HPIV1s/Zagreb.HR/50.13_1833_	NA	2013-12-10	Human	Croatia	NA	Human_parainfluenza_virus_1	HPIV1
AB641227	HPIVi/Yamagata/2006/360	NA	2006-02-08	Unknown	Japan	NA	Human_parainfluenza_virus_1	HPIV1
KF530202	HPIV1/USA/629_2/2009-XX-XX	NA	2009-XX-XX	Human	USA	NA	Human_parainfluenza_virus_1	HPIV1
JQ268825	FLE0909	NA	2009-05-XX	Human	Honduras	NA	Human_parainfluenza_virus_1	HPIV1
JQ268827	FLI3456	NA	2010-08-XX	Human	Peru	NA	Human_parainfluenza_virus_1	HPIV1
KF687316	HPIV1/USA/35745H/2011	NA	2011-10-12	Human	USA	NA	Human_parainfluenza_virus_1	HPIV1
KF687314	HPIV1/FRA/30384043/2010	NA	2010-09-23	Human	France	NA	Human_parainfluenza_virus_1	HPIV1
AB897872	HPIV1/Ehime/2012/6	NA	2012-04-16	Human	Japan	NA	Human_parainfluenza_virus_1	HPIV1
KF687308	HPIV1/USA/629_D02161/2009	NA	2009-10-03	Human	USA	NA	Human_parainfluenza_virus_1	HPIV1
AB641225	HPIVi/Yamagata/2006/161	NA	2006-01-17	Unknown	Japan	NA	Human_parainfluenza_virus_1	HPIV1
JQ268832	FLA0012	NA	2007-12-XX	Human	Peru	NA	Human_parainfluenza_virus_1	HPIV1
KT336346	HPIV1i/Zagreb.HR/46.13_1638_	NA	2013-11-13	Human	Croatia	NA	Human_parainfluenza_virus_1	HPIV1
AB641175	HPIVi/Yamagata/2005/1328	NA	2005-06-13	Unknown	Japan	NA	Human_parainfluenza_virus_1	HPIV1
KT992801	HPIV1s/Zagreb.HR/3.12_1022_	NA	2012-01-22	Human	Croatia	NA	Human_parainfluenza_virus_1	HPIV1
JQ268812	FLE0905	NA	2009-05-XX	Human	Honduras	NA	Human_parainfluenza_virus_1	HPIV1
AB641283	HPIVi/Yamagata/2009/1674	NA	2009-07-29	Unknown	Japan	NA	Human_parainfluenza_virus_1	HPIV1
JQ268819	FLA8958	NA	2009-06-XX	Human	Nicaragua	NA	Human_parainfluenza_virus_1	HPIV1
JQ268820	FLI1783	NA	2010-06-XX	Human	Peru	NA	Human_parainfluenza_virus_1	HPIV1
JQ268806	CFI0450	NA	2010-07-XX	Human	Peru	NA	Human_parainfluenza_virus_1	HPIV1
KT336333	HPIV1i/Zagreb.HR/42.11_16046_	NA	2011-10-21	Human	Croatia	NA	Human_parainfluenza_virus_1	HPIV1
AB641298	HPIVi/Yamagata/2009/2131	NA	2009-09-17	Unknown	Japan	NA	Human_parainfluenza_virus_1	HPIV1
KF530198	HPIV1/MEX/495/2003	NA	2003-10-03	Human	Mexico	NA	Human_parainfluenza_virus_1	HPIV1
AB641313	HPIVi/Yamagata/2009/2581	NA	2009-10-30	Unknown	Japan	NA	Human_parainfluenza_virus_1	HPIV1
AB641240	HPIVi/Yamagata/2007/1437	NA	2007-07-04	Unknown	Japan	NA	Human_parainfluenza_virus_1	HPIV1
AB641241	HPIVi/Yamagata/2007/1477	NA	2007-07-05	Unknown	Japan	NA	Human_parainfluenza_virus_1	HPIV1
AB641248	HPIVi/Yamagata/2007/1759	NA	2007-08-16	Unknown	Japan	NA	Human_parainfluenza_virus_1	HPIV1
AB641305	HPIVi/Yamagata/2009/2247	NA	2009-10-03	Unknown	Japan	NA	Human_parainfluenza_virus_1	HPIV1
JQ268835	FLI1872	NA	2010-07-XX	Human	Peru	NA	Human_parainfluenza_virus_1	HPIV1
KU050089	HPIV1s/Zagreb.HR/51.11_19355_	NA	2011-12-21	Human	Croatia	NA	Human_parainfluenza_virus_1	HPIV1
AB641245	HPIVi/Yamagata/2007/1645	NA	2007-08-01	Unknown	Japan	NA	Human_parainfluenza_virus_1	HPIV1
KT336337	HPIV1i/Zagreb.HR/49.11_18789_	NA	2011-12-11	Human	Croatia	NA	Human_parainfluenza_virus_1	HPIV1
AB641301	HPIVi/Yamagata/2009/2145	NA	2009-09-24	Unknown	Japan	NA	Human_parainfluenza_virus_1	HPIV1
AB641213	HPIVi/Yamagata/2005/2225	NA	2005-10-11	Unknown	Japan	NA	Human_parainfluenza_virus_1	HPIV1
KT336348	HPIV1i/Zagreb.HR/3.14_65_	NA	2014-01-15	Human	Croatia	NA	Human_parainfluenza_virus_1	HPIV1
