strain	strain_name	segment	date	host	country	subtype	virus_species	hpiv_subtype
KF530207	HPIV1/MEX/482/2003	NA	2003-09-26	Human	Mexico	NA	Human_parainfluenza_virus_1	HPIV1
KF530217	HPIV1/MEX/1521/2005	NA	2005-02-10	Human	Mexico	NA	Human_parainfluenza_virus_1	HPIV1
KF530197	HPIV1/FRA/29342077/2009	NA	2009-08-18	Human	France	NA	Human_parainfluenza_virus_1	HPIV1
KF530205	HPIV1/AUS/57/2007-XX-XX	NA	2007-XX-XX	Human	Australia	NA	Human_parainfluenza_virus_1	HPIV1
KF687313	HPIV1/FRA/29221106/2009	NA	2009-05-25	Human	France	NA	Human_parainfluenza_virus_1	HPIV1
KF530220	HPIV1/MEX/1842/2005	NA	2005-10-19	Human	Mexico	NA	Human_parainfluenza_virus_1	HPIV1
KF530223	HPIV1/FRA/29212070/2009	NA	2009-05-19	Human	France	NA	Human_parainfluenza_virus_1	HPIV1
KF530222	HPIV1/CHE/1109273044/2011	NA	2011-09-27	Human	Switzerland	NA	Human_parainfluenza_virus_1	HPIV1
KF687312	HPIV1/FRA/27344044/2007	NA	2007-08-23	Human	France	NA	Human_parainfluenza_virus_1	HPIV1
KF687309	HPIV1/MEX/447/2003	NA	2003-09-04	Human	Mexico	NA	Human_parainfluenza_virus_1	HPIV1
KF530202	HPIV1/USA/629_2/2009-XX-XX	NA	2009-XX-XX	Human	USA	NA	Human_parainfluenza_virus_1	HPIV1
KF530198	HPIV1/MEX/495/2003	NA	2003-10-03	Human	Mexico	NA	Human_parainfluenza_virus_1	HPIV1
KF530206	HPIV1/ARG/16482/2008-XX-XX	NA	2008-XX-XX	Human	Argentina	NA	Human_parainfluenza_virus_1	HPIV1
KF530215	HPIV1/FRA/27343049/2007	NA	2007-08-22	Human	France	NA	Human_parainfluenza_virus_1	HPIV1
KF530204	HPIV1/ZAF/2530/2008	NA	2008-08-26	Human	South_Africa	NA	Human_parainfluenza_virus_1	HPIV1
KF530196	HPIV1/MEX/3040/2006	NA	2006-10-31	Human	Mexico	NA	Human_parainfluenza_virus_1	HPIV1
KF687310	HPIV1/AUS/54/2007-XX-XX	NA	2007-XX-XX	Human	Australia	NA	Human_parainfluenza_virus_1	HPIV1
KM190940	VIROAF9	NA	2012-02-02	Human	Thailand	NA	Human_parainfluenza_virus_1	HPIV1
KF530221	HPIV1/AUS/53/2007-XX-XX	NA	2007-XX-XX	Human	Australia	NA	Human_parainfluenza_virus_1	HPIV1
KF530208	HPIV1/FRA/26503037/2006	NA	2006-12-13	Human	France	NA	Human_parainfluenza_virus_1	HPIV1
MH828707	vzhpiv15	NA	2014-12-01	Human	Viet_Nam	NA	Human_respirovirus_1	HPIV1
MH006617	HPIV1/VietNam/006/2009	NA	2009-11-23	Human	Viet_Nam	NA	Human_respirovirus_1	HPIV1
JQ901983	HPIV1/WI/629_003/2007-XX-XX	NA	2007-XX-XX	Human	USA	NA	Human_respirovirus_1	HPIV1
LC720863	PIV1_Fukushima_O876_2019-XX-XX	NA	2019-XX-XX	Human	Japan	NA	Human_respirovirus_1	HPIV1
JQ901976	HPIV1/WI/629_003/1997	NA	1997-10-16	Human	USA	NA	Human_respirovirus_1	HPIV1
JQ901978	HPIV1/WI/629_008/1997	NA	1997-11-22	Human	USA	NA	Human_respirovirus_1	HPIV1
JQ902002	HPIV1/WI/629_D02072/2009	NA	2009-11-18	Human	USA	NA	Human_respirovirus_1	HPIV1
JQ901982	HPIV1/WI/629_A31/2005	NA	2005-11-09	Human	USA	NA	Human_respirovirus_1	HPIV1
JQ901972	HPIV1/WI/629_002/1997	NA	1997-09-22	Human	USA	NA	Human_respirovirus_1	HPIV1
MK989715	20693_68_HPIV1	NA	2010-06-03	Human	Kenya	NA	Human_respirovirus_1	HPIV1
MH006620	HPIV1/VietNam/063/2010	NA	2010-04-20	Human	Viet_Nam	NA	Human_respirovirus_1	HPIV1
JQ901987	HPIV1/WI/629_D00057/2009	NA	2009-09-29	Human	USA	NA	Human_respirovirus_1	HPIV1
MK167042	HPIV1/Los_Angeles/USA/CHLA45/2017-XX-XX	NA	2017-XX-XX	Human	USA	NA	Human_respirovirus_1	HPIV1
JQ901974	HPIV1/WI/629_005/1997	NA	1997-09-25	Human	USA	NA	Human_respirovirus_1	HPIV1
JQ902006	HPIV1/WI/629_D01250/2009	NA	2009-12-04	Human	USA	NA	Human_respirovirus_1	HPIV1
MH685717	E0_033	NA	2013-XX-XX	Human	Uganda	NA	Human_respirovirus_1	HPIV1
JQ901997	HPIV1/WI/629_D01900/2009	NA	2009-10-21	Human	USA	NA	Human_respirovirus_1	HPIV1
KY967353	HPIV1/Seattle/USA/10F7/2015-XX-XX	NA	2015-XX-XX	Human	USA	NA	Human_respirovirus_1	HPIV1
JQ901981	HPIV1/WI/629_010/1999	NA	1999-03-05	Human	USA	NA	Human_respirovirus_1	HPIV1
JQ901985	HPIV1/WI/629_001/2009-XX-XX	NA	2009-XX-XX	Human	USA	NA	Human_respirovirus_1	HPIV1
MH006618	HPIV1/VietNam/061/2009	NA	2009-06-10	Human	Viet_Nam	NA	Human_respirovirus_1	HPIV1
JQ902003	HPIV1/WI/629_D01145/2009	NA	2009-11-23	Human	USA	NA	Human_respirovirus_1	HPIV1
JQ901973	HPIV1/WI/629_004/1997	NA	1997-09-24	Human	USA	NA	Human_respirovirus_1	HPIV1
JQ901980	HPIV1/WI/629_009/1997	NA	1997-12-03	Human	USA	NA	Human_respirovirus_1	HPIV1
JQ901984	HPIV1/WI/629_030/2007-XX-XX	NA	2007-XX-XX	Human	USA	NA	Human_respirovirus_1	HPIV1
JQ901977	HPIV1/WI/629_006/1997	NA	1997-11-04	Human	USA	NA	Human_respirovirus_1	HPIV1
JQ901979	HPIV1/WI/629_007/1997	NA	1997-11-22	Human	USA	NA	Human_respirovirus_1	HPIV1
MH892404	t146a291_HPIV1	NA	2013-02-05	Human	Netherlands	NA	Human_respirovirus_1	HPIV1
JQ901975	HPIV1/WI/629_001/1997	NA	1997-10-03	Human	USA	NA	Human_respirovirus_1	HPIV1
MH892403	t146a290_HPIV1	NA	2013-10-28	Human	Netherlands	NA	Human_respirovirus_1	HPIV1
