Map from character to field name
A:	American Samoa
B:	Colombia
C:	Fiji
D:	French Polynesia
E:	Honduras
F:	Mexico
G:	New Caledonia
H:	Puerto Rico
I:	Tonga
J:	Venezuela
K:	?


Substitution rate (mu): 475.612618

Equilibrium frequencies (pi_i):
  A: 0.1058
  B: 0.0946
  C: 0.0938
  D: 0.0989
  E: 0.092
  F: 0.1126
  G: 0.1027
  H: 0.1034
  I: 0.1049
  J: 0.0913

Symmetrized rates from j->i (W_ij):
	A	B	C	D	E	F	G	H	I	J
  A	0	0.9791	1.3487	1.4614	0.9765	0.9847	1.0211	0.9946	1.3352	0.974
  B	0.9791	0	0.9849	0.9777	1.0106	1.3375	0.9838	1.1655	0.9786	0.98
  C	1.3487	0.9849	0	1.4829	0.9812	0.9926	1.5458	1.241	1.3156	0.9786
  D	1.4614	0.9777	1.4829	0	0.9753	0.9828	1.469	0.995	0.9757	0.973
  E	0.9765	1.0106	0.9812	0.9753	0	1.5058	0.9799	1.0503	0.976	0.9773
  F	0.9847	1.3375	0.9926	0.9828	1.5058	0	0.9918	1.3765	0.984	1.4791
  G	1.0211	0.9838	1.5458	1.469	0.9799	0.9918	0	1.2476	0.98	0.9771
  H	0.9946	1.1655	1.241	0.995	1.0503	1.3765	1.2476	0	0.9936	0.9933
  I	1.3352	0.9786	1.3156	0.9757	0.976	0.984	0.98	0.9936	0	0.9735
  J	0.974	0.98	0.9786	0.973	0.9773	1.4791	0.9771	0.9933	0.9735	0

Actual rates from j->i (Q_ij):
	A	B	C	D	E	F	G	H	I	J
  A	0	0.1036	0.1427	0.1546	0.1033	0.1042	0.108	0.1052	0.1412	0.103
  B	0.0927	0	0.0932	0.0925	0.0956	0.1266	0.0931	0.1103	0.0926	0.0927
  C	0.1265	0.0924	0	0.1391	0.092	0.0931	0.145	0.1164	0.1234	0.0918
  D	0.1445	0.0967	0.1466	0	0.0964	0.0972	0.1453	0.0984	0.0965	0.0962
  E	0.0899	0.093	0.0903	0.0898	0	0.1386	0.0902	0.0967	0.0898	0.0899
  F	0.1108	0.1505	0.1117	0.1106	0.1695	0	0.1116	0.1549	0.1108	0.1665
  G	0.1048	0.101	0.1587	0.1508	0.1006	0.1018	0	0.1281	0.1006	0.1003
  H	0.1028	0.1205	0.1283	0.1029	0.1086	0.1423	0.129	0	0.1027	0.1027
  I	0.1401	0.1027	0.138	0.1024	0.1024	0.1033	0.1028	0.1043	0	0.1021
  J	0.089	0.0895	0.0894	0.0889	0.0893	0.1351	0.0892	0.0907	0.0889	0
