Map from character to field name
A:	Belize
B:	Brazil
C:	Cambodia
D:	Colombia
E:	Cuba
F:	Dominican Republic
G:	Ecuador
H:	French Guiana
I:	Guadeloupe
J:	Guatemala
K:	Haiti
L:	Martinique
M:	Mexico
N:	Nicaragua
O:	Peru
P:	Puerto Rico
Q:	Saint Kitts
R:	Suriname
S:	Taiwan
T:	Thailand
U:	Usa
V:	Venezuela
W:	Vietnam
X:	?


Substitution rate (mu): 131.366959

Equilibrium frequencies (pi_i):
  A: 0.0442
  B: 0.0449
  C: 0.0449
  D: 0.0394
  E: 0.0433
  F: 0.0401
  G: 0.0465
  H: 0.0396
  I: 0.046
  J: 0.0452
  K: 0.0442
  L: 0.0426
  M: 0.0441
  N: 0.05
  O: 0.0451
  P: 0.0266
  Q: 0.0427
  R: 0.044
  S: 0.0444
  T: 0.0433
  U: 0.0476
  V: 0.0445
  W: 0.0467

Symmetrized rates from j->i (W_ij):
	A	B	C	D	E	F	G	H	I	J	K	L	M	N	O	P	Q	R	S	T	U	V	W
  A	0	0.9263	0.9289	0.9574	0.9293	0.9294	0.9283	0.9374	0.9293	0.9297	0.9292	0.9294	1.1572	1.1614	0.9284	0.9279	0.9292	0.9295	0.9293	0.9315	0.9377	0.9315	0.9288
  B	0.9263	0	0.9259	0.9276	0.9273	1.0004	0.925	3.2403	0.9261	0.9262	1.391	1.0451	0.9257	0.9216	2.3274	0.929	0.9264	1.3587	0.9261	0.9303	2.0	1.3301	0.9276
  C	0.9289	0.9259	0	0.9282	0.9289	0.9291	0.9278	0.929	0.9288	0.929	0.9288	0.929	0.9279	0.924	0.9279	0.9281	0.9289	0.9291	0.929	0.9491	0.9407	0.9266	1.8716
  D	0.9574	0.9276	0.9282	0	0.9287	0.9288	1.362	1.0942	0.9284	0.9289	0.9284	0.9287	1.0643	1.0622	0.9276	0.9288	0.9285	0.9288	0.9284	0.9309	1.1285	4.9652	0.9284
  E	0.9293	0.9273	0.9289	0.9287	0	0.9296	0.9282	1.1112	0.9292	0.9293	0.9291	0.9294	0.9284	0.9247	0.9283	0.9287	0.9298	0.9296	0.9292	0.9321	1.3026	0.9271	0.9295
  F	0.9294	1.0004	0.9291	0.9288	0.9296	0	0.9284	1.021	0.9293	0.9294	0.9292	0.9457	0.9285	0.9251	0.9286	0.9295	0.9294	1.1574	0.9292	0.9326	1.7585	0.9276	0.9303
  G	0.9283	0.925	0.9278	1.362	0.9282	0.9284	0	0.9284	0.9281	0.9283	0.9281	0.9283	0.9273	0.9232	0.9272	0.9269	0.9282	0.9284	0.9282	0.9305	0.9258	0.9564	0.9276
  H	0.9374	3.2403	0.929	1.0942	1.1112	1.021	0.9284	0	0.9291	0.9294	0.9292	0.9308	0.971	0.9686	0.9286	0.9305	0.9301	1.4412	0.9292	0.9332	2.2675	0.9529	0.931
  I	0.9293	0.9261	0.9288	0.9284	0.9292	0.9293	0.9281	0.9291	0	0.9293	0.9291	1.3951	0.9282	0.9243	0.9282	0.9275	0.9291	0.9293	0.9292	0.9315	0.9269	0.9267	0.9286
  J	0.9297	0.9262	0.929	0.9289	0.9293	0.9294	0.9283	0.9294	0.9293	0	0.9292	0.9294	1.8107	1.1873	0.9284	0.9276	0.9293	0.9295	0.9293	0.9315	0.9271	0.9271	0.9288
