Map from character to field name
A:	Brazil
B:	Cambodia
C:	China
D:	India
E:	Laos
F:	Pakistan
G:	Philippines
H:	Singapore
I:	Thailand
J:	Vietnam
K:	?


Substitution rate (mu): 145.623464

Equilibrium frequencies (pi_i):
  A: 0.096
  B: 0.0894
  C: 0.0956
  D: 0.1053
  E: 0.0956
  F: 0.0989
  G: 0.1071
  H: 0.1009
  I: 0.1103
  J: 0.1007

Symmetrized rates from j->i (W_ij):
	A	B	C	D	E	F	G	H	I	J
  A	0	0.8926	0.8947	0.9026	0.8923	0.8927	0.9073	0.8943	1.3416	0.8942
  B	0.8926	0	0.9571	0.9148	0.9004	0.8926	0.9138	0.9687	2.8342	0.946
  C	0.8947	0.9571	0	0.9333	0.8948	0.895	1.5015	1.4624	3.5504	1.0987
  D	0.9026	0.9148	0.9333	0	0.9028	1.39	1.2022	0.9062	1.3647	0.9037
  E	0.8923	0.9004	0.8948	0.9028	0	0.8928	0.9074	0.8945	1.338	0.8944
  F	0.8927	0.8926	0.895	1.39	0.8928	0	0.9119	0.8944	0.9003	0.8944
  G	0.9073	0.9138	1.5015	1.2022	0.9074	0.9119	0	0.9133	1.0375	0.9102
  H	0.8943	0.9687	1.4624	0.9062	0.8945	0.8944	0.9133	0	1.3024	1.1098
  I	1.3416	2.8342	3.5504	1.3647	1.338	0.9003	1.0375	1.3024	0	1.0022
  J	0.8942	0.946	1.0987	0.9037	0.8944	0.8944	0.9102	1.1098	1.0022	0

Actual rates from j->i (Q_ij):
	A	B	C	D	E	F	G	H	I	J
  A	0	0.0857	0.0859	0.0867	0.0857	0.0857	0.0871	0.0859	0.1288	0.0859
  B	0.0798	0	0.0856	0.0818	0.0805	0.0798	0.0817	0.0866	0.2535	0.0846
  C	0.0856	0.0915	0	0.0893	0.0856	0.0856	0.1436	0.1399	0.3395	0.1051
  D	0.095	0.0963	0.0983	0	0.095	0.1463	0.1266	0.0954	0.1437	0.0951
  E	0.0853	0.0861	0.0856	0.0863	0	0.0854	0.0868	0.0855	0.128	0.0855
  F	0.0883	0.0883	0.0885	0.1375	0.0883	0	0.0902	0.0885	0.0891	0.0885
  G	0.0972	0.0979	0.1608	0.1288	0.0972	0.0977	0	0.0978	0.1111	0.0975
  H	0.0903	0.0978	0.1476	0.0915	0.0903	0.0903	0.0922	0	0.1314	0.112
  I	0.148	0.3127	0.3918	0.1506	0.1476	0.0993	0.1145	0.1437	0	0.1106
  J	0.09	0.0953	0.1106	0.091	0.0901	0.0901	0.0916	0.1117	0.1009	0
