strain	virus	accession	date	region	country	division	city	db	segment	authors	url	title	journal	paper_url
DENV_2/VN/BID_V712/2006	dengue	EU482649	2006-XX-XX	Southeast Asia	Vietnam	Vietnam	Vietnam	genbank	genome	Henn et al	https://www.ncbi.nlm.nih.gov/nuccore/EU482649	Direct Submission	Submitted (11-FEB-2008) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	?
V16681	dengue	KU725663	1964-XX-XX	Southeast Asia	Thailand	Thailand	Thailand	genbank	genome	Goh et al	https://www.ncbi.nlm.nih.gov/nuccore/KU725663	Molecular determinants of plaque size as an indicator of dengue virus attenuation	Sci Rep 6, 26100 (2016)	https://www.ncbi.nlm.nih.gov/pubmed/27185466
DENV_2/TH/BID_V3498/1994	dengue	GQ868542	1994-XX-XX	Southeast Asia	Thailand	Thailand	Thailand	genbank	genome	?	?	?	?	?
DENV_2/TH/BID_V2617/1996	dengue	FJ906958	1996-XX-XX	Southeast Asia	Thailand	Thailand	Thailand	genbank	genome	?	?	?	?	?
DENV_2/TH/BID_V1458/1994	dengue	EU726767	1994-XX-XX	Southeast Asia	Thailand	Thailand	Thailand	genbank	genome	Henn et al	https://www.ncbi.nlm.nih.gov/nuccore/EU726767	Direct Submission	Submitted (15-MAY-2008) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	?
S16803	dengue	GU289914	1974-XX-XX	Southeast Asia	Thailand	Thailand	Thailand	genbank	genome	Kelly et al	https://www.ncbi.nlm.nih.gov/nuccore/GU289914	Evolution of attenuating mutations in dengue-2 strain S16803 PDK50 vaccine and comparison of growth kinetics with parent virus	Virus Genes 43 (1), 18-26 (2011)	https://www.ncbi.nlm.nih.gov/pubmed/21461924
DENV_2/KH/BID_V2039/2003	dengue	FJ639705	2003-XX-XX	Southeast Asia	Cambodia	Cambodia	Cambodia	genbank	genome	Henn et al	https://www.ncbi.nlm.nih.gov/nuccore/FJ639705	Direct Submission	Submitted (13-JAN-2009) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	?
ThD2_0017_98	dengue	DQ181799	1998-XX-XX	Southeast Asia	Thailand	Thailand	Thailand	genbank	genome	Zhang et al	https://www.ncbi.nlm.nih.gov/nuccore/DQ181799	Structure and age of genetic diversity of dengue virus type 2 in Thailand	J. Gen. Virol. 87 (PT 4), 873-883 (2006)	https://www.ncbi.nlm.nih.gov/pubmed/16528037
DENV_2/VN/BID_V919/2006	dengue	EU482465	2006-XX-XX	Southeast Asia	Vietnam	Vietnam	Vietnam	genbank	genome	Henn et al	https://www.ncbi.nlm.nih.gov/nuccore/EU482465	Direct Submission	Submitted (11-FEB-2008) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	?
DF907	dengue	FM210211	2003-XX-XX	Southeast Asia	Vietnam	Vietnam	Vietnam	genbank	genome	Hang et al	https://www.ncbi.nlm.nih.gov/nuccore/FM210211	Dengue virus serotype and genotype shifts in southern Vietnam revealed by whole genome sequencing	Unpublished	?
DENV_2/VN/BID_V1679/2007	dengue	FJ390384	2007-XX-XX	Southeast Asia	Vietnam	Vietnam	Vietnam	genbank	genome	Henn et al	https://www.ncbi.nlm.nih.gov/nuccore/FJ390384	Direct Submission	Submitted (14-OCT-2008) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	?
DENV_2/IPC/BID_V4270/2008	dengue	GU131930	2008-XX-XX	Southeast Asia	Cambodia	Cambodia	Cambodia	genbank	genome	Henn et al	https://www.ncbi.nlm.nih.gov/nuccore/GU131930	Direct Submission	Submitted (22-OCT-2009) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	?
LNT555	dengue	KY849752	2008-09-07	Southeast Asia	Laos	Laos	Laos	genbank	genome	Castonguay-Vanier et al	https://www.ncbi.nlm.nih.gov/nuccore/KY849752	Molecular epidemiology of dengue viruses in three provinces of Lao PDR, 2006-2010	PLoS Negl Trop Dis 12 (1), e0006203 (2018)	https://www.ncbi.nlm.nih.gov/pubmed/29377886
