strain	virus	accession	date	region	country	division	city	db	segment	authors	url	title	journal	paper_url
DENV_1/CO/BID_V3391/2008	dengue	GQ868570	2008-XX-XX	South America	Colombia	Colombia	Colombia	genbank	genome	Henn et al	https://www.ncbi.nlm.nih.gov/nuccore/GQ868570	Direct Submission	Submitted (03-SEP-2009) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	?
DENV_1/NI/BID_V7673/2012	dengue	KF973461	2012-XX-XX	North America	Nicaragua	Nicaragua	Nicaragua	genbank	genome	Zody et al	https://www.ncbi.nlm.nih.gov/nuccore/KF973461	Direct Submission	Submitted (17-DEC-2013) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	?
DENV_1/VE/BID_V2464/2007	dengue	FJ850102	2007-XX-XX	South America	Venezuela	Venezuela	Venezuela	genbank	genome	Henn et al	https://www.ncbi.nlm.nih.gov/nuccore/FJ850102	Direct Submission	Submitted (19-MAR-2009) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	?
HNRG13707	dengue	KC692504	2009-04-16	South America	Argentina	Argentina	Argentina	genbank	genome	Tittarelli et al	https://www.ncbi.nlm.nih.gov/nuccore/KC692504	Dengue virus 1 in Buenos Aires from 1999 to 2010: towards local spread	PLoS ONE 9 (10), E111017 (2014)	https://www.ncbi.nlm.nih.gov/pubmed/25343372
DENV1_BR/SJRP/354/2011	dengue	KP188541	2011-05-24	South America	Brazil	Brazil	Brazil	genbank	genome	Vedovello et al	https://www.ncbi.nlm.nih.gov/nuccore/KP188541	Molecular Surveillance of Dengue virus (serotypes 1 to 4) and its several genotypes in a medium size city of southeastern Brazil, during nine epidemics years (2006 to 2014)	Unpublished	?
DENV_1/PR/BID_V8187/2010	dengue	KJ189366	2010-XX-XX	North America	Puerto Rico	Puerto Rico	Puerto Rico	genbank	genome	Zody et al	https://www.ncbi.nlm.nih.gov/nuccore/KJ189366	Direct Submission	Submitted (22-JAN-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	?
DENV_1/NI/BID_V7681/2012	dengue	KF973467	2012-XX-XX	North America	Nicaragua	Nicaragua	Nicaragua	genbank	genome	Zody et al	https://www.ncbi.nlm.nih.gov/nuccore/KF973467	Direct Submission	Submitted (17-DEC-2013) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	?
DENV_1/NI/BID_V7650/2012	dengue	KF973455	2012-XX-XX	North America	Nicaragua	Nicaragua	Nicaragua	genbank	genome	Zody et al	https://www.ncbi.nlm.nih.gov/nuccore/KF973455	Direct Submission	Submitted (17-DEC-2013) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	?
DENV_1/US/BID_V1743/1995	dengue	FJ205874	1995-XX-XX	North America	Usa	Usa	Usa	genbank	genome	Henn et al	https://www.ncbi.nlm.nih.gov/nuccore/FJ205874	Direct Submission	Submitted (10-SEP-2008) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	?
DENV_1/US/BID_V853/1998	dengue	EU482592	1998-XX-XX	North America	Usa	Usa	Usa	genbank	genome	Henn et al	https://www.ncbi.nlm.nih.gov/nuccore/EU482592	Direct Submission	Submitted (11-FEB-2008) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	?
DENV1_BR/SJRP/287/2011	dengue	KP188540	2011-05-03	South America	Brazil	Brazil	Brazil	genbank	genome	Vedovello et al	https://www.ncbi.nlm.nih.gov/nuccore/KP188540	Molecular Surveillance of Dengue virus (serotypes 1 to 4) and its several genotypes in a medium size city of southeastern Brazil, during nine epidemics years (2006 to 2014)	Unpublished	?
DENV_1/VE/BID_V2606/2006	dengue	JN819405	2006-XX-XX	South America	Venezuela	Venezuela	Venezuela	genbank	genome	Henn et al	https://www.ncbi.nlm.nih.gov/nuccore/JN819405	Direct Submission	Submitted (05-OCT-2011) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	?
DENV_1/VE/BID_V3578/2007	dengue	GU131842	2007-XX-XX	South America	Venezuela	Venezuela	Venezuela	genbank	genome	Henn et al	https://www.ncbi.nlm.nih.gov/nuccore/GU131842	Direct Submission	Submitted (22-OCT-2009) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	?
DENV_1/MX/BID_V3752/2008	dengue	GQ868533	2008-XX-XX	North America	Mexico	Mexico	Mexico	genbank	genome	Henn et al	https://www.ncbi.nlm.nih.gov/nuccore/GQ868533	Direct Submission	Submitted (03-SEP-2009) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	?
DENV_1/VE/BID_V2227/2004	dengue	FJ639794	2004-XX-XX	South America	Venezuela	Venezuela	Venezuela	genbank	genome	Henn et al	https://www.ncbi.nlm.nih.gov/nuccore/FJ639794	Direct Submission	Submitted (15-JAN-2009) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	?
DENV_1/MX/BID_V7611/2009	dengue	KJ189342	2009-XX-XX	North America	Mexico	Mexico	Mexico	genbank	genome	Zody et al	https://www.ncbi.nlm.nih.gov/nuccore/KJ189342	Direct Submission	Submitted (22-JAN-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	?
DENV_1/MX/BID_V3722/2007	dengue	GU131976	2007-XX-XX	North America	Mexico	Mexico	Mexico	genbank	genome	Henn et al	https://www.ncbi.nlm.nih.gov/nuccore/GU131976	Direct Submission	Submitted (22-OCT-2009) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	?
VE_61084_2007	dengue	HQ332179	2007-XX-XX	South America	Venezuela	Venezuela	Venezuela	genbank	genome	Rodriguez-Roche et al	https://www.ncbi.nlm.nih.gov/nuccore/HQ332179	Population structure of the dengue viruses, Aragua, Venezuela, 2006-2007. Insights into dengue evolution under hyperendemic transmission	Infect. Genet. Evol. 12 (2), 332-344 (2012)	https://www.ncbi.nlm.nih.gov/pubmed/22197765
DENV_1/CO/BID_V3388/2007	dengue	GQ868568	2007-XX-XX	South America	Colombia	Colombia	Colombia	genbank	genome	?	?	?	?	?
DENV_1/BR/BID_V3490/2008	dengue	GU131863	2008-XX-XX	South America	Brazil	Brazil	Brazil	genbank	genome	Henn et al	https://www.ncbi.nlm.nih.gov/nuccore/GU131863	Direct Submission	Submitted (22-OCT-2009) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	?
VE_61068_2006	dengue	HQ332180	2006-XX-XX	South America	Venezuela	Venezuela	Venezuela	genbank	genome	Rodriguez-Roche et al	https://www.ncbi.nlm.nih.gov/nuccore/HQ332180	Population structure of the dengue viruses, Aragua, Venezuela, 2006-2007. Insights into dengue evolution under hyperendemic transmission	Infect. Genet. Evol. 12 (2), 332-344 (2012)	https://www.ncbi.nlm.nih.gov/pubmed/22197765
DENV_1/MX/BID_V3750/2008	dengue	KF955432	2008-XX-XX	North America	Mexico	Mexico	Mexico	genbank	genome	Zody et al	https://www.ncbi.nlm.nih.gov/nuccore/KF955432	Direct Submission	Submitted (10-DEC-2013) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	?
DENV_1/NI/BID_V7677/2012	dengue	KF973464	2012-XX-XX	North America	Nicaragua	Nicaragua	Nicaragua	genbank	genome	Zody et al	https://www.ncbi.nlm.nih.gov/nuccore/KF973464	Direct Submission	Submitted (17-DEC-2013) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	?
DENV_1/NI/BID_V7640/2011	dengue	KF973453	2011-XX-XX	North America	Nicaragua	Nicaragua	Nicaragua	genbank	genome	Zody et al	https://www.ncbi.nlm.nih.gov/nuccore/KF973453	Direct Submission	Submitted (17-DEC-2013) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	?
DENV_1/MX/BID_V3676/2007	dengue	KF955442	2007-XX-XX	North America	Mexico	Mexico	Mexico	genbank	genome	Zody et al	https://www.ncbi.nlm.nih.gov/nuccore/KF955442	Direct Submission	Submitted (03-DEC-2013) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	?
1266/2011/BR/RJ/2011	dengue	KF672760	2011-XX-XX	South America	Brazil	Brazil	Brazil	genbank	genome	Nogueira et al	https://www.ncbi.nlm.nih.gov/nuccore/KF672760	Twenty-five years of DENV-1 in Brazil: virological and molecular surveillance of strains isolated between 1986 and 2011	Unpublished	?
