Map from character to field name
A:	Brazil
B:	Cambodia
C:	China
D:	Colombia
E:	Ecuador
F:	French Polynesia
G:	Haiti
H:	India
I:	Indonesia
J:	Japan
K:	Laos
L:	Malaysia
M:	New Caledonia
N:	Pakistan
O:	Papua New Guinea
P:	Philippines
Q:	Singapore
R:	Taiwan
S:	Thailand
T:	USA
U:	Venezuela
V:	Vietnam
W:	Wallis And Futuna
X:	?


Substitution rate (mu): 145.803196

Equilibrium frequencies (pi_i):
  A: 0.0471
  B: 0.0418
  C: 0.0447
  D: 0.0409
  E: 0.0431
  F: 0.0462
  G: 0.0439
  H: 0.0457
  I: 0.0418
  J: 0.0438
  K: 0.0429
  L: 0.0437
  M: 0.0441
  N: 0.043
  O: 0.0431
  P: 0.0427
  Q: 0.0445
  R: 0.0422
  S: 0.0413
  T: 0.0438
  U: 0.0419
  V: 0.0435
  W: 0.0444

Symmetrized rates from j->i (W_ij):
	A	B	C	D	E	F	G	H	I	J	K	L	M	N	O	P	Q	R	S	T	U	V	W
  A	0	0.9413	1.0042	1.6695	0.9413	0.9412	1.4129	1.0113	0.971	0.9425	0.9413	0.9425	0.9419	0.9418	0.9416	0.9615	0.9488	0.9421	1.4168	1.4718	2.2406	0.9425	0.9413
  B	0.9413	0	1.0069	0.9438	0.9411	0.9411	0.9409	0.9529	0.9479	0.9421	0.9444	0.9421	0.9414	0.9412	0.9412	0.9465	1.0238	0.9423	2.9188	0.9389	0.939	0.9891	0.9412
  C	1.0042	1.0069	0	1.0355	0.9468	0.9472	0.9472	1.1555	1.8932	0.9498	0.9472	0.9499	0.9559	0.9484	0.9484	2.0611	1.9771	0.9506	3.4224	0.953	0.9519	1.1578	0.9471
  D	1.6695	0.9438	1.0355	0	0.944	0.944	0.9625	1.0439	0.987	0.9451	0.9439	0.9452	0.945	0.9447	0.9444	0.9716	0.9538	0.9446	0.9511	1.4356	2.828	0.945	0.944
  E	0.9413	0.9411	0.9468	0.944	0	0.9415	0.9413	0.9485	0.9457	0.9425	0.9415	0.9425	0.9416	0.9416	0.9416	0.9452	0.9435	0.9419	0.9412	0.9392	1.4091	0.9423	0.9416
  F	0.9412	0.9411	0.9472	0.944	0.9415	0	0.9413	0.949	0.9477	0.9426	0.9416	0.9426	1.8917	0.9417	0.9416	0.9454	0.9439	0.942	0.9411	0.939	0.9392	0.9423	0.9454
  G	1.4129	0.9409	0.9472	0.9625	0.9413	0.9413	0	0.9491	0.9459	0.9423	0.9414	0.9423	0.9414	0.9414	0.9414	0.9452	0.9434	0.9418	0.941	1.8574	0.9503	0.9421	0.9414
  H	1.0113	0.9529	1.1555	1.0439	0.9485	0.949	0.9491	0	1.0523	0.9503	0.9491	0.9503	0.9511	1.4389	0.9496	1.4532	0.9731	0.9502	1.4547	0.9558	0.9549	0.9507	0.9487
  I	0.971	0.9479	1.8932	0.987	0.9457	0.9477	0.9459	1.0523	0	1.2422	0.946	1.2798	1.6985	0.9467	1.4232	0.9941	2.5911	1.2454	1.2205	0.9473	0.9472	0.9492	0.948
  J	0.9425	0.9421	0.9498	0.9451	0.9425	0.9426	0.9423	0.9503	1.2422	0	0.9426	1.2315	0.9436	0.9426	0.9431	0.9464	0.9492	0.9434	0.9426	0.9402	0.9403	0.9433	0.9426
  K	0.9413	0.9444	0.9472	0.9439	0.9415	0.9416	0.9414	0.9491	0.946	0.9426	0	0.9426	0.9417	0.9417	0.9417	0.9455	0.9437	0.9422	1.4102	0.9393	0.9394	0.9425	0.9417
  L	0.9425	0.9421	0.9499	0.9452	0.9425	0.9426	0.9423	0.9503	1.2798	1.2315	0.9426	0	0.9436	0.9427	0.9431	0.9465	0.9497	0.9434	0.9426	0.9402	0.9403	0.9433	0.9427
  M	0.9419	0.9414	0.9559	0.945	0.9416	1.8917	0.9414	0.9511	1.6985	0.9436	0.9417	0.9436	0	0.9418	0.942	0.9463	1.2534	0.943	0.9429	0.9393	0.9394	0.9427	1.4154
  N	0.9418	0.9412	0.9484	0.9447	0.9416	0.9417	0.9414	1.4389	0.9467	0.9426	0.9417	0.9427	0.9418	0	0.9418	0.9467	0.9438	0.9421	0.9423	0.9394	0.9395	0.9424	0.9417
