Map from character to field name
A:	Africa
B:	China
C:	Europe
D:	Japan Korea
E:	North America
F:	Oceania
G:	South America
H:	South Asia
I:	Southeast Asia
J:	West Asia
K:	?


Substitution rate (mu): 39.431356

Equilibrium frequencies (pi_i):
  A: 0.1226
  B: 0.0732
  C: 0.1121
  D: 0.1062
  E: 0.0947
  F: 0.0881
  G: 0.0973
  H: 0.0957
  I: 0.0937
  J: 0.1164

Symmetrized rates from j->i (W_ij):
	A	B	C	D	E	F	G	H	I	J
  A	0	1.4149	0.9314	0.721	0.687	0.7181	0.6973	1.3761	0.9893	0.7182
  B	1.4149	0	1.0149	1.3762	0.714	1.4124	0.6973	1.6692	8.8713	0.7073
  C	0.9314	1.0149	0	0.7229	0.6908	0.7205	0.7014	0.9175	0.7291	0.7211
  D	0.721	1.3762	0.7229	0	0.6932	0.7205	0.7024	0.8985	1.0045	0.7211
  E	0.687	0.714	0.6908	0.6932	0	1.0452	5.171	0.9229	1.2363	0.6878
  F	0.7181	1.4124	0.7205	0.7205	1.0452	0	1.0574	0.8318	2.0702	0.7189
  G	0.6973	0.6973	0.7014	0.7024	5.171	1.0574	0	0.6975	0.6676	0.6991
  H	1.3761	1.6692	0.9175	0.8985	0.9229	0.8318	0.6975	0	1.4034	1.4249
  I	0.9893	8.8713	0.7291	1.0045	1.2363	2.0702	0.6676	1.4034	0	0.6622
  J	0.7182	0.7073	0.7211	0.7211	0.6878	0.7189	0.6991	1.4249	0.6622	0

Actual rates from j->i (Q_ij):
	A	B	C	D	E	F	G	H	I	J
  A	0	0.1735	0.1142	0.0884	0.0842	0.0881	0.0855	0.1687	0.1213	0.0881
  B	0.1036	0	0.0743	0.1008	0.0523	0.1034	0.0511	0.1222	0.6496	0.0518
  C	0.1044	0.1137	0	0.081	0.0774	0.0807	0.0786	0.1028	0.0817	0.0808
  D	0.0766	0.1462	0.0768	0	0.0736	0.0765	0.0746	0.0954	0.1067	0.0766
  E	0.0651	0.0676	0.0655	0.0657	0	0.099	0.4899	0.0874	0.1171	0.0652
  F	0.0633	0.1245	0.0635	0.0635	0.0921	0	0.0932	0.0733	0.1824	0.0634
  G	0.0678	0.0678	0.0682	0.0683	0.5029	0.1028	0	0.0678	0.0649	0.068
  H	0.1317	0.1597	0.0878	0.086	0.0883	0.0796	0.0667	0	0.1343	0.1363
  I	0.0927	0.8314	0.0683	0.0941	0.1159	0.194	0.0626	0.1315	0	0.0621
  J	0.0836	0.0823	0.0839	0.0839	0.08	0.0836	0.0813	0.1658	0.0771	0
