Map from character to field name
A:	Africa
B:	China
C:	Europe
D:	Japan Korea
E:	North America
F:	Oceania
G:	South America
H:	South Asia
I:	Southeast Asia
J:	West Asia
K:	?


Substitution rate (mu): 55.57704

Equilibrium frequencies (pi_i):
  A: 0.1086
  B: 0.055
  C: 0.1236
  D: 0.098
  E: 0.1409
  F: 0.0934
  G: 0.1153
  H: 0.0569
  I: 0.1054
  J: 0.103

Symmetrized rates from j->i (W_ij):
	A	B	C	D	E	F	G	H	I	J
  A	0	1.1256	0.9581	0.6352	0.615	0.6597	0.6212	0.913	1.1358	0.7195
  B	1.1256	0	0.7226	1.0433	0.835	0.9007	0.6736	0.7242	15.179	0.6634
  C	0.9581	0.7226	0	0.6348	1.3993	0.6644	0.6239	1.1284	0.8974	0.6357
  D	0.6352	1.0433	0.6348	0	0.6162	0.9597	0.6182	0.7105	1.767	0.635
  E	0.615	0.835	1.3993	0.6162	0	1.2355	2.089	1.1973	0.9205	0.6162
  F	0.6597	0.9007	0.6644	0.9597	1.2355	0	0.9238	0.6317	1.0084	0.6343
  G	0.6212	0.6736	0.6239	0.6182	2.089	0.9238	0	0.6578	0.5813	0.618
  H	0.913	0.7242	1.1284	0.7105	1.1973	0.6317	0.6578	0	5.2264	0.632
  I	1.1358	15.179	0.8974	1.767	0.9205	1.0084	0.5813	5.2264	0	0.7891
  J	0.7195	0.6634	0.6357	0.635	0.6162	0.6343	0.618	0.632	0.7891	0

Actual rates from j->i (Q_ij):
	A	B	C	D	E	F	G	H	I	J
  A	0	0.1222	0.104	0.069	0.0668	0.0716	0.0674	0.0991	0.1233	0.0781
  B	0.0619	0	0.0397	0.0573	0.0459	0.0495	0.037	0.0398	0.8342	0.0365
  C	0.1184	0.0893	0	0.0785	0.173	0.0821	0.0771	0.1395	0.1109	0.0786
  D	0.0623	0.1022	0.0622	0	0.0604	0.0941	0.0606	0.0696	0.1732	0.0622
  E	0.0867	0.1177	0.1972	0.0868	0	0.1741	0.2943	0.1687	0.1297	0.0868
  F	0.0616	0.0841	0.0621	0.0896	0.1154	0	0.0863	0.059	0.0942	0.0592
  G	0.0716	0.0777	0.0719	0.0713	0.2409	0.1065	0	0.0758	0.067	0.0713
  H	0.0519	0.0412	0.0642	0.0404	0.0681	0.0359	0.0374	0	0.2973	0.036
  I	0.1197	1.5997	0.0946	0.1862	0.097	0.1063	0.0613	0.5508	0	0.0832
  J	0.0741	0.0683	0.0655	0.0654	0.0635	0.0653	0.0637	0.0651	0.0813	0
