strain	strain_name	date	segment_num	segment_name	country	full_genotype	genotype_group
AB585918	8735	2005-12-21	9	G	Hong_Kong	G1_P[x]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G1
GU598247	MMA08_10	2008-02-XX	9	G	Myanmar	G1_P[8]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G1
EU708570	E050	2007-02-02	9	G	China	G1_P[x]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G1
EU839906	DH415	2005-12-XX	9	G	Bangladesh	G1_P[8]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G1
EU839911	MMC56	2005-03-XX	9	G	Bangladesh	G1_P[x]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G1
GU392990	GER125_08	2008-04-XX	9	G	Germany	G1_P[8]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G1
AB585920	6871	2007-03-05	9	G	Hong_Kong	G1_P[x]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G1
AB585915	8333	2005-12-18	9	G	Hong_Kong	G1_P[x]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G1
GU392984	GER91_08	2008-03-XX	9	G	Germany	G1_P[8]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G1
EU839916	DH402	2005-01-XX	9	G	Bangladesh	G1_P[8]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G1
HQ738576	Nov07_1761	2007-01-XX	9	G	Russia	G1_P[x]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G1
GU979202	GER152_09	2009-04-XX	9	G	Germany	G1_P[8]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G1
AB585916	8474	2007-02-03	9	G	Hong_Kong	G1_P[x]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G1
EU839912	MMC71	2005-11-XX	9	G	Bangladesh	G1_P[8]_I1_R1_C1_M1_A1_N1_T1_E1_H1	G1
AB585911	6507	2004-12-20	9	G	Hong_Kong	G1_P[x]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G1
AB534522	Strain334	2006-02-23	9	G	Bangladesh	G1_P[x]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G1
FJ348349	Cuba_Ha67	2007-02-XX	9	G	Cuba	G1_P[x]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G1
EU839907	SK417	2005-04-XX	9	G	Bangladesh	G1_P[x]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G1
GU392996	GER171_08	2008-07-XX	9	G	Germany	G1_P[8]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G1
EU839910	SK469	2006-01-XX	9	G	Bangladesh	G1_P[x]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G1
GU598246	MMA08_8	2008-02-XX	9	G	Myanmar	G1_P[x]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G1
AB585912	6679	2004-12-23	9	G	Hong_Kong	G1_P[x]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G1
AB585917	8694	2005-12-20	9	G	Hong_Kong	G1_P[x]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G1
FJ348346	Cuba_Ha1	2006-03-XX	9	G	Cuba	G1_P[x]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G1
AB585919	0252	2006-01-31	9	G	Hong_Kong	G1_P[x]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G1
AB534521	Strain408	2006-03-15	9	G	Bangladesh	G1_P[x]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G1
EU839915	DH378	2004-11-XX	9	G	Bangladesh	G1_P[x]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G1
EU708571	R833	2005-12-26	9	G	China	G1_P[x]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G1
EU839913	MMC82	2006-01-XX	9	G	Bangladesh	G1_P[x]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G1
EU708573	E704	2007-10-18	9	G	China	G1_P[x]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G1
GU392982	GER87_08	2008-03-XX	9	G	Germany	G1_P[8]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G1
EU839908	SK438	2005-04-XX	9	G	Bangladesh	G1_P[8]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G1
AB585913	6538	2004-12-22	9	G	Hong_Kong	G1_P[x]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G1
GU392974	GER15_08	2008-01-XX	9	G	Germany	G1_P[8]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G1
GU377160	Omsk08_454	2008-03-XX	9	G	Russia	G1_P[8]_I1_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G1
GU392988	GER109_08	2008-03-XX	9	G	Germany	G1_P[8]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G1
AB585914	7072	2004-12-28	9	G	Hong_Kong	G1_P[x]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G1
FJ348347	Cuba_Ha5	2006-03-XX	9	G	Cuba	G1_P[x]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G1
AB585922	4743	2007-11-16	9	G	Hong_Kong	G1_P[x]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G1
EU839914	SK322	2006-01-XX	9	G	Bangladesh	G1_P[8]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G1
HQ738578	Nov07_1771	2007-01-XX	9	G	Russia	G1_P[x]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G1
AB534520	Strain151	2005-11-29	9	G	Bangladesh	G1_P[x]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G1
EU708572	Z678	2006-12-25	9	G	China	G1_P[x]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G1
AB585910	6095	2004-12-15	9	G	Hong_Kong	G1_P[x]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G1
EU839909	SK420	2005-12-XX	9	G	Bangladesh	G1_P[x]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G1
GU979204	GER169_09	2009-05-XX	9	G	Germany	G1_P[8]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G1
FJ348350	Cuba_Ha95	2008-02-XX	9	G	Cuba	G1_P[x]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G1
GU392994	GER170_08	2008-07-XX	9	G	Germany	G1_P[8]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G1
AB585921	1348	2007-10-17	9	G	Hong_Kong	G1_P[x]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G1
FJ348348	Cuba_Ha45	2006-08-XX	9	G	Cuba	G1_P[x]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G1
