strain	strain_name	date	country
LC687394	Human coronavirus NL63 Fukushima_H257_2018	2018-XX-XX	Japan
LC687395	Human coronavirus NL63 Fukushima_H486_2018	2018-XX-XX	Japan
MW202337	None	2018-XX-XX	USA
LC687397	Human coronavirus NL63 Fukushima_O579_2019	2019-XX-XX	Japan
LC687402	Human coronavirus NL63 Fukushima_OR236_2021	2021-XX-XX	Japan
LC687401	Human coronavirus NL63 Fukushima_OR215_2021	2021-XX-XX	Japan
LC654455	None	2018-XX-XX	Japan
MN306040	Human coronavirus NL63 HCoV_NL63/Seattle/USA/SC0768/2019	2019-XX-XX	USA
MT118686	Human coronavirus NL63 2019_0711	2019-XX-XX	USA
MT118694	Human coronavirus NL63 2019_1580	2019-XX-XX	USA
LC687396	Human coronavirus NL63 Fukushima_H552_2019	2019-XX-XX	Japan
LC720428	Human coronavirus NL63 HCoVNL63_Fukushima_O650_2019	2019-XX-XX	Japan
MW202338	None	2018-XX-XX	USA
MK334045	Human coronavirus NL63 ChinaGD05	2018-08-14	China
MH828488	Human coronavirus NL63 vzcorona-a2	2015-08-18	Viet Nam
KF530106	Human coronavirus NL63 NL63/human/USA/8712-17/1987	1987-12-16	USA
MG772808	Human coronavirus NL63 CN0601/14	2014-11-25	South Korea
MZ682627	Human coronavirus NL63 NCCP43214	2017-06-XX	South Korea
OK625405	Human coronavirus NL63 NCCP 43214	2017-XX-XX	South Korea
OK073075	Human coronavirus NL63 H45	2014-XX-XX	China
JQ765563	Human coronavirus NL63 NL63/DEN/2009/9	2009-03-16	USA
JQ765569	Human coronavirus NL63 NL63/DEN/2005/232	2005-01-18	USA
JQ765570	Human coronavirus NL63 NL63/DEN/2005/235	2005-01-19	USA
DQ445912	None	2006-11-21	Netherlands
KF530112	Human coronavirus NL63 NL63/human/USA/0111-25/2001	2001-11-21	USA
JQ765564	Human coronavirus NL63 NL63/DEN/2009/14	2009-03-01	USA
JQ765565	Human coronavirus NL63 NL63/DEN/2009/15	2009-02-13	USA
JQ900256	Human coronavirus NL63 NL63/DEN/2009/22	2009-03-03	USA
JQ900258	Human coronavirus NL63 NL63/DEN/2005/291	2005-01-26	USA
MK334047	Human coronavirus NL63 ChinaGD04	2018-07-25	China
MK334046	Human coronavirus NL63 ChinaGD01	2018-09-01	China
LC488389	None	2018-XX-XX	Japan
MW587039	Human coronavirus NL63 S0069ZH	2016-XX-XX	China
KY983586	Human coronavirus NL63 HCoV_NL63/Seattle/USA/SC2940/2015	2015-XX-XX	USA
LC488390	None	2017-XX-XX	Japan
DQ445911	None	2006-11-21	Netherlands
MN026166	Human coronavirus NL63 NL63_KLF_01_2018	2018-01-29	Kenya
AF304460	229e/AF304460/229e_ref/Germany/2000	2000-XX-XX	Germany
KM055627	nl63/KM055627/1014A_2008/2008	2008-XX-XX	China
KM055628	nl63/KM055628/1023A_2008/2008	2008-XX-XX	China
KM055629	nl63/KM055629/1093A_2008/2008	2008-XX-XX	China
KM055612	nl63/KM055612/180A_2007/2007	2007-XX-XX	China
KM055613	nl63/KM055613/188A_2007/2007	2007-XX-XX	China
KM055614	nl63/KM055614/197A_2007/2007	2007-XX-XX	China
KM055631	nl63/KM055631/2093A_2010/2010	2010-XX-XX	China
KM055615	nl63/KM055615/225A_2007/2007	2007-XX-XX	China
KM055616	nl63/KM055616/236A_2007/2007	2007-XX-XX	China
KM055617	nl63/KM055617/277A_2007/2007	2007-XX-XX	China
KM055618	nl63/KM055618/374A_2007/2007	2007-XX-XX	China
KM055619	nl63/KM055619/909A_2008/2008	2008-XX-XX	China
KM055620	nl63/KM055620/930A_2008/2008	2008-XX-XX	China
KM055621	nl63/KM055621/940A_2008/2008	2008-XX-XX	China
KM055622	nl63/KM055622/945A_2008/2008	2008-XX-XX	China
KM055623	nl63/KM055623/954A_2008/2008	2008-XX-XX	China
KM055624	nl63/KM055624/971A_2008/2008	2008-XX-XX	China
KM055625	nl63/KM055625/990A_2008/2008	2008-XX-XX	China
KM055626	nl63/KM055626/996A_2008/2008	2008-XX-XX	China
KM055630	nl63/KM055630/GS05_2009/2009	2009-XX-XX	China
KY862034	nl63/KY862034/NL63/FRA_EPI/Caen/2004/01/2004	2004-10-11	France
KY862033	nl63/KY862033/NL63/FRA_EPI/Caen/2004/02/2004	2004-12-18	France
KY862032	nl63/KY862032/NL63/FRA_EPI/Caen/2005/03/2005	2005-01-24	France
KY862031	nl63/KY862031/NL63/FRA_EPI/Caen/2005/04/2005	2005-02-23	France
KY862030	nl63/KY862030/NL63/FRA_EPI/Caen/2008/05/2008	2008-02-15	France
KY862029	nl63/KY862029/NL63/FRA_EPI/Caen/2008/06/2008	2008-02-19	France
KY862028	nl63/KY862028/NL63/FRA_EPI/Caen/2009/07/2009	2009-01-08	France
KY862027	nl63/KY862027/NL63/FRA_EPI/Caen/2009/08/2009	2009-04-24	France
KY862026	nl63/KY862026/NL63/FRA_EPI/Caen/2010/09/2010	2010-10-05	France
KY862025	nl63/KY862025/NL63/FRA_EPI/Caen/2010/10/2010	2010-12-17	France
KY862024	nl63/KY862024/NL63/FRA_EPI/Caen/2011/11/2011	2011-02-21	France
KY862023	nl63/KY862023/NL63/FRA_EPI/Caen/2011/12/2011	2011-10-08	France
KY862022	nl63/KY862022/NL63/FRA_EPI/Caen/2012/13/2012	2012-02-01	France
KY862021	nl63/KY862021/NL63/FRA_EPI/Caen/2012/14/2012	2012-02-17	France
KY862020	nl63/KY862020/NL63/FRA_EPI/Caen/2013/15/2013	2013-03-20	France
KY862019	nl63/KY862019/NL63/FRA_EPI/Caen/2013/16/2013	2013-02-01	France
KY862018	nl63/KY862018/NL63/FRA_EPI/Caen/2014/17/2014	2014-03-16	France
KY862017	nl63/KY862017/NL63/FRA_EPI/Caen/2014/18/2014	2014-01-03	France
KY862016	nl63/KY862016/NL63/FRA_EPI/Caen/2015/19/2015	2015-01-05	France
KY862015	nl63/KY862015/NL63/FRA_EPI/Caen/2015/20/2015	2015-02-15	France
MF996660	nl63/MF996660/NL63/2014	2014-XX-XX	China
MF996661	nl63/MF996661/NL63/2015	2015-XX-XX	China
MF996662	nl63/MF996662/NL63/2014	2014-XX-XX	China
MF996663	nl63/MF996663/NL63/2014	2014-XX-XX	China
