strain	strain_name	date	segment_num	segment_name	country	full_genotype	genotype_group
EU839951	MMC84	2005-01-XX	4	P	Bangladesh	G2_P[4]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	P[4]
GQ414543	GER1H_09	2009-01-XX	4	P	Germany	G8_P[4]_I2_R2_C2_M2_A2_N2_T2_E2_H2	P[4]
EU839949	DH392	2004-12-XX	4	P	Bangladesh	G2_P[4]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	P[4]
EU839950	MMC6	2005-09-XX	4	P	Bangladesh	G2_P[4]_I2_R2_C2_M2_A2_N2_T2_E2_H2	P[4]
EU839945	SK138	2004-08-XX	4	P	Bangladesh	G2_P[4]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	P[4]
HQ641373	MMC88	2005-01-XX	4	P	Bangladesh	G2_P[4]_I2_R2_C2_M2_A2_N2_T2_E2_H2	P[4]
JF304918	D205	1989-08-XX	4	P	Kenya	G2_P[4]_I2_R2_C2_M2_A2_N2_T2_E2_H2	P[4]
JF304929	AK26	1982-07-XX	4	P	Kenya	G2_P[4]_I2_R2_C2_M2_A2_N1_T2_E2_H2	P[4]
JN849123	RVA/Human_wt/BEL/BE1058/2008/G2P[4]	2008-05-XX	4	P	Belgium	G2_P[4]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	P[4]
JN849143	RVA/Human_wt/BEL/BE1251/2009/G2P[4]	2009-03-XX	4	P	Belgium	G2_P[4]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	P[4]
JN849129	RVA/Human_wt/BEL/BE1248/2009/G2P[4]	2009-01-XX	4	P	Belgium	G2_P[4]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	P[4]
JQ837877	RVA/Human_wt/IDN/BL_5210/2006/G2P[4]	2006-05-XX	4	P	Indonesia	G2_P[4]_P[8]_Ix_Rx_Cx_Mx_Ax_N2_Tx_E2_H2_mixed_genotype	P[4]
JQ837879	RVA/Human_wt/IDN/MT_RVM113/2009/G2P[4]	2009-06-XX	4	P	Indonesia	G2_P[4]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_E2_Hx	P[4]
KF636325	RVA/Human_wt/ZAF/MRC_DPRU1061/2009/G2P[4]	2009-05-18	4	P	South_Africa	G2_P[4]_I2_R2_C2_M2_A2_N2_T2_E2_H2	P[4]
KF636314	RVA/Human_wt/ZMB/MRC_DPRU3463/2009/G8P[4]	2009-04-13	4	P	Zambia	G8_P[4]_I2_R2_C2_M2_A2_N2_T2_E2_H2	P[4]
KF636360	RVA/Human_wt/ZMB/MRC_DPRU1621/2008/G8P[4]	2008-10-19	4	P	Zambia	G8_P[4]_I2_R2_C2_M2_A2_N2_T2_E2_H2	P[4]
KJ751605	RVA/Human_wt/TZA/MRC_DPRU4576/2010/G8P[4]	2010-10-15	4	P	Tanzania	G8_P[4]_I2_R2_C2_M2_A2_N2_T2_E2_H2	P[4]
KJ752208	RVA/Human_wt/ZAF/MRC_DPRU82/2012/G2P[4]	2012-06-14	4	P	South_Africa	G2_P[4]_I2_R2_C2_M2_A2_N2_T2_E2_H2	P[4]
