strain	strain_name	date	segment_num	segment_name	country	full_genotype	genotype_group
GQ414550	GER1H_09	2009-01-XX	11	H	Germany	G8_P[4]_I2_R2_C2_M2_A2_N2_T2_E2_H2	H2
HQ641372	MMC88	2005-01-XX	11	H	Bangladesh	G2_P[4]_I2_R2_C2_M2_A2_N2_T2_E2_H2	H2
HQ641363	MMC6	2005-09-XX	11	H	Bangladesh	G2_P[4]_I2_R2_C2_M2_A2_N2_T2_E2_H2	H2
JF304936	AK26	1982-07-XX	11	H	Kenya	G2_P[4]_I2_R2_C2_M2_A2_N1_T2_E2_H2	H2
JF304925	D205	1989-08-XX	11	H	Kenya	G2_P[4]_I2_R2_C2_M2_A2_N2_T2_E2_H2	H2
JN116553	RVA/Human_wt/BFA/238_BF/2010/G6P[6]	2010-01-19	11	H	Burkina_Faso	G6_P[6]_I2_Rx_Cx_Mx_A2_Nx_T2_E2_H2	H2
JN116556	RVA/Human_wt/BFA/272_BF/2010/G6P[6]	2010-02-02	11	H	Burkina_Faso	G6_P[6]_I2_Rx_Cx_Mx_A2_N2_T2_E2_H2	H2
JN116554	RVA/Human_wt/BFA/263_BF/2010/G6P[6]	2010-01-27	11	H	Burkina_Faso	G6_P[6]_I2_Rx_Cx_Mx_A2_N2_T2_E2_H2	H2
JN116555	RVA/Human_wt/BFA/265_BF/2010/G6P[6]	2010-01-28	11	H	Burkina_Faso	G6_P[6]_I2_Rx_Cx_Mx_A2_N2_T2_E2_H2	H2
JQ043314	CMH030/07	2007-02-XX	11	H	Thailand	G2_P[4]_I2_Rx_Cx_Mx_Ax_Nx_Tx_E2_H2	H2
JQ043316	CMH043/07	2007-03-XX	11	H	Thailand	G2_P[4]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_E2_H2	H2
JQ837889	RVA/Human_wt/IDN/BL_5210/2006/G2P[4]	2006-05-XX	11	H	Indonesia	G2_P[4]_P[8]_Ix_Rx_Cx_Mx_Ax_N2_Tx_E2_H2_mixed_genotype	H2
JQ043317	CMH049/07	2007-03-XX	11	H	Thailand	G2_P[4]_I2_Rx_Cx_Mx_Ax_Nx_Tx_E2_H2	H2
JQ715674	RVA/Human_wt/BRA/NSC209/1993/G2P[4]	1993-07-14	11	H	Brazil	G2_P[4]_Ix_R2_C2_M2_A2_N2_T2_Ex_H2	H2
JQ715673	RVA/Human_wt/BRA/NSC206/1993/G2P[x]	1993-07-08	11	H	Brazil	G2_P[x]_Ix_R2_Cx_M2_A2_N2_T2_Ex_H2	H2
JQ715677	RVA/Human_wt/BRA/HSP034/1998/G2P[6]	1998-07-23	11	H	Brazil	G2_P[x]_Ix_R2_C2_M2_A2_Nx_T2_Ex_H2	H2
JQ715675	RVA/Human_wt/BRA/NSC212/1993/G2P[4]	1993-07-20	11	H	Brazil	G2_P[4]_Ix_Rx_Cx_Mx_Ax_N2_T2_Ex_H2	H2
JX891394	RVA/human_wt/IRQ/IQBE23/2008/G8P6	2008-01-20	11	H	Iraq	G8_P[6]_Ix_Rx_Cx_Mx_Ax_N2_T2_E2_H2	H2
JX891395	RVA/human_wt/IRQ/IQBT5/2008/G8P6	2008-01-24	11	H	Iraq	G8_P[6]_Ix_Rx_Cx_Mx_Ax_N2_T2_E2_H2	H2
JF460833	Hu/BEL/F01322/2009/G3P[6]	2009-02-18	11	H	Belgium	G3_P[6]_I2_R2_C2_M2_A2_N2_T2_E2_H2	H2
JX891396	RVA/human_wt/IRQ/IQBE5/2008/G8P6	2008-01-16	11	H	Iraq	G8_P[6]_Ix_Rx_Cx_Mx_Ax_N2_T2_E2_H2	H2
JF460844	Hu/BEL/F01498/2009/G3P[6]	2009-03-14	11	H	Belgium	G3_P[6]_I2_R2_C2_M2_A2_N2_T2_E2_H2	H2
AB796466	RVA/human_wt/JPN/OH3625/2012/G1P[8]	2012-05-19	11	H	Japan	G1_P[8]_I2_Rx_Cx_Mx_Ax_Nx_Tx_E2_H2	H2
AB796461	RVA/human_wt/JPN/OH3385/2012/G1P[8]	2012-01-26	11	H	Japan	G1_P[8]_I2_Rx_Cx_Mx_Ax_Nx_Tx_E2_H2	H2
AB796462	RVA/human_wt/JPN/OH3493/2012/G1P[8]	2012-03-12	11	H	Japan	G1_P[8]_I2_Rx_Cx_Mx_Ax_Nx_Tx_E2_H2	H2
KF636321	RVA/Human_wt/ZAF/MRC_DPRU1061/2009/G2P[4]	2009-05-18	11	H	South_Africa	G2_P[4]_I2_R2_C2_M2_A2_N2_T2_E2_H2	H2
AB796463	RVA/human_wt/JPN/OH3506/2012/G1P[8]	2012-03-21	11	H	Japan	G1_P[8]_I2_Rx_Cx_Mx_Ax_Nx_Tx_E2_H2	H2
KF636310	RVA/Human_wt/ZMB/MRC_DPRU3463/2009/G8P[4]	2009-04-13	11	H	Zambia	G8_P[4]_I2_R2_C2_M2_A2_N2_T2_E2_H2	H2
KF636344	RVA/Human_wt/SWZ/MRC_DPRU4390/2010/G8G9P[6]_mixed_genotype	2010-07-22	11	H	Swaziland	G8_G9_P[6]_I2_R2_C2_M2_A2_N1_N2_T2_E2_H2_mixed_genotype	H2
KF636356	RVA/Human_wt/ZMB/MRC_DPRU1621/2008/G8P[4]	2008-10-19	11	H	Zambia	G8_P[4]_I2_R2_C2_M2_A2_N2_T2_E2_H2	H2
KJ752683	RVA/Human_wt/ZAF/MRC_DPRU774/2000/G9P[6]	2000-04-04	11	H	South_Africa	G9_P[6]_I2_R2_C2_M2_A2_N2_T2_E2_H2	H2
KJ752661	RVA/Human_wt/UGA/MRC_DPRU1922/2008/G8P[4]	2008-06-18	11	H	Uganda	G8_P[4]_I2_R2_C2_M2_A2_N2_T2_E2_H2	H2
KJ751723	RVA/Human_wt/ETH/MRC_DPRU4962/2010/G3P[6]	2010-08-20	11	H	Ethiopia	G3_P[6]_I2_R2_C2_M2_A2_N2_T2_E2_H2	H2
KJ752094	RVA/Human_wt/ETH/MRC_DPRU1873/2008/G3P[6]	2008-12-29	11	H	Ethiopia	G3_P[6]_I2_R2_C2_M2_A2_N2_T2_E2_H2	H2
KJ752160	RVA/Human_wt/TGO/MRC_DPRU5124/2010/G2P[4]	2010-06-XX	11	H	Togo	G2_P[4]_I2_R2_C2_M2_A2_N2_T2_E2_H2	H2
KJ752204	RVA/Human_wt/ZAF/MRC_DPRU82/2012/G2P[4]	2012-06-14	11	H	South_Africa	G2_P[4]_I2_R2_C2_M2_A2_N2_T2_E2_H2	H2
KJ752393	RVA/Human_wt/GMB/MRC_DPRU3180/2010/G2P[6]	2010-01-21	11	H	Gambia	G2_P[6]_I2_R2_C2_M2_A2_N2_T2_E2_H2	H2
KJ752349	RVA/Human_wt/GNB/MRC_DPRU5615/2011/G6P[6]	2011-03-26	11	H	Guinea_Bissau	G6_P[6]_I2_R2_C2_M2_A2_N2_T2_E2_H2	H2
KJ753522	RVA/Human_wt/SEN/MRC_DPRU1915/2008/G2P[4]	2008-08-07	11	H	Senegal	G2_P[4]_I2_R2_C2_M2_A2_N2_T2_E2_H2	H2
KJ752404	RVA/Human_wt/ZAF/MRC_DPRU81/2007/G2P[4]	2007-02-20	11	H	South_Africa	G2_P[4]_I2_R2_C2_M2_A2_N2_T2_E2_H2	H2
KJ751612	RVA/Human_wt/TZA/MRC_DPRU4568/2011/G8P[4]	2011-01-14	11	H	Tanzania	G8_P[4]_I2_R2_C2_M2_A2_N2_T2_E2_H2	H2
KJ751668	RVA/Human_wt/ZAF/MRC_DPRU4079_00/2000/G9P[6]	2000-10-11	11	H	South_Africa	G9_P[6]_I2_R2_C2_M2_A2_N2_T2_E2_H2	H2
KJ752507	RVA/Human_wt/ZAF/MRC_DPRU421/2002/G9P[6]	2002-02-14	11	H	South_Africa	G9_P[6]_I2_R2_C2_M2_A2_N2_T2_E2_H2	H2
KJ752457	RVA/Human_wt/ZWE/MRC_DPRU3347/2010/G8P[4]	2010-06-26	11	H	Zimbabwe	G8_P[4]_I2_R2_C2_M2_A2_N2_T2_E2_H2	H2
KJ752127	RVA/Human_wt/ETH/MRC_DPRU1844_08/2008/G3P[6]	2008-07-23	11	H	Ethiopia	G3_P[6]_I2_R2_C2_M2_A2_N2_T2_E2_H2	H2
KJ751701	RVA/Human_wt/ZAF/MRC_DPRU384/2000/G9P[6]	2000-02-14	11	H	South_Africa	G9_P[6]_I2_R2_C2_M2_A2_N2_T2_E2_H2	H2
KJ752617	RVA/Human_wt/SEN/MRC_DPRU2053/2009/G8P[6]	2009-01-02	11	H	Senegal	G8_P[6]_I2_R2_C2_M2_A2_N2_T2_E2_H2	H2
KJ752215	RVA/Human_wt/ZAF/MRC_DPRU358/2000/G9P[6]	2000-02-11	11	H	South_Africa	G9_P[6]_I2_R2_C2_M2_A2_N2_T2_E2_H2	H2
KJ751657	RVA/Human_wt/ZAF/MRC_DPRU11070/1999/G9P[6]	1999-12-07	11	H	South_Africa	G9_P[6]_I2_R2_C2_M2_A2_N2_T2_E2_H2	H2
KJ753313	RVA/Human_wt/ZAF/MRC_DPRU3861/2000/G9P[X]	2000-08-28	11	H	South_Africa	G9_P[x]_I2_Rx_Cx_Mx_A2_N2_T2_E2_H2	H2
KJ753105	RVA/Human_wt/SWZ/MRC_DPRU2995/2009/G1P[8]_mixed_genotype	2009-09-15	11	H	Swaziland	G1_P[8]_I2_R1_R2_C1_M1_A2_N1_N2_T2_E1_E2_H2_mixed_genotype	H2
KJ751601	RVA/Human_wt/TZA/MRC_DPRU4576/2010/G8P[4]	2010-10-15	11	H	Tanzania	G8_P[4]_I2_R2_C2_M2_A2_N2_T2_E2_H2	H2
KJ751811	RVA/Human_wt/ZAF/MRC_DPRU797/2000/G9P[6]	2000-05-04	11	H	South_Africa	G9_P[6]_I2_R2_C2_M2_A2_N2_T2_E2_H2	H2
KJ752182	RVA/Human_wt/TGO/MRC_DPRU5164/2010/G3P[6]	2010-11-XX	11	H	Togo	G3_P[6]_I2_R2_C2_M2_A2_N2_T2_E2_H2	H2
KJ752116	RVA/Human_wt/GNB/MRC_DPRU5625/2011/G6P[6]	2011-04-21	11	H	Guinea_Bissau	G6_P[6]_I2_R2_C2_M2_A2_N2_T2_E2_H2	H2
KJ870899	RVA/Human_wt/COD/KisB554/2010/G8P[6]	2010-02-27	11	H	Democratic_Republic_of_the_Congo	G8_P[6]_I2_R2_C2_M2_A2_N2_T2_E2_H2	H2
KJ870888	RVA/Human_wt/COD/KisB565/2010/G8P[6]	2010-04-22	11	H	Democratic_Republic_of_the_Congo	G8_P[6]_I2_R2_C2_M2_A2_N2_T2_E2_H2	H2
KC443696	RVA/Human_wt/AUS/CK20024/2006/G2P[4]	2006-07-01	11	H	Australia	G2_P[4]_I2_R2_C2_M2_A2_N2_T2_E2_H2	H2
KC443276	RVA/Human_wt/AUS/CK20054/2010/G2P[4]	2010-10-14	11	H	Australia	G2_P[4]_I2_R2_C2_M2_A2_N2_T2_E2_H2	H2
