strain	strain_name	date	segment_num	segment_name	country	full_genotype	genotype_group
GQ414546	GER1H_09	2009-01-XX	5	A	Germany	G8_P[4]_I2_R2_C2_M2_A2_N2_T2_E2_H2	A2
HQ641359	MMC6	2005-09-XX	5	A	Bangladesh	G2_P[4]_I2_R2_C2_M2_A2_N2_T2_E2_H2	A2
HQ641368	MMC88	2005-01-XX	5	A	Bangladesh	G2_P[4]_I2_R2_C2_M2_A2_N2_T2_E2_H2	A2
JF304932	AK26	1982-07-XX	5	A	Kenya	G2_P[4]_I2_R2_C2_M2_A2_N1_T2_E2_H2	A2
JF304921	D205	1989-08-XX	5	A	Kenya	G2_P[4]_I2_R2_C2_M2_A2_N2_T2_E2_H2	A2
JN116537	RVA/Human_wt/BFA/238_BF/2010/G6P[6]	2010-01-19	5	A	Burkina_Faso	G6_P[6]_I2_Rx_Cx_Mx_A2_Nx_T2_E2_H2	A2
JQ715656	RVA/Human_wt/BRA/NSC209/1993/G2P[4]	1993-07-14	5	A	Brazil	G2_P[4]_Ix_R2_C2_M2_A2_N2_T2_Ex_H2	A2
JQ715657	RVA/Human_wt/BRA/HSP034/1998/G2P[6]	1998-07-23	5	A	Brazil	G2_P[x]_Ix_R2_C2_M2_A2_Nx_T2_Ex_H2	A2
JQ715655	RVA/Human_wt/BRA/NSC206/1993/G2P[x]	1993-07-08	5	A	Brazil	G2_P[x]_Ix_R2_Cx_M2_A2_N2_T2_Ex_H2	A2
JF460829	Hu/BEL/F01322/2009/G3P[6]	2009-02-18	5	A	Belgium	G3_P[6]_I2_R2_C2_M2_A2_N2_T2_E2_H2	A2
JF460840	Hu/BEL/F01498/2009/G3P[6]	2009-03-14	5	A	Belgium	G3_P[6]_I2_R2_C2_M2_A2_N2_T2_E2_H2	A2
JQ358770	RVA/Human_wt/IND/mcs60/2011/G3P[10]	2011-02-14	5	A	India	G3_P[10]_I2_R2_C2_M5_A2_N5_T5_E2_H3	A2
JX307615	RVA/Human_wt/IND/mcs63/2011/G8P[4]	2011-02-15	5	A	India	G8_P[4]_I2_R2_C2_M2_A2_N2_T2_E2_H3	A2
JX307617	RVA/Human_wt/IND/mcs72/2011/G8P[4]	2011-02-17	5	A	India	G8_P[4]_I2_R2_C2_M5_A2_N2_T2_E2_H3	A2
JX307618	RVA/Human_wt/IND/mcs90/2011/G8P[4]	2011-02-22	5	A	India	G8_P[4]_I2_R2_C2_M2_A2_N2_T2_E2_H3	A2
JX307616	RVA/Human_wt/IND/mcs65/2011/G8P[4]	2011-02-15	5	A	India	G8_P[4]_I2_R2_C2_M2_A2_N2_T2_E2_H3	A2
KF636352	RVA/Human_wt/ZMB/MRC_DPRU1621/2008/G8P[4]	2008-10-19	5	A	Zambia	G8_P[4]_I2_R2_C2_M2_A2_N2_T2_E2_H2	A2
KF636306	RVA/Human_wt/ZMB/MRC_DPRU3463/2009/G8P[4]	2009-04-13	5	A	Zambia	G8_P[4]_I2_R2_C2_M2_A2_N2_T2_E2_H2	A2
KF636317	RVA/Human_wt/ZAF/MRC_DPRU1061/2009/G2P[4]	2009-05-18	5	A	South_Africa	G2_P[4]_I2_R2_C2_M2_A2_N2_T2_E2_H2	A2
KF636339	RVA/Human_wt/SWZ/MRC_DPRU4390/2010/G8G9P[6]_mixed_genotype	2010-07-22	5	A	Swaziland	G8_G9_P[6]_I2_R2_C2_M2_A2_N1_N2_T2_E2_H2_mixed_genotype	A2
KJ752200	RVA/Human_wt/ZAF/MRC_DPRU82/2012/G2P[4]	2012-06-14	5	A	South_Africa	G2_P[4]_I2_R2_C2_M2_A2_N2_T2_E2_H2	A2
KJ752211	RVA/Human_wt/ZAF/MRC_DPRU358/2000/G9P[6]	2000-02-11	5	A	South_Africa	G9_P[6]_I2_R2_C2_M2_A2_N2_T2_E2_H2	A2
KJ752178	RVA/Human_wt/TGO/MRC_DPRU5164/2010/G3P[6]	2010-11-XX	5	A	Togo	G3_P[6]_I2_R2_C2_M2_A2_N2_T2_E2_H2	A2
