strain	strain_name	date	segment_num	segment_name	country	full_genotype	genotype_group
FJ747625	GER172_08	2008-07-XX	1	R	Germany	G12_P[6]_I1_R1_C1_M1_A1_N1_T1_E1_H1	R1
FJ747613	GER126_08	2008-04-XX	1	R	Germany	Gx_P[8]_I1_R1_C1_M1_A1_N1_T1_E1_H1	R1
GU189551	R479	2004-12-XX	1	R	Ireland	G1_G4_P[6]_I5_R1_C1_M1_A1_N1_T7_E1_H1_mixed_genotype	R1
EU984103	0613158_CA	2006-05-XX	1	R	India	G1_P[8]_I1_R1_C1_M1_A1_N1_T1_E1_H1	R1
GU199503	RVA/Human_wt/BGD/Matlab36/2002/G11P[8]	2002-08-22	1	R	Bangladesh	G11_P[8]_I1_R1_C1_M1_A1_N1_T1_E1_H1	R1
GU199492	RVA/Human_wt/NPL/KTM368/2004/G11P[25]	2004-04-XX	1	R	Nepal	G11_P[25]_I12_R1_C1_M1_A1_N1_T1_E1_H1	R1
EF560705	RVA/Human_wt/BGD/Dhaka6/2001/G11P[25]	2001-07-01	1	R	Bangladesh	G11_P[25]_I1_R1_C1_M1_A1_N1_T1_Ex_H1	R1
HQ670639	MMC71	2005-11-XX	1	R	Bangladesh	G1_P[8]_I1_R1_C1_M1_A1_N1_T1_E1_H1	R1
HQ670632	MMC38	2005-04-XX	1	R	Bangladesh	G9_P[8]_I1_R1_C1_M1_A1_N1_T1_E1_H1	R1
JQ087445	RVA/Human_tc/E1911/2009/G1P[8]	2009-11-XX	1	R	China	G1_P[8]_I1_R1_C1_M1_A1_N1_T1_E1_H1	R1
JQ087423	RVA/Human_tc/CHN/Y128/2004/G1P[8]	2004-11-XX	1	R	China	G1_P[8]_I1_R1_C1_M1_A1_N1_T1_E1_H1	R1
JQ087434	RVA/Human_tc/CHN/R588/2005/G1P[8]	2005-06-XX	1	R	China	G1_P[8]_I1_R1_C1_M1_A1_N1_T1_E1_H1	R1
AB714258	Vietnam/163/G10P[8]	2008-05-XX	1	R	Viet_Nam	G10_P[8]_I1_R1_C1_M1_A1_N1_T1_E1_H1	R1
JX509935	ZTR_68/CHN/2010/G1P[8]	2010-11-12	1	R	China	G1_P[8]_I1_R1_C1_M1_A1_N1_T1_E1_H1	R1
AB741649	Ryukyu_1120	2011-11-XX	1	R	Japan	G5_P[6]_I5_R1_C1_M1_A8_N1_T1_E1_H1	R1
KF636168	RVA/Human_wt/ZAF/MRC_DPRU2306/2009/G1P[8]	2009-06-09	1	R	South_Africa	G1_P[8]_I1_R1_C1_M1_A1_N1_T1_E1_H1	R1
KF636278	RVA/Human_wt/ZAF/MRC_DPRU2052/2010/G1P[8]	2010-08-05	1	R	South_Africa	G1_P[8]_I1_R1_C1_M1_A1_N1_T1_E1_H1	R1
KF636146	RVA/Human_wt/ZMB/MRC_DPRU3491/2009/G12P[6]	2009-09-08	1	R	Zambia	G12_P[6]_I1_R1_C1_M1_A1_N1_T1_E1_H1	R1
KF636267	RVA/Human_wt/ZAF/MRC_DPRU2330/2009/G1P[8]	2009-06-22	1	R	South_Africa	G1_P[8]_I1_R1_C1_M1_A1_N1_T1_E1_H1	R1
KF636179	RVA/Human_wt/ZAF/MRC_DPRU2061/2010/G1P[8]	2010-08-10	1	R	South_Africa	G1_P[8]_I1_R1_C1_M1_A1_N1_T1_E1_H1	R1
KF636223	RVA/Human_wt/ZAF/MRC_DPRU1262/2004/G1P[8]	2004-06-01	1	R	South_Africa	G1_P[8]_I1_R1_C1_M1_A1_N1_T1_E1_H1	R1
KF636234	RVA/Human_wt/ZAF/MRC_DPRU2035/2010/G1P[8]	2010-07-19	1	R	South_Africa	G1_P[8]_I1_R1_C1_M1_A1_N1_T1_E1_H1	R1
KF636201	RVA/Human_wt/ZAF/MRC_DPRU2030/2010/G1P[8]	2010-07-12	1	R	South_Africa	G1_P[8]_I1_R1_C1_M1_A1_N1_T1_E1_H1	R1
