strain	strain_name	date	segment_num	segment_name	country	full_genotype	genotype_group
GQ869838	DH389	2004-11-XX	4	P	Bangladesh	G9_P[8]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	P[8]
EU839956	SK438	2005-04-XX	4	P	Bangladesh	G1_P[8]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	P[8]
FJ747616	GER126_08	2008-04-XX	4	P	Germany	Gx_P[8]_I1_R1_C1_M1_A1_N1_T1_E1_H1	P[8]
EU839960	SK430	2005-11-XX	4	P	Bangladesh	G9_P[8]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	P[8]
EU839955	DH415	2005-12-XX	4	P	Bangladesh	G1_P[8]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	P[8]
EU839961	DH373	2004-10-XX	4	P	Bangladesh	G9_P[8]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	P[8]
GQ869840	MMC183	2006-03-XX	4	P	Bangladesh	G9_P[8]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	P[8]
EU839959	DH396	2004-11-XX	4	P	Bangladesh	G9_P[8]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	P[8]
EU839954	SK424	2005-11-XX	4	P	Bangladesh	G2_P[8]_I2_Rx_Cx_Mx_Ax_Nx_Tx_E2_Hx	P[8]
EU839958	DH402	2005-01-XX	4	P	Bangladesh	G1_P[8]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	P[8]
EU839962	DH375	2004-10-XX	4	P	Bangladesh	G9_P[8]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	P[8]
EU984106	0613158_CA	2006-05-XX	4	P	India	G1_P[8]_I1_R1_C1_M1_A1_N1_T1_E1_H1	P[8]
EU839957	SK322	2006-01-XX	4	P	Bangladesh	G1_P[8]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	P[8]
GQ869839	MMC153	2006-04-XX	4	P	Bangladesh	G9_P[8]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	P[8]
EU984107	0613158	2006-05-XX	4	P	India	Gx_P[8]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	P[8]
GU199506	RVA/Human_wt/BGD/Matlab36/2002/G11P[8]	2002-08-22	4	P	Bangladesh	G11_P[8]_I1_R1_C1_M1_A1_N1_T1_E1_H1	P[8]
JN849137	RVA/Human_wt/BEL/BE1129/2009/G4P[8]	2009-02-XX	4	P	Belgium	G4_P[8]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	P[8]
JN849119	RVA/Human_wt/BEL/BE0253/2008/G1P[8]	2008-03-XX	4	P	Belgium	G1_P[8]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	P[8]
JF813100	E1545	2009-03-02	4	P	China	G9_P[8]_I1_Rx_Cx_Mx_Ax_Nx_Tx_E1_Hx	P[8]
JN849121	RVA/Human_wt/BEL/BE1023/2008/G1P[8]	2008-04-XX	4	P	Belgium	G1_P[8]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	P[8]
JF813104	Z1108	2008-11-03	4	P	China	G9_P[8]_I1_Rx_Cx_Mx_Ax_Nx_Tx_E1_Hx	P[8]
JN849135	RVA/Human_wt/BEL/BE1128/2009/G1P[8]	2009-02-XX	4	P	Belgium	G1_P[8]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	P[8]
JN849147	RVA/Human_wt/BEL/BE1286/2009/G1P[8]	2009-03-XX	4	P	Belgium	G1_P[8]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	P[8]
JN849115	RVA/Human_wt/BEL/BE0085/2008/G12P[8]	2008-02-XX	4	P	Belgium	G12_P[8]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	P[8]
JN849127	RVA/Human_wt/BEL/BE1001a/2008/G9P[8]	2008-12-XX	4	P	Belgium	G9_P[8]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	P[8]
JN849149	RVA/Human_wt/BEL/BE1280/2009/G1P[8]	2009-04-XX	4	P	Belgium	G1_P[8]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	P[8]
JN849117	RVA/Human_wt/BEL/BE0258/2008/G12P[8]	2008-03-XX	4	P	Belgium	G12_P[8]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	P[8]
