strain	strain_name	date	segment_num	segment_name	country	full_genotype	genotype_group
GQ414540	GER1H_09	2009-01-XX	1	R	Germany	G8_P[4]_I2_R2_C2_M2_A2_N2_T2_E2_H2	R2
HQ641364	MMC88	2005-01-XX	1	R	Bangladesh	G2_P[4]_I2_R2_C2_M2_A2_N2_T2_E2_H2	R2
HQ641355	MMC6	2005-09-XX	1	R	Bangladesh	G2_P[4]_I2_R2_C2_M2_A2_N2_T2_E2_H2	R2
JF421975	KF17	2010-02-XX	1	R	Japan	G6_P[9]_I2_R2_C2_M2_A3_N2_T3_E3_H3	R2
JF304915	D205	1989-08-XX	1	R	Kenya	G2_P[4]_I2_R2_C2_M2_A2_N2_T2_E2_H2	R2
JF304926	AK26	1982-07-XX	1	R	Kenya	G2_P[4]_I2_R2_C2_M2_A2_N1_T2_E2_H2	R2
JF460834	Hu/BEL/F01498/2009/G3P[6]	2009-03-14	1	R	Belgium	G3_P[6]_I2_R2_C2_M2_A2_N2_T2_E2_H2	R2
JF460823	Hu/BEL/F01322/2009/G3P[6]	2009-02-18	1	R	Belgium	G3_P[6]_I2_R2_C2_M2_A2_N2_T2_E2_H2	R2
JX094028	RVA/Human_wt/SVN/SI_R56/07/2007/G6P[11]	2007-01-05	1	R	Slovenia	G6_P[11]_I2_R2_C2_M2_A13_N2_T6_E2_H3	R2
KF636357	RVA/Human_wt/ZMB/MRC_DPRU1621/2008/G8P[4]	2008-10-19	1	R	Zambia	G8_P[4]_I2_R2_C2_M2_A2_N2_T2_E2_H2	R2
KF636345	RVA/Human_wt/SWZ/MRC_DPRU4390/2010/G8G9P[6]_mixed_genotype	2010-07-22	1	R	Swaziland	G8_G9_P[6]_I2_R2_C2_M2_A2_N1_N2_T2_E2_H2_mixed_genotype	R2
JX567760	RVA/Human_wt/AUS/V585/2011/G10P[14]	2011-08-19	1	R	Australia	G10_P[14]_I2_R2_C2_M2_A11_N2_T6_E2_H3	R2
KF636322	RVA/Human_wt/ZAF/MRC_DPRU1061/2009/G2P[4]	2009-05-18	1	R	South_Africa	G2_P[4]_I2_R2_C2_M2_A2_N2_T2_E2_H2	R2
KF636311	RVA/Human_wt/ZMB/MRC_DPRU3463/2009/G8P[4]	2009-04-13	1	R	Zambia	G8_P[4]_I2_R2_C2_M2_A2_N2_T2_E2_H2	R2
KJ751669	RVA/Human_wt/ZAF/MRC_DPRU4079_00/2000/G9P[6]	2000-10-11	1	R	South_Africa	G9_P[6]_I2_R2_C2_M2_A2_N2_T2_E2_H2	R2
KJ753523	RVA/Human_wt/SEN/MRC_DPRU1915/2008/G2P[4]	2008-08-07	1	R	Senegal	G2_P[4]_I2_R2_C2_M2_A2_N2_T2_E2_H2	R2
KJ752128	RVA/Human_wt/ETH/MRC_DPRU1844_08/2008/G3P[6]	2008-07-23	1	R	Ethiopia	G3_P[6]_I2_R2_C2_M2_A2_N2_T2_E2_H2	R2
KJ751889	RVA/Human_wt/ETH/MRC_DPRU2241/2009/G3P[6]	2009-07-18	1	R	Ethiopia	G3_P[6]_I2_R2_C2_M2_A2_N2_T2_E2_H2	R2
KJ751613	RVA/Human_wt/TZA/MRC_DPRU4568/2011/G8P[4]	2011-01-14	1	R	Tanzania	G8_P[4]_I2_R2_C2_M2_A2_N2_T2_E2_H2	R2
KJ751724	RVA/Human_wt/ETH/MRC_DPRU4962/2010/G3P[6]	2010-08-20	1	R	Ethiopia	G3_P[6]_I2_R2_C2_M2_A2_N2_T2_E2_H2	R2
KJ752216	RVA/Human_wt/ZAF/MRC_DPRU358/2000/G9P[6]	2000-02-11	1	R	South_Africa	G9_P[6]_I2_R2_C2_M2_A2_N2_T2_E2_H2	R2
KJ752183	RVA/Human_wt/TGO/MRC_DPRU5164/2010/G3P[6]	2010-11-XX	1	R	Togo	G3_P[6]_I2_R2_C2_M2_A2_N2_T2_E2_H2	R2
KJ751602	RVA/Human_wt/TZA/MRC_DPRU4576/2010/G8P[4]	2010-10-15	1	R	Tanzania	G8_P[4]_I2_R2_C2_M2_A2_N2_T2_E2_H2	R2
KJ752405	RVA/Human_wt/ZAF/MRC_DPRU81/2007/G2P[4]	2007-02-20	1	R	South_Africa	G2_P[4]_I2_R2_C2_M2_A2_N2_T2_E2_H2	R2
KJ752161	RVA/Human_wt/TGO/MRC_DPRU5124/2010/G2P[4]	2010-06-XX	1	R	Togo	G2_P[4]_I2_R2_C2_M2_A2_N2_T2_E2_H2	R2
KJ752684	RVA/Human_wt/ZAF/MRC_DPRU774/2000/G9P[6]	2000-04-04	1	R	South_Africa	G9_P[6]_I2_R2_C2_M2_A2_N2_T2_E2_H2	R2
KJ752350	RVA/Human_wt/GNB/MRC_DPRU5615/2011/G6P[6]	2011-03-26	1	R	Guinea_Bissau	G6_P[6]_I2_R2_C2_M2_A2_N2_T2_E2_H2	R2
KJ752508	RVA/Human_wt/ZAF/MRC_DPRU421/2002/G9P[6]	2002-02-14	1	R	South_Africa	G9_P[6]_I2_R2_C2_M2_A2_N2_T2_E2_H2	R2
KJ751812	RVA/Human_wt/ZAF/MRC_DPRU797/2000/G9P[6]	2000-05-04	1	R	South_Africa	G9_P[6]_I2_R2_C2_M2_A2_N2_T2_E2_H2	R2
