strain	strain_name	date	country	host
MZ540961.1	None	2019-XX-XX	China	Homo sapiens
MH828478.1	vzhadvb1	2013-12-15	Viet Nam	Homo sapiens
MW686785.1	None	2016-05-25	United Kingdom	Homo sapiens
MW686786.1	None	2015-04-09	United Kingdom	Homo sapiens
MW686787.1	None	2015-04-13	United Kingdom	Homo sapiens
MW686788.1	None	2019-04-02	United Kingdom	Homo sapiens
MW748641.1	None	2016-XX-XX	China	Homo sapiens
MW748642.1	None	2017-XX-XX	China	Homo sapiens
MW748643.1	None	2017-XX-XX	China	Homo sapiens
MW748644.1	None	2017-XX-XX	China	Homo sapiens
MW748645.1	None	2017-XX-XX	China	Homo sapiens
MW748646.1	None	2017-XX-XX	China	Homo sapiens
MW748647.1	None	2018-XX-XX	China	Homo sapiens
MW748648.1	None	2018-XX-XX	China	Homo sapiens
MW748649.1	None	2018-XX-XX	China	Homo sapiens
MW748650.1	None	2018-XX-XX	China	Homo sapiens
MW748651.1	None	2018-XX-XX	China	Homo sapiens
MW748652.1	None	2018-XX-XX	China	Homo sapiens
MW748653.1	None	2018-XX-XX	China	Homo sapiens
MW748654.1	None	2018-XX-XX	China	Homo sapiens
MW748655.1	None	2018-XX-XX	China	Homo sapiens
MW748656.1	None	2018-XX-XX	China	Homo sapiens
MW748657.1	None	2018-XX-XX	China	Homo sapiens
MW748658.1	None	2018-XX-XX	China	Homo sapiens
MW748659.1	None	2018-XX-XX	China	Homo sapiens
MW748660.1	None	2018-XX-XX	China	Homo sapiens
MW748661.1	None	2018-XX-XX	China	Homo sapiens
MW748662.1	None	2015-XX-XX	China	Homo sapiens
MW748663.1	None	2015-XX-XX	China	Homo sapiens
MW748664.1	None	2014-XX-XX	China	Homo sapiens
MW748665.1	None	2015-XX-XX	China	Homo sapiens
MW748666.1	None	2016-XX-XX	China	Homo sapiens
MW748667.1	None	2016-XX-XX	China	Homo sapiens
MW748668.1	None	2015-XX-XX	China	Homo sapiens
MW748669.1	None	2015-XX-XX	China	Homo sapiens
MW748670.1	None	2015-XX-XX	China	Homo sapiens
MW748671.1	None	2015-XX-XX	China	Homo sapiens
MW748672.1	None	2015-XX-XX	China	Homo sapiens
KY320276.1	None	2021-11-01	South Korea	None
KX384958.1	T382/Ft Jackson South Carolina USA/2002	2002-12-09	USA: Fort Jackson, SC	Homo sapiens
KF268120.1	human/USA/UFL_Adv3a2/2007/3[P3H3F3]	2007-02-XX	USA: Connecticut	Homo sapiens
KF268123.1	human/USA/UFL_Adv3a51/2007/3[P3H3F3]	2007-01-XX	USA: Connecticut	Homo sapiens
KF268128.1	human/USA/CL_46/1988/3[P3H3F3]	1988-XX-XX	USA: Pittsburgh, Pennsylvania	Homo sapiens
KF268131.1	human/USA/UFL_Adv3a17/2007/3[P3H3F3]	2007-02-XX	USA: Connecticut	Homo sapiens
KF268132.1	human/USA/CL_45/1988/3[P3H7F3]	1988-XX-XX	USA: Pittsburgh, Pennsylvania	Homo sapiens
KF268133.1	human/USA/UFL_Adv3a50/2007/3[P3H3F3]	2007-02-XX	USA: Connecticut	Homo sapiens
KF268195.1	human/USA/UFL_Adv3/2004/3[P3/H3/F3]	2004-10-XX	USA: Missouri	Homo sapiens
KF268202.1	human/USA/MEEI_00075/X/3[P3H3F3]	2013-09-12	USA	Homo sapiens
KF268210.1	human/IND/MEEI_00057/2011/3[P7H3F3]	2011-04-XX	India: Tamil Nadu	Homo sapiens; sex: M; age: 10M
KF268212.1	human/IND/MEEI_00062/2011/3[P7H3F3]	2011-04-06	India: Tamil Nadu	Homo sapiens; sex: F; age: 7M
KF268311.1	human/CHN/Ad4/2007/NEW[P3H3F7]	2007-01-01	China: Guangzhou	Homo sapiens
KF429752.1	human/USA/Pitts_00112/1988/NEW[P3H3F7]	1988-XX-XX	USA: Pittsburgh, Pennsylvania	Homo sapiens
JX423380.1	human/USA/ak32_AdV3a/2004/3[P3H3F3]	2004-07-01	USA: San Diego	Homo sapiens
JX423381.1	human/USA/ak33_AdV3a/2003/3[P3H3F3]	2003-01-01	USA: Philadelphia	Homo sapiens
JX423382.1	human/USA/ak34_AdV3a2/2008/3[P3H3F3]	2008-01-01	USA: Philadelphia	Homo sapiens
AY599836.1	NHRC 1276	2006-05-10	USA: Illinois, NTC Great Lakes	None
DQ099432.4	Guangzhou01	2005-01-XX	None	None
DQ105654.4	Guangzhou02	2004-07-XX	None	None
