Accession	Virus	Strain	Author	Publication_Title	Journal	Database
Fred_Hutch_seq_131	Mumps	Wisconsin.USA/15.06/FH131/G	Moncla et al	Unpublished		Genbank
JX287385	Mumps	Iowa.USA/06/G	Kirkness et al	Direct Submission	Submitted (12-JUN-2012) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	Genbank
Fred_Hutch_seq_159	Mumps	Wisconsin.USA/28.06/FH159/G	Moncla et al	Unpublished		Genbank
Fred_Hutch_seq_93	Mumps	Wisconsin.USA/37.06/FH93/G	Moncla et al	Unpublished		Genbank
Fred_Hutch_seq_99	Mumps	Wisconsin.USA/41.06/FH99/G	Moncla et al	Unpublished		Genbank
Fred_Hutch_seq_153	Mumps	Wisconsin.USA/41.06/FH153/G	Moncla et al	Unpublished		Genbank
Fred_Hutch_seq_107	Mumps	Wisconsin.USA/7.07/FH107/G	Moncla et al	Unpublished		Genbank
Fred_Hutch_seq_108	Mumps	Wisconsin.USA/11.07/FH108/G	Moncla et al	Unpublished		Genbank
Fred_Hutch_seq_109	Mumps	Wisconsin.USA/11.07/FH109/G	Moncla et al	Unpublished		Genbank
Fred_Hutch_seq_154	Mumps	Wisconsin.USA/7.07/FH154/G	Moncla et al	Unpublished		Genbank
KY006856	Mumps	Ontario.CAN/37.09/G	Eshaghi et al	A Review of Laboratory Testing During a Mumps Outbreak in Ontario, Canada	Unpublished	Genbank
BCCDC26	Mumps	BritishColumbia.CAN/14.11/2/G	Gardy et al	Unpublished		Genbank
KY680537	Mumps	Ontario.CAN/38.09/2/G	Eshaghi et al	Mumps Outbreak in Ontario, Canada 2009-2010	Unpublished	Genbank
KY680538	Mumps	Ontario.CAN/40.09/1/G	Eshaghi et al	Mumps Outbreak in Ontario, Canada 2009-2010	Unpublished	Genbank
KY680539	Mumps	Ontario.CAN/50.09/1/G	Eshaghi et al	Mumps Outbreak in Ontario, Canada 2009-2010	Unpublished	Genbank
KY680540	Mumps	Ontario.CAN/50.09/3/G	Eshaghi et al	Mumps Outbreak in Ontario, Canada 2009-2010	Unpublished	Genbank
KY969482	Mumps	California.USA/40.11/G	Espinosa et al	Direct Submission	Submitted (20-APR-2017) Viral and Rickettsial Disease Laboratory, California Department of Public Health, 850 Marina Bay Parkway, Richmond, CA 94804, USA	Genbank
MG986442	Mumps	NewJersey.USA/16.14/2/G	Bankamp et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
MG986387	Mumps	Indiana.USA/5.14/G	Bankamp et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
Fred_Hutch_seq_110	Mumps	Wisconsin.USA/16.14/FH110/G	Moncla et al	Unpublished		Genbank
Fred_Hutch_seq_85	Mumps	Wisconsin.USA/16.14/FH85/G	Moncla et al	Unpublished		Genbank
Fred_Hutch_seq_112	Mumps	Wisconsin.USA/24.14/FH112/G	Moncla et al	Unpublished		Genbank
Fred_Hutch_seq_113	Mumps	Wisconsin.USA/29.14/FH113/G	Moncla et al	Unpublished		Genbank
Fred_Hutch_seq_111	Mumps	Wisconsin.USA/20.14/FH111/G	Moncla et al	Unpublished		Genbank
MG986436	Mumps	NewYork.USA/10.14/3/G	Bankamp et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
Broad_sequence_52	Mumps	NewYork.USA/10.14/2/G	Wohl et al	Unpublished		Genbank
Fred_Hutch_seq_86	Mumps	Wisconsin.USA/20.14/FH86/G	Moncla et al	Unpublished		Genbank
MG986410	Mumps	NewYork.USA.USA/51.14/G	Bankamp et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
MG986395	Mumps	NewYork.USA/8.14/G	Bankamp et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
MG986451	Mumps	Ohio.USA/13.14/10/G	Bankamp et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
MG986409	Mumps	Ohio.USA/12.14/9/G	Bankamp et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
MG986455	Mumps	Ohio.USA/13.14/6/G	Bankamp et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
MG986450	Mumps	Michigan.USA/12.14/G	Bankamp et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
MG986390	Mumps	Ohio.USA/16.14/2/G	Bankamp et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
MG986449	Mumps	Ohio.USA/16.14/1/G	Bankamp et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
MG986446	Mumps	Ohio.USA/13.14/7/G	Bankamp et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
MG986426	Mumps	Ohio.USA/11.14/2/G	Bankamp et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
MF965312	Mumps	Massachusetts.USA/20.16/2/G	Byrne et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
Fred_Hutch_seq_102	Mumps	Ohio.USA/2.18/FH102/G	Moncla et al	Unpublished		Genbank
MF965207	Mumps	Massachusetts.USA/46.16/5/G	Byrne et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
MF965262	Mumps	Massachusetts.USA/37.15/1/G	Byrne et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
MF965213	Mumps	Massachusetts.USA/13.16/4/G	Byrne et al	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	Genbank
Fred_Hutch_seq_53	Mumps	Washington.USA/19.17/FH53/G	Moncla et al	Unpublished		Genbank
BCCDC107	Mumps	BritishColumbia.CAN/11.16/G	Gardy et al	Unpublished		Genbank
Fred_Hutch_seq_79	Mumps	Washington.USA/16.17/FH79/G	Moncla et al	Unpublished		Genbank
Fred_Hutch_seq_135	Mumps	Missouri.USA/15.17/FH135/G	Moncla et al	Unpublished		Genbank
BCCDC21	Mumps	Manitoba.CAN/43.16/11/G	Gardy et al	Unpublished		Genbank
BCCDC23	Mumps	Manitoba.CAN/44.16/15/G	Gardy et al	Unpublished		Genbank
BCCDC24	Mumps	Manitoba.CAN/47.16/4/G	Gardy et al	Unpublished		Genbank
BCCDC22	Mumps	Manitoba.CAN/43.16/5/G	Gardy et al	Unpublished		Genbank
Ontario_outbreak_17	Mumps	Ontario.CAN/13.17/1/G	Stapleton et al	Unpublished		Genbank
