strain	strain_name	date	country	host
MZ736616.1	B19V-46	2021-02-15	China	Homo sapiens
MZ736617.1	B19V-465	2021-02-15	China	Homo sapiens
MZ736618.1	B19V-3	2021-01-05	China	Homo sapiens
MZ736619.1	B19V-86	2021-01-05	China	Homo sapiens
MZ736620.1	B19V-181	2021-01-05	China	Homo sapiens
MZ736621.1	B19V-276	2021-01-05	China	Homo sapiens
MZ736622.1	B19V-289	2021-01-05	China	Homo sapiens
MZ736623.1	B19V-390	2021-01-05	China	Homo sapiens
MZ695225.1	None	2021-01-05	China	Homo sapiens
MZ695226.1	None	2021-02-15	China	Homo sapiens
MZ695227.1	None	2021-02-15	China	Homo sapiens
MZ695228.1	None	2021-02-15	China	Homo sapiens
MZ695229.1	None	2021-02-15	China	Homo sapiens
MZ695230.1	None	2021-02-15	China	Homo sapiens
MZ695231.1	None	2021-02-15	China	Homo sapiens
MZ695232.1	None	2021-02-15	China	Homo sapiens
OL672523.1	None	2018-03-31	Brazil: Cuiaba/MT	Homo sapiens
OL672524.1	None	2018-03-31	Brazil: Cuiaba/MT	Homo sapiens
OL672525.1	None	2018-05-30	Brazil: Cuiaba/MT	Homo sapiens
OL672526.1	None	2018-03-31	Brazil: Cuiaba/MT	Homo sapiens
OL672527.1	None	2018-02-28	Brazil: Mato Grosso	Homo sapiens
OL672528.1	None	2018-02-28	Brazil: Mato Grosso	Homo sapiens
MN765167.1	None	2015-XX-XX	Tanzania	Homo sapiens
MN765168.1	None	2015-XX-XX	Tanzania	Homo sapiens
MN765169.1	None	2015-XX-XX	Tanzania	Homo sapiens
MN765170.1	None	2015-XX-XX	Tanzania	Homo sapiens
MN765171.1	None	2015-XX-XX	Tanzania	Homo sapiens
MT988397.1	None	2015-XX-XX	Finland	Homo sapiens
MT988398.1	None	2015-XX-XX	Finland	Homo sapiens
MT988399.1	None	2015-XX-XX	Finland	Homo sapiens
MT988400.1	None	2015-XX-XX	Finland	Homo sapiens
MT988401.1	None	2015-XX-XX	Finland	Homo sapiens
MT988402.1	None	2015-XX-XX	Finland	Homo sapiens
MT988403.1	None	2015-XX-XX	Finland	Homo sapiens
MN737621.1	None	2013-XX-XX	Belarus	Homo sapiens
MN746294.1	None	2013-XX-XX	Belarus	Homo sapiens
MN746295.1	None	2014-XX-XX	Belarus	Homo sapiens
MN746296.1	None	2013-XX-XX	Belarus	Homo sapiens
MT682520.1	None	2015-XX-XX	Finland	Homo sapiens
MT410184.1	None	2015-XX-XX	Finland	Homo sapiens
MT410185.1	None	2015-XX-XX	Finland	Homo sapiens
MT410186.1	None	2015-XX-XX	Finland	Homo sapiens
MT410187.1	None	2015-XX-XX	Finland	Homo sapiens
MT410188.1	None	2015-XX-XX	Finland	Homo sapiens
MT410189.1	None	2015-XX-XX	Finland	Homo sapiens
MT410190.1	None	2015-XX-XX	Finland	Homo sapiens
MN096573.1	None	2008-XX-XX	Belarus	Homo sapiens
MN096574.1	None	2013-XX-XX	Belarus	Homo sapiens
MN096575.1	None	2010-XX-XX	Belarus	Homo sapiens
MN096576.1	None	2010-XX-XX	Belarus	Homo sapiens
MN105993.1	None	2013-XX-XX	Belarus	Homo sapiens
MK989716.1	20692_3_B19	2020-09-22	Kenya	Homo sapiens
MH201455.1	None	2009-XX-XX	USA	None
MH201456.1	None	2009-XX-XX	USA	None
MH151117.1	None	2017-07-XX	China	None
KX752821.1	None	2017-08-19	USA	Homo sapiens
LN680968.2	B19Vs/Sofia.BGR/21.09	2016-02-01	Bulgaria	None
KT310174.1	HZ1	2014-XX-XX	China	Homo sapiens
KR005640.1	None	2011-XX-XX	Serbia	Homo sapiens
KR005641.1	None	2011-XX-XX	Serbia	Homo sapiens
KR005642.1	None	2011-XX-XX	Serbia	Homo sapiens
KR005643.1	None	2009-XX-XX	Serbia	Homo sapiens
KR005644.1	None	2012-XX-XX	Serbia	Homo sapiens
KT268312.1	None	2015-12-17	Brazil	Homo sapiens
KM393163.1	None	2013-XX-XX	USA	Homo sapiens
KM393164.1	None	2013-XX-XX	USA	Homo sapiens
KM393165.1	None	2013-XX-XX	USA	Homo sapiens
KM393166.1	None	2013-XX-XX	USA	Homo sapiens
KM393167.1	None	2013-XX-XX	USA	Homo sapiens
KM393168.1	None	2013-XX-XX	USA	Homo sapiens
KM393169.1	None	2013-XX-XX	USA	Homo sapiens
KM065414.1	None	2014-10-21	None	Homo sapiens
KM065415.1	None	2014-10-21	Germany	Homo sapiens
KF724386.1	BB-1	2006-XX-XX	Germany	Homo sapiens
KF724387.1	BB-2	2008-XX-XX	Germany	Homo sapiens
KC013303.1	None	2007-XX-XX	Brazil	Homo sapiens
KC013305.1	None	2010-XX-XX	Brazil	Homo sapiens
KC013306.1	None	2009-XX-XX	Brazil	Homo sapiens
KC013308.1	None	2009-XX-XX	Brazil	Homo sapiens
