strain	strain_name	date	country	host
KC013310.1	None	2009-XX-XX	Brazil	Homo sapiens
KC013312.1	None	2008-XX-XX	Brazil	Homo sapiens
KC013313.1	None	2009-XX-XX	Brazil	Homo sapiens
KC013314.1	None	2009-XX-XX	Brazil	Homo sapiens
KC013315.1	None	2010-XX-XX	Brazil	Homo sapiens
KC013316.1	None	2009-XX-XX	Brazil	Homo sapiens
KC013321.1	None	2009-XX-XX	Brazil	Homo sapiens
KC013322.1	None	2009-XX-XX	Brazil	Homo sapiens
KC013323.1	None	2010-XX-XX	Brazil	Homo sapiens
KC013324.1	None	2009-XX-XX	Brazil	Homo sapiens
KC013325.1	None	2010-XX-XX	Brazil	Homo sapiens
KC013326.1	None	2010-XX-XX	Brazil	Homo sapiens
KC013327.1	None	2010-XX-XX	Brazil	Homo sapiens
KC013328.1	None	2009-XX-XX	Brazil	Homo sapiens
KC013329.1	None	2009-XX-XX	Brazil	Homo sapiens
KC013331.1	None	2009-XX-XX	Brazil	Homo sapiens
KC013332.1	None	2008-XX-XX	Brazil	Homo sapiens
KC013333.1	None	2010-XX-XX	Brazil	Homo sapiens
KC013338.1	None	2009-XX-XX	Brazil	Homo sapiens
KC013340.1	None	2007-XX-XX	Brazil	Homo sapiens
KC013343.1	None	2007-XX-XX	Brazil	Homo sapiens
KC013344.1	None	2009-XX-XX	Brazil	Homo sapiens
KC013346.1	None	2010-XX-XX	Brazil	Homo sapiens
KC013351.1	None	2010-XX-XX	Brazil	Homo sapiens
JN211121.1	None	2006-01-XX	Netherlands	Homo sapiens
JN211122.1	None	2009-02-XX	Netherlands	Homo sapiens
JN211123.1	None	2004-04-XX	Netherlands	Homo sapiens
JN211124.1	None	2009-01-XX	Netherlands	Homo sapiens
JN211125.1	None	2003-03-XX	Netherlands	Homo sapiens
JN211126.1	None	2009-02-XX	Netherlands	Homo sapiens
JN211127.1	None	2003-04-XX	Netherlands	Homo sapiens
JN211128.1	None	2006-03-XX	Netherlands	Homo sapiens
JN211129.1	None	2004-01-XX	Netherlands	Homo sapiens
JN211130.1	None	2003-07-XX	Netherlands	Homo sapiens
JN211131.1	None	2006-02-XX	Netherlands	Homo sapiens
JN211132.1	None	2006-02-XX	Netherlands	Homo sapiens
JN211133.1	None	2009-03-XX	Netherlands	Homo sapiens
JN211134.1	None	2004-07-XX	Netherlands	Homo sapiens
JN211135.1	None	2008-07-XX	Netherlands	Homo sapiens
JN211136.1	None	2008-06-XX	Netherlands	Homo sapiens
JN211137.1	None	2009-05-XX	Netherlands	Homo sapiens
JN211138.1	None	2003-12-XX	Netherlands	Homo sapiens
JN211139.1	None	2003-12-XX	Netherlands	Homo sapiens
JN211140.1	None	2009-04-XX	Netherlands	Homo sapiens
JN211141.1	None	2006-06-XX	Netherlands	Homo sapiens
JN211142.1	None	2009-04-XX	Netherlands	Homo sapiens
JN211143.1	None	2006-04-XX	Netherlands	Homo sapiens
JN211144.1	None	2004-02-XX	Netherlands	Homo sapiens
JN211145.1	None	2006-03-XX	Netherlands	Homo sapiens
JN211146.1	None	2009-05-XX	Netherlands	Homo sapiens
JN211147.1	None	2006-06-XX	Netherlands	Homo sapiens
JN211148.1	None	2008-05-XX	Netherlands	Homo sapiens
JN211149.1	None	2004-11-XX	Netherlands	Homo sapiens
JN211150.1	None	2004-03-XX	Netherlands	Homo sapiens
JN211151.1	None	2004-04-XX	Netherlands	Homo sapiens
JN211152.1	None	2009-05-XX	Netherlands	Homo sapiens
JN211153.1	None	2004-06-XX	Netherlands	Homo sapiens
JN211154.1	None	2003-04-XX	Netherlands	Homo sapiens
JN211155.1	None	2003-04-XX	Netherlands	Homo sapiens
JN211156.1	None	2009-07-XX	Netherlands	Homo sapiens
JN211157.1	None	2003-04-XX	Netherlands	Homo sapiens
JN211158.1	None	2009-08-XX	Netherlands	Homo sapiens
JN211159.1	None	2009-07-XX	Netherlands	Homo sapiens
JN211160.1	None	2004-09-XX	Netherlands	Homo sapiens
JN211161.1	None	2006-07-XX	Netherlands	Homo sapiens
JN211162.1	None	2004-10-XX	Netherlands	Homo sapiens
JN211163.1	None	2003-07-XX	Netherlands	Homo sapiens
JN211164.1	None	2006-05-XX	Netherlands	Homo sapiens
JN211165.1	None	2009-08-XX	Netherlands	Homo sapiens
JN211166.1	None	2006-04-XX	Netherlands	Homo sapiens
JN211167.1	None	2003-05-XX	Netherlands	Homo sapiens
JN211168.1	None	2008-06-XX	Netherlands	Homo sapiens
JN211169.1	None	2006-03-XX	Netherlands	Homo sapiens
JN211170.1	None	2003-05-XX	Netherlands	Homo sapiens
JN211171.1	None	2008-12-XX	Netherlands	Homo sapiens
JN211172.1	None	2008-12-XX	Netherlands	Homo sapiens
JN211173.1	None	2006-09-XX	Netherlands	Homo sapiens
JN211174.1	None	2009-08-XX	Netherlands	Homo sapiens
JN211175.1	None	2008-07-XX	Netherlands	Homo sapiens
JN211176.1	None	2004-07-XX	Netherlands	Homo sapiens
JN211177.1	None	2004-12-XX	Netherlands	Homo sapiens
JN211178.1	None	2008-10-XX	Netherlands	Homo sapiens
JN211179.1	None	2006-07-XX	Netherlands	Homo sapiens
JN211180.1	None	2003-08-XX	Netherlands	Homo sapiens
JN211181.1	None	2004-01-XX	Netherlands	Homo sapiens
JN211182.1	None	2004-06-XX	Netherlands	Homo sapiens
JN211183.1	None	2003-12-XX	Netherlands	Homo sapiens
JN211184.1	None	2004-04-XX	Netherlands	Homo sapiens
JN211185.1	None	2003-04-XX	Netherlands	Homo sapiens
HQ340601.1	None	2009-07-XX	Germany	Homo sapiens; patient 7
HQ340602.1	None	2009-07-XX	Germany	Homo sapiens; patient 8
FN669502.1	CAEN.FRA 19.09/1	2016-07-25	France:Normandy	Homo sapiens
FN669503.1	CAEN.FRA 19.09/2	2016-07-25	France:Normandy	Homo sapiens
FN669504.1	CAEN.FRA 21.09/1	2016-07-25	France:Normandy	Homo sapiens
FN669505.1	CAEN.FRA 21.09/2	2016-07-25	France:Normandy	Homo sapiens
FN669506.1	CAEN.FRA 24.09	2016-07-25	France:Normandy	Homo sapiens
FN669507.1	CAEN.FRA 30.09	2016-07-25	France:Normandy	Homo sapiens
AB550331.1	None	2010-03-13	None	None
FN598217.1	None	2002-02-22	Belgium	Homo sapiens
FN598218.1	None	2009-12-01	None	Homo sapiens
FJ591158.1	None	2008-XX-XX	USA	Homo sapiens
FJ265736.1	None	2007-02-XX	USA	Homo sapiens
EF216869.1	None	2007-02-14	USA	None
DQ408301.1	None	2007-12-20	Germany	None
DQ408302.1	None	2007-12-20	Germany	None
DQ408303.1	None	2007-12-20	Germany	None
DQ408304.1	None	2007-12-20	Germany	None
DQ408305.1	None	2007-12-20	Germany	None
DQ357064.1	None	2006-09-12	Viet Nam	None
DQ357065.1	None	2006-09-12	Viet Nam	None
DQ333426.1	None	2007-12-20	Germany	None
DQ333427.1	None	2007-12-20	Germany	None
DQ333428.1	None	2007-12-20	Germany	None
DQ293995.2	None	2006-12-04	Belgium	None
DQ234769.2	None	2007-01-25	Ghana: Kumasi	None
DQ234771.2	None	2007-01-25	Ghana: Kumasi	None
DQ234775.2	None	2007-01-25	Ghana: Kumasi	None
DQ234778.2	None	2007-01-25	Ghana: Kumasi	None
DQ234779.2	None	2007-01-25	Ghana: Kumasi	None
DQ225148.1	None	2006-09-12	Germany	None
DQ225149.1	None	2006-09-12	Germany	None
DQ225150.1	None	2006-09-12	Germany	None
DQ225151.1	None	2006-09-12	Germany	None
AY903437.2	IM-81	2014-05-19	Germany	None
AY647977.1	None	2004-07-07	Brazil	Homo sapiens
AJ781031.1	None	2016-07-26	None	None
AJ781032.1	None	2016-07-26	None	None
AJ781033.1	None	2016-07-26	None	None
AJ781034.1	None	2016-07-26	None	None
AJ781035.1	None	2016-07-26	None	None
AJ781036.1	None	2016-07-26	None	None
AJ781037.1	None	2016-07-26	None	None
AJ781038.1	None	2004-08-03	None	None
AJ717293.1	None	2016-07-26	Germany:Berlin	Homo sapiens
AY582124.2	None	2006-12-04	Ghana	None
AY582125.2	None	2006-12-04	Ghana	None
AY504945.1	None	2006-05-10	United Kingdom	None
AB126262.1	None	2008-11-14	None	None
AB126263.1	None	2008-11-14	None	None
AB126264.1	None	2008-11-14	None	None
AB126265.1	None	2008-11-14	None	None
AB126266.1	None	2008-11-14	None	None
AB126267.1	None	2008-11-14	None	None
AB126268.1	None	2008-11-14	None	None
AB126269.1	None	2008-11-14	None	None
AB126270.1	None	2008-11-14	None	None
AB126271.1	None	2008-11-14	None	None
AY386330.1	None	2004-11-12	None	None
AY083234.1	None	2002-08-28	None	None
AY064475.1	None	2004-03-04	None	None
AY064476.1	None	2004-03-04	None	None
AY044266.2	None	2006-11-15	None	None
AY028237.1	None	2001-04-14	None	None
AB030673.1	None	2009-09-16	None	None
AB030693.1	None	2009-09-16	None	None
AB030694.1	None	2009-09-16	None	None
AF162273.1	HV	1999-08-02	None	None
NC_000883.2	None	2018-08-13	None	None
AF161223.1	None	2015-01-21	None	None
AF161224.1	None	2015-01-21	None	None
AF161225.1	None	2015-01-21	None	None
AF161226.1	None	2015-01-21	None	None
AF113323.1	None	2000-03-21	None	None
Z70528.1	None	2016-07-14	None	None
Z70560.1	None	1996-04-09	None	None
Z70599.1	None	2016-07-14	None	None
Z68146.1	None	2004-09-09	None	None
M13178.1	None	1995-05-17	None	None
M24682.1	None	1993-08-03	None	None
