strain	strain_name	date	segment	country	host
LC720285.1	Influenza C virus C/Fukushima/O181/2018 viral cRNA, segment 4, nearly complete sequence	2018-XX-XX	HE	Japan	Homo sapiens LC720285.1
MZ330902.1	Influenza C virus (C/Biliran/TB2-293/2014) segment 4 hemagglutinin-esterase (HE) gene, complete cds	2014-10-02	HE	Philippines	Homo sapiens MZ330902.1
MZ330923.1	Influenza C virus (C/Biliran/TB4-130/2018) segment 4 hemagglutinin-esterase (HE) gene, complete cds	2018-03-27	HE	Philippines	Homo sapiens MZ330923.1
MZ330930.1	Influenza C virus (C/Biliran/TB4-169/2018) segment 4 hemagglutinin-esterase (HE) gene, complete cds	2018-04-24	HE	Philippines	Homo sapiens MZ330930.1
MZ330937.1	Influenza C virus (C/Biliran/TB4-271/2019) segment 4 hemagglutinin-esterase (HE) gene, complete cds	2019-07-08	HE	Philippines	Homo sapiens MZ330937.1
MZ330993.1	Influenza C virus (C/Biliran/TB8-250/2014) segment 4 hemagglutinin-esterase (HE) gene, complete cds	2014-07-10	HE	Philippines	Homo sapiens MZ330993.1
MZ331007.1	Influenza C virus (C/Palawan/068/2014) segment 4 hemagglutinin-esterase (HE) gene, complete cds	2014-03-18	HE	Philippines	Homo sapiens MZ331007.1
LC512487.1	Influenza C virus (C/Yamagata/16/2010) HE gene for hemagglutinin-esterase, partial cds	2010-03-05	HE	Japan	Homo sapiens LC512487.1
LC512488.1	Influenza C virus (C/Yamagata/2/2015) HE gene for hemagglutinin-esterase, partial cds	2015-12-14	HE	Japan	Homo sapiens LC512488.1
LC512489.1	Influenza C virus (C/Yamagata/5/2015) HE gene for hemagglutinin-esterase, partial cds	2015-06-03	HE	Japan	Homo sapiens LC512489.1
LC512490.1	Influenza C virus (C/Yamagata/10/2016) HE gene for hemagglutinin-esterase, partial cds	2016-02-03	HE	Japan	Homo sapiens LC512490.1
LC512491.1	Influenza C virus (C/Yamagata/14/2016) HE gene for hemagglutinin-esterase, partial cds	2016-02-12	HE	Japan	Homo sapiens LC512491.1
LC512492.1	Influenza C virus (C/Yamagata/25/2016) HE gene for hemagglutinin-esterase, partial cds	2016-03-26	HE	Japan	Homo sapiens LC512492.1
LC512493.1	Influenza C virus (C/Yamagata/27/2016) HE gene for hemagglutinin-esterase, partial cds	2016-03-30	HE	Japan	Homo sapiens LC512493.1
LC512494.1	Influenza C virus (C/Yamagata/28/2016) HE gene for hemagglutinin-esterase, partial cds	2016-04-13	HE	Japan	Homo sapiens LC512494.1
LC512495.1	Influenza C virus (C/Yamagata/32/2016) HE gene for hemagglutinin-esterase, partial cds	2016-04-25	HE	Japan	Homo sapiens LC512495.1
LC512496.1	Influenza C virus (C/Yamagata/37/2016) HE gene for hemagglutinin-esterase, partial cds	2016-05-14	HE	Japan	Homo sapiens LC512496.1
LC512497.1	Influenza C virus (C/Yamagata/1/2017) HE gene for hemagglutinin-esterase, partial cds	2017-12-13	HE	Japan	Homo sapiens LC512497.1
LC512498.1	Influenza C virus (C/Yamagata/2/2017) HE gene for hemagglutinin-esterase, partial cds	2017-12-20	HE	Japan	Homo sapiens LC512498.1
LC512499.1	Influenza C virus (C/Yamagata/1/2018) HE gene for hemagglutinin-esterase, partial cds	2018-01-06	HE	Japan	Homo sapiens LC512499.1
LC512500.1	Influenza C virus (C/Yamagata/2/2018) HE gene for hemagglutinin-esterase, partial cds	2018-01-16	HE	Japan	Homo sapiens LC512500.1
LC512501.1	Influenza C virus (C/Yamagata/6/2018) HE gene for hemagglutinin-esterase, partial cds	2018-01-22	HE	Japan	Homo sapiens LC512501.1
LC512502.1	Influenza C virus (C/Yamagata/8/2018) HE gene for hemagglutinin-esterase, partial cds	2018-01-26	HE	Japan	Homo sapiens LC512502.1
LC512503.1	Influenza C virus (C/Yamagata/16/2018) HE gene for hemagglutinin-esterase, partial cds	2018-02-19	HE	Japan	Homo sapiens LC512503.1
LC512504.1	Influenza C virus (C/Yamagata/19/2018) HE gene for hemagglutinin-esterase, partial cds	2018-02-21	HE	Japan	Homo sapiens LC512504.1
LC512505.1	Influenza C virus (C/Yamagata/23/2018) HE gene for hemagglutinin-esterase, partial cds	2018-03-26	HE	Japan	Homo sapiens LC512505.1
LC512506.1	Influenza C virus (C/Yamagata/31/2018) HE gene for hemagglutinin-esterase, partial cds	2018-04-25	HE	Japan	Homo sapiens LC512506.1
LC512507.1	Influenza C virus (C/Yamagata/38/2018) HE gene for hemagglutinin-esterase, partial cds	2018-05-22	HE	Japan	Homo sapiens LC512507.1
LC512508.1	Influenza C virus (C/Yamagata/40/2018) HE gene for hemagglutinin-esterase, partial cds	2018-05-26	HE	Japan	Homo sapiens LC512508.1
LC512509.1	Influenza C virus (C/Yamagata/42/2018) HE gene for hemagglutinin-esterase, partial cds	2018-06-26	HE	Japan	Homo sapiens LC512509.1
LC512510.1	Influenza C virus (C/Yamagata/30/2016) HE gene for hemagglutinin-esterase, partial cds	2016-04-18	HE	Japan	Homo sapiens LC512510.1
LC512511.1	Influenza C virus (C/Yamagata/34/2016) HE gene for hemagglutinin-esterase, partial cds	2016-04-27	HE	Japan	Homo sapiens LC512511.1
LC512512.1	Influenza C virus (C/Yamagata/5/2018) HE gene for hemagglutinin-esterase, partial cds	2018-01-19	HE	Japan	Homo sapiens LC512512.1
LC512513.1	Influenza C virus (C/Yamagata/39/2018) HE gene for hemagglutinin-esterase, partial cds	2018-05-25	HE	Japan	Homo sapiens LC512513.1
MK480585.1	Influenza C virus (C/Thailand/B12597_HE_gene/2015) segment 4 hemagglutinin-esterase (HE) gene, partial cds	2015-08-31	HE	Thailand	Homo sapiens MK480585.1
MK480599.1	Influenza C virus (C/Thailand/CN38_HE_gene/2017) segment 4 hemagglutinin-esterase (HE) gene, partial cds	2017-03-07	HE	Thailand	Homo sapiens MK480599.1
MK050092.1	Influenza C virus (C/Seoul/APD462/2015) segment 4 hemagglutinin-esterase (HE) gene, partial cds	2015-04-11	HE	South Korea	Homo sapiens MK050092.1
MK050093.1	Influenza C virus (C/Seoul/APD401/2015) segment 4 hemagglutinin-esterase (HE) gene, partial cds	2015-03-29	HE	South Korea	Homo sapiens MK050093.1
MK050094.1	Influenza C virus (C/Cheongju/GPD805/2015) segment 4 hemagglutinin-esterase (HE) gene, partial cds	2015-03-19	HE	South Korea	Homo sapiens MK050094.1
LC327655.1	Influenza C virus (C/Iwate/1/2016) HEF gene for hemagglutinin-esterase-fusion, partial cds	2016-03-XX	HE	Japan	Homo sapiens LC327655.1
LC327662.1	Influenza C virus (C/Iwate/2/2016) HEF gene for hemagglutinin-esterase-fusion, partial cds	2016-05-XX	HE	Japan	Homo sapiens LC327662.1
LC385860.1	Influenza C virus (C/Yamagata/1/2016) HE gene for hemagglutinin-esterase, partial cds	2016-01-18	HE	Japan	Homo sapiens LC385860.1
LC385861.1	Influenza C virus (C/Yamagata/4/2016) HE gene for hemagglutinin-esterase, partial cds	2016-01-25	HE	Japan	Homo sapiens LC385861.1
LC385862.1	Influenza C virus (C/Yamagata/6/2016) HE gene for hemagglutinin-esterase, partial cds	2016-02-02	HE	Japan	Homo sapiens LC385862.1
LC385863.1	Influenza C virus (C/Yamagata/12/2016) HE gene for hemagglutinin-esterase, partial cds	2016-02-08	HE	Japan	Homo sapiens LC385863.1
LC385864.1	Influenza C virus (C/Yamagata/24/2016) HE gene for hemagglutinin-esterase, partial cds	2016-03-26	HE	Japan	Homo sapiens LC385864.1
