strain	strain_name	date	segment	country	host
LC385865.1	Influenza C virus (C/Yamagata/26/2016) HE gene for hemagglutinin-esterase, partial cds	2016-03-28	HE	Japan	Homo sapiens LC385865.1
LC385866.1	Influenza C virus (C/Yamagata/35/2016) HE gene for hemagglutinin-esterase, partial cds	2016-05-11	HE	Japan	Homo sapiens LC385866.1
LC385867.1	Influenza C virus (C/Yamagata/36/2016) HE gene for hemagglutinin-esterase, partial cds	2016-05-13	HE	Japan	Homo sapiens LC385867.1
CY239424.1	Influenza C virus (C/Minnesota/04/2015) hemagglutinin-esterase (HE) gene, partial cds	2015-02-06	HE	USA	Homo sapiens CY239424.1
CY239433.1	Influenza C virus (C/Minnesota/08/2015) hemagglutinin-esterase (HE) gene, complete cds	2015-03-04	HE	USA	Homo sapiens CY239433.1
CY239435.1	Influenza C virus (C/Minnesota/09/2015) hemagglutinin-esterase (HE) gene, partial cds	2015-03-10	HE	USA	Homo sapiens CY239435.1
CY239446.1	Influenza C virus (C/Minnesota/16/2015) hemagglutinin-esterase (HE) gene, complete cds	2015-03-19	HE	USA	Homo sapiens CY239446.1
CY239447.1	Influenza C virus (C/Minnesota/17/2015) hemagglutinin-esterase (HE) gene, complete cds	2015-03-27	HE	USA	Homo sapiens CY239447.1
CY239448.1	Influenza C virus (C/Minnesota/18/2015) hemagglutinin-esterase (HE) gene, complete cds	2015-03-27	HE	USA	Homo sapiens CY239448.1
CY239450.1	Influenza C virus (C/Minnesota/19/2015) hemagglutinin-esterase (HE) gene, complete cds	2015-03-30	HE	USA	Homo sapiens CY239450.1
CY239454.1	Influenza C virus (C/Minnesota/21/2015) hemagglutinin-esterase (HE) gene, complete cds	2015-03-29	HE	USA	Homo sapiens CY239454.1
CY239455.1	Influenza C virus (C/Minnesota/22/2015) hemagglutinin-esterase (HE) gene, complete cds	2015-03-31	HE	USA	Homo sapiens CY239455.1
CY239457.1	Influenza C virus (C/Minnesota/23/2015) hemagglutinin-esterase (HE) gene, complete cds	2015-04-15	HE	USA	Homo sapiens CY239457.1
CY239459.1	Influenza C virus (C/Minnesota/24/2015) hemagglutinin-esterase (HE) gene, complete cds	2015-04-14	HE	USA	Homo sapiens CY239459.1
CY239473.1	Influenza C virus (C/Minnesota/29/2015) hemagglutinin-esterase (HE) gene, complete cds	2015-02-23	HE	USA	Homo sapiens CY239473.1
CY239481.1	Influenza C virus (C/Minnesota/33/2015) hemagglutinin-esterase (HE) gene, complete cds	2015-03-11	HE	USA	Homo sapiens CY239481.1
KT232085.1	Influenza C virus (C/India/P119564/2011) segment 4 hemagglutinin-esterase (HE) gene, partial cds	2011-06-10	HE	India	Homo sapiens KT232085.1
LC122644.1	Influenza C virus (C/Yamagata/18/2004) HE gene for hemagglutinin-esterase, partial cds	2004-05-14	HE	Japan	Homo sapiens LC122644.1
LC122648.1	Influenza C virus (C/Yamagata/1/2005) HE gene for hemagglutinin-esterase, partial cds	2005-06-07	HE	Japan	Homo sapiens LC122648.1
LC122650.1	Influenza C virus (C/Yamagata/3/2005) HE gene for hemagglutinin-esterase, partial cds	2005-09-07	HE	Japan	Homo sapiens LC122650.1
LC122653.1	Influenza C virus (C/Fukuoka/1/2005) HE gene for hemagglutinin-esterase, partial cds	2005-12-28	HE	Japan	Homo sapiens LC122653.1
LC122656.1	Influenza C virus (C/Yamagata/9/2006) HE gene for hemagglutinin-esterase, partial cds	2006-06-13	HE	Japan	Homo sapiens LC122656.1
LC122658.1	Influenza C virus (C/Yamagata/20/2006) HE gene for hemagglutinin-esterase, partial cds	2006-11-24	HE	Japan	Homo sapiens LC122658.1
LC122659.1	Influenza C virus (C/Miyagi/4/2006) HE gene for hemagglutinin-esterase, partial cds	2006-06-04	HE	Japan	Homo sapiens LC122659.1
LC122660.1	Influenza C virus (C/Yamagata/1/2007) HE gene for hemagglutinin-esterase, partial cds	2007-01-17	HE	Japan	Homo sapiens LC122660.1
LC122661.1	Influenza C virus (C/Yamagata/3/2008) HE gene for hemagglutinin-esterase, partial cds	2008-03-26	HE	Japan	Homo sapiens LC122661.1
LC122662.1	Influenza C virus (C/Yamagata/11/2008) HE gene for hemagglutinin-esterase, partial cds	2008-04-30	HE	Japan	Homo sapiens LC122662.1
LC122663.1	Influenza C virus (C/Yamagata/16/2008) HE gene for hemagglutinin-esterase, partial cds	2008-05-19	HE	Japan	Homo sapiens LC122663.1
LC122664.1	Influenza C virus (C/Miyagi/2/2008) HE gene for hemagglutinin-esterase, partial cds	2008-02-21	HE	Japan	Homo sapiens LC122664.1
LC122665.1	Influenza C virus (C/Miyagi/3/2010) HE gene for hemagglutinin-esterase, partial cds	2010-04-12	HE	Japan	Homo sapiens LC122665.1
LC122666.1	Influenza C virus (C/Tokyo/3/2010) HE gene for hemagglutinin-esterase, partial cds	2010-04-23	HE	Japan	Homo sapiens LC122666.1
LC122668.1	Influenza C virus (C/Yamagata/3/2012) HE gene for hemagglutinin-esterase, partial cds	2012-02-07	HE	Japan	Homo sapiens LC122668.1
LC122670.1	Influenza C virus (C/Yamagata/14/2012) HE gene for hemagglutinin-esterase, partial cds	2012-06-01	HE	Japan	Homo sapiens LC122670.1
LC122672.1	Influenza C virus (C/Miyagi/2/2012) HE gene for hemagglutinin-esterase, partial cds	2012-01-26	HE	Japan	Homo sapiens LC122672.1
LC122673.1	Influenza C virus (C/Fukuoka/1/2012) HE gene for hemagglutinin-esterase, partial cds	2012-04-11	HE	Japan	Homo sapiens LC122673.1
LC122675.1	Influenza C virus (C/Miyagi/5/2014) HE gene for hemagglutinin-esterase, partial cds	2014-05-17	HE	Japan	Homo sapiens LC122675.1
LC122676.1	Influenza C virus (C/Miyagi/6/2014) HE gene for hemagglutinin-esterase, partial cds	2014-06-02	HE	Japan	Homo sapiens LC122676.1
LC122677.1	Influenza C virus (C/Tokyo/1/2014) HE gene for hemagglutinin-esterase, partial cds	2014-02-01	HE	Japan	Homo sapiens LC122677.1
LC122678.1	Influenza C virus (C/Tokyo/4/2014) HE gene for hemagglutinin-esterase, partial cds	2014-04-23	HE	Japan	Homo sapiens LC122678.1
KM507548.1	Influenza C virus (C/India/P121719/2012) segment 4 hemagglutinin-esterase (HE) gene, partial cds	2012-02-24	HE	India	Homo sapiens KM507548.1
KT835351.1	Influenza C virus (C/Scotland/6855/2007) segment 4 hemagglutinin-esterase (HE) gene, partial cds	2007-11-XX	HE	United Kingdom	Homo sapiens KT835351.1
KT835352.1	Influenza C virus (C/Scotland/7274/2007) segment 4 hemagglutinin-esterase (HE) gene, partial cds	2007-12-XX	HE	United Kingdom	Homo sapiens KT835352.1
KT835354.1	Influenza C virus (C/Scotland/7482/2007) segment 4 hemagglutinin-esterase (HE) gene, partial cds	2007-12-XX	HE	United Kingdom	Homo sapiens KT835354.1
LC013253.1	Influenza C virus (C/Yamagata/6/2014) HE gene for hemagglutinin-esterase, partial cds	2014-04-16	HE	Japan	Homo sapiens LC013253.1
LC013256.1	Influenza C virus (C/Yamagata/15/2014) HE gene for hemagglutinin-esterase, partial cds	2014-05-16	HE	Japan	Homo sapiens LC013256.1
LC013258.1	Influenza C virus (C/Yamagata/30/2014) HE gene for hemagglutinin-esterase, partial cds	2014-06-04	HE	Japan	Homo sapiens LC013258.1
LC013259.1	Influenza C virus (C/Yamagata/32/2014) HE gene for hemagglutinin-esterase, partial cds	2014-06-17	HE	Japan	Homo sapiens LC013259.1
LC013260.1	Influenza C virus (C/Yamagata/33/2014) HE gene for hemagglutinin-esterase, partial cds	2014-07-22	HE	Japan	Homo sapiens LC013260.1
LC013262.1	Influenza C virus (C/Yamagata/14/2006) HE gene for hemagglutinin-esterase, partial cds	2006-08-28	HE	Japan	Homo sapiens LC013262.1
LC013263.1	Influenza C virus (C/Yamagata/18/2008) HE gene for hemagglutinin-esterase, partial cds	2008-06-25	HE	Japan	Homo sapiens LC013263.1
AB978548.1	Influenza C virus (C/Leyte/1/2011) HE gene for hemagglutinin-esterase, partial cds	2011-XX-XX	HE	Philippines	Homo sapiens AB978548.1
AB978549.1	Influenza C virus (C/Leyte/2/2011) HE gene for hemagglutinin-esterase, partial cds	2011-XX-XX	HE	Philippines	Homo sapiens AB978549.1
AB978550.1	Influenza C virus (C/Leyte/3/2011) HE gene for hemagglutinin-esterase, partial cds	2011-XX-XX	HE	Philippines	Homo sapiens AB978550.1
AB978551.1	Influenza C virus (C/Leyte/4/2011) HE gene for hemagglutinin-esterase, partial cds	2011-XX-XX	HE	Philippines	Homo sapiens AB978551.1
AB978552.1	Influenza C virus (C/Leyte/5/2011) HE gene for hemagglutinin-esterase, partial cds	2011-XX-XX	HE	Philippines	Homo sapiens AB978552.1
AB978553.1	Influenza C virus (C/Sendai/TU1/2008) HE gene for hemagglutinin-esterase, partial cds	2008-XX-XX	HE	Japan	Homo sapiens AB978553.1
AB978554.1	Influenza C virus (C/Sendai/TU2/2008) HE gene for hemagglutinin-esterase, partial cds	2008-XX-XX	HE	Japan	Homo sapiens AB978554.1
AB978555.1	Influenza C virus (C/Sendai/TU3/2008) HE gene for hemagglutinin-esterase, partial cds	2008-XX-XX	HE	Japan	Homo sapiens AB978555.1
AB978556.1	Influenza C virus (C/Sendai/TU4/2008) HE gene for hemagglutinin-esterase, partial cds	2008-XX-XX	HE	Japan	Homo sapiens AB978556.1
AB978557.1	Influenza C virus (C/Sendai/TU5/2008) HE gene for hemagglutinin-esterase, partial cds	2008-XX-XX	HE	Japan	Homo sapiens AB978557.1
AB978558.1	Influenza C virus (C/Sendai/TU1/2012) HE gene for hemagglutinin-esterase, partial cds	2012-XX-XX	HE	Japan	Homo sapiens AB978558.1
AB978559.1	Influenza C virus (C/Sendai/TU2/2012) HE gene for hemagglutinin-esterase, partial cds	2012-XX-XX	HE	Japan	Homo sapiens AB978559.1
AB978560.1	Influenza C virus (C/Biliran/1/2013) HE gene for hemagglutinin-esterase, partial cds	2013-XX-XX	HE	Philippines	Homo sapiens AB978560.1
AB978561.1	Influenza C virus (C/Biliran/2/2013) HE gene for hemagglutinin-esterase, partial cds	2013-XX-XX	HE	Philippines	Homo sapiens AB978561.1
AB978562.1	Influenza C virus (C/Biliran/3/2013) HE gene for hemagglutinin-esterase, partial cds	2013-XX-XX	HE	Philippines	Homo sapiens AB978562.1
AB978563.1	Influenza C virus (C/Leyte/1/2013) HE gene for hemagglutinin-esterase, partial cds	2013-XX-XX	HE	Philippines	Homo sapiens AB978563.1
AB978564.1	Influenza C virus (C/Leyte/2/2013) HE gene for hemagglutinin-esterase, partial cds	2013-XX-XX	HE	Philippines	Homo sapiens AB978564.1
AB978565.1	Influenza C virus (C/Leyte/3/2013) HE gene for hemagglutinin-esterase, partial cds	2013-XX-XX	HE	Philippines	Homo sapiens AB978565.1
AB978566.1	Influenza C virus (C/Palawan/1/2013) HE gene for hemagglutinin-esterase, partial cds	2013-XX-XX	HE	Philippines	Homo sapiens AB978566.1
KM504280.1	Influenza C virus (C/Victoria/2/2012) segment 4 hemagglutinin-esterase precursor (HE) gene, complete cds	2012-XX-XX	HE	Australia	Homo sapiens KM504280.1
AB811846.1	Influenza C virus (C/Mie/188/2012) HE gene for hemagglutinin-esterase, partial cds	2012-XX-XX	HE	Japan	Homo sapiens AB811846.1
AB811847.1	Influenza C virus (C/Mie/231/2012) HE gene for hemagglutinin-esterase, partial cds	2012-XX-XX	HE	Japan	Homo sapiens AB811847.1
AB899780.1	Influenza C virus (C/Yamagata/2/2010) HE gene for hemagglutinin-esterase, partial cds	2010-02-09	HE	Japan	Homo sapiens AB899780.1
AB899782.1	Influenza C virus (C/Yamagata/29/2012) HE gene for hemagglutinin-esterase, partial cds	2012-07-30	HE	Japan	Homo sapiens AB899782.1
AB751364.1	Influenza C virus (C/Mie/186/2012) HE gene for hemagglutinin-esterase, partial cds	2012-XX-XX	HE	Japan	AB751364.1
AB751365.1	Influenza C virus (C/Mie/277/2012) HE gene for hemagglutinin-esterase, partial cds	2012-XX-XX	HE	Japan	AB751365.1
AB751594.1	Influenza C virus (C/Mie/275/2012) HE gene for hemagglutinin-esterase, partial cds	2012-XX-XX	HE	Japan	AB751594.1
AB751595.1	Influenza C virus (C/Mie/265/2012) HE gene for hemagglutinin-esterase, partial cds	2012-XX-XX	HE	Japan	AB751595.1
AB751596.1	Influenza C virus (C/Mie/199/2012egg) HE gene for hemagglutinin-esterase, partial cds	2012-XX-XX	HE	Japan	AB751596.1
AB751597.1	Influenza C virus (C/Mie/193/2012) HE gene for hemagglutinin-esterase, partial cds	2012-XX-XX	HE	Japan	AB751597.1
AB751598.1	Influenza C virus (C/Mie/185/2012) HE gene for hemagglutinin-esterase, partial cds	2012-XX-XX	HE	Japan	AB751598.1
AB751599.1	Influenza C virus (C/Mie/204/2012) HE gene for hemagglutinin-esterase, partial cds	2012-XX-XX	HE	Japan	AB751599.1
AB751600.1	Influenza C virus (C/Mie/67/2012) HE gene for hemagglutinin-esterase, partial cds	2012-XX-XX	HE	Japan	AB751600.1
AB751601.1	Influenza C virus (C/Mie/198/2012) HE gene for hemagglutinin-esterase, partial cds	2012-XX-XX	HE	Japan	AB751601.1
AB751602.1	Influenza C virus (C/Mie/182/2012) HE gene for hemagglutinin-esterase, partial cds	2012-XX-XX	HE	Japan	AB751602.1
AB751603.1	Influenza C virus (C/Mie/180/2012) HE gene for hemagglutinin-esterase, partial cds	2012-XX-XX	HE	Japan	AB751603.1
JX129182.1	Influenza C virus (C/Milan/1101/2009) segment 4 hemagglutinin-esterase (HE) gene, partial cds	2009-01-XX	HE	Italy	Homo sapiens JX129182.1
JX129183.1	Influenza C virus (C/Milan/1130/2010) segment 4 hemagglutinin-esterase (HE) gene, partial cds	2010-01-XX	HE	Italy	Homo sapiens JX129183.1
JX129184.1	Influenza C virus (C/Milan/976/2010) segment 4 hemagglutinin-esterase (HE) gene, partial cds	2010-01-XX	HE	Italy	Homo sapiens JX129184.1
JX080411.1	Influenza C virus (C/Alberta/3502/2011) segment 4 hemagglutinin-esterase (HE) gene, partial cds	2011-03-18	HE	Canada	Homo sapiens JX080411.1
JN899406.1	Influenza C virus (C/Melbourne/2/2011) segment 4 hemagglutinin-esterase (HE) gene, partial cds	2011-10-07	HE	Australia	Homo sapiens JN899406.1
HM748630.1	Influenza C virus (C/Catalonia/1284/2009) segment 4 hemagglutinin-esterase (HE) gene, partial cds	2009-08-26	HE	Spain	Homo sapiens HM748630.1
HM748631.1	Influenza C virus (C/Catalonia/1318/2009) segment 4 hemagglutinin-esterase (HE) gene, partial cds	2009-09-01	HE	Spain	Homo sapiens HM748631.1
HM748632.1	Influenza C virus (C/Catalonia/1430/2009) segment 4 hemagglutinin-esterase (HE) gene, partial cds	2009-09-28	HE	Spain	Homo sapiens HM748632.1
EU086910.1	Influenza C virus (C/Caen/ME1/2005) hemagglutinin-esterase (HE) gene, partial cds	2005-XX-XX	HE	France	EU086910.1
EU086911.1	Influenza C virus (C/Caen/HE2/2005) hemagglutinin-esterase (HE) gene, partial cds	2005-XX-XX	HE	France	EU086911.1
EU086912.1	Influenza C virus (C/Caen/MA3/2005) hemagglutinin-esterase (HE) gene, partial cds	2005-XX-XX	HE	France	EU086912.1
EU086913.1	Influenza C virus (C/Caen/CA4/2005) hemagglutinin-esterase (HE) gene, partial cds	2005-XX-XX	HE	France	EU086913.1
EU086914.1	Influenza C virus (C/Caen/MA5/2005) hemagglutinin-esterase (HE) gene, partial cds	2005-XX-XX	HE	France	EU086914.1
EU086915.1	Influenza C virus (C/Caen/BA1/2007) hemagglutinin-esterase (HE) gene, partial cds	2007-XX-XX	HE	France	EU086915.1
EU086916.1	Influenza C virus (C/Caen/BR1/2006) hemagglutinin-esterase (HE) gene, partial cds	2006-XX-XX	HE	France	EU086916.1
EU086917.1	Influenza C virus (C/Caen/LE2/2006) hemagglutinin-esterase (HE) gene, partial cds	2006-XX-XX	HE	France	EU086917.1
AB252155.1	Influenza C virus (C/Yamagata/27/2004) HE gene for hemagglutinin-esterase, partial cds	2004-XX-XX	HE	Japan	AB252155.1
AB182357.1	Influenza C virus (C/Aichi/1/99) HE gene for hemagglutinin-esterase, partial cds	1999-XX-XX	HE	Japan	AB182357.1
AB086661.1	Influenza C virus (C/Miyagi/5/93) HE gene for hemagglutinine-esterase, partial cds	1993-XX-XX	HE	Japan	AB086661.1
AB035364.1	Influenza C virus HE gene for hemagglutinin-esterase precursor, partial cds, strain:C/Sao Paulo/378/82	1982-XX-XX	HE	Brazil	AB035364.1
AB035365.1	Influenza C virus HE gene for hemagglutinin-esterase precursor, partial cds, strain:C/Yamagata/1/93	1993-XX-XX	HE	Japan	AB035365.1
