strain	strain_name	date	segment	country	host
LC720290.1	Influenza C virus C/Fukushima/O181/2018 viral cRNA, segment 1, nearly complete sequence	2018-XX-XX	PB2	Japan	Homo sapiens LC720290.1
MH828694.1	Influenza C virus (C/Vietnam/1290/2014) segment 1 polymerase PB2 (PB2) gene, complete cds	2014-04-16	PB2	Viet Nam	Homo sapiens MH828694.1
MZ330887.1	Influenza C virus (C/Biliran/TB2-162/2014) segment 1 polymerase PB2 (PB2) gene, complete cds	2014-06-25	PB2	Philippines	Homo sapiens MZ330887.1
MZ330894.1	Influenza C virus (C/Biliran/TB2-180/2014) segment 1 polymerase PB2 (PB2) gene, complete cds	2014-07-07	PB2	Philippines	Homo sapiens MZ330894.1
MZ330901.1	Influenza C virus (C/Biliran/TB2-204/2014) segment 1 polymerase PB2 (PB2) gene, complete cds	2014-07-24	PB2	Philippines	Homo sapiens MZ330901.1
MZ330908.1	Influenza C virus (C/Biliran/TB2-293/2014) segment 1 polymerase PB2 (PB2) gene, complete cds	2014-10-02	PB2	Philippines	Homo sapiens MZ330908.1
MZ330915.1	Influenza C virus (C/Biliran/TB4-024/2017) segment 1 polymerase PB2 (PB2) gene, complete cds	2017-05-16	PB2	Philippines	Homo sapiens MZ330915.1
MZ330922.1	Influenza C virus (C/Biliran/TB4-067/2017) segment 1 polymerase PB2 (PB2) gene, complete cds	2017-06-15	PB2	Philippines	Homo sapiens MZ330922.1
MZ330929.1	Influenza C virus (C/Biliran/TB4-130/2018) segment 1 polymerase PB2 (PB2) gene, complete cds	2018-03-27	PB2	Philippines	Homo sapiens MZ330929.1
MZ330936.1	Influenza C virus (C/Biliran/TB4-169/2018) segment 1 polymerase PB2 (PB2) gene, complete cds	2018-04-24	PB2	Philippines	Homo sapiens MZ330936.1
MZ330943.1	Influenza C virus (C/Biliran/TB4-271/2019) segment 1 polymerase PB2 (PB2) gene, complete cds	2019-07-08	PB2	Philippines	Homo sapiens MZ330943.1
MZ330950.1	Influenza C virus (C/Biliran/TB5-195/2014) segment 1 polymerase PB2 (PB2) gene, complete cds	2014-06-02	PB2	Philippines	Homo sapiens MZ330950.1
MZ330957.1	Influenza C virus (C/Biliran/TB5-241/2014) segment 1 polymerase PB2 (PB2) gene, complete cds	2014-06-20	PB2	Philippines	Homo sapiens MZ330957.1
MZ330964.1	Influenza C virus (C/Biliran/TB5-312/2017) segment 1 polymerase PB2 (PB2) gene, complete cds	2017-06-13	PB2	Philippines	Homo sapiens MZ330964.1
MZ330971.1	Influenza C virus (C/Biliran/TB5-498/2016) segment 1 polymerase PB2 (PB2) gene, complete cds	2016-06-29	PB2	Philippines	Homo sapiens MZ330971.1
MZ330978.1	Influenza C virus (C/Biliran/TB5-536/2016) segment 1 polymerase PB2 (PB2) gene, complete cds	2016-07-18	PB2	Philippines	Homo sapiens MZ330978.1
MZ330985.1	Influenza C virus (C/Biliran/TB5-625/2016) segment 1 polymerase PB2 (PB2) gene, complete cds	2016-08-23	PB2	Philippines	Homo sapiens MZ330985.1
MZ330992.1	Influenza C virus (C/Biliran/TB5-736/2016) segment 1 polymerase PB2 (PB2) gene, complete cds	2016-10-05	PB2	Philippines	Homo sapiens MZ330992.1
MZ330999.1	Influenza C virus (C/Biliran/TB8-250/2014) segment 1 polymerase PB2 (PB2) gene, complete cds	2014-07-10	PB2	Philippines	Homo sapiens MZ330999.1
MZ331006.1	Influenza C virus (C/Palawan/061/2015) segment 1 polymerase PB2 (PB2) gene, complete cds	2015-07-03	PB2	Philippines	Homo sapiens MZ331006.1
MZ331013.1	Influenza C virus (C/Palawan/068/2014) segment 1 polymerase PB2 (PB2) gene, complete cds	2014-03-18	PB2	Philippines	Homo sapiens MZ331013.1
LC603646.1	Influenza C virus C/Yamagata/11/88 PB2 gene for polymerase 2, complete cds	1988-12-13	PB2	Japan	Homo sapiens LC603646.1
LC603653.1	Influenza C virus C/Yamagata/29/2004 PB2 gene for polymerase 2, complete cds	2004-05-25	PB2	Japan	Homo sapiens LC603653.1
