strain	strain_name	date	segment	country	host
LC603643.1	Influenza C virus C/Yamagata/11/88 NP gene for nucleoprotein, complete cds	1988-12-13	NP	Japan	Homo sapiens LC603643.1
MK480588.1	Influenza C virus (C/Thailand/B12597_NP_gene/2015) segment 5 nucleoprotein (NP) gene, partial cds	2015-08-31	NP	Thailand	Homo sapiens MK480588.1
LC327663.1	Influenza C virus (C/Iwate/2/2016) NP gene for nucleoprotein, complete cds	2016-05-XX	NP	Japan	Homo sapiens LC327663.1
LC123722.1	Influenza C virus (C/Taylor/1233/1947) NP gene for nucleoprotein, complete cds	1947-XX-XX	NP	USA	Homo sapiens LC123722.1
LC123723.1	Influenza C virus (C/Great Lakes/1167/1954) NP gene for nucleoprotein, complete cds	1954-XX-XX	NP	USA	Homo sapiens LC123723.1
LC123724.1	Influenza C virus (C/Yamagata/64) NP gene for nucleoprotein, complete cds	1964-XX-XX	NP	Japan	Homo sapiens LC123724.1
LC123725.1	Influenza C virus (C/Paris/1/67) NP gene for nucleoprotein, complete cds	1967-XX-XX	NP	France	Homo sapiens LC123725.1
LC123726.1	Influenza C virus (C/Georgia/1/69) NP gene for nucleoprotein, complete cds	1969-XX-XX	NP	USA	Homo sapiens LC123726.1
LC123727.1	Influenza C virus (C/Sapporo/71) NP gene for nucleoprotein, complete cds	1971-XX-XX	NP	Japan	Homo sapiens LC123727.1
LC123728.1	Influenza C virus (C/Aomori/74) NP gene for nucleoprotein, complete cds	1974-XX-XX	NP	Japan	Homo sapiens LC123728.1
LC123729.1	Influenza C virus (C/Kanagawa/1/76) NP gene for nucleoprotein, complete cds	1976-XX-XX	NP	Japan	Homo sapiens LC123729.1
LC123730.1	Influenza C virus (C/Miyagi/77) NP gene for nucleoprotein, complete cds	1977-XX-XX	NP	Japan	Homo sapiens LC123730.1
LC123731.1	Influenza C virus (C/California/78) NP gene for nucleoprotein, complete cds	1978-XX-XX	NP	USA	Homo sapiens LC123731.1
LC123732.1	Influenza C virus (C/Kansas/1/79) NP gene for nucleoprotein, complete cds	1979-XX-XX	NP	USA	Homo sapiens LC123732.1
LC123733.1	Influenza C virus (C/Kyoto/1/79) NP gene for nucleoprotein, complete cds	1979-XX-XX	NP	Japan	Homo sapiens LC123733.1
LC123734.1	Influenza C virus (C/Shizuoka/79) NP gene for nucleoprotein, complete cds	1979-XX-XX	NP	Japan	Homo sapiens LC123734.1
LC123736.1	Influenza C virus (C/Aichi/1/81) NP gene for nucleoprotein, complete cds	1981-XX-XX	NP	Japan	Homo sapiens LC123736.1
LC123737.1	Influenza C virus (C/Yamagata/7/81) NP gene for nucleoprotein, complete cds	1981-03-18	NP	Japan	Homo sapiens LC123737.1
LC123738.1	Influenza C virus (C/Yamagata/10/1981) NP gene for nucleoprotein, complete cds	1981-03-18	NP	Japan	Homo sapiens LC123738.1
LC123739.1	Influenza C virus (C/Yamagata/26/81) NP gene for nucleoprotein, complete cds	1981-03-18	NP	Japan	Homo sapiens LC123739.1
LC123741.1	Influenza C virus (C/Sao Paulo/378/82) NP gene for nucleoprotein, complete cds	1982-XX-XX	NP	Brazil	Homo sapiens LC123741.1
LC123743.1	Influenza C virus (C/England/892/1983) NP gene for nucleoprotein, complete cds	1983-XX-XX	NP	United Kingdom	Homo sapiens LC123743.1
LC123744.1	Influenza C virus (C/Yamagata/7/88) NP gene for nucleoprotein, complete cds	1988-11-03	NP	Japan	Homo sapiens LC123744.1
LC123745.1	Influenza C virus (C/Yamagata/9/88) NP gene for nucleoprotein, complete cds	1988-12-12	NP	Japan	Homo sapiens LC123745.1
LC123746.1	Influenza C virus (C/Yamagata/10/89) NP gene for nucleoprotein, complete cds	1989-08-03	NP	Japan	Homo sapiens LC123746.1
LC123747.1	Influenza C virus (C/Miyagi/5/91) NP gene for nucleoprotein, complete cds	1991-02-25	NP	Japan	Homo sapiens LC123747.1
LC123748.1	Influenza C virus (C/Yamagata/4/92) NP gene for nucleoprotein, complete cds	1992-11-19	NP	Japan	Homo sapiens LC123748.1
LC123750.1	Influenza C virus (C/Yamagata/1/93) NP gene for nucleoprotein, complete cds	1993-04-30	NP	Japan	Homo sapiens LC123750.1
LC123751.1	Influenza C virus (C/Miyagi/1/93) NP gene for nucleoprotein, complete cds	1993-02-02	NP	Japan	Homo sapiens LC123751.1
LC123753.1	Influenza C virus (C/Miyagi/7/93) NP gene for nucleoprotein, complete cds	1993-05-19	NP	Japan	Homo sapiens LC123753.1
LC123754.1	Influenza C virus (C/Miyagi/8/96) NP gene for nucleoprotein, complete cds	1996-05-23	NP	Japan	Homo sapiens LC123754.1
LC123758.1	Influenza C virus (C/Aichi/1/99) NP gene for nucleoprotein, complete cds	1999-04-07	NP	Japan	Homo sapiens LC123758.1
LC123768.1	Influenza C virus (C/Yamagata/18/2004) NP gene for nucleoprotein, complete cds	2004-05-14	NP	Japan	Homo sapiens LC123768.1
LC123769.1	Influenza C virus (C/Yamagata/26/2004) NP gene for nucleoprotein, complete cds	2004-05-28	NP	Japan	Homo sapiens LC123769.1
LC123770.1	Influenza C virus (C/Yamagata/27/2004) NP gene for nucleoprotein, complete cds	2004-05-24	NP	Japan	Homo sapiens LC123770.1
LC123775.1	Influenza C virus (C/Yamagata/1/2005) NP gene for nucleoprotein, complete cds	2005-06-07	NP	Japan	Homo sapiens LC123775.1
LC123779.1	Influenza C virus (C/Fukuoka/1/2005) NP gene for nucleoprotein, complete cds	2005-12-28	NP	Japan	Homo sapiens LC123779.1
LC123782.1	Influenza C virus (C/Yamagata/9/2006) NP gene for nucleoprotein, complete cds	2006-06-13	NP	Japan	Homo sapiens LC123782.1
LC123786.1	Influenza C virus (C/Miyagi/4/2006) NP gene for nucleoprotein, complete cds	2006-06-04	NP	Japan	Homo sapiens LC123786.1
LC123787.1	Influenza C virus (C/Yamagata/3/2008) NP gene for nucleoprotein, complete cds	2008-03-26	NP	Japan	Homo sapiens LC123787.1
LC123788.1	Influenza C virus (C/Yamagata/11/2008) NP gene for nucleoprotein, complete cds	2008-04-30	NP	Japan	Homo sapiens LC123788.1
LC123789.1	Influenza C virus (C/Yamagata/16/2008) NP gene for nucleoprotein, complete cds	2008-05-19	NP	Japan	Homo sapiens LC123789.1
LC123790.1	Influenza C virus (C/Yamagata/18/2008) NP gene for nucleoprotein, complete cds	2008-06-25	NP	Japan	Homo sapiens LC123790.1
LC123791.1	Influenza C virus (C/Miyagi/2/2008) NP gene for nucleoprotein, complete cds	2008-02-21	NP	Japan	Homo sapiens LC123791.1
LC123792.1	Influenza C virus (C/Miyagi/3/2010) NP gene for nucleoprotein, complete cds	2010-04-12	NP	Japan	Homo sapiens LC123792.1
LC123793.1	Influenza C virus (C/Tokyo/3/2010) NP gene for nucleoprotein, complete cds	2010-04-23	NP	Japan	Homo sapiens LC123793.1
LC123795.1	Influenza C virus (C/Yamagata/3/2012) NP gene for nucleoprotein, complete cds	2012-02-07	NP	Japan	Homo sapiens LC123795.1
LC123798.1	Influenza C virus (C/Yamagata/14/2012) NP gene for nucleoprotein, complete cds	2012-06-01	NP	Japan	Homo sapiens LC123798.1
LC123800.1	Influenza C virus (C/Yamagata/29/2012) NP gene for nucleoprotein, complete cds	2012-07-30	NP	Japan	Homo sapiens LC123800.1
LC123801.1	Influenza C virus (C/Miyagi/2/2012) NP gene for nucleoprotein, complete cds	2012-01-26	NP	Japan	Homo sapiens LC123801.1
LC123802.1	Influenza C virus (C/Fukuoka/1/2012) NP gene for nucleoprotein, complete cds	2012-04-11	NP	Japan	Homo sapiens LC123802.1
KT835358.1	Influenza C virus (C/Scotland/7274/2007) segment 5 nucleoprotein (NP) gene, partial cds	2007-12-XX	NP	United Kingdom	Homo sapiens KT835358.1
KT835360.1	Influenza C virus (C/Scotland/6855/2007) segment 5 nucleoprotein (NP) gene, partial cds	2007-11-XX	NP	United Kingdom	Homo sapiens KT835360.1
AB684308.1	Influenza C virus (C/Johannesburg/4/67) NP gene for nucleoprotein, complete cds	1967-XX-XX	NP	South Africa	AB684308.1
AB684309.1	Influenza C virus (C/NewJersey/76) NP gene for nucleoprotein, complete cds	1976-XX-XX	NP	USA	AB684309.1
AB684311.1	Influenza C virus (C/Yamagata/3/2000) NP gene for nucleoprotein, complete cds	2000-02-02	NP	Japan	AB684311.1
AB684314.1	Influenza C virus (C/Yamagata/3/2005) NP gene for nucleoprotein, complete cds	2005-09-07	NP	Japan	AB684314.1
AB684316.1	Influenza C virus (C/Yamagata/2/2010) NP gene for nucleoprotein, complete cds	2010-02-09	NP	Japan	AB684316.1
FR671423.1	Influenza C virus (C/JJ/1950) NP gene for nucleoprotein, genomic RNA	1950-XX-XX	NP		FR671423.1
AB126195.1	Influenza C virus (C/Ann Arbor/1/50) NP gene for nucleoprotein, complete cds	1950-XX-XX	NP		AB126195.1
AF170573.2	Influenza C virus (C/Johannesburg/1/66) segment 5 nucleoprotein (NP) gene, complete cds	1966-XX-XX	NP	South Africa	AF170573.2
M17700.1	Influenza C/California/78 nucleoprotein RNA (seg 5), complete cds	1978-XX-XX	NP		M17700.1
