strain	strain_name	date	segment	country	host
LC603645.1	Influenza C virus C/Yamagata/11/88 P3 gene for polymerase 3, complete cds	1988-12-13	P3	Japan	Homo sapiens LC603645.1
LC123487.1	Influenza C virus (C/Taylor/1233/1947) P3 gene for polymerase 3, complete cds	1947-XX-XX	P3	USA	Homo sapiens LC123487.1
LC123488.1	Influenza C virus (C/Great Lakes/1167/1954) P3 gene for polymerase 3, complete cds	1954-XX-XX	P3	USA	Homo sapiens LC123488.1
LC123489.1	Influenza C virus (C/Yamagata/64) P3 gene for polymerase 3, complete cds	1964-XX-XX	P3	Japan	Homo sapiens LC123489.1
LC123490.1	Influenza C virus (C/Johannesburg/4/67) P3 gene for polymerase 3, complete cds	1967-XX-XX	P3	South Africa	Homo sapiens LC123490.1
LC123491.1	Influenza C virus (C/Paris/1/67) P3 gene for polymerase 3, complete cds	1967-XX-XX	P3	France	Homo sapiens LC123491.1
LC123492.1	Influenza C virus (C/Georgia/1/69) P3 gene for polymerase 3, complete cds	1969-XX-XX	P3	USA	Homo sapiens LC123492.1
LC123493.1	Influenza C virus (C/Sapporo/71) P3 gene for polymerase 3, complete cds	1971-XX-XX	P3	Japan	Homo sapiens LC123493.1
LC123494.1	Influenza C virus (C/Aomori/74) P3 gene for polymerase 3, complete cds	1974-XX-XX	P3	Japan	Homo sapiens LC123494.1
LC123495.1	Influenza C virus (C/New Jersey/1/76) P3 gene for polymerase 3, complete cds	1976-XX-XX	P3	USA	Homo sapiens LC123495.1
LC123496.1	Influenza C virus (C/Kanagawa/1/76) P3 gene for polymerase 3, complete cds	1976-XX-XX	P3	Japan	Homo sapiens LC123496.1
LC123497.1	Influenza C virus (C/Miyagi/77) P3 gene for polymerase 3, complete cds	1977-XX-XX	P3	Japan	Homo sapiens LC123497.1
LC123498.1	Influenza C virus (C/California/78) P3 gene for polymerase 3, complete cds	1978-XX-XX	P3	USA	Homo sapiens LC123498.1
LC123499.1	Influenza C virus (C/Kansas/1/79) P3 gene for polymerase 3, complete cds	1979-XX-XX	P3	USA	Homo sapiens LC123499.1
LC123501.1	Influenza C virus (C/Kyoto/1/79) P3 gene for polymerase 3, complete cds	1979-XX-XX	P3	Japan	Homo sapiens LC123501.1
LC123502.1	Influenza C virus (C/Shizuoka/79) P3 gene for polymerase 3, complete cds	1979-XX-XX	P3	Japan	Homo sapiens LC123502.1
LC123504.1	Influenza C virus (C/Aichi/1/81) P3 gene for polymerase 3, complete cds	1981-XX-XX	P3	Japan	Homo sapiens LC123504.1
LC123505.1	Influenza C virus (C/Yamagata/7/81) P3 gene for polymerase 3, complete cds	1981-03-18	P3	Japan	Homo sapiens LC123505.1
LC123506.1	Influenza C virus (C/Yamagata/10/1981) P3 gene for polymerase 3, complete cds	1981-03-18	P3	Japan	Homo sapiens LC123506.1
LC123507.1	Influenza C virus (C/Yamagata/26/81) P3 gene for polymerase 3, complete cds	1981-03-18	P3	Japan	Homo sapiens LC123507.1
LC123509.1	Influenza C virus (C/Sao Paulo/378/82) P3 gene for polymerase 3, complete cds	1982-XX-XX	P3	Brazil	Homo sapiens LC123509.1
LC123511.1	Influenza C virus (C/England/892/1983) P3 gene for polymerase 3, complete cds	1983-XX-XX	P3	United Kingdom	Homo sapiens LC123511.1
