strain	strain_name	date	segment	country	host
MK480590.1	Influenza C virus (C/Thailand/B12597_PB2_gene/2015) segment 1 polymerase PB2 (PB2) gene, partial cds	2015-08-31	PB2	Thailand	Homo sapiens MK480590.1
LC327659.1	Influenza C virus (C/Iwate/2/2016) PB2 gene for polymerase 2, partial cds	2016-05-XX	PB2	Japan	Homo sapiens LC327659.1
LC123283.1	Influenza C virus (C/Taylor/1233/1947) PB2 gene for polymerase 2, complete cds	1947-XX-XX	PB2	USA	Homo sapiens LC123283.1
LC123284.1	Influenza C virus (C/Great Lakes/1167/1954) PB2 gene for polymerase 2, complete cds	1954-XX-XX	PB2	USA	Homo sapiens LC123284.1
LC123285.1	Influenza C virus (C/Yamagata/64) PB2 gene for polymerase 2, complete cds	1964-XX-XX	PB2	Japan	Homo sapiens LC123285.1
LC123286.1	Influenza C virus (C/Johannesburg/4/67) PB2 gene for polymerase 2, complete cds	1967-XX-XX	PB2	South Africa	Homo sapiens LC123286.1
LC123287.1	Influenza C virus (C/Paris/1/67) PB2 gene for polymerase 2, complete cds	1967-XX-XX	PB2	France	Homo sapiens LC123287.1
LC123288.1	Influenza C virus (C/Georgia/1/69) PB2 gene for polymerase 2, complete cds	1969-XX-XX	PB2	USA	Homo sapiens LC123288.1
LC123290.1	Influenza C virus (C/Aomori/74) PB2 gene for polymerase 2, complete cds	1974-XX-XX	PB2	Japan	Homo sapiens LC123290.1
LC123292.1	Influenza C virus (C/Kanagawa/1/76) PB2 gene for polymerase 2, complete cds	1976-XX-XX	PB2	Japan	Homo sapiens LC123292.1
LC123293.1	Influenza C virus (C/Miyagi/77) PB2 gene for polymerase 2, complete cds	1977-XX-XX	PB2	Japan	Homo sapiens LC123293.1
LC123296.1	Influenza C virus (C/Greece/1/79) PB2 gene for polymerase 2, complete cds	1979-XX-XX	PB2	Greece	Homo sapiens LC123296.1
LC123299.1	Influenza C virus (C/Mississippi/80) PB2 gene for polymerase 2, complete cds	1980-XX-XX	PB2	USA	Homo sapiens LC123299.1
LC123306.1	Influenza C virus (C/Nara/82) PB2 gene for polymerase 2, complete cds	1982-XX-XX	PB2	Japan	Homo sapiens LC123306.1
LC123317.1	Influenza C virus (C/Miyagi/7/93) PB2 gene for polymerase 2, complete cds	1993-05-19	PB2	Japan	Homo sapiens LC123317.1
LC123322.1	Influenza C virus (C/Aichi/1/99) PB2 gene for polymerase 2, complete cds	1999-04-07	PB2	Japan	Homo sapiens LC123322.1
LC123336.1	Influenza C virus (C/Yamagata/26/2004) PB2 gene for polymerase 2, complete cds	2004-05-28	PB2	Japan	Homo sapiens LC123336.1
LC123347.1	Influenza C virus (C/Fukuoka/1/2005) PB2 gene for polymerase 2, complete cds	2005-12-28	PB2	Japan	Homo sapiens LC123347.1
LC123350.1	Influenza C virus (C/Yamagata/9/2006) PB2 gene for polymerase 2, complete cds	2006-06-13	PB2	Japan	Homo sapiens LC123350.1
LC123352.1	Influenza C virus (C/Yamagata/14/2006) PB2 gene for polymerase 2, complete cds	2006-08-28	PB2	Japan	Homo sapiens LC123352.1
LC123353.1	Influenza C virus (C/Yamagata/20/2006) PB2 gene for polymerase 2, complete cds	2006-11-24	PB2	Japan	Homo sapiens LC123353.1
LC123354.1	Influenza C virus (C/Miyagi/4/2006) PB2 gene for polymerase 2, complete cds	2006-06-04	PB2	Japan	Homo sapiens LC123354.1
LC123355.1	Influenza C virus (C/Yamagata/1/2007) PB2 gene for polymerase 2, complete cds	2007-01-17	PB2	Japan	Homo sapiens LC123355.1
LC123356.1	Influenza C virus (C/Yamagata/3/2008) PB2 gene for polymerase 2, complete cds	2008-03-26	PB2	Japan	Homo sapiens LC123356.1
LC123357.1	Influenza C virus (C/Yamagata/11/2008) PB2 gene for polymerase 2, complete cds	2008-04-30	PB2	Japan	Homo sapiens LC123357.1
LC123358.1	Influenza C virus (C/Yamagata/16/2008) PB2 gene for polymerase 2, complete cds	2008-05-19	PB2	Japan	Homo sapiens LC123358.1
LC123359.1	Influenza C virus (C/Yamagata/18/2008) PB2 gene for polymerase 2, complete cds	2008-06-25	PB2	Japan	Homo sapiens LC123359.1
LC123360.1	Influenza C virus (C/Miyagi/2/2008) PB2 gene for polymerase 2, complete cds	2008-02-21	PB2	Japan	Homo sapiens LC123360.1
LC123361.1	Influenza C virus (C/Yamagata/2/2010) PB2 gene for polymerase 2, complete cds	2010-02-09	PB2	Japan	Homo sapiens LC123361.1
LC123362.1	Influenza C virus (C/Miyagi/3/2010) PB2 gene for polymerase 2, complete cds	2010-04-12	PB2	Japan	Homo sapiens LC123362.1
LC123363.1	Influenza C virus (C/Tokyo/3/2010) PB2 gene for polymerase 2, complete cds	2010-04-23	PB2	Japan	Homo sapiens LC123363.1
LC123365.1	Influenza C virus (C/Yamagata/3/2012) PB2 gene for polymerase 2, complete cds	2012-02-07	PB2	Japan	Homo sapiens LC123365.1
LC123368.1	Influenza C virus (C/Yamagata/14/2012) PB2 gene for polymerase 2, complete cds	2012-06-01	PB2	Japan	Homo sapiens LC123368.1
LC123370.1	Influenza C virus (C/Yamagata/29/2012) PB2 gene for polymerase 2, complete cds	2012-07-30	PB2	Japan	Homo sapiens LC123370.1
