strain	strain_name	date	segment	country	host
LC122635.1	Influenza C virus (C/Mississippi/80) HE gene for hemagglutinin-esterase, partial cds	1980-XX-XX	HE	USA	Homo sapiens LC122635.1
LC122645.1	Influenza C virus (C/Yamagata/26/2004) HE gene for hemagglutinin-esterase, partial cds	2004-05-28	HE	Japan	Homo sapiens LC122645.1
AB252160.1	Influenza C virus (C/Saitama/1/2004) HE gene for hemagglutinin-esterase, partial cds	2004-XX-XX	HE	Japan	AB252160.1
D88427.1	Influenza C virus (C/Miyagi/2/93) genomic RNA, segment 4, complete sequence	1993-XX-XX	HE	Japan	D88427.1
AB099413.1	Influenza C virus (C/Yamagata/3/2000) HE gene for hemagglurinin-esterase, partial cds	2000-XX-XX	HE	Japan	AB099413.1
AB099421.1	Influenza C virus (C/Saitama/2/2000) HE gene for hemagglurinin-esterase, partial cds	2000-XX-XX	HE	Japan	AB099421.1
AB064404.1	Influenza C virus (C/Miyagi/4/96) HE gene for hemagglutinin-esterase, partial cds	1996-XX-XX	HE	Japan	AB064404.1
AB064405.1	Influenza C virus (C/Miyagi/7/96) HE gene for hemagglutinin-esterase, partial cds	1996-XX-XX	HE	Japan	AB064405.1
AB064406.1	Influenza C virus (C/Miyagi/8/96) HE gene for hemagglutinin-esterase, partial cds	1996-XX-XX	HE	Japan	AB064406.1
AB064407.1	Influenza C virus (C/Miyagi/1/93) HE gene for hemagglutinin-esterase, partial cds	1993-XX-XX	HE	Japan	AB064407.1
AB064408.1	Influenza C virus (C/Miyagi/3/93) HE gene for hemagglutinin-esterase, partial cds	1993-XX-XX	HE	Japan	AB064408.1
AB064409.1	Influenza C virus (C/Miyagi/4/93) HE gene for hemagglutinin-esterase, partial cds	1993-XX-XX	HE	Japan	AB064409.1
AB064410.1	Influenza C virus (C/Miyagi/6/93) HE gene for hemagglutinin-esterase, partial cds	1993-XX-XX	HE	Japan	AB064410.1
AB064411.1	Influenza C virus (C/Miyagi/7/93) HE gene for hemagglutinin-esterase, partial cds	1993-XX-XX	HE	Japan	AB064411.1
AB064412.1	Influenza C virus (C/Miyagi/1/94) HE gene for hemagglutinin-esterase, partial cds	1994-XX-XX	HE	Japan	AB064412.1
AB064413.1	Influenza C virus (C/Miyagi/2/94) HE gene for hemagglutinin-esterase, partial cds	1994-XX-XX	HE	Japan	AB064413.1
AB064414.1	Influenza C virus (C/Miyagi/3/94) HE gene for hemagglutinin-esterase, partial cds	1994-XX-XX	HE	Japan	AB064414.1
AB035363.1	Influenza C virus HE gene for hemagglutinin-esterase precursor, partial cds, strain:C/Greece/1/79	1979-XX-XX	HE	Greece	AB035363.1
D78433.1	Influenza C virus (C/Yamagata/5/92) HE gene, partial cds, isolate: C/Yamagata/5/92	1992-XX-XX	HE	Japan	Homo sapiens D78433.1
M11640.1	Influenza C/Mississippi/80 hemagglutinin-esterase RNA (seg 4), 3' end	1980-XX-XX	HE	USA	M11640.1
M25361.1	Influenza C/Kyoto/41/82, hemagglutinin-esterase (seg 4), RNA	1982-XX-XX	HE	Japan	M25361.1
M25362.1	Influenza C/Nara/82, hemagglutinin-esterase (seg 4), RNA	1982-XX-XX	HE	Japan	M25362.1
M25363.1	Influenza C/Hyogo/1/83, hemagglutinin-esterase (seg 4), RNA	1983-XX-XX	HE	Japan	M25363.1
