strain	strain_name	date	segment	country	host
MH828688.1	Influenza C virus (C/Vietnam/1290/2014) segment 4 hemagglutinin-esterase (HE) gene, partial cds	2014-04-16	HE	Viet Nam	Homo sapiens MH828688.1
MZ330881.1	Influenza C virus (C/Biliran/TB2-162/2014) segment 4 hemagglutinin-esterase (HE) gene, complete cds	2014-06-25	HE	Philippines	Homo sapiens MZ330881.1
MZ330888.1	Influenza C virus (C/Biliran/TB2-180/2014) segment 4 hemagglutinin-esterase (HE) gene, complete cds	2014-07-07	HE	Philippines	Homo sapiens MZ330888.1
MZ330895.1	Influenza C virus (C/Biliran/TB2-204/2014) segment 4 hemagglutinin-esterase (HE) gene, complete cds	2014-07-24	HE	Philippines	Homo sapiens MZ330895.1
MZ330909.1	Influenza C virus (C/Biliran/TB4-024/2017) segment 4 hemagglutinin-esterase (HE) gene, complete cds	2017-05-16	HE	Philippines	Homo sapiens MZ330909.1
MZ330916.1	Influenza C virus (C/Biliran/TB4-067/2017) segment 4 hemagglutinin-esterase (HE) gene, complete cds	2017-06-15	HE	Philippines	Homo sapiens MZ330916.1
MZ330944.1	Influenza C virus (C/Biliran/TB5-195/2014) segment 4 hemagglutinin-esterase (HE) gene, complete cds	2014-06-02	HE	Philippines	Homo sapiens MZ330944.1
MZ330951.1	Influenza C virus (C/Biliran/TB5-241/2014) segment 4 hemagglutinin-esterase (HE) gene, complete cds	2014-06-20	HE	Philippines	Homo sapiens MZ330951.1
MZ330958.1	Influenza C virus (C/Biliran/TB5-312/2017) segment 4 hemagglutinin-esterase (HE) gene, complete cds	2017-06-13	HE	Philippines	Homo sapiens MZ330958.1
MZ330965.1	Influenza C virus (C/Biliran/TB5-498/2016) segment 4 hemagglutinin-esterase (HE) gene, complete cds	2016-06-29	HE	Philippines	Homo sapiens MZ330965.1
MZ330972.1	Influenza C virus (C/Biliran/TB5-536/2016) segment 4 hemagglutinin-esterase (HE) gene, complete cds	2016-07-18	HE	Philippines	Homo sapiens MZ330972.1
MZ330979.1	Influenza C virus (C/Biliran/TB5-625/2016) segment 4 hemagglutinin-esterase (HE) gene, complete cds	2016-08-23	HE	Philippines	Homo sapiens MZ330979.1
MZ330986.1	Influenza C virus (C/Biliran/TB5-736/2016) segment 4 hemagglutinin-esterase (HE) gene, complete cds	2016-10-05	HE	Philippines	Homo sapiens MZ330986.1
MZ331000.1	Influenza C virus (C/Palawan/061/2015) segment 4 hemagglutinin-esterase (HE) gene, complete cds	2015-07-03	HE	Philippines	Homo sapiens MZ331000.1
LC630941.1	Influenza C virus (C/Yamagata/8/2002) HE gene for hemagglutinin-esterase, partial cds	2002-02-16	HE	Japan	Homo sapiens LC630941.1
LC603648.1	Influenza C virus C/Yamagata/29/2004 HE gene for hemagglutinin-esterase, partial cds	2004-05-25	HE	Japan	Homo sapiens LC603648.1
MK480578.1	Influenza C virus (C/Thailand/c5395_HE_gene/2015) segment 4 hemagglutinin-esterase (HE) gene, partial cds	2015-01-07	HE	Thailand	Homo sapiens MK480578.1
MK480592.1	Influenza C virus (C/Thailand/B12983_HE_gene/2015) segment 4 hemagglutinin-esterase (HE) gene, partial cds	2015-09-25	HE	Thailand	Homo sapiens MK480592.1
CY239417.1	Influenza C virus (C/Minnesota/01/2014) hemagglutinin-esterase (HE) gene, partial cds	2014-12-27	HE	USA	Homo sapiens CY239417.1
CY239418.1	Influenza C virus (C/Minnesota/01/2015) hemagglutinin-esterase (HE) gene, partial cds	2015-01-01	HE	USA	Homo sapiens CY239418.1
CY239421.1	Influenza C virus (C/Minnesota/02/2015) hemagglutinin-esterase (HE) gene, partial cds	2015-01-09	HE	USA	Homo sapiens CY239421.1
CY239422.1	Influenza C virus (C/Minnesota/03/2015) hemagglutinin-esterase (HE) gene, partial cds	2015-01-14	HE	USA	Homo sapiens CY239422.1
CY239427.1	Influenza C virus (C/Minnesota/05/2015) hemagglutinin-esterase (HE) gene, partial cds	2015-02-05	HE	USA	Homo sapiens CY239427.1
CY239428.1	Influenza C virus (C/Minnesota/06/2015) hemagglutinin-esterase (HE) gene, partial cds	2015-02-15	HE	USA	Homo sapiens CY239428.1
CY239430.1	Influenza C virus (C/Minnesota/07/2015) hemagglutinin-esterase (HE) gene, partial cds	2015-02-18	HE	USA	Homo sapiens CY239430.1
CY239436.1	Influenza C virus (C/Minnesota/10/2015) hemagglutinin-esterase (HE) gene, complete cds	2015-03-09	HE	USA	Homo sapiens CY239436.1
