strain	strain_name	date	segment	country	host
LC720287.1	Influenza C virus C/Fukushima/O181/2018 viral cRNA, segment 5, nearly complete sequence	2018-XX-XX	NP	Japan	Homo sapiens LC720287.1
MH828690.1	Influenza C virus (C/Vietnam/1290/2014) segment 5 nucleoprotein (NP) gene, partial cds	2014-04-16	NP	Viet Nam	Homo sapiens MH828690.1
MZ330883.1	Influenza C virus (C/Biliran/TB2-162/2014) segment 5 nucleoprotein (NP) gene, complete cds	2014-06-25	NP	Philippines	Homo sapiens MZ330883.1
MZ330890.1	Influenza C virus (C/Biliran/TB2-180/2014) segment 5 nucleoprotein (NP) gene, complete cds	2014-07-07	NP	Philippines	Homo sapiens MZ330890.1
MZ330897.1	Influenza C virus (C/Biliran/TB2-204/2014) segment 5 nucleoprotein (NP) gene, complete cds	2014-07-24	NP	Philippines	Homo sapiens MZ330897.1
MZ330904.1	Influenza C virus (C/Biliran/TB2-293/2014) segment 5 nucleoprotein (NP) gene, complete cds	2014-10-02	NP	Philippines	Homo sapiens MZ330904.1
MZ330911.1	Influenza C virus (C/Biliran/TB4-024/2017) segment 5 nucleoprotein (NP) gene, complete cds	2017-05-16	NP	Philippines	Homo sapiens MZ330911.1
MZ330918.1	Influenza C virus (C/Biliran/TB4-067/2017) segment 5 nucleoprotein (NP) gene, complete cds	2017-06-15	NP	Philippines	Homo sapiens MZ330918.1
MZ330925.1	Influenza C virus (C/Biliran/TB4-130/2018) segment 5 nucleoprotein (NP) gene, complete cds	2018-03-27	NP	Philippines	Homo sapiens MZ330925.1
MZ330932.1	Influenza C virus (C/Biliran/TB4-169/2018) segment 5 nucleoprotein (NP) gene, complete cds	2018-04-24	NP	Philippines	Homo sapiens MZ330932.1
MZ330939.1	Influenza C virus (C/Biliran/TB4-271/2019) segment 5 nucleoprotein (NP) gene, complete cds	2019-07-08	NP	Philippines	Homo sapiens MZ330939.1
MZ330946.1	Influenza C virus (C/Biliran/TB5-195/2014) segment 5 nucleoprotein (NP) gene, complete cds	2014-06-02	NP	Philippines	Homo sapiens MZ330946.1
MZ330953.1	Influenza C virus (C/Biliran/TB5-241/2014) segment 5 nucleoprotein (NP) gene, complete cds	2014-06-20	NP	Philippines	Homo sapiens MZ330953.1
MZ330960.1	Influenza C virus (C/Biliran/TB5-312/2017) segment 5 nucleoprotein (NP) gene, complete cds	2017-06-13	NP	Philippines	Homo sapiens MZ330960.1
MZ330967.1	Influenza C virus (C/Biliran/TB5-498/2016) segment 5 nucleoprotein (NP) gene, complete cds	2016-06-29	NP	Philippines	Homo sapiens MZ330967.1
MZ330974.1	Influenza C virus (C/Biliran/TB5-536/2016) segment 5 nucleoprotein (NP) gene, complete cds	2016-07-18	NP	Philippines	Homo sapiens MZ330974.1
MZ330981.1	Influenza C virus (C/Biliran/TB5-625/2016) segment 5 nucleoprotein (NP) gene, complete cds	2016-08-23	NP	Philippines	Homo sapiens MZ330981.1
MZ330988.1	Influenza C virus (C/Biliran/TB5-736/2016) segment 5 nucleoprotein (NP) gene, complete cds	2016-10-05	NP	Philippines	Homo sapiens MZ330988.1
MZ330995.1	Influenza C virus (C/Biliran/TB8-250/2014) segment 5 nucleoprotein (NP) gene, complete cds	2014-07-10	NP	Philippines	Homo sapiens MZ330995.1
MZ331002.1	Influenza C virus (C/Palawan/061/2015) segment 5 nucleoprotein (NP) gene, complete cds	2015-07-03	NP	Philippines	Homo sapiens MZ331002.1
MZ331009.1	Influenza C virus (C/Palawan/068/2014) segment 5 nucleoprotein (NP) gene, complete cds	2014-03-18	NP	Philippines	Homo sapiens MZ331009.1
LC603650.1	Influenza C virus C/Yamagata/29/2004 NP gene for nucleoprotein, complete cds	2004-05-25	NP	Japan	Homo sapiens LC603650.1
MK480581.1	Influenza C virus (C/Thailand/c5395_NP_gene/2015) segment 5 nucleoprotein (NP) gene, partial cds	2015-01-07	NP	Thailand	Homo sapiens MK480581.1
MK480595.1	Influenza C virus (C/Thailand/B12983_NP_gene/2015) segment 5 nucleoprotein (NP) gene, partial cds	2015-09-25	NP	Thailand	Homo sapiens MK480595.1
MK480602.1	Influenza C virus (C/Thailand/CN38_NP_gene/2017) segment 5 nucleoprotein (NP) gene, partial cds	2017-03-07	NP	Thailand	Homo sapiens MK480602.1
MK050100.1	Influenza C virus (C/Seoul/APD462/2015) segment 5 nucleoprotein (NP) gene, complete cds	2015-04-11	NP	South Korea	Homo sapiens MK050100.1
LC327656.1	Influenza C virus (C/Iwate/1/2016) NP gene for nucleoprotein, complete cds	2016-03-XX	NP	Japan	Homo sapiens LC327656.1
KT232086.1	Influenza C virus (C/India/P119564/2011) segment 5 nucleoprotein (NP) gene, complete cds	2011-06-10	NP	India	Homo sapiens KT232086.1
LC123735.1	Influenza C virus (C/Mississippi/80) NP gene for nucleoprotein, complete cds	1980-XX-XX	NP	USA	Homo sapiens LC123735.1
LC123742.1	Influenza C virus (C/Nara/82) NP gene for nucleoprotein, complete cds	1982-XX-XX	NP	Japan	Homo sapiens LC123742.1
LC123749.1	Influenza C virus (C/Yamagata/5/92) NP gene for nucleoprotein, complete cds	1992-11-26	NP	Japan	Homo sapiens LC123749.1
LC123752.1	Influenza C virus (C/Miyagi/3/93) NP gene for nucleoprotein, complete cds	1993-04-13	NP	Japan	Homo sapiens LC123752.1
LC123755.1	Influenza C virus (C/Miyagi/9/96) NP gene for nucleoprotein, complete cds	1996-06-03	NP	Japan	Homo sapiens LC123755.1
LC123756.1	Influenza C virus (C/Yamagata/8/96) NP gene for nucleoprotein, complete cds	1996-06-13	NP	Japan	Homo sapiens LC123756.1
LC123757.1	Influenza C virus (C/Yamagata/13/98) NP gene for nucleoprotein, complete cds	1998-06-08	NP	Japan	Homo sapiens LC123757.1
LC123759.1	Influenza C virus (C/Yamagata/6/2000) NP gene for nucleoprotein, complete cds	2000-03-21	NP	Japan	Homo sapiens LC123759.1
LC123760.1	Influenza C virus (C/Yamagata/5/2002) NP gene for nucleoprotein, complete cds	2002-02-07	NP	Japan	Homo sapiens LC123760.1
LC123761.1	Influenza C virus (C/Yamagata/7/2002) NP gene for nucleoprotein, complete cds	2002-02-16	NP	Japan	Homo sapiens LC123761.1
LC123762.1	Influenza C virus (C/Miyagi/11/2002) NP gene for nucleoprotein, complete cds	2002-02-22	NP	Japan	Homo sapiens LC123762.1
LC123763.1	Influenza C virus (C/Miyagi/20/2002) NP gene for nucleoprotein, complete cds	2002-03-17	NP	Japan	Homo sapiens LC123763.1
LC123764.1	Influenza C virus (C/Miyagi/28/2002) NP gene for nucleoprotein, complete cds	2002-04-22	NP	Japan	Homo sapiens LC123764.1
LC123765.1	Influenza C virus (C/Miyagi/31/2002) NP gene for nucleoprotein, complete cds	2002-06-18	NP	Japan	Homo sapiens LC123765.1
LC123766.1	Influenza C virus (C/Yamagata/3/2004) NP gene for nucleoprotein, complete cds	2004-04-16	NP	Japan	Homo sapiens LC123766.1
LC123767.1	Influenza C virus (C/Yamagata/14/2004) NP gene for nucleoprotein, complete cds	2004-05-07	NP	Japan	Homo sapiens LC123767.1
LC123771.1	Influenza C virus (C/Miyagi/12/2004) NP gene for nucleoprotein, complete cds	2004-02-27	NP	Japan	Homo sapiens LC123771.1
LC123772.1	Influenza C virus (C/Miyagi/25/2004) NP gene for nucleoprotein, complete cds	2004-03-31	NP	Japan	Homo sapiens LC123772.1
LC123773.1	Influenza C virus (C/Miyagi/42/2004) NP gene for nucleoprotein, complete cds	2004-05-27	NP	Japan	Homo sapiens LC123773.1
LC123774.1	Influenza C virus (C/Miyagi/47/2004) NP gene for nucleoprotein, complete cds	2004-06-18	NP	Japan	Homo sapiens LC123774.1
