strain	strain_name	date	country	host
OK625565	None	2016-11-11	Haiti	Homo sapiens
MN832786	None	2018-08-07	Ireland	Homo sapiens
MN062164	USA/2017/V17S07261	2017-XX-XX	USA	Homo sapiens
MN062165	USA/2018/V18S02010	2018-XX-XX	USA	Homo sapiens
MN062166	USA/2018/V18S01071	2018-XX-XX	USA	Homo sapiens
LC416593	None	2018-03-06	Japan	Homo sapiens
LC416594	None	2018-04-19	Japan	Homo sapiens
LC416595	None	2018-05-21	Japan	Homo sapiens
LC435031	None	2018-07-26	Japan	Homo sapiens
LC435032	None	2018-08-10	Japan	Homo sapiens
MG049743	Sao Paulo	2017-XX-XX	Brazil	Homo sapiens
LC373510	None	2014-XX-XX	Japan	Homo sapiens
LC191189	None	2015-XX-XX	Japan	Homo sapiens
LC049337	None	2012-XX-XX	Mongolia	Homo sapiens
LC049338	None	2009-XX-XX	Mongolia	Homo sapiens
LC049339	None	2006-XX-XX	Mongolia	Homo sapiens
LC049340	None	2010-XX-XX	Mongolia	Homo sapiens
LC049341	None	2012-XX-XX	Mongolia	Homo sapiens
LC049342	None	2012-XX-XX	Mongolia	Homo sapiens
KP177964	None	2007-XX-XX	China	Homo sapiens
KP177965	None	2007-XX-XX	China	Homo sapiens
LC035020	1403-12985-FujiswC-4HA6	2014-02-21	Japan	Homo sapiens
AB909123	None	2011-10-18	Japan	Homo sapiens
AB973401	1004-10562-KobeC-2/100427Kb2	2010-04-19	Japan	Homo sapiens
AB969748	1403-12190-KagsmP-4HA7	2014-02-25	Japan	Homo sapiens
KJ427799	None	2013-09-XX	Italy	None
KF773842	None	2013-04-XX	Italy	None
AB839692	None	2003-XX-XX	Indonesia	Homo sapiens
AB839693	None	2007-XX-XX	Indonesia	Homo sapiens
AB839694	None	2007-XX-XX	Indonesia	Homo sapiens
AB839695	None	2007-XX-XX	Indonesia	Homo sapiens
AB839696	None	2007-XX-XX	Indonesia	Homo sapiens
AB839697	None	2007-XX-XX	Indonesia	Homo sapiens
AB819869	None	2011-XX-XX	Singapore	Homo sapiens
AB819870	None	2012-XX-XX	Japan	Homo sapiens
AB793725	None	2012-07-13	Japan	Homo sapiens
AB793726	None	2012-07-23	Japan	Homo sapiens
KC182587	None	2009-XX-XX	Mexico	Homo sapiens
KC182588	None	2009-XX-XX	Mexico	Homo sapiens
KC182589	None	2009-XX-XX	Mexico	Homo sapiens
KC182590	None	2009-XX-XX	Mexico	Homo sapiens
JQ425480	HAS-15	2012-04-29	USA	Homo sapiens
AB623053	None	1957-10-04	Japan	Homo sapiens 8 years old male (ID=S286)
AB618529	None	2010-04-12	Japan	Homo sapiens 54 years old female
AB618531	None	1999-06-17	Japan	Homo sapiens 38 years old male
EU526088	None	2011-03-01	Uruguay	None
EU526089	None	2011-03-01	Uruguay	Homo sapiens
HM769724	None	2006-06-11	Argentina	Homo sapiens; 4 year-old child
HQ437707	MB-7/293	2007-04-10	Russia	Homo sapiens
EU131373	None	2008-07-21	Uruguay	None
EU251188	MB-7/4647	2011-12-21	Russia	None
EF406357	H2W	2014-12-09	None	None
EF207320	LP014	2007-02-07	Thailand	None
AY974170	M2	2005-04-18	None	None
AF512536	None	2004-02-01	None	None
AF357222	None	2003-08-01	None	None
AF485328	None	2003-08-01	China	None
AB020564	None	2001-08-14	None	None
AB020565	None	2001-08-14	None	None
AB020566	None	2001-08-14	None	None
AB020567	None	2001-08-14	None	None
AB020568	None	2001-08-14	None	None
AB020569	None	2001-08-14	None	None
X83302	F.G.	2005-04-18	None	None
X75214	GBM	2005-04-18	None	None
X75215	GBM	2005-04-18	None	None
X75216	GBM	2005-04-18	None	None
K02990	None	1993-08-02	None	None
