strain_name,lab_id,country,region,state,county,collection_date,vaccination_status,Marshallese
BritishColumbia.CAN/24.16/1/G,,canada,north_america,british_columbia,NA,2016-06-13,unknown,unknown
Rockhampton.AUS/41.16/G,,australia,oceania,australia,NA,2016-XX-XX,unknown,unknown
Manitoba.CAN/43.16/11/G,,canada,north_america,manitoba,NA,2016-10-26,unknown,unknown
Urabe_AM-9-A,,?,?,?,NA,?,unknown,unknown
BritishColumbia.CAN/16.16/4/G,,canada,north_america,british_columbia,NA,2016-04-21,unknown,unknown
Washington.USA/2017358/29.17/G,,usa,north_america,washington,NA,2017-07-26,unknown,unknown
BritishColumbia.CAN/26.16/5/G,,canada,north_america,british_columbia,NA,2016-06-30,unknown,unknown
Hikaru.JPN/22.97-B,,japan,japan_korea,japan,NA,1997-06-04,unknown,unknown
Texas.USA/18.17/G,,usa,north_america,texas,NA,2017-05-05,unknown,unknown
Illinois.USA/26.15/2/G,,usa,north_america,illinois,NA,2015-06-24,unknown,unknown
Massachusetts.USA/45.16/4/G,,usa,north_america,massachusetts,NA,2016-11-11,unknown,unknown
Wisconsin.USA/15.17/2/G,,usa,north_america,wisconsin,NA,2017-04-XX,unknown,unknown
Zhejiang.CHN/16.08/2,,china,china,zhejiang,NA,2008-04-18,unknown,unknown
Ohio.USA/13.14/6/G,,usa,north_america,ohio,NA,2014-03-26,unknown,unknown
Massachusetts.USA/16.16/14/G,,usa,north_america,massachusetts,NA,2016-04-22,unknown,unknown
Washington.USA/2017231/9.17/3/G,,usa,north_america,washington,NA,2017-03-01,unknown,unknown
Massachusetts.USA/52.16/G,,usa,north_america,massachusetts,NA,2016-12-27,unknown,unknown
Massachusetts.USA/17.16/8/G,,usa,north_america,massachusetts,NA,2016-04-26,unknown,unknown
Gabon/9.13/2/G,,gabon,africa,gabon,NA,2013-03-01,unknown,unknown
Massachusetts.USA/16.16/3/G,,usa,north_america,massachusetts,NA,2016-04-19,unknown,unknown
Missouri.USA/32.16/G,,usa,north_america,missouri,NA,2016-08-XX,unknown,unknown
Wisconsin.USA/15.17/G,,usa,north_america,wisconsin,NA,2017-04-XX,unknown,unknown
Massachusetts.USA/19.16/4/G,,usa,north_america,massachusetts,NA,2016-05-09,unknown,unknown
Arkansas.USA/50.16/G,,usa,north_america,arkansas,NA,2016-12-10,unknown,unknown
Massachusetts.USA/21.17/2/G,,usa,north_america,massachusetts,NA,2017-05-30,unknown,unknown
rOdate/AcGFP,,japan,japan_korea,japan,NA,?,unknown,unknown
Arkansas.USA/12.17/G,,usa,north_america,arkansas,NA,2017-03-21,unknown,unknown
Washington.USA/2017315/16.17/2/G,,usa,north_america,washington,NA,2017-04-23,unknown,unknown
Massachusetts.USA/11.17/G,,usa,north_america,massachusetts,NA,2017-03-14,unknown,unknown
31170170,,japan,japan_korea,japan,NA,2017-XX-XX,unknown,unknown
Washington.USA/2017120/2.17/11/G,,usa,north_america,washington,NA,2017-01-13,unknown,unknown
Ontario.CAN/12.17/2/G,,canada,north_america,ontario,NA,2017-03-21,unknown,unknown
Washington.USA/2017330/19.17/G,,usa,north_america,washington,NA,2017-05-10,unknown,unknown
Massachusetts.USA/8.16/1/G,,usa,north_america,massachusetts,NA,2016-02-24,unknown,unknown
BritishColumbia.CAN/17.16/G,,canada,north_america,british_columbia,NA,2016-04-29,unknown,unknown
Massachusetts.USA/22.17/G,,usa,north_america,massachusetts,NA,2017-05-30,unknown,unknown
Illinois.USA/14.17/G,,usa,north_america,illinois,NA,2017-04-05,unknown,unknown
BritishColumbia.CAN/24.16/7/G,,canada,north_america,british_columbia,NA,2016-06-15,unknown,unknown
Washington.USA/2017375/4.17/8/G,,usa,north_america,washington,NA,2017-01-29,unknown,unknown
Ontario.CAN/13.10/G,,canada,north_america,ontario,NA,2010-03-31,unknown,unknown
Wisconsin.USA/42.15/G,,usa,north_america,wisconsin,NA,2015-10-XX,unknown,unknown
Massachusetts.USA/26.15/1/G,,usa,north_america,massachusetts,NA,2015-07-04,unknown,unknown
Glouc1/UK96,,united_kingdom,europe,england,NA,1996-XX-XX,unknown,unknown
Washington.USA/2017174/5.17/6/G,,usa,north_america,washington,NA,2017-02-04,unknown,unknown
Urabe_AM-9-B,,?,?,?,NA,?,unknown,unknown
Massachusetts.USA/18.16/1/G,,usa,north_america,massachusetts,NA,2016-05-04,unknown,unknown
Wisconsin.USA/16.14/2/G,,usa,north_america,wisconsin,NA,2014-04-XX,unknown,unknown
Washington.USA/2017367/4.17/7/G,,usa,north_america,washington,NA,2017-02-03,unknown,unknown
BritishColumbia.CAN/18.16/G,,canada,north_america,british_columbia,NA,2016-05-04,unknown,unknown
Massachusetts.USA/16.16/6/G,,usa,north_america,massachusetts,NA,2016-04-20,unknown,unknown
Missouri.USA/41.16/G,,usa,north_america,missouri,NA,2016-10-XX,unknown,unknown
Washington.USA/2017158/5.17/4/G,,usa,north_america,washington,NA,2017-02-06,unknown,unknown
Massachusetts.USA/45.16/1/G,,usa,north_america,massachusetts,NA,2016-11-09,unknown,unknown
Kansas.USA/8.17/G,,usa,north_america,kansas,NA,2017-02-21,unknown,unknown
Massachusetts.USA/17.16/12/G,,usa,north_america,massachusetts,NA,2016-05-02,unknown,unknown
Massachusetts.USA/19.17/2/G,,usa,north_america,massachusetts,NA,2017-05-11,unknown,unknown
Chennai.IND/35.12/C,,india,south_asia,india,NA,2012-08-31,unknown,unknown
Washington.USA/2017151/5.17/2/G,,usa,north_america,washington,NA,2017-02-01,unknown,unknown
BritishColumbia.CAN/18.16/4/G,,canada,north_america,british_columbia,NA,2016-05-08,unknown,unknown
Missouri.USA/15.17/G,,usa,north_america,missouri,NA,2017-04-XX,unknown,unknown
Massachusetts.USA/37.15/1/G,,usa,north_america,massachusetts,NA,2015-09-15,unknown,unknown
Massachusetts.USA/45.16/2/G,,usa,north_america,massachusetts,NA,2016-11-09,unknown,unknown
