strain_name,lab_id,country,region,state,county,collection_date,vaccination_status,Marshallese
Massachusetts.USA/19.16/6/G,,usa,north_america,massachusetts,NA,2016-05-09,unknown,unknown
Massachusetts.USA/22.17/4/G,,usa,north_america,massachusetts,NA,2017-05-31,unknown,unknown
Washington.USA/2017249/10.17/G,,usa,north_america,washington,NA,2017-03-12,unknown,unknown
Ontario.CAN/12.17/4/G,,canada,north_america,ontario,NA,2017-03-22,unknown,unknown
BritishColumbia.CAN/33.16/1/G,,canada,north_america,british_columbia,NA,2016-08-16,unknown,unknown
Enders,,?,?,?,NA,?,unknown,unknown
Missouri.USA/11.17/G,,usa,north_america,missouri,NA,2017-03-XX,unknown,unknown
Ontario.CAN/06.17/4/G,,canada,north_america,ontario,NA,2017-02-06,unknown,unknown
Missouri.USA/24.17/G,,usa,north_america,missouri,NA,2017-06-XX,unknown,unknown
Massachusetts.USA/7.17/2/G,,usa,north_america,massachusetts,NA,2017-02-18,unknown,unknown
Indiana.USA/49.16/G,,usa,north_america,indiana,NA,2016-12-12,unknown,unknown
BritishColumbia.CAN/19.16/1/G,,canada,north_america,british_columbia,NA,2016-05-10,unknown,unknown
Arkansas.USA/52.16/G,,usa,north_america,arkansas,NA,2016-12-19,unknown,unknown
Massachusetts.USA/10.16/2/G,,usa,north_america,massachusetts,NA,2016-03-08,unknown,unknown
Washington.USA/2017321/17.17/3/G,,usa,north_america,washington,NA,2017-04-29,unknown,unknown
Davangere.IND/01.14/C,,india,south_asia,india,NA,2014-02-02,unknown,unknown
Massachusetts.USA/44.16/1/G,,usa,north_america,massachusetts,NA,2016-10-31,unknown,unknown
Massachusetts.USA/17.16/13/G,,usa,north_america,massachusetts,NA,2016-05-02,unknown,unknown
Wisconsin.USA/19.17/G,,usa,north_america,wisconsin,NA,2017-05-XX,unknown,unknown
Wisconsin.USA/15.06/3/G,,usa,north_america,wisconsin,NA,2006-04-XX,unknown,unknown
Wisconsin.USA/29.14/G,,usa,north_america,wisconsin,NA,2014-07-XX,unknown,unknown
Kushinagar.IND/36.13/C,,india,south_asia,india,NA,2013-09-07,unknown,unknown
Washington.USA/2017178/6.17/2/G,,usa,north_america,washington,NA,2017-02-08,unknown,unknown
Washington.USA/2017401/28.17/G,,usa,north_america,washington,NA,2017-07-12,unknown,unknown
Ontario.CAN/12.17/5/G,,canada,north_america,ontario,NA,2017-03-25,unknown,unknown
Ontario.CAN/12.17/3/G,,canada,north_america,ontario,NA,2017-03-20,unknown,unknown
Washington.USA/2017147/5.17/G,,usa,north_america,washington,NA,2017-01-30,unknown,unknown
Massachusetts.USA/22.16/2/G,,usa,north_america,massachusetts,NA,2016-06-03,unknown,unknown
Ontario.CAN/09.17/4/G,,canada,north_america,ontario,NA,2017-02-25,unknown,unknown
Wisconsin.USA/7.07/G,,usa,north_america,wisconsin,NA,2007-02-XX,unknown,unknown
02-49,,japan,japan_korea,japan,NA,?,unknown,unknown
Ontario.CAN/04.17/1/G,,canada,north_america,ontario,NA,2017-01-23,unknown,unknown
Washington.USA/2017268/12.17/G,,usa,north_america,washington,NA,2017-03-22,unknown,unknown
Massachusetts.USA/16.16/5/G,,usa,north_america,massachusetts,NA,2016-04-20,unknown,unknown
Massachusetts.USA/20.16/2/G,,usa,north_america,massachusetts,NA,2016-05-20,unknown,unknown
Alabama.USA/19.17/G,,usa,north_america,alabama,NA,2017-05-XX,unknown,unknown
Massachusetts.USA/18.16/3/G,,usa,north_america,massachusetts,NA,2016-05-05,unknown,unknown
Ohio.USA/46.17/G,,usa,north_america,ohio,NA,2017-11-XX,unknown,unknown
unnamed,,?,?,?,NA,?,unknown,unknown
Massachusetts.USA/11.16/1/G,,usa,north_america,massachusetts,NA,2016-03-14,unknown,unknown
BritishColumbia.CAN/18.16/2/G,,canada,north_america,british_columbia,NA,2016-05-07,unknown,unknown
Washington.USA/2017395/18.17/2/G,,usa,north_america,washington,NA,2017-05-04,unknown,unknown
MuVi-MNG09-024,,mongolia,west_asia,mongolia,NA,2009-05-28,unknown,unknown
Missouri.USA/15.17/3/G,,usa,north_america,missouri,NA,2017-04-XX,unknown,unknown
Georgia.USA/2.17/G,,usa,north_america,georgia,NA,2017-01-12,unknown,unknown
BritishColumbia.CAN/30.16/3/G,,canada,north_america,british_columbia,NA,2016-07-27,unknown,unknown
Wisconsin.USA/50.16/G,,usa,north_america,wisconsin,NA,2016-12-XX,unknown,unknown
Massachusetts.USA/10.16/10/G,,usa,north_america,massachusetts,NA,2016-03-12,unknown,unknown
ODATE-3,,japan,japan_korea,japan,NA,?,unknown,unknown
Bedford.GBR/0.89/H,,united_kingdom,europe,england,NA,1989-XX-XX,unknown,unknown
BritishColumbia.CAN/28.16/6/G,,canada,north_america,british_columbia,NA,2016-07-14,unknown,unknown
Massachusetts.USA/22.17/9/G,,usa,north_america,massachusetts,NA,2017-06-05,unknown,unknown
Ontario.CAN/38.09/2/G,,canada,north_america,ontario,NA,2009-09-17,unknown,unknown
Washington.USA/2017069/1.17/5/G,,usa,north_america,washington,NA,2017-01-08,unknown,unknown
Massachusetts.USA/10.16/4/G,,usa,north_america,massachusetts,NA,2016-03-10,unknown,unknown
Missouri.USA/28.17/G,,usa,north_america,missouri,NA,2017-07-XX,unknown,unknown
Washington.USA/2017279/12.17/5/G,,usa,north_america,washington,NA,2017-03-24,unknown,unknown
BritishColumbia.CAN/29.16/5/G,,canada,north_america,british_columbia,NA,2016-07-22,unknown,unknown
Pennsylvania.USA/19.16/G,,usa,north_america,pennsylvania,NA,2016-05-10,unknown,unknown
31170254,,japan,japan_korea,japan,NA,2017-XX-XX,unknown,unknown
Ohio.USA/11.17/G,,usa,north_america,ohio,NA,2017-03-XX,unknown,unknown
Massachusetts.USA/10.16/6/G,,usa,north_america,massachusetts,NA,2016-03-09,unknown,unknown
BritishColumbia.CAN/8.17/3/G,,canada,north_america,british_columbia,NA,2017-02-22,unknown,unknown
Missouri.USA/7.17/G,,usa,north_america,missouri,NA,2017-02-XX,unknown,unknown
Massachusetts.USA/17.16/10/G,,usa,north_america,massachusetts,NA,2016-05-01,unknown,unknown
BritishColumbia.CAN/21.16/4/G,,canada,north_america,british_columbia,NA,2016-05-25,unknown,unknown
Washington.USA/2017361/51.16/3/G,,usa,north_america,washington,NA,2016-12-21,unknown,unknown
Washington.USA/2017340/20.17/2/G,,usa,north_america,washington,NA,2017-05-21,unknown,unknown
Massachusetts.USA/26.17/G,,usa,north_america,massachusetts,NA,2017-06-29,unknown,unknown
Ontario.CAN/13.17/1/G,,canada,north_america,ontario,NA,2017-03-30,unknown,unknown
Washington.USA/2017304/15.17/2/G,,usa,north_america,washington,NA,2017-04-13,unknown,unknown
Massachusetts.USA/22.17/6/G,,usa,north_america,massachusetts,NA,2017-05-31,unknown,unknown
Dadra&NagarHaveli.IND/42.16/2/G,,india,south_asia,india,NA,?,unknown,unknown
Arkansas.USA/38.16/G,,usa,north_america,arkansas,NA,2016-09-15,unknown,unknown
Massachusetts.USA/19.16/2/G,,usa,north_america,massachusetts,NA,2016-05-09,unknown,unknown
Washington.USA/2017402/16.17/4/G,,usa,north_america,washington,NA,2017-04-17,unknown,unknown
NewYork.USA/10.14/3/G,,usa,north_america,new_york,NA,2014-03-04,unknown,unknown
Washington.USA/2017065/1.17/2/G,,usa,north_america,washington,NA,2017-01-04,unknown,unknown
Massachusetts.USA/24.17/G,,usa,north_america,massachusetts,NA,2017-06-14,unknown,unknown
Missouri.USA/50.16/G,,usa,north_america,missouri,NA,2016-12-XX,unknown,unknown
attenuated_RS-12,,iran,west_asia,iran,NA,?,unknown,unknown
Massachusetts.USA/43.16/2/G,,usa,north_america,massachusetts,NA,2016-10-26,unknown,unknown
Washington.USA/2017067/1.17/3/G,,usa,north_america,washington,NA,2017-01-06,unknown,unknown
Massachusetts.USA/19.16/11/G,,usa,north_america,massachusetts,NA,2016-05-14,unknown,unknown
Massachusetts.USA/7.17/G,,usa,north_america,massachusetts,NA,2017-02-13,unknown,unknown
Arkansas.USA/45.16/G,,usa,north_america,arkansas,NA,2016-10-30,unknown,unknown
BritishColumbia.CAN/23.16/1/G,,canada,north_america,british_columbia,NA,2016-06-06,unknown,unknown
Biken,,?,?,?,NA,?,unknown,unknown
Massachusetts.USA/22.17/2/G,,usa,north_america,massachusetts,NA,2017-05-30,unknown,unknown
Washington.USA/2017132/3.17/3/G,,usa,north_america,washington,NA,2017-01-20,unknown,unknown
Arkansas.USA/46.16/G,,usa,north_america,arkansas,NA,2016-11-10,unknown,unknown
Massachusetts.USA/25.17/5/G,,usa,north_america,massachusetts,NA,2017-06-21,unknown,unknown
Washington.USA/2017386/11.17/4/G,,usa,north_america,washington,NA,2017-03-15,unknown,unknown
Washington.USA/2017023/50.16/G,,usa,north_america,washington,NA,2016-12-13,unknown,unknown
Massachusetts.USA/9.16/4/G,,usa,north_america,massachusetts,NA,2016-03-08,unknown,unknown
Ohio.USA/7.17/G,,usa,north_america,ohio,NA,2017-02-XX,unknown,unknown
Ontario.CAN/08.17/2/G,,canada,north_america,ontario,NA,2017-02-19,unknown,unknown
Massachusetts.USA/15.16/1/G,,usa,north_america,massachusetts,NA,2016-04-12,unknown,unknown
Manitoba.CAN/44.16/15/G,,canada,north_america,manitoba,NA,2016-11-02,unknown,unknown
Massachusetts.USA/16.16/4/G,,usa,north_america,massachusetts,NA,2016-04-19,unknown,unknown
Mass.USA/4.10,,usa,north_america,massachusetts,NA,2010-01-29,unknown,unknown
Urabe_AM-9_(parental_strain),,?,?,?,NA,?,unknown,unknown
Massachusetts.USA/12.16/3/G,,usa,north_america,massachusetts,NA,2016-03-25,unknown,unknown
Wisconsin.USA/46.15/G,,usa,north_america,wisconsin,NA,2015-11-XX,unknown,unknown
Massachusetts.USA/45.16/7/G,,usa,north_america,massachusetts,NA,2016-11-15,unknown,unknown
BritishColumbia.CAN/34.16/3/G,,canada,north_america,british_columbia,NA,2016-08-28,unknown,unknown
Missouri.USA/29.15/G,,usa,north_america,missouri,NA,2015-07-XX,unknown,unknown
BritishColumbia.CAN/28.16/5/G,,canada,north_america,british_columbia,NA,2016-07-13,unknown,unknown
Arkansas.USA/41.16/G,,usa,north_america,arkansas,NA,2016-10-03,unknown,unknown
Washington.USA/2017153/5.17/3/G,,usa,north_america,washington,NA,2017-01-31,unknown,unknown
Urabe,,canada,north_america,canada,NA,1996-09-XX,unknown,unknown
Washington.USA/2017179/6.17/3/G,,usa,north_america,washington,NA,2017-02-13,unknown,unknown
Massachusetts.USA/21.16/2/G,,usa,north_america,massachusetts,NA,2016-05-26,unknown,unknown
Washington.USA/2017371/16.17/3/G,,usa,north_america,washington,NA,2017-04-21,unknown,unknown
Massachusetts.USA/46.16/4/G,,usa,north_america,massachusetts,NA,2016-11-15,unknown,unknown
Massachusetts.USA/21.16/1/G,,usa,north_america,massachusetts,NA,2016-05-24,unknown,unknown
Massachusetts.USA/8.16/5/G,,usa,north_america,massachusetts,NA,2016-02-25,unknown,unknown
NewYork/10.14/2/G,,usa,north_america,new_york,NA,2014-03-03,unknown,unknown
Pennsylvania.USA/51.14/G,,usa,north_america,pennsylvania,NA,2014-12-16,unknown,unknown
Massachusetts.USA/45.16/3/G,,usa,north_america,massachusetts,NA,2016-11-11,unknown,unknown
Fukuoka.JPN/41.00/L,,japan,japan_korea,fukuoka,NA,2000-10-14,unknown,unknown
Ge9.DEU/0.77/D,,germany,europe,germany,NA,1977-XX-XX,unknown,unknown
SBL,,?,?,?,NA,?,unknown,unknown
Ohio.USA/13.14/10/G,,usa,north_america,ohio,NA,2014-03-30,unknown,unknown
Washington.USA/2017318/17.17/G,,usa,north_america,washington,NA,2017-04-25,unknown,unknown
Massachusetts.USA/19.16/9/G,,usa,north_america,massachusetts,NA,2016-05-13,unknown,unknown
BritishColumbia.CAN/20.16/1/G,,canada,north_america,british_columbia,NA,2016-05-22,unknown,unknown
BritishColumbia.CAN/21.16/3/G,,canada,north_america,british_columbia,NA,2016-05-24,unknown,unknown
31170263,,japan,japan_korea,japan,NA,2017-XX-XX,unknown,unknown
Washington.USA/2017228/8.17/4/G,,usa,north_america,washington,NA,2017-02-23,unknown,unknown
Washington.USA/2017013/48.16/3/G,,usa,north_america,washington,NA,2016-12-07,unknown,unknown
Massachusetts.USA/10.16/12/G,,usa,north_america,massachusetts,NA,2016-03-12,unknown,unknown
Massachusetts.USA/25.17/G,,usa,north_america,massachusetts,NA,2017-06-19,unknown,unknown
Massachusetts.USA/47.16/1/G,,usa,north_america,massachusetts,NA,2016-11-26,unknown,unknown
Ontario.CAN/06.17/3/G,,canada,north_america,ontario,NA,2017-02-08,unknown,unknown
Washington.USA/2017387/11.17/5/G,,usa,north_america,washington,NA,2017-03-18,unknown,unknown
Ohio.USA/16.14/1/G,,usa,north_america,ohio,NA,2014-04-15,unknown,unknown
S79-vaccine,,china,china,china,NA,?,unknown,unknown
SIPAR_02,,?,?,?,NA,?,unknown,unknown
87_1004,,?,?,?,NA,?,unknown,unknown
BritishColumbia.CAN/8.17/8/G,,canada,north_america,british_columbia,NA,2017-02-26,unknown,unknown
Massachusetts.USA/14.17/G,,usa,north_america,massachusetts,NA,2017-04-02,unknown,unknown
Washington.USA/2017364/2.17/12/G,,usa,north_america,washington,NA,2017-01-13,unknown,unknown
Michigan.USA/12.14/G,,usa,north_america,michigan,NA,2014-03-20,unknown,unknown
Washington.USA/2017366/3.17/5/G,,usa,north_america,washington,NA,2017-01-18,unknown,unknown
Wisconsin.USA/20.14/G,,usa,north_america,wisconsin,NA,2014-05-XX,unknown,unknown
Washington.USA/2017398/23.17/G,,usa,north_america,washington,NA,2017-06-11,unknown,unknown
88-1961,,?,?,?,NA,?,unknown,unknown
Massachusetts.USA/33.16/1/G,,usa,north_america,massachusetts,NA,2016-08-19,unknown,unknown
NewYork.USA/10.14/2/G,,usa,north_america,new_york,NA,2014-03-03,unknown,unknown
Ontario.CAN/09.17/6/G,,canada,north_america,ontario,NA,2017-02-27,unknown,unknown
Massachusetts.USA/19.17/3/G,,usa,north_america,massachusetts,NA,2017-05-14,unknown,unknown
Massachusetts.USA/15.16/2/G,,usa,north_america,massachusetts,NA,2016-04-14,unknown,unknown
Washington.USA/2017165/6.17/G,,usa,north_america,washington,NA,2017-02-06,unknown,unknown
Gabon/13/2/G,,gabon,africa,gabon,NA,2013-03-01,unknown,unknown
Massachusetts.USA/24.17/5/K,,usa,north_america,massachusetts,NA,2017-06-16,unknown,unknown
Massachusetts.USA/10.17/G,,usa,north_america,massachusetts,NA,2017-03-06,unknown,unknown
Ohio.USA/2.18/G,,usa,north_america,ohio,NA,2018-01-XX,unknown,unknown
Alabama.USA/50.17/G,,usa,north_america,alabama,NA,2017-12-XX,unknown,unknown
Washington.USA/2017105/2.17/9/G,,usa,north_america,washington,NA,2017-01-13,unknown,unknown
Massachusetts.USA/27.16/1/G,,usa,north_america,massachusetts,NA,2016-07-09,unknown,unknown
BritishColumbia.CAN/33.16/3/G,,canada,north_america,british_columbia,NA,2016-08-19,unknown,unknown
BritishColumbia.CAN/29.16/3/G,,canada,north_america,british_columbia,NA,2016-07-22,unknown,unknown
Washington.USA/2017389/12.17/8/G,,usa,north_america,washington,NA,2017-03-27,unknown,unknown
Massachusetts.USA/23.17/2/G,,usa,north_america,massachusetts,NA,2017-06-07,unknown,unknown
Massachusetts.USA/11.16/4/G,,usa,north_america,massachusetts,NA,2016-03-18,unknown,unknown
Massachusetts.USA/27.16/2/G,,usa,north_america,massachusetts,NA,2016-07-12,unknown,unknown
BritishColumbia.CAN/24.16/4/G,,canada,north_america,british_columbia,NA,2016-06-15,unknown,unknown
Leeds.GBR/9.04/J,,united_kingdom,europe,england,NA,2004-03-04,unknown,unknown
Ohio.USA/12.14/9/G,,usa,north_america,ohio,NA,2014-03-21,unknown,unknown
Washington.USA/2017177/5.17/7/G,,usa,north_america,washington,NA,2017-02-08,unknown,unknown
Massachusetts.USA/17.16/6/G,,usa,north_america,massachusetts,NA,2016-04-25,unknown,unknown
Springdale_745/2016/G,,usa,north_america,arkansas,NA,2016-XX-XX,unknown,unknown
BritishColumbia.CAN/34.16/2/F,,canada,north_america,british_columbia,NA,2016-08-27,unknown,unknown
Wisconsin.USA/15.06/G,,usa,north_america,wisconsin,NA,2006-04-XX,unknown,unknown
Missouri.USA/2.17/G,,usa,north_america,missouri,NA,2017-01-XX,unknown,unknown
Ontario.CAN/09.17/7/G,,canada,north_america,ontario,NA,2017-02-27,unknown,unknown
NewYork.USA/8.14/G,,usa,north_america,new_york,NA,2014-02-20,unknown,unknown
NewHampshire.USA/8.16/1/G,,usa,north_america,new_hampshire,NA,2016-02-25,unknown,unknown
Massachusetts.USA/19.16/1/G,,usa,north_america,massachusetts,NA,2016-05-08,unknown,unknown
Massachusetts.USA/8.16/3/G,,usa,north_america,massachusetts,NA,2016-02-25,unknown,unknown
New_York.USA/01.10,,usa,north_america,new_york,NA,2010-01-04,unknown,unknown
Washington.USA/2017373/49.16/4/G,,usa,north_america,washington,NA,2016-12-11,unknown,unknown
Shandong.CHN/4.05/F,,china,china,shandong,NA,2005-01-29,unknown,unknown
9218/Zg98,,croatia,europe,croatia,NA,1998-XX-XX,unknown,unknown
Washington.USA/2017385/11.17/3/G,,usa,north_america,washington,NA,2017-03-15,unknown,unknown
BritishColumbia.CAN/19.16/3/G,,canada,north_america,british_columbia,NA,2016-05-10,unknown,unknown
Massachusetts.USA/9.16/2/G,,usa,north_america,massachusetts,NA,2016-03-06,unknown,unknown
Arkansas.USA/49.16/G,,usa,north_america,arkansas,NA,2016-11-29,unknown,unknown
BritishColumbia.CAN/22.16/2/G,,canada,north_america,british_columbia,NA,2016-05-31,unknown,unknown
Massachusetts.USA/17.16/11/G,,usa,north_america,massachusetts,NA,2016-04-30,unknown,unknown
Massachusetts.USA/18.16/2/G,,usa,north_america,massachusetts,NA,2016-05-05,unknown,unknown
Wisconsin.USA/11.07/G,,usa,north_america,wisconsin,NA,2007-03-XX,unknown,unknown
Y213,,?,?,?,NA,?,unknown,unknown
Missouri.USA/15.17/2/G,,usa,north_america,missouri,NA,2017-04-XX,unknown,unknown
Texas.USA/27.17/G,,usa,north_america,texas,NA,2017-07-03,unknown,unknown
Massachusetts.USA/45.16/5/G,,usa,north_america,massachusetts,NA,2016-11-13,unknown,unknown
Leningrad-3,,russia,west_asia,russia,NA,2010-XX-XX,unknown,unknown
Miyahara,,?,?,?,NA,?,unknown,unknown
Arkansas.USA/40.16/G,,usa,north_america,arkansas,NA,2016-09-30,unknown,unknown
Indiana.USA/48.16/G,,usa,north_america,indiana,NA,2016-11-28,unknown,unknown
Massachusetts.USA/16.16/13/G,,usa,north_america,massachusetts,NA,2016-04-22,unknown,unknown
BritishColumbia.CAN/26.16/1/G,,canada,north_america,british_columbia,NA,2016-06-27,unknown,unknown
Massachusetts.USA/25.17/4/G,,usa,north_america,massachusetts,NA,2017-06-21,unknown,unknown
Massachusetts.USA/16.16/1/G,,usa,north_america,massachusetts,NA,2016-04-19,unknown,unknown
Washington.USA/2017388/12.17/7/G,,usa,north_america,washington,NA,2017-03-23,unknown,unknown
BritishColumbia.CAN/30.16/1/G,,canada,north_america,british_columbia,NA,2016-07-31,unknown,unknown
Washington.USA/2017391/14.17/G,,usa,north_america,washington,NA,2017-04-06,unknown,unknown
Massachusetts.USA/14.16/2/G,,usa,north_america,massachusetts,NA,2016-04-08,unknown,unknown
BritishColumbia.CAN/25.16/3/G,,canada,north_america,british_columbia,NA,2016-06-20,unknown,unknown
Zhejiang.CHN/19.10,,china,china,zhejiang,NA,2010-05-14,unknown,unknown
Washington.USA/2017031/50.16/4/G,,usa,north_america,washington,NA,2016-12-13,unknown,unknown
BritishColumbia.CAN/31.16/2/G,,canada,north_america,british_columbia,NA,2016-08-04,unknown,unknown
Ontario.CAN/37.09/G,,canada,north_america,ontario,NA,2009-09-13,unknown,unknown
Wisconsin.USA/19.16/G,,usa,north_america,wisconsin,NA,2016-05-XX,unknown,unknown
NK-M46.JPN/0.70[B]_(Vac),,japan,japan_korea,japan,NA,?,unknown,unknown
Washington.USA/2017319/17.17/2/G,,usa,north_america,washington,NA,2017-04-27,unknown,unknown
Massachusetts.USA/16.16/8/G,,usa,north_america,massachusetts,NA,2016-04-21,unknown,unknown
Washington.USA/2017368/12.17/6/G,,usa,north_america,washington,NA,2017-03-22,unknown,unknown
Washington.USA/2017365/2.17/13/G,,usa,north_america,washington,NA,2017-01-13,unknown,unknown
Osmanabad.IND/10.12/18/C,,india,south_asia,india,NA,2012-03-11,unknown,unknown
Springdale_730/2016/G,,usa,north_america,arkansas,NA,2016-XX-XX,unknown,unknown
Massachusetts.USA/9.17/G,,usa,north_america,massachusetts,NA,2017-02-27,unknown,unknown
Massachusetts.USA/46.16/1/G,,usa,north_america,massachusetts,NA,2016-11-14,unknown,unknown
Wisconsin.USA/51.15/G,,usa,north_america,wisconsin,NA,2015-12-XX,unknown,unknown
Louisiana.USA/29.17/G,,usa,north_america,louisiana,NA,2017-07-21,unknown,unknown
Massachusetts.USA/22.17/3/G,,usa,north_america,massachusetts,NA,2017-05-30,unknown,unknown
BritishColumbia.CAN/28.16/4/G,,canada,north_america,british_columbia,NA,2016-07-13,unknown,unknown
NorthDakota.USA/14.17/G,,usa,north_america,north_dakota,NA,2017-04-07,unknown,unknown
Washington.USA/2017108/2.17/10/G,,usa,north_america,washington,NA,2017-01-17,unknown,unknown
Massachusetts.USA/13.16/2/G,,usa,north_america,massachusetts,NA,2016-03-30,unknown,unknown
NewYork.USA.USA/51.14/G,,usa,north_america,new_york,NA,2014-12-16,unknown,unknown
New_York.USA/40.09/1,,usa,north_america,new_york,NA,2009-09-21,unknown,unknown
Washington.USA/2017025/50.16/2/G,,usa,north_america,washington,NA,2016-12-12,unknown,unknown
Ontario.CAN/09.17/5/C,,canada,north_america,ontario,NA,2017-02-27,unknown,unknown
