Accession	Virus	Strain	Segment	Originating_lab	Submitting_lab	Database
EPI8190	yam	B/Fujian/36/1982	ha		Other Database Import	GISAID
EPI83	yam	B/Aichi/4181/1982	ha		Other Database Import	GISAID
EPI57	yam	B/Houston/18513/1984	ha		Other Database Import	GISAID
EPI128766	yam	B/Oregon/5/1980	ha		Other Database Import	GISAID
EPI129970	yam	B/Fukuoka/80/1981	ha		Other Database Import	GISAID
EPI8192	yam	B/Xuanwu/1/1982	ha		Other Database Import	GISAID
EPI53	yam	B/Aichi/70/1981	ha		Other Database Import	GISAID
EPI55	yam	B/Aichi/21/1982	ha		Other Database Import	GISAID
EPI240305	yam	B/Aichi/1/1984	ha		Other Database Import	GISAID
EPI8198	yam	B/Beijing/15/1984	ha		Other Database Import	GISAID
EPI130080	yam	B/Yamagata/16/1988	ha		Other Database Import	GISAID
EPI130287	yam	B/Bangkok/163/1990	ha		Other Database Import	GISAID
EPI130301	yam	B/SouthDakota/5/1989	ha		Other Database Import	GISAID
EPI61	yam	B/Aichi/1/1991	ha		Other Database Import	GISAID
EPI59	yam	B/Aichi/5/1990	ha		Other Database Import	GISAID
EPI5587	yam	B/Houston/1/1991	ha		Other Database Import	GISAID
EPI129421	yam	B/Leningrad/129/1991	ha		Other Database Import	GISAID
EPI314855	yam	B/England/72/1994	ha		Other Database Import	GISAID
EPI517810	yam	B/NewYork/1001/1993	ha		Other Database Import	GISAID
EPI517826	yam	B/NewYork/1003/1993	ha		Other Database Import	GISAID
EPI517802	yam	B/NewYork/1000/1993	ha		Other Database Import	GISAID
EPI4431	yam	B/NizhnyNovgorod/110/1993	ha		Other Database Import	GISAID
EPI517818	yam	B/NewYork/1002/1993	ha		Other Database Import	GISAID
EPI314854	yam	B/England/66/1994	ha		Other Database Import	GISAID
EPI4433	yam	B/Oregon/1/1993	ha		Other Database Import	GISAID
EPI4429	yam	B/Washington/3/1992	ha		Other Database Import	GISAID
EPI130295	yam	B/HongKong/9/1989	ha		Other Database Import	GISAID
EPI130289	yam	B/Guangdong/55/1989	ha		Other Database Import	GISAID
EPI130307	yam	B/Texas/4/1990	ha		Other Database Import	GISAID
EPI20714	yam	B/Panama/45/1990	ha		Other Database Import	GISAID
EPI4437	yam	B/Singapore/4/1991	ha		Other Database Import	GISAID
EPI314856	yam	B/Scotland/1/1995	ha		Other Database Import	GISAID
EPI51877	yam	B/HongKong/3/1992	ha		Other Database Import	GISAID
EPI4455	yam	B/Beijing/10/1992	ha		Other Database Import	GISAID
EPI4451	yam	B/Guangdong/4/1991	ha		Other Database Import	GISAID
EPI5591	yam	B/Sichuan/8/1992	ha		Other Database Import	GISAID
EPI4359	yam	B/Beijing/184/1993	ha		Other Database Import	GISAID
EPI4551	yam	B/Beijing/201/1992	ha		Other Database Import	GISAID
EPI20718	yam	B/Guangzhou/86/1992	ha		Other Database Import	GISAID
EPI4595	yam	B/Nanchang/P26/1993	ha		Other Database Import	GISAID
EPI4529	yam	B/Victoria/101/1994	ha		Other Database Import	GISAID
EPI4495	yam	B/Beijing/24/1993	ha		Other Database Import	GISAID
EPI347343	yam	B/Rome/4/1996	ha		National Institute For Medical Research	GISAID
EPI314862	yam	B/England/310/1995	ha		Other Database Import	GISAID
EPI4507	yam	B/Shiga/T13/1995	ha		Other Database Import	GISAID
EPI4513	yam	B/Russia/222/1995	ha		Other Database Import	GISAID
EPI4519	yam	B/Texas/1/1994	ha		Other Database Import	GISAID
