Accession	Segment	Strain	Virus	Author	Publication_Title	Journal	Database
D30697	HEF	Influenza C virus (C/Nara/2/85)	influenzaC	Peng,G., Hongo,S., Muraki,Y., Sugawara,K., Nishimura,H., Kitame,F. and Nakamura,K.	Genetic reassortment of influenza C viruses in man	J. Gen. Virol. 75 (PT 12), 3619-3622 (1994)	NCBI Virus, Genbank
LC122634	HEF	Influenza C virus (C/California/78)	influenzaC	Matsuzaki,Y., Sugawara,K., Furuse,Y., Shimotai,Y., Hongo,S., Oshitani,H., Mizuta,K. and Nishimura,H.	Genetic Lineage and Reassortment of Influenza C Viruses Circulating between 1947 and 2014	J. Virol. 90 (18), 8251-8265 (2016)	NCBI Virus, Genbank
LC122637	HEF	Influenza C virus (C/England/892/1983)	influenzaC	Matsuzaki,Y., Sugawara,K., Furuse,Y., Shimotai,Y., Hongo,S., Oshitani,H., Mizuta,K. and Nishimura,H.	Genetic Lineage and Reassortment of Influenza C Viruses Circulating between 1947 and 2014	J. Virol. 90 (18), 8251-8265 (2016)	NCBI Virus, Genbank
AB219076	HEF	Influenza C virus (C/Miyagi/3/92)	influenzaC	Matsuzaki,Y., Katsushima,N., Nagai,Y., Shoji,M., Itagaki,T., Sakamoto,M., Kitaoka,S., Mizuta,K. and Nishimura,H.	Clinical features of influenza C virus infection in children	J. Infect. Dis. 193 (9), 1229-1235 (2006)	NCBI Virus, Genbank
D87392	HEF	Influenza C virus (C/Miyagi/2/92)	influenzaC	Kimura,H., Abiko,C., Gao,P., Muraki,Y., Sugawara,K., Hongo,S., Kitame,F., Mizuta,K., Numazaki,Y., Suzuki,H. and Nakamura,K.	Interspecies transmission of influenza C virus between humans and pigs	Virus Res. 48 (1), 71-79 (1997)	NCBI Virus, Genbank
D87393	HEF	Influenza C virus (C/Miyagi/3/91)	influenzaC	Kimura,H., Abiko,C., Gao,P., Muraki,Y., Sugawara,K., Hongo,S., Kitame,F., Mizuta,K., Numazaki,Y., Suzuki,H. and Nakamura,K.	Interspecies transmission of influenza C virus between humans and pigs	Virus Res. 48 (1), 71-79 (1997)	NCBI Virus, Genbank
D87394	HEF	Influenza C virus (C/Miyagi/9/91)	influenzaC	Kimura,H., Abiko,C., Gao,P., Muraki,Y., Sugawara,K., Hongo,S., Kitame,F., Mizuta,K., Numazaki,Y., Suzuki,H. and Nakamura,K.	Interspecies transmission of influenza C virus between humans and pigs	Virus Res. 48 (1), 71-79 (1997)	NCBI Virus, Genbank
D49361	HEF	Influenza C virus (C/Yamagata/10/89)	influenzaC	Matsuzaki,Y., Matsuzaki,M., Muraki,Y., Sugawara,K., Hongo,S., Kitame,F. and Nakamura,K.	Comparison of receptor-binding properties among influenza C virus isolates	Virus Res. 38 (2-3), 291-296 (1995)	NCBI Virus, Genbank
D63472	HEF	Influenza C virus (C/Kyoto/1/79)	influenzaC	Muraki,Y., Hongo,S., Sugawara,K., Kitame,F. and Nakamura,K.	Evolution of the haemagglutinin-esterase gene of influenza C virus	J. Gen. Virol. 77 (PT 4), 673-679 (1996)	NCBI Virus, Genbank
LC385859	HEF	Influenza C virus (C/Yamagata/15/2004)	influenzaC	Matsuzaki,Y., Sugawara,K., Furuse,Y., Shimotai,Y., Hongo,S., Mizuta,K. and Nishimura,H.	Neutralizing Epitopes and Residues Mediating the Potential Antigenic Drift of the Hemagglutinin-Esterase Protein of Influenza C Virus	Viruses 10, 417 (2018)	NCBI Virus, Genbank
LC122641	HEF	Influenza C virus (C/Miyagi/20/2002)	influenzaC	Matsuzaki,Y., Sugawara,K., Furuse,Y., Shimotai,Y., Hongo,S., Oshitani,H., Mizuta,K. and Nishimura,H.	Genetic Lineage and Reassortment of Influenza C Viruses Circulating between 1947 and 2014	J. Virol. 90 (18), 8251-8265 (2016)	NCBI Virus, Genbank
AB252154	HEF	Influenza C virus (C/Yamagata/15/2004)	influenzaC	Matsuzaki,Y., Abiko,C., Mizuta,K., Sugawara,K., Takashita,E., Muraki,Y., Suzuki,H., Mikawa,M., Shimada,S., Sato,K., Kuzuya,M., Takao,S., Wakatsuki,K., Itagaki,T., Hongo,S. and Nishimura,H.	A nationwide epidemic of influenza C virus infection in Japan in 2004	J. Clin. Microbiol. 45 (3), 783-788 (2007)	NCBI Virus, Genbank
AB099410	HEF	Influenza C virus (C/Yamagata/2/99)	influenzaC	Matsuzaki,Y., Takao,S., Shimada,S., Mizuta,K., Sugawara,K., Takashita,E., Muraki,Y., Hongo,S. and Nishimura,H.	Characterization of antigenically and genetically similar influenza C viruses isolated in Japan during the 1999-2000 season	Epidemiol. Infect. 132 (4), 709-720 (2004)	NCBI Virus, Genbank
AB099412	HEF	Influenza C virus (C/Yamagata/2/2000)	influenzaC	Matsuzaki,Y., Takao,S., Shimada,S., Mizuta,K., Sugawara,K., Takashita,E., Muraki,Y., Hongo,S. and Nishimura,H.	Characterization of antigenically and genetically similar influenza C viruses isolated in Japan during the 1999-2000 season	Epidemiol. Infect. 132 (4), 709-720 (2004)	NCBI Virus, Genbank
AB099415	HEF	Influenza C virus (C/Yamagata/8/2000)	influenzaC	Matsuzaki,Y., Takao,S., Shimada,S., Mizuta,K., Sugawara,K., Takashita,E., Muraki,Y., Hongo,S. and Nishimura,H.	Characterization of antigenically and genetically similar influenza C viruses isolated in Japan during the 1999-2000 season	Epidemiol. Infect. 132 (4), 709-720 (2004)	NCBI Virus, Genbank
AB099423	HEF	Influenza C virus (C/Hiroshima/290/99)	influenzaC	Matsuzaki,Y., Takao,S., Shimada,S., Mizuta,K., Sugawara,K., Takashita,E., Muraki,Y., Hongo,S. and Nishimura,H.	Characterization of antigenically and genetically similar influenza C viruses isolated in Japan during the 1999-2000 season	Epidemiol. Infect. 132 (4), 709-720 (2004)	NCBI Virus, Genbank
AB099411	HEF	Influenza C virus (C/Yamagata/9/2000)	influenzaC	Matsuzaki,Y., Takao,S., Shimada,S., Mizuta,K., Sugawara,K., Takashita,E., Muraki,Y., Hongo,S. and Nishimura,H.	Characterization of antigenically and genetically similar influenza C viruses isolated in Japan during the 1999-2000 season	Epidemiol. Infect. 132 (4), 709-720 (2004)	NCBI Virus, Genbank
AB099414	HEF	Influenza C virus (C/Yamagata/6/2000)	influenzaC	Matsuzaki,Y., Takao,S., Shimada,S., Mizuta,K., Sugawara,K., Takashita,E., Muraki,Y., Hongo,S. and Nishimura,H.	Characterization of antigenically and genetically similar influenza C viruses isolated in Japan during the 1999-2000 season	Epidemiol. Infect. 132 (4), 709-720 (2004)	NCBI Virus, Genbank
AB099417	HEF	Influenza C virus (C/Miyagi/3/2000)	influenzaC	Matsuzaki,Y., Takao,S., Shimada,S., Mizuta,K., Sugawara,K., Takashita,E., Muraki,Y., Hongo,S. and Nishimura,H.	Characterization of antigenically and genetically similar influenza C viruses isolated in Japan during the 1999-2000 season	Epidemiol. Infect. 132 (4), 709-720 (2004)	NCBI Virus, Genbank
AB099428	HEF	Influenza C virus (C/Hiroshima/248/2000)	influenzaC	Matsuzaki,Y., Takao,S., Shimada,S., Mizuta,K., Sugawara,K., Takashita,E., Muraki,Y., Hongo,S. and Nishimura,H.	Characterization of antigenically and genetically similar influenza C viruses isolated in Japan during the 1999-2000 season	Epidemiol. Infect. 132 (4), 709-720 (2004)	NCBI Virus, Genbank
AB099420	HEF	Influenza C virus (C/Saitama/1/2000)	influenzaC	Matsuzaki,Y., Takao,S., Shimada,S., Mizuta,K., Sugawara,K., Takashita,E., Muraki,Y., Hongo,S. and Nishimura,H.	Characterization of antigenically and genetically similar influenza C viruses isolated in Japan during the 1999-2000 season	Epidemiol. Infect. 132 (4), 709-720 (2004)	NCBI Virus, Genbank
AB219077	HEF	Influenza C virus (C/Miyagi/3/97)	influenzaC	Matsuzaki,Y., Katsushima,N., Nagai,Y., Shoji,M., Itagaki,T., Sakamoto,M., Kitaoka,S., Mizuta,K. and Nishimura,H.	Clinical features of influenza C virus infection in children	J. Infect. Dis. 193 (9), 1229-1235 (2006)	NCBI Virus, Genbank
AB219078	HEF	Influenza C virus (C/Miyagi/4/97)	influenzaC	Matsuzaki,Y., Katsushima,N., Nagai,Y., Shoji,M., Itagaki,T., Sakamoto,M., Kitaoka,S., Mizuta,K. and Nishimura,H.	Clinical features of influenza C virus infection in children	J. Infect. Dis. 193 (9), 1229-1235 (2006)	NCBI Virus, Genbank
AB086666	HEF	Influenza C virus (C/Miyagi/2/98)	influenzaC	Matsuzaki,Y., Mizuta,K., Sugawara,K., Tsuchiya,E., Muraki,Y., Hongo,S., Suzuki,H. and Nishimura,H.	Frequent reassortment among influenza C viruses	J. Virol. 77 (2), 871-881 (2003)	NCBI Virus, Genbank
AB086662	HEF	Influenza C virus (C/Miyagi/2/96)	influenzaC	Matsuzaki,Y., Mizuta,K., Sugawara,K., Tsuchiya,E., Muraki,Y., Hongo,S., Suzuki,H. and Nishimura,H.	Frequent reassortment among influenza C viruses	J. Virol. 77 (2), 871-881 (2003)	NCBI Virus, Genbank
AB064398	HEF	Influenza C virus (C/Yamagata/8/96)	influenzaC	Matsuzaki,Y., Sugawara,K., Mizuta,K., Tsuchiya,E., Muraki,Y., Hongo,S., Suzuki,H. and Nakamura,K.	Antigenic and genetic characterization of influenza C viruses which caused two outbreaks in Yamagata City, Japan, in 1996 and 1998	J. Clin. Microbiol. 40 (2), 422-429 (2002)	NCBI Virus, Genbank
AB086663	HEF	Influenza C virus (C/Miyagi/6/96)	influenzaC	Matsuzaki,Y., Mizuta,K., Sugawara,K., Tsuchiya,E., Muraki,Y., Hongo,S., Suzuki,H. and Nishimura,H.	Frequent reassortment among influenza C viruses	J. Virol. 77 (2), 871-881 (2003)	NCBI Virus, Genbank
AB064399	HEF	Influenza C virus (C/Yamagata/9/96)	influenzaC	Matsuzaki,Y., Sugawara,K., Mizuta,K., Tsuchiya,E., Muraki,Y., Hongo,S., Suzuki,H. and Nakamura,K.	Antigenic and genetic characterization of influenza C viruses which caused two outbreaks in Yamagata City, Japan, in 1996 and 1998	J. Clin. Microbiol. 40 (2), 422-429 (2002)	NCBI Virus, Genbank
AB064397	HEF	Influenza C virus (C/Yamagata/3/96)	influenzaC	Matsuzaki,Y., Sugawara,K., Mizuta,K., Tsuchiya,E., Muraki,Y., Hongo,S., Suzuki,H. and Nakamura,K.	Antigenic and genetic characterization of influenza C viruses which caused two outbreaks in Yamagata City, Japan, in 1996 and 1998	J. Clin. Microbiol. 40 (2), 422-429 (2002)	NCBI Virus, Genbank
AB064400	HEF	Influenza C virus (C/Yamagata/20/96)	influenzaC	Matsuzaki,Y., Sugawara,K., Mizuta,K., Tsuchiya,E., Muraki,Y., Hongo,S., Suzuki,H. and Nakamura,K.	Antigenic and genetic characterization of influenza C viruses which caused two outbreaks in Yamagata City, Japan, in 1996 and 1998	J. Clin. Microbiol. 40 (2), 422-429 (2002)	NCBI Virus, Genbank
AB086667	HEF	Influenza C virus (C/Miyagi/4/98)	influenzaC	Matsuzaki,Y., Mizuta,K., Sugawara,K., Tsuchiya,E., Muraki,Y., Hongo,S., Suzuki,H. and Nishimura,H.	Frequent reassortment among influenza C viruses	J. Virol. 77 (2), 871-881 (2003)	NCBI Virus, Genbank
AB064401	HEF	Influenza C virus (C/Yamagata/2/98)	influenzaC	Matsuzaki,Y., Sugawara,K., Mizuta,K., Tsuchiya,E., Muraki,Y., Hongo,S., Suzuki,H. and Nakamura,K.	Antigenic and genetic characterization of influenza C viruses which caused two outbreaks in Yamagata City, Japan, in 1996 and 1998	J. Clin. Microbiol. 40 (2), 422-429 (2002)	NCBI Virus, Genbank
AB064402	HEF	Influenza C virus (C/Yamagata/6/98)	influenzaC	Matsuzaki,Y., Sugawara,K., Mizuta,K., Tsuchiya,E., Muraki,Y., Hongo,S., Suzuki,H. and Nakamura,K.	Antigenic and genetic characterization of influenza C viruses which caused two outbreaks in Yamagata City, Japan, in 1996 and 1998	J. Clin. Microbiol. 40 (2), 422-429 (2002)	NCBI Virus, Genbank
AB064403	HEF	Influenza C virus (C/Yamagata/13/98)	influenzaC	Matsuzaki,Y., Sugawara,K., Mizuta,K., Tsuchiya,E., Muraki,Y., Hongo,S., Suzuki,H. and Nakamura,K.	Antigenic and genetic characterization of influenza C viruses which caused two outbreaks in Yamagata City, Japan, in 1996 and 1998	J. Clin. Microbiol. 40 (2), 422-429 (2002)	NCBI Virus, Genbank
AB252164	HEF	Influenza C virus (C/Fukuoka/2/2004)	influenzaC	Matsuzaki,Y., Abiko,C., Mizuta,K., Sugawara,K., Takashita,E., Muraki,Y., Suzuki,H., Mikawa,M., Shimada,S., Sato,K., Kuzuya,M., Takao,S., Wakatsuki,K., Itagaki,T., Hongo,S. and Nishimura,H.	A nationwide epidemic of influenza C virus infection in Japan in 2004	J. Clin. Microbiol. 45 (3), 783-788 (2007)	NCBI Virus, Genbank
AB086665	HEF	Influenza C virus (C/Miyagi/1/97)	influenzaC	Matsuzaki,Y., Mizuta,K., Sugawara,K., Tsuchiya,E., Muraki,Y., Hongo,S., Suzuki,H. and Nishimura,H.	Frequent reassortment among influenza C viruses	J. Virol. 77 (2), 871-881 (2003)	NCBI Virus, Genbank
AB099418	HEF	Influenza C virus (C/Miyagi/4/2000)	influenzaC	Matsuzaki,Y., Takao,S., Shimada,S., Mizuta,K., Sugawara,K., Takashita,E., Muraki,Y., Hongo,S. and Nishimura,H.	Characterization of antigenically and genetically similar influenza C viruses isolated in Japan during the 1999-2000 season	Epidemiol. Infect. 132 (4), 709-720 (2004)	NCBI Virus, Genbank
AB086668	HEF	Influenza C virus (C/Miyagi/1/99)	influenzaC	Matsuzaki,Y., Mizuta,K., Sugawara,K., Tsuchiya,E., Muraki,Y., Hongo,S., Suzuki,H. and Nishimura,H.	Frequent reassortment among influenza C viruses	J. Virol. 77 (2), 871-881 (2003)	NCBI Virus, Genbank
AB086669	HEF	Influenza C virus (C/Miyagi/3/99)	influenzaC	Matsuzaki,Y., Mizuta,K., Sugawara,K., Tsuchiya,E., Muraki,Y., Hongo,S., Suzuki,H. and Nishimura,H.	Frequent reassortment among influenza C viruses	J. Virol. 77 (2), 871-881 (2003)	NCBI Virus, Genbank
AB099424	HEF	Influenza C virus (C/Hiroshima/252/99)	influenzaC	Matsuzaki,Y., Takao,S., Shimada,S., Mizuta,K., Sugawara,K., Takashita,E., Muraki,Y., Hongo,S. and Nishimura,H.	Characterization of antigenically and genetically similar influenza C viruses isolated in Japan during the 1999-2000 season	Epidemiol. Infect. 132 (4), 709-720 (2004)	NCBI Virus, Genbank
AB099425	HEF	Influenza C virus (C/Hiroshima/249/2000)	influenzaC	Matsuzaki,Y., Takao,S., Shimada,S., Mizuta,K., Sugawara,K., Takashita,E., Muraki,Y., Hongo,S. and Nishimura,H.	Characterization of antigenically and genetically similar influenza C viruses isolated in Japan during the 1999-2000 season	Epidemiol. Infect. 132 (4), 709-720 (2004)	NCBI Virus, Genbank
AB099427	HEF	Influenza C virus (C/Hiroshima/247/2000)	influenzaC	Matsuzaki,Y., Takao,S., Shimada,S., Mizuta,K., Sugawara,K., Takashita,E., Muraki,Y., Hongo,S. and Nishimura,H.	Characterization of antigenically and genetically similar influenza C viruses isolated in Japan during the 1999-2000 season	Epidemiol. Infect. 132 (4), 709-720 (2004)	NCBI Virus, Genbank
EU086908	HEF	Influenza C virus (C/Caen/BO1/2004)	influenzaC	Gouarin,S., Vabret,A., Dina,J., Petitjean,J., Brouard,J., Cuvillon-Nimal,D. and Freymuth,F.	Study of influenza C virus infection in France	J. Med. Virol. 80 (8), 1441-1446 (2008)	NCBI Virus, Genbank
EU086909	HEF	Influenza C virus (C/Caen/JO2/2004)	influenzaC	Gouarin,S., Vabret,A., Dina,J., Petitjean,J., Brouard,J., Cuvillon-Nimal,D. and Freymuth,F.	Study of influenza C virus infection in France	J. Med. Virol. 80 (8), 1441-1446 (2008)	NCBI Virus, Genbank
D63468	HEF	Influenza C virus (C/Sapporo/71)	influenzaC	Muraki,Y., Hongo,S., Sugawara,K., Kitame,F. and Nakamura,K.	Evolution of the haemagglutinin-esterase gene of influenza C virus	J. Gen. Virol. 77 (PT 4), 673-679 (1996)	NCBI Virus, Genbank
AB035362	HEF	Influenza C virus	influenzaC	Matsuzaki,Y., Mizuta,K., Kimura,H., Sugawara,K., Tsuchiya,E., Suzuki,H., Hongo,S. and Nakamura,K.	Characterization of antigenically unique influenza C virus strains isolated in Yamagata and Sendai cities, Japan, during 1992-1993	J. Gen. Virol. 81 (PT 6), 1447-1452 (2000)	NCBI Virus, Genbank
LC122633	HEF	Influenza C virus (C/Great Lakes/1167/1954)	influenzaC	Matsuzaki,Y., Sugawara,K., Furuse,Y., Shimotai,Y., Hongo,S., Oshitani,H., Mizuta,K. and Nishimura,H.	Genetic Lineage and Reassortment of Influenza C Viruses Circulating between 1947 and 2014	J. Virol. 90 (18), 8251-8265 (2016)	NCBI Virus, Genbank
M11642	HEF	Influenza C virus	influenzaC	Buonagurio,D.A., Nakada,S., Desselberger,U., Krystal,M. and Palese,P.	Noncumulative sequence changes in the hemagglutinin genes of influenza C virus isolates	Virology 146 (2), 221-232 (1985)	NCBI Virus, Genbank
M11643	HEF	Influenza C virus	influenzaC	Buonagurio,D.A., Nakada,S., Desselberger,U., Krystal,M. and Palese,P.	Noncumulative sequence changes in the hemagglutinin genes of influenza C virus isolates	Virology 146 (2), 221-232 (1985)	NCBI Virus, Genbank
M11644	HEF	Influenza C virus	influenzaC	Buonagurio,D.A., Nakada,S., Desselberger,U., Krystal,M. and Palese,P.	Noncumulative sequence changes in the hemagglutinin genes of influenza C virus isolates	Virology 146 (2), 221-232 (1985)	NCBI Virus, Genbank
M11645	HEF	Influenza C virus	influenzaC	Buonagurio,D.A., Nakada,S., Desselberger,U., Krystal,M. and Palese,P.	Noncumulative sequence changes in the hemagglutinin genes of influenza C virus isolates	Virology 146 (2), 221-232 (1985)	NCBI Virus, Genbank
K01689	HEF	Influenza C virus	influenzaC	Nakada,S., Creager,R.S., Krystal,M., Aaronson,R.P. and Palese,P.	Influenza C virus hemagglutinin: comparison with influenza A and B virus hemagglutinins	J. Virol. 50 (1), 118-124 (1984)	NCBI Virus, Genbank
AB035357	HEF	Influenza C virus	influenzaC	Matsuzaki,Y., Mizuta,K., Kimura,H., Sugawara,K., Tsuchiya,E., Suzuki,H., Hongo,S. and Nakamura,K.	Characterization of antigenically unique influenza C virus strains isolated in Yamagata and Sendai cities, Japan, during 1992-1993	J. Gen. Virol. 81 (PT 6), 1447-1452 (2000)	NCBI Virus, Genbank
AB899777	HEF	Influenza C virus (C/Yamagata/4/92)	influenzaC	Matsuzaki,Y., Sugawara,K., Abiko,C., Ikeda,T., Aoki,Y., Mizuta,K., Katsushima,N., Katsushima,F., Katsushima,Y., Itagaki,T., Shimotai,Y., Hongo,S., Muraki,Y. and Nishimura,H.	Epidemiological information regarding the periodic epidemics of influenza C virus in Japan (1996-2013) and the seroprevalence of antibodies to different antigenic groups	J. Clin. Virol. 61 (1), 87-93 (2014)	NCBI Virus, Genbank
AB086657	HEF	Influenza C virus (C/Yamagata/1/86)	influenzaC	Matsuzaki,Y., Mizuta,K., Sugawara,K., Tsuchiya,E., Muraki,Y., Hongo,S., Suzuki,H. and Nishimura,H.	Frequent reassortment among influenza C viruses	J. Virol. 77 (2), 871-881 (2003)	NCBI Virus, Genbank
AB086658	HEF	Influenza C virus (C/Miyagi/1/90)	influenzaC	Matsuzaki,Y., Mizuta,K., Sugawara,K., Tsuchiya,E., Muraki,Y., Hongo,S., Suzuki,H. and Nishimura,H.	Frequent reassortment among influenza C viruses	J. Virol. 77 (2), 871-881 (2003)	NCBI Virus, Genbank
AB086659	HEF	Influenza C virus (C/Miyagi/5/91)	influenzaC	Matsuzaki,Y., Mizuta,K., Sugawara,K., Tsuchiya,E., Muraki,Y., Hongo,S., Suzuki,H. and Nishimura,H.	Frequent reassortment among influenza C viruses	J. Virol. 77 (2), 871-881 (2003)	NCBI Virus, Genbank
AB086660	HEF	Influenza C virus (C/Miyagi/7/91)	influenzaC	Matsuzaki,Y., Mizuta,K., Sugawara,K., Tsuchiya,E., Muraki,Y., Hongo,S., Suzuki,H. and Nishimura,H.	Frequent reassortment among influenza C viruses	J. Virol. 77 (2), 871-881 (2003)	NCBI Virus, Genbank
D88428	HEF	Influenza C virus (C/Yamagata/4/89)	influenzaC	Asahi,Y., Sugawara,K., Muraki,Y., Hongo,S., Kitame,F. and Nakamura,K.	The Antigenic and Receptor-binding Properties of Influenza C Viruses Adapted to Growth in HMV-II Cells	Yamagata Med. J. 15, 21-33 (1997)	NCBI Virus, Genbank
D28970	HEF	Influenza C virus (C/Aichi/1/81)	influenzaC	Matsuzaki,Y., Muraki,Y., Sugawara,K., Hongo,S., Nishimura,H., Kitame,F., Katsushima,N., Numazaki,Y. and Nakamura,K.	Cocirculation of two distinct groups of influenza C virus in Yamagata City, Japan	Virology 202 (2), 796-802 (1994)	NCBI Virus, Genbank
AB035360	HEF	Influenza C virus	influenzaC	Matsuzaki,Y., Mizuta,K., Kimura,H., Sugawara,K., Tsuchiya,E., Suzuki,H., Hongo,S. and Nakamura,K.	Characterization of antigenically unique influenza C virus strains isolated in Yamagata and Sendai cities, Japan, during 1992-1993	J. Gen. Virol. 81 (PT 6), 1447-1452 (2000)	NCBI Virus, Genbank
AB035361	HEF	Influenza C virus	influenzaC	Matsuzaki,Y., Mizuta,K., Kimura,H., Sugawara,K., Tsuchiya,E., Suzuki,H., Hongo,S. and Nakamura,K.	Characterization of antigenically unique influenza C virus strains isolated in Yamagata and Sendai cities, Japan, during 1992-1993	J. Gen. Virol. 81 (PT 6), 1447-1452 (2000)	NCBI Virus, Genbank
D28969	HEF	Influenza C virus (C/Yamagata/9/88)	influenzaC	Matsuzaki,Y., Muraki,Y., Sugawara,K., Hongo,S., Nishimura,H., Kitame,F., Katsushima,N., Numazaki,Y. and Nakamura,K.	Cocirculation of two distinct groups of influenza C virus in Yamagata City, Japan	Virology 202 (2), 796-802 (1994)	NCBI Virus, Genbank
