Accession	Segment	Strain	Virus	Author	Publication_Title	Journal	Database
AB126194	HEF	Influenza C virus (C/Ann Arbor/1/50)	influenzaC	Muraki,Y., Washioka,H., Sugawara,K., Matsuzaki,Y., Takashita,E. and Hongo,S.	Identification of an amino acid residue on influenza C virus M1 protein responsible for formation of the cord-like structures of the virus	J. Gen. Virol. 85 (PT 7), 1885-1893 (2004)	NCBI Virus, Genbank
LC385858	HEF	Influenza C virus (C/Ann Arbor/1/50)	influenzaC	Matsuzaki,Y., Sugawara,K., Furuse,Y., Shimotai,Y., Hongo,S., Mizuta,K. and Nishimura,H.	Neutralizing Epitopes and Residues Mediating the Potential Antigenic Drift of the Hemagglutinin-Esterase Protein of Influenza C Virus	Viruses 10, 417 (2018)	NCBI Virus, Genbank
LC122632	HEF	Influenza C virus (C/Taylor/1233/1947)	influenzaC	Matsuzaki,Y., Sugawara,K., Furuse,Y., Shimotai,Y., Hongo,S., Oshitani,H., Mizuta,K. and Nishimura,H.	Genetic Lineage and Reassortment of Influenza C Viruses Circulating between 1947 and 2014	J. Virol. 90 (18), 8251-8265 (2016)	NCBI Virus, Genbank
FR671422	HEF	Influenza C virus (C/JJ/1950)	influenzaC	Pachler,K., Mayr,J. and Vlasak,R.	A seven plasmid-based system for the rescue of influenza C virus	J Mol Genet Med 4, 239-246 (2010)	NCBI Virus, Genbank
M11638	HEF	Influenza C virus	influenzaC	Buonagurio,D.A., Nakada,S., Desselberger,U., Krystal,M. and Palese,P.	Noncumulative sequence changes in the hemagglutinin genes of influenza C virus isolates	Virology 146 (2), 221-232 (1985)	NCBI Virus, Genbank
M11641	HEF	Influenza C virus	influenzaC	Buonagurio,D.A., Nakada,S., Desselberger,U., Krystal,M. and Palese,P.	Noncumulative sequence changes in the hemagglutinin genes of influenza C virus isolates	Virology 146 (2), 221-232 (1985)	NCBI Virus, Genbank
M11637	HEF	Influenza C virus	influenzaC	Buonagurio,D.A., Nakada,S., Desselberger,U., Krystal,M. and Palese,P.	Noncumulative sequence changes in the hemagglutinin genes of influenza C virus isolates	Virology 146 (2), 221-232 (1985)	NCBI Virus, Genbank
M11639	HEF	Influenza C virus	influenzaC	Buonagurio,D.A., Nakada,S., Desselberger,U., Krystal,M. and Palese,P.	Noncumulative sequence changes in the hemagglutinin genes of influenza C virus isolates	Virology 146 (2), 221-232 (1985)	NCBI Virus, Genbank
LC603641	HEF	Influenza C virus	influenzaC	Matsuzaki,Y., Sugawara,K., Shimotai,Y., Kadowaki,Y., Hongo,S., Mizuta,K. and Nishimura,H.	Growth Kinetics of Influenza C Virus Antigenic Mutants That Escaped from Anti-Hemagglutinin Esterase Monoclonal Antibodies and Viral Antigenic Changes Found in Field Isolates	Viruses 13 (3), 401 (2021)	NCBI Virus, Genbank
D28968	HEF	Influenza C virus (C/Yamagata/8/88)	influenzaC	Matsuzaki,Y., Muraki,Y., Sugawara,K., Hongo,S., Nishimura,H., Kitame,F., Katsushima,N., Numazaki,Y. and Nakamura,K.	Cocirculation of two distinct groups of influenza C virus in Yamagata City, Japan	Virology 202 (2), 796-802 (1994)	NCBI Virus, Genbank
AB086656	HEF	Influenza C virus (C/Shizuoka/79)	influenzaC	Matsuzaki,Y., Mizuta,K., Sugawara,K., Tsuchiya,E., Muraki,Y., Hongo,S., Suzuki,H. and Nishimura,H.	Frequent reassortment among influenza C viruses	J. Virol. 77 (2), 871-881 (2003)	NCBI Virus, Genbank
D63473	HEF	Influenza C virus (C/Yamagata/3/88)	influenzaC	Muraki,Y., Hongo,S., Sugawara,K., Kitame,F. and Nakamura,K.	Evolution of the haemagglutinin-esterase gene of influenza C virus	J. Gen. Virol. 77 (PT 4), 673-679 (1996)	NCBI Virus, Genbank
D63503	HEF	Influenza C virus (C/Yamagata/4/88)	influenzaC	Umetsu,Y., Sugawara,K., Nishimura,H., Hongo,S., Matsuzaki,M., Kitame,F. and Nakamura,K.	Selection of antigenically distinct variants of influenza C viruses by the host cell	Virology 189 (2), 740-744 (1992)	NCBI Virus, Genbank
D28967	HEF	Influenza C virus (C/Yamagata/7/88)	influenzaC	Matsuzaki,Y., Muraki,Y., Sugawara,K., Hongo,S., Nishimura,H., Kitame,F., Katsushima,N., Numazaki,Y. and Nakamura,K.	Cocirculation of two distinct groups of influenza C virus in Yamagata City, Japan	Virology 202 (2), 796-802 (1994)	NCBI Virus, Genbank
AB899775	HEF	Influenza C virus (C/Yamagata/7/81)	influenzaC	Matsuzaki,Y., Sugawara,K., Abiko,C., Ikeda,T., Aoki,Y., Mizuta,K., Katsushima,N., Katsushima,F., Katsushima,Y., Itagaki,T., Shimotai,Y., Hongo,S., Muraki,Y. and Nishimura,H.	Epidemiological information regarding the periodic epidemics of influenza C virus in Japan (1996-2013) and the seroprevalence of antibodies to different antigenic groups	J. Clin. Virol. 61 (1), 87-93 (2014)	NCBI Virus, Genbank
AB899776	HEF	Influenza C virus (C/Yamagata/10/1981)	influenzaC	Matsuzaki,Y., Sugawara,K., Abiko,C., Ikeda,T., Aoki,Y., Mizuta,K., Katsushima,N., Katsushima,F., Katsushima,Y., Itagaki,T., Shimotai,Y., Hongo,S., Muraki,Y. and Nishimura,H.	Epidemiological information regarding the periodic epidemics of influenza C virus in Japan (1996-2013) and the seroprevalence of antibodies to different antigenic groups	J. Clin. Virol. 61 (1), 87-93 (2014)	NCBI Virus, Genbank
D28971	HEF	Influenza C virus (C/Yamagata/26/81)	influenzaC	Matsuzaki,Y., Muraki,Y., Sugawara,K., Hongo,S., Nishimura,H., Kitame,F., Katsushima,N., Numazaki,Y. and Nakamura,K.	Cocirculation of two distinct groups of influenza C virus in Yamagata City, Japan	Virology 202 (2), 796-802 (1994)	NCBI Virus, Genbank
