Accession	Virus	Strain	Segment	Originating_lab	Submitting_lab	Database
EPI242844	vic	B/Russia/1969	ha		Other Database Import	GISAID
EPI242852	vic	B/Osaka/1970	ha		Other Database Import	GISAID
EPI242856	vic	B/Victoria/1970	ha		Other Database Import	GISAID
EPI5347	vic	B/Kanagawa/3/1976	ha		Other Database Import	GISAID
EPI51	vic	B/Baylor/4/1978	ha		Other Database Import	GISAID
EPI131322	vic	B/Singapore/222/1979	ha		Other Database Import	GISAID
EPI129560	vic	B/England/222/1982	ha		Other Database Import	GISAID
EPI5349	vic	B/Norway/1/1984	ha		Other Database Import	GISAID
EPI10739	vic	B/Seoul/1/1989	ha		Other Database Import	GISAID
EPI10733	vic	B/Seoul/38/1991	ha		Other Database Import	GISAID
EPI56334	vic	B/NewYork/24/1993	ha		Other Database Import	GISAID
EPI10731	vic	B/Busan/255/1999	ha		Other Database Import	GISAID
EPI4457	vic	B/Beijing/36/1992	ha		Other Database Import	GISAID
EPI80648	vic	B/Aichi/1/1994	ha		Other Database Import	GISAID
EPI5691	vic	B/Nanchang/26/1993	ha		Other Database Import	GISAID
EPI20730	vic	B/Houston/2/1996	ha		Other Database Import	GISAID
EPI16514	vic	B/HongKong/548/2000	ha		Other Database Import	GISAID
EPI20084	vic	B/Victoria/504/2000	ha	Monash Medical Centre	Other Database Import	GISAID
EPI10729	vic	B/Seoul/13/1995	ha		Other Database Import	GISAID
EPI10727	vic	B/Seoul/21/1995	ha		Other Database Import	GISAID
EPI10713	vic	B/Busan/285/1999	ha		Other Database Import	GISAID
EPI10715	vic	B/Busan/250/1999	ha		Other Database Import	GISAID
EPI5599	vic	B/Memphis/5/1993	ha		Other Database Import	GISAID
EPI5593	vic	B/Hawaii/1/1992	ha		Other Database Import	GISAID
EPI4415	vic	B/Washington/2/1992	ha		Other Database Import	GISAID
EPI4417	vic	B/California/5/1992	ha		Other Database Import	GISAID
EPI4397	vic	B/NewYork/2/1994	ha		Other Database Import	GISAID
EPI4401	vic	B/Connecticut/7/1993	ha		Other Database Import	GISAID
EPI4393	vic	B/Argentina/1/1993	ha		Other Database Import	GISAID
EPI129411	vic	B/Finland/260/1993	ha		Other Database Import	GISAID
EPI4407	vic	B/Oita/14/1992	ha		Other Database Import	GISAID
EPI51896	vic	B/Oita/15/1992	ha		Other Database Import	GISAID
EPI5577	vic	B/Memphis/18/1995	ha		Other Database Import	GISAID
EPI52029	vic	B/Connecticut/2/1995	ha		Other Database Import	GISAID
EPI127582	vic	B/Lisbon/23/1995	ha		Other Database Import	GISAID
EPI127576	vic	B/Lisbon/5/1994	ha		Other Database Import	GISAID
EPI129437	vic	B/Switzerland/5219/1990	ha		Other Database Import	GISAID
EPI129417	vic	B/Kharkiv/224/1991	ha		Other Database Import	GISAID
EPI4435	vic	B/NewYork/39/1991	ha		Other Database Import	GISAID
EPI20716	vic	B/Nashville/45/1991	ha		Other Database Import	GISAID
EPI4421	vic	B/Cordoba/2979/1991	ha		Other Database Import	GISAID
EPI130297	vic	B/NewYork/3/1990	ha		Other Database Import	GISAID
EPI105163	vic	B/HongKong/5/1972	ha		Other Database Import	GISAID
EPI8176	vic	B/Hunan/4/1972	ha		Other Database Import	GISAID
