Accession	Virus	Author	Publication_Title	Journal	Database
KP856961	RSV-B	Das,S.R., Halpin,R.A., Puri,V., Akopov,A., Fedorova,N., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Wentworth,D.E. and Caserta,M.	Direct Submission	Submitted (20-FEB-2015) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	ViPR-BRC, Genbank
JQ582843	RSV-B	Levitz,R., Wattier,R., Phillips,P., Solomon,A., Lawler,J., Lazar,I. and Kahn,J.S.	Induction of Inflammatory Cytokines by Clinical Isolates of Respiratory Syncytial Virus is Strain Specific	Unpublished	ViPR-BRC, Genbank
KP317923	RSV-B	Agoti,C.N., Otieno,J.R., Munywoki,P.K., Mwihuri,A.G., Cane,P.A., Nokes,D.J., Kellam,P. and Cotten,M.	Local evolutionary patterns of human respiratory syncytial virus derived from whole-genome sequencing	J. Virol. 89 (7), 3444-3454 (2015)	ViPR-BRC, Genbank
KP856965	RSV-B	Das,S.R., Halpin,R.A., Puri,V., Akopov,A., Fedorova,N., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Wentworth,D.E. and Caserta,M.	Direct Submission	Submitted (20-FEB-2015) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	ViPR-BRC, Genbank
KP258712	RSV-B	Das,S.R., Halpin,R.A., Puri,V., Akopov,A., Fedorova,N., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Wentworth,D.E. and Caserta,M.	Direct Submission	Submitted (10-DEC-2014) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	ViPR-BRC, Genbank
KP258731	RSV-B	Das,S.R., Halpin,R.A., Puri,V., Akopov,A., Fedorova,N., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Wentworth,D.E. and Caserta,M.	Direct Submission	Submitted (10-DEC-2014) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	ViPR-BRC, Genbank
KF826853	RSV-B	Lorenzi,H., Town,C., Halpin,R., Bera,J., Ransier,A., Fedorova,N., Stockwell,T., Amedeo,P., Appalla,L., Bishop,B., Edworthy,P., Gupta,N., Hoover,J., Katzel,D., Li,K., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Rebuffo-Scheer,C., Fan,J., He,J., Kehl,S.C., Lederboer,N., Jurgens,L.A., Bose,M.E., Beck,E.T., Kumar,S., Neumann-Haefelin,D., Wentworth,D.E. and Henrickson,K.J.	Direct Submission	Submitted (19-SEP-2013) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	ViPR-BRC, Genbank
JX576760	RSV-B	Tan,L., Coenjaerts,F.E., Houspie,L., Viveen,M.C., van Bleek,G.M., Wiertz,E.J., Martin,D.P. and Lemey,P.	The Comparative Genomics of Human Respiratory Syncytial Virus Subgroup A and B: Genetic Variability and Molecular Evolutionary Dynamics	J. Virol. 87 (14), 8213-8226 (2013)	ViPR-BRC, Genbank
KJ723466	RSV-B	Das,S.R., Halpin,R.A., Puri,V., Akopov,A., Fedorova,N., Tsitrin,T., Stockwell,T., Amedeo,P., Bishop,B., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Shrivastava,S., Wentworth,D.E. and Caserta,M.	Direct Submission	Submitted (17-APR-2014) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	ViPR-BRC, Genbank
KJ723460	RSV-B	Das,S.R., Halpin,R.A., Puri,V., Akopov,A., Fedorova,N., Tsitrin,T., Stockwell,T., Amedeo,P., Bishop,B., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Shrivastava,S., Wentworth,D.E. and Caserta,M.	Direct Submission	Submitted (17-APR-2014) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	ViPR-BRC, Genbank
KP258713	RSV-B	Das,S.R., Halpin,R.A., Puri,V., Akopov,A., Fedorova,N., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Wentworth,D.E. and Caserta,M.	Direct Submission	Submitted (10-DEC-2014) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	ViPR-BRC, Genbank
KP258745	RSV-B	Das,S.R., Halpin,R.A., Puri,V., Akopov,A., Fedorova,N., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Wentworth,D.E. and Caserta,M.	Direct Submission	Submitted (10-DEC-2014) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	ViPR-BRC, Genbank
KJ723477	RSV-B	Das,S.R., Halpin,R.A., Puri,V., Akopov,A., Fedorova,N., Tsitrin,T., Stockwell,T., Amedeo,P., Bishop,B., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Shrivastava,S., Wentworth,D.E. and Caserta,M.	Direct Submission	Submitted (17-APR-2014) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	ViPR-BRC, Genbank
KJ723480	RSV-B	Das,S.R., Halpin,R.A., Puri,V., Akopov,A., Fedorova,N., Tsitrin,T., Stockwell,T., Amedeo,P., Bishop,B., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Shrivastava,S., Wentworth,D.E. and Caserta,M.	Direct Submission	Submitted (17-APR-2014) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	ViPR-BRC, Genbank
KP258721	RSV-B	Das,S.R., Halpin,R.A., Puri,V., Akopov,A., Fedorova,N., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Wentworth,D.E. and Caserta,M.	Direct Submission	Submitted (10-DEC-2014) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	ViPR-BRC, Genbank
KP258698	RSV-B	Das,S.R., Halpin,R.A., Puri,V., Akopov,A., Fedorova,N., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Wentworth,D.E. and Caserta,M.	Direct Submission	Submitted (10-DEC-2014) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	ViPR-BRC, Genbank
KP258702	RSV-B	Das,S.R., Halpin,R.A., Puri,V., Akopov,A., Fedorova,N., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Wentworth,D.E. and Caserta,M.	Direct Submission	Submitted (10-DEC-2014) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	ViPR-BRC, Genbank
KP258724	RSV-B	Das,S.R., Halpin,R.A., Puri,V., Akopov,A., Fedorova,N., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Wentworth,D.E. and Caserta,M.	Direct Submission	Submitted (10-DEC-2014) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	ViPR-BRC, Genbank
KJ723482	RSV-B	Das,S.R., Halpin,R.A., Puri,V., Akopov,A., Fedorova,N., Tsitrin,T., Stockwell,T., Amedeo,P., Bishop,B., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Shrivastava,S., Wentworth,D.E. and Caserta,M.	Direct Submission	Submitted (17-APR-2014) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	ViPR-BRC, Genbank
KP258705	RSV-B	Das,S.R., Halpin,R.A., Puri,V., Akopov,A., Fedorova,N., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Wentworth,D.E. and Caserta,M.	Direct Submission	Submitted (10-DEC-2014) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	ViPR-BRC, Genbank
