Accession	Virus	Strain	Segment	Originating_lab	Submitting_lab	Database
EPI370743	h1n1pdm	A/SriLanka/31/2010	ha	Medical Research Institute	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI370746	h1n1pdm	A/SriLanka/32/2010	ha	Medical Research Institute	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI420694	h1n1pdm	A/Boston/DOA46/2011	ha		Other Database Import	GISAID
EPI316901	h1n1pdm	A/Linkoping/6/2011	ha		Swedish Institute For Infectious Disease Control	GISAID
EPI301389	h1n1pdm	A/Stockholm/9/2010	ha		Swedish Institute For Infectious Disease Control	GISAID
EPI301392	h1n1pdm	A/Stockholm/8/2010	ha		Swedish Institute For Infectious Disease Control	GISAID
EPI387334	h1n1pdm	A/Brazil/AVS11/2011	ha		Other Database Import	GISAID
EPI588418	h1n1pdm	A/RioGrandedoSul/277/2011	ha	Oswaldo Cruz Institute   Fiocruz   Laboratory Of Respiratory Viruses And Measles (lvrs)	Oswaldo Cruz Institute   Fiocruz   Laboratory Of Respiratory Viruses And Measles (lvrs)	GISAID
EPI588436	h1n1pdm	A/RioGrandedoSul/549/2011	ha	Oswaldo Cruz Institute   Fiocruz   Laboratory Of Respiratory Viruses And Measles (lvrs)	Oswaldo Cruz Institute   Fiocruz   Laboratory Of Respiratory Viruses And Measles (lvrs)	GISAID
EPI588429	h1n1pdm	A/RioGrandedoSul/360/2011	ha	Oswaldo Cruz Institute   Fiocruz   Laboratory Of Respiratory Viruses And Measles (lvrs)	Oswaldo Cruz Institute   Fiocruz   Laboratory Of Respiratory Viruses And Measles (lvrs)	GISAID
EPI387326	h1n1pdm	A/Brazil/AVS08/2011	ha		Other Database Import	GISAID
EPI346215	h1n1pdm	A/England/114280400/2011	ha	Microbiology Services Colindale, Public Health England	Health Protection Agency	GISAID
EPI347005	h1n1pdm	A/PaisVasco/RR8716/2011	ha	Instituto De Salud Carlos Iii	Instituto De Salud Carlos Iii	GISAID
EPI529793	h1n1pdm	A/Springfield/INS3_652/2011	ha		Other Database Import	GISAID
EPI588434	h1n1pdm	A/RioGrandedoSul/529/2011	ha	Oswaldo Cruz Institute   Fiocruz   Laboratory Of Respiratory Viruses And Measles (lvrs)	Oswaldo Cruz Institute   Fiocruz   Laboratory Of Respiratory Viruses And Measles (lvrs)	GISAID
EPI381832	h1n1pdm	A/Norway/1404/2011	ha	Sorlandet Sykehus Hf, Dept. Of Medical Microbiology 	Norwegian Institute Of Public Health	GISAID
EPI318260	h1n1pdm	A/Linkoping/7/2011	ha		Swedish Institute For Infectious Disease Control	GISAID
EPI347564	h1n1pdm	A/Stockholm/35/2011	ha	Swedish Institute For Infectious Disease Control	Swedish Institute For Infectious Disease Control	GISAID
EPI566523	h1n1pdm	A/Darwin/1/2011	ha	Royal Darwin Hospital	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI319168	h1n1pdm	A/Darwin/2/2011	ha	Influenza Surveillance Centre For Disease Control	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI319178	h1n1pdm	A/Perth/30/2011	ha	Pathwest Qe Ii Medical Centre	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI319170	h1n1pdm	A/Darwin/74/2011	ha	Influenza Surveillance Centre For Disease Control	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI319199	h1n1pdm	A/Darwin/75/2011	ha	Influenza Surveillance Centre For Disease Control	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI347567	h1n1pdm	A/Stockholm/36/2011	ha	Swedish Institute For Infectious Disease Control	Swedish Institute For Infectious Disease Control	GISAID
EPI358504	h1n1pdm	A/England/114940161/2011	ha	Microbiology Services Colindale, Public Health England	Health Protection Agency	GISAID
EPI529937	h1n1pdm	A/Minneapolis/INS3_675/2012	ha		Other Database Import	GISAID
EPI335831	h1n1pdm	A/Santiago/18553/2011	ha	Instituto De Salud Publica De Chile 	Centers For Disease Control And Prevention	GISAID
EPI588360	h1n1pdm	A/Parana/419/2012	ha	Oswaldo Cruz Institute   Fiocruz   Laboratory Of Respiratory Viruses And Measles (lvrs)	Oswaldo Cruz Institute   Fiocruz   Laboratory Of Respiratory Viruses And Measles (lvrs)	GISAID
EPI588277	h1n1pdm	A/Bahia/45/2012	ha	Oswaldo Cruz Institute   Fiocruz   Laboratory Of Respiratory Viruses And Measles (lvrs)	Oswaldo Cruz Institute   Fiocruz   Laboratory Of Respiratory Viruses And Measles (lvrs)	GISAID
EPI588281	h1n1pdm	A/Bahia/59/2012	ha	Oswaldo Cruz Institute   Fiocruz   Laboratory Of Respiratory Viruses And Measles (lvrs)	Oswaldo Cruz Institute   Fiocruz   Laboratory Of Respiratory Viruses And Measles (lvrs)	GISAID
EPI588292	h1n1pdm	A/Bahia/885/2012	ha	Oswaldo Cruz Institute   Fiocruz   Laboratory Of Respiratory Viruses And Measles (lvrs)	Oswaldo Cruz Institute   Fiocruz   Laboratory Of Respiratory Viruses And Measles (lvrs)	GISAID
EPI588290	h1n1pdm	A/Bahia/773/2012	ha	Oswaldo Cruz Institute   Fiocruz   Laboratory Of Respiratory Viruses And Measles (lvrs)	Oswaldo Cruz Institute   Fiocruz   Laboratory Of Respiratory Viruses And Measles (lvrs)	GISAID
EPI588289	h1n1pdm	A/Bahia/772/2012	ha	Oswaldo Cruz Institute   Fiocruz   Laboratory Of Respiratory Viruses And Measles (lvrs)	Oswaldo Cruz Institute   Fiocruz   Laboratory Of Respiratory Viruses And Measles (lvrs)	GISAID
EPI588276	h1n1pdm	A/Bahia/433/2012	ha	Oswaldo Cruz Institute   Fiocruz   Laboratory Of Respiratory Viruses And Measles (lvrs)	Oswaldo Cruz Institute   Fiocruz   Laboratory Of Respiratory Viruses And Measles (lvrs)	GISAID
EPI588346	h1n1pdm	A/Parana/343/2012	ha	Oswaldo Cruz Institute   Fiocruz   Laboratory Of Respiratory Viruses And Measles (lvrs)	Oswaldo Cruz Institute   Fiocruz   Laboratory Of Respiratory Viruses And Measles (lvrs)	GISAID
EPI588370	h1n1pdm	A/Parana/840/2012	ha	Oswaldo Cruz Institute   Fiocruz   Laboratory Of Respiratory Viruses And Measles (lvrs)	Oswaldo Cruz Institute   Fiocruz   Laboratory Of Respiratory Viruses And Measles (lvrs)	GISAID
EPI588344	h1n1pdm	A/Parana/331/2012	ha	Oswaldo Cruz Institute   Fiocruz   Laboratory Of Respiratory Viruses And Measles (lvrs)	Oswaldo Cruz Institute   Fiocruz   Laboratory Of Respiratory Viruses And Measles (lvrs)	GISAID
EPI588342	h1n1pdm	A/Parana/327/2012	ha	Oswaldo Cruz Institute   Fiocruz   Laboratory Of Respiratory Viruses And Measles (lvrs)	Oswaldo Cruz Institute   Fiocruz   Laboratory Of Respiratory Viruses And Measles (lvrs)	GISAID
EPI588332	h1n1pdm	A/Parana/291/2012	ha	Oswaldo Cruz Institute   Fiocruz   Laboratory Of Respiratory Viruses And Measles (lvrs)	Oswaldo Cruz Institute   Fiocruz   Laboratory Of Respiratory Viruses And Measles (lvrs)	GISAID
EPI588331	h1n1pdm	A/Parana/287/2012	ha	Oswaldo Cruz Institute   Fiocruz   Laboratory Of Respiratory Viruses And Measles (lvrs)	Oswaldo Cruz Institute   Fiocruz   Laboratory Of Respiratory Viruses And Measles (lvrs)	GISAID
EPI304454	h1n1pdm	A/Norway/1068/2010	ha	Who National Influenza Centre	Norwegian Institute Of Public Health	GISAID
EPI294171	h1n1pdm	A/Darwin/86/2010	ha	Royal Darwin Hospital	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI294243	h1n1pdm	A/Southaustralia/397/2010	ha	Institute Of Medical And Veterinary Science (imvs)	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI294692	h1n1pdm	A/England/4780352/2010	ha	Microbiology Services Colindale, Public Health England	Microbiology Services Colindale, Public Health England	GISAID
EPI295753	h1n1pdm	A/England/4380108/2010	ha	Microbiology Services Colindale, Public Health England	Microbiology Services Colindale, Public Health England	GISAID
EPI403839	h1n1pdm	A/NorthernIreland/4380108/2010	ha		Other Database Import	GISAID
EPI2079844	h1n1pdm	A/Victoria/906/2010	ha	Austin Health	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI2079847	h1n1pdm	A/Victoria/917/2010	ha	Austin Health	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI305524	h1n1pdm	A/Stockholm/19/2010	ha	Swedish Institute For Infectious Disease Control	Swedish Institute For Infectious Disease Control	GISAID
EPI301380	h1n1pdm	A/Stockholm/12/2010	ha	Swedish Institute For Infectious Disease Control	Swedish Institute For Infectious Disease Control	GISAID
EPI294354	h1n1pdm	A/Darwin/156/2010	ha	Royal Darwin Hospital	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI294327	h1n1pdm	A/Darwin/146/2010	ha	Royal Darwin Hospital	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI294294	h1n1pdm	A/Darwin/140/2010	ha	Royal Darwin Hospital	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI294168	h1n1pdm	A/Darwin/84/2010	ha	Royal Darwin Hospital	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI294174	h1n1pdm	A/Darwin/96/2010	ha	Royal Darwin Hospital	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI420710	h1n1pdm	A/Boston/DOA49/2011	ha		Other Database Import	GISAID
EPI535977	h1n1pdm	A/Paris/1910/2010	ha		Institut Pasteur	GISAID
EPI307146	h1n1pdm	A/Kenya/59/2010	ha	Us Army Medical Research Unit   Kenya (usamru K), Geis Human Influenza Program	Usamru K	GISAID
EPI534952	h1n1pdm	A/HoChiMinh/96211/2010	ha		Other Database Import	GISAID
EPI529753	h1n1pdm	A/KhonKaen/INS3_647/2010	ha		Other Database Import	GISAID
EPI295730	h1n1pdm	A/England/83/2010	ha	Microbiology Services Colindale, Public Health England	Microbiology Services Colindale, Public Health England	GISAID
EPI295731	h1n1pdm	A/England/93/2010	ha	Microbiology Services Colindale, Public Health England	Microbiology Services Colindale, Public Health England	GISAID
EPI295724	h1n1pdm	A/England/79/2010	ha	Microbiology Services Colindale, Public Health England	Microbiology Services Colindale, Public Health England	GISAID
EPI295733	h1n1pdm	A/England/99/2010	ha	Microbiology Services Colindale, Public Health England	Microbiology Services Colindale, Public Health England	GISAID
EPI295729	h1n1pdm	A/England/91/2010	ha	Microbiology Services Colindale, Public Health England	Microbiology Services Colindale, Public Health England	GISAID
EPI361050	h1n1pdm	A/Boston/DOA14/2011	ha		Other Database Import	GISAID
EPI404096	h1n1pdm	A/England/5120538/2010	ha		Other Database Import	GISAID
EPI381830	h1n1pdm	A/Norway/1366/2011	ha	Molde Hospital, Laboratory For Medical Microbiology	Norwegian Institute Of Public Health	GISAID
EPI318263	h1n1pdm	A/Uppsala/6/2011	ha		Swedish Institute For Infectious Disease Control	GISAID
EPI318269	h1n1pdm	A/Malmo/5/2011	ha		Swedish Institute For Infectious Disease Control	GISAID
EPI318244	h1n1pdm	A/Gothenburg/1/2011	ha	Swedish Institute For Infectious Disease Control	Swedish Institute For Infectious Disease Control	GISAID
EPI418830	h1n1pdm	A/Stockholm/50/2012	ha		Swedish Institute For Infectious Disease Control	GISAID
EPI432618	h1n1pdm	A/CoteDIvoire/1186/2012	ha	Pasteur Institut Of Côte D'ivoire	Centers For Disease Control And Prevention	GISAID
EPI534959	h1n1pdm	A/HoChiMinh/10972/2011	ha		Other Database Import	GISAID
EPI534964	h1n1pdm	A/HoChiMinh/11633/2011	ha		Other Database Import	GISAID
EPI534957	h1n1pdm	A/HoChiMinh/10952/2011	ha		Other Database Import	GISAID
EPI417542	h1n1pdm	A/Norway/2131/2012	ha	Aalesund Sjukehus	Norwegian Institute Of Public Health	GISAID
EPI534955	h1n1pdm	A/HoChiMinh/10551/2011	ha		Other Database Import	GISAID
EPI534953	h1n1pdm	A/HoChiMinh/97411/2010	ha		Other Database Import	GISAID
EPI534954	h1n1pdm	A/HoChiMinh/102912/2010	ha		Other Database Import	GISAID
EPI529817	h1n1pdm	A/Aarhus/INS3_655/2011	ha		Other Database Import	GISAID
EPI302117	h1n1pdm	A/Japan/8736/2011	ha	Naval Health Research Center	Centers For Disease Control And Prevention	GISAID
EPI302115	h1n1pdm	A/Japan/8153/2011	ha	Naval Health Research Center	Centers For Disease Control And Prevention	GISAID
EPI333109	h1n1pdm	A/Brisbane/500/2011	ha	Queensland Health Scientific Services	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI349197	h1n1pdm	A/Brisbane/503/2011	ha	Queensland Health Scientific Services	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI370230	h1n1pdm	A/Cambodia/70/2011	ha	Usamc Afrims Department Of Virology	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI346390	h1n1pdm	A/Stockholm/27/2011	ha	Swedish Institute For Infectious Disease Control	Swedish Institute For Infectious Disease Control	GISAID
EPI346401	h1n1pdm	A/Stockholm/30/2011	ha		Swedish Institute For Infectious Disease Control	GISAID
EPI534960	h1n1pdm	A/HoChiMinh/11202/2011	ha		Other Database Import	GISAID
EPI534965	h1n1pdm	A/HoChiMinh/11923/2011	ha		Other Database Import	GISAID
EPI534956	h1n1pdm	A/HoChiMinh/10641/2011	ha		Other Database Import	GISAID
EPI534963	h1n1pdm	A/HoChiMinh/11553/2011	ha		Other Database Import	GISAID
EPI377529	h1n1pdm	A/Texas/47/2012	ha	Tarrant County Public Health	Centers For Disease Control And Prevention	GISAID
EPI588280	h1n1pdm	A/Bahia/53/2012	ha	Oswaldo Cruz Institute   Fiocruz   Laboratory Of Respiratory Viruses And Measles (lvrs)	Oswaldo Cruz Institute   Fiocruz   Laboratory Of Respiratory Viruses And Measles (lvrs)	GISAID
EPI588291	h1n1pdm	A/Bahia/870/2012	ha	Oswaldo Cruz Institute   Fiocruz   Laboratory Of Respiratory Viruses And Measles (lvrs)	Oswaldo Cruz Institute   Fiocruz   Laboratory Of Respiratory Viruses And Measles (lvrs)	GISAID
EPI354100	h1n1pdm	A/Norway/147/2012	ha	Molde Hospital, Laboratory For Medical Microbiology	Norwegian Institute Of Public Health	GISAID
EPI354710	h1n1pdm	A/Norway/421/2012	ha	Aalesund Sjukehus	Norwegian Institute Of Public Health	GISAID
EPI392910	h1n1pdm	A/Wisconsin/11/2012	ha	Wisconsin State Laboratory Of Hygiene	Centers For Disease Control And Prevention	GISAID
EPI536097	h1n1pdm	A/Picardie/568/2012	ha		Institut Pasteur	GISAID
EPI536105	h1n1pdm	A/Lorraine/1257/2012	ha		Institut Pasteur	GISAID
EPI536169	h1n1pdm	A/Paris/1119/2012	ha	Crr Virus Influenza Region Sud	Institut Pasteur	GISAID
EPI529953	h1n1pdm	A/Lima/INS3_677/2012	ha		Other Database Import	GISAID
EPI529961	h1n1pdm	A/Lima/INS3_678/2012	ha		Other Database Import	GISAID
EPI407601	h1n1pdm	A/SouthCarolina/3043/2012	ha		Other Database Import	GISAID
EPI529969	h1n1pdm	A/Lima/INS3_680/2012	ha		Other Database Import	GISAID
EPI529945	h1n1pdm	A/Dayton/INS3_676/2012	ha		Other Database Import	GISAID
EPI354708	h1n1pdm	A/Norway/345/2012	ha	St. Olavs Hospital Hf, Dept. Of Medical Microbiology	Norwegian Institute Of Public Health	GISAID
EPI529761	h1n1pdm	A/Durham/INS3_648/2012	ha		Other Database Import	GISAID
EPI355209	h1n1pdm	A/Colorado/1/2012	ha	Colorado Department Of Health Lab	Centers For Disease Control And Prevention	GISAID
EPI376172	h1n1pdm	A/Galicia/RR9894/2012	ha	Servicio De Microbiología Hospital Meixoeiro	Instituto De Salud Carlos Iii	GISAID
EPI529697	h1n1pdm	A/KhonKaen/INS3_640/2010	ha		Other Database Import	GISAID
EPI529873	h1n1pdm	A/Westmead/INS3_664/2011	ha		Other Database Import	GISAID
EPI529769	h1n1pdm	A/KhonKaen/INS3_649/2012	ha		Other Database Import	GISAID
EPI417552	h1n1pdm	A/Norway/2362/2012	ha	Stavanger Universitetssykehus, Avd. For Medisinsk Mikrobiologi	Norwegian Institute Of Public Health	GISAID
EPI529737	h1n1pdm	A/Darlinghurst/INS3_645/2011	ha		Other Database Import	GISAID
EPI529849	h1n1pdm	A/Westmead/INS3_661/2011	ha		Other Database Import	GISAID
EPI349115	h1n1pdm	A/Newcastle/86/2011	ha	John Hunter Hospital, Virology Unit, Clinical Microbiology	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI349163	h1n1pdm	A/Newcastle/129/2011	ha	John Hunter Hospital, Virology Unit, Clinical Microbiology	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI349160	h1n1pdm	A/Newcastle/125/2011	ha	John Hunter Hospital, Virology Unit, Clinical Microbiology	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI349158	h1n1pdm	A/Newcastle/102/2011	ha	John Hunter Hospital, Virology Unit, Clinical Microbiology	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI529881	h1n1pdm	A/Westmead/INS3_665/2011	ha		Other Database Import	GISAID
EPI529729	h1n1pdm	A/Darlinghurst/INS3_644/2011	ha		Other Database Import	GISAID
EPI349299	h1n1pdm	A/Newcastle/212/2011	ha	John Hunter Hospital, Virology Unit, Clinical Microbiology	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI529889	h1n1pdm	A/Darlinghurst/INS3_666/2011	ha		Other Database Import	GISAID
EPI324470	h1n1pdm	A/SouthCarolina/NHRC0002/2011	ha		Other Database Import	GISAID
EPI529663	h1n1pdm	A/Kowloon/INS3_690/2011	ha		Other Database Import	GISAID
EPI529689	h1n1pdm	A/Kowloon/INS3_639/2011	ha		Other Database Import	GISAID
EPI529993	h1n1pdm	A/Kowloon/INS3_688/2011	ha		Other Database Import	GISAID
EPI2092428	h1n1pdm	A/Tasmania/21/2011	ha	Royal Hobart Hospital	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI2092460	h1n1pdm	A/Victoria/821/2011	ha	Austin Health	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI530009	h1n1pdm	A/Kowloon/INS3_691/2011	ha		Other Database Import	GISAID
EPI2092338	h1n1pdm	A/Brisbane/67/2011	ha	Queensland Health Scientific Services	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI530001	h1n1pdm	A/Kowloon/INS3_689/2011	ha		Other Database Import	GISAID
EPI530017	h1n1pdm	A/Kowloon/INS3_692/2011	ha		Other Database Import	GISAID
EPI355207	h1n1pdm	A/PuertoRico/8220/2011	ha	Puerto Rico Department Of Health	Centers For Disease Control And Prevention	GISAID
EPI346169	h1n1pdm	A/England/114080587/2011	ha	Microbiology Services Colindale, Public Health England	Health Protection Agency	GISAID
EPI530025	h1n1pdm	A/Kowloon/INS3_693/2011	ha		Other Database Import	GISAID
EPI369200	h1n1pdm	A/Stockholm/18/2012	ha	Swedish Institute For Infectious Disease Control	Swedish Institute For Infectious Disease Control	GISAID
EPI387439	h1n1pdm	A/Georgia/558/2012	ha	National Centre For Disease Control And Public Health	National Institute For Medical Research	GISAID
EPI387433	h1n1pdm	A/Georgia/427/2012	ha	National Centre For Disease Control And Public Health	National Institute For Medical Research	GISAID
EPI529745	h1n1pdm	A/Melbourne/INS3_646/2011	ha		Other Database Import	GISAID
EPI2092457	h1n1pdm	A/Victoria/666/2011	ha	Monash Medical Centre	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI2092334	h1n1pdm	A/Brisbane/211/2011	ha	Queensland Health Scientific Services	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI2092333	h1n1pdm	A/Brisbane/210/2011	ha	Queensland Health Scientific Services	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI2092438	h1n1pdm	A/Townsville/121/2011	ha	Queensland Health Forensic And Scientific Services 	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI370232	h1n1pdm	A/Fiji/1/2012	ha	National Centre For Scientific Services For Virology  And Vector Borne Diseases	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI2092444	h1n1pdm	A/Townsville/95/2011	ha	Queensland Health Scientific Services	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI2092437	h1n1pdm	A/Townsville/104/2011	ha	Queensland Health Scientific Services	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI529841	h1n1pdm	A/Westmead/INS3_660/2011	ha		Other Database Import	GISAID
EPI529721	h1n1pdm	A/Darlinghurst/INS3_643/2011	ha		Other Database Import	GISAID
EPI529905	h1n1pdm	A/Melbourne/INS3_670/2011	ha		Other Database Import	GISAID
EPI355208	h1n1pdm	A/Utah/1/2012	ha	Utah Public Health Laboratory	Centers For Disease Control And Prevention	GISAID
EPI387425	h1n1pdm	A/Georgia/101/2012	ha	National Centre For Disease Control And Public Health	National Institute For Medical Research	GISAID
EPI347557	h1n1pdm	A/Norway/2379/2011	ha	Who National Influenza Centre	Norwegian Institute Of Public Health	GISAID
EPI407371	h1n1pdm	A/Bangladesh/7354/2012	ha	Institute Of Epidemiology Disease Control And Research (iedcr) & Bangladesh National Influenza Centre (nic)	Centers For Disease Control And Prevention	GISAID
EPI407356	h1n1pdm	A/Bangladesh/8399/2012	ha	Institute Of Epidemiology Disease Control And Research (iedcr) & Bangladesh National Influenza Centre (nic)	Centers For Disease Control And Prevention	GISAID
EPI439513	h1n1pdm	A/Bangladesh/5011/2012	ha	Institute Of Epidemiology Disease Control And Research (iedcr) & Bangladesh National Influenza Centre (nic)	Centers For Disease Control And Prevention	GISAID
EPI407377	h1n1pdm	A/Bangladesh/5005/2012	ha	Institute Of Epidemiology Disease Control And Research (iedcr) & Bangladesh National Influenza Centre (nic)	Centers For Disease Control And Prevention	GISAID
EPI404895	h1n1pdm	A/Stockholm/34/2012	ha	Swedish Institute For Infectious Disease Control	Swedish Institute For Infectious Disease Control	GISAID
EPI566503	h1n1pdm	A/SouthAustralia/178/2012	ha	Institute Of Medical And Veterinary Science (imvs)	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI438465	h1n1pdm	A/Uppsala/3/2013	ha		Swedish Institute For Infectious Disease Control	GISAID
EPI485894	h1n1pdm	A/Yokosuka/10/2013	ha	Yokosuka Institute Of Public Health	National Institute Of Infectious Diseases (niid)	GISAID
EPI485896	h1n1pdm	A/Yokosuka/11/2013	ha	Yokosuka Institute Of Public Health	National Institute Of Infectious Diseases (niid)	GISAID
EPI397112	h1n1pdm	A/Stockholm/27/2012	ha	Swedish Institute For Infectious Disease Control	Swedish Institute For Infectious Disease Control	GISAID
EPI521248	h1n1pdm	A/Boston/YGA_01050/2012	ha		Other Database Import	GISAID
EPI522488	h1n1pdm	A/Boston/YGA_01202/2013	ha		Other Database Import	GISAID
EPI523208	h1n1pdm	A/SantaClara/YGA_03033/2013	ha		Other Database Import	GISAID
EPI588386	h1n1pdm	A/RiodeJaneiro/144/2013	ha	Oswaldo Cruz Institute   Fiocruz   Laboratory Of Respiratory Viruses And Measles (lvrs)	Oswaldo Cruz Institute   Fiocruz   Laboratory Of Respiratory Viruses And Measles (lvrs)	GISAID
EPI588399	h1n1pdm	A/RiodeJaneiro/83/2013	ha	Oswaldo Cruz Institute   Fiocruz   Laboratory Of Respiratory Viruses And Measles (lvrs)	Oswaldo Cruz Institute   Fiocruz   Laboratory Of Respiratory Viruses And Measles (lvrs)	GISAID
EPI588383	h1n1pdm	A/RiodeJaneiro/105/2013	ha	Oswaldo Cruz Institute   Fiocruz   Laboratory Of Respiratory Viruses And Measles (lvrs)	Oswaldo Cruz Institute   Fiocruz   Laboratory Of Respiratory Viruses And Measles (lvrs)	GISAID
EPI588327	h1n1pdm	A/Parana/167/2013	ha	Oswaldo Cruz Institute   Fiocruz   Laboratory Of Respiratory Viruses And Measles (lvrs)	Oswaldo Cruz Institute   Fiocruz   Laboratory Of Respiratory Viruses And Measles (lvrs)	GISAID
EPI588307	h1n1pdm	A/MinasGerais/246/2013	ha	Oswaldo Cruz Institute   Fiocruz   Laboratory Of Respiratory Viruses And Measles (lvrs)	Oswaldo Cruz Institute   Fiocruz   Laboratory Of Respiratory Viruses And Measles (lvrs)	GISAID
EPI588413	h1n1pdm	A/RioGrandedoSul/124/2013	ha	Oswaldo Cruz Institute   Fiocruz   Laboratory Of Respiratory Viruses And Measles (lvrs)	Oswaldo Cruz Institute   Fiocruz   Laboratory Of Respiratory Viruses And Measles (lvrs)	GISAID
EPI399710	h1n1pdm	A/Stockholm/33/2012	ha		Swedish Institute For Infectious Disease Control	GISAID
EPI523352	h1n1pdm	A/SantaClara/YGA_03053/2013	ha		Other Database Import	GISAID
EPI544624	h1n1pdm	A/Singapore/TT159/2013	ha	Ministry Of Health, Singapore	Ministry Of Health, Singapore	GISAID
EPI616770	h1n1pdm	A/Houston/JMM_152/2013	ha		Other Database Import	GISAID
EPI544622	h1n1pdm	A/Singapore/TT130/2013	ha	Ministry Of Health, Singapore	Ministry Of Health, Singapore	GISAID
EPI588449	h1n1pdm	A/SantaCatarina/153/2013	ha	Oswaldo Cruz Institute   Fiocruz   Laboratory Of Respiratory Viruses And Measles (lvrs)	Oswaldo Cruz Institute   Fiocruz   Laboratory Of Respiratory Viruses And Measles (lvrs)	GISAID
EPI465347	h1n1pdm	A/Norway/2197/2013	ha	Universitetssykehuset Nord Norge Hf, Avd. Mikrobiologi Og Smittevern	Norwegian Institute Of Public Health	GISAID
EPI523440	h1n1pdm	A/SantaClara/YGA_03065/2013	ha		Other Database Import	GISAID
EPI544596	h1n1pdm	A/Singapore/TT045/2013	ha	Ministry Of Health, Singapore	Ministry Of Health, Singapore	GISAID
EPI588465	h1n1pdm	A/SantaCatarina/394/2013	ha	Oswaldo Cruz Institute   Fiocruz   Laboratory Of Respiratory Viruses And Measles (lvrs)	Oswaldo Cruz Institute   Fiocruz   Laboratory Of Respiratory Viruses And Measles (lvrs)	GISAID
EPI588409	h1n1pdm	A/RioGrandedoSul/1098/2013	ha	Oswaldo Cruz Institute   Fiocruz   Laboratory Of Respiratory Viruses And Measles (lvrs)	Oswaldo Cruz Institute   Fiocruz   Laboratory Of Respiratory Viruses And Measles (lvrs)	GISAID
EPI588463	h1n1pdm	A/SantaCatarina/383/2013	ha	Oswaldo Cruz Institute   Fiocruz   Laboratory Of Respiratory Viruses And Measles (lvrs)	Oswaldo Cruz Institute   Fiocruz   Laboratory Of Respiratory Viruses And Measles (lvrs)	GISAID
EPI588421	h1n1pdm	A/RioGrandedoSul/279/2013	ha	Oswaldo Cruz Institute   Fiocruz   Laboratory Of Respiratory Viruses And Measles (lvrs)	Oswaldo Cruz Institute   Fiocruz   Laboratory Of Respiratory Viruses And Measles (lvrs)	GISAID
EPI331396	h1n1pdm	A/Darwin/53/2011	ha	Royal Darwin Hospital	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI331393	h1n1pdm	A/Darwin/52/2011	ha	Royal Darwin Hospital	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI404063	h1n1pdm	A/England/282/2010	ha		Other Database Import	GISAID
EPI331373	h1n1pdm	A/Newcaledonia/6/2011	ha	Institut Pasteur New Caledonia	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI295759	h1n1pdm	A/England/280/2010	ha	Microbiology Services Colindale, Public Health England	Microbiology Services Colindale, Public Health England	GISAID
EPI294674	h1n1pdm	A/England/4880374/2010	ha	Microbiology Services Colindale, Public Health England	Microbiology Services Colindale, Public Health England	GISAID
EPI536041	h1n1pdm	A/PaysdeLoire/402/2011	ha		Institut Pasteur	GISAID
EPI359436	h1n1pdm	A/Boston/DOA73/2011	ha		Other Database Import	GISAID
EPI2092461	h1n1pdm	A/Wellington/1/2011	ha	Institute Of Environmental Science And Research	Who Collaborating Centre For Reference And Research On Influenza	GISAID
