Accession	Virus	Strain	Segment	Originating_lab	Submitting_lab	Database
EPI281163	h3n2	A/HongKong/1-10-MA21-1/1968	ha		Other Database Import	GISAID
EPI281160	h3n2	A/HongKong/1-4-MA21-1/1968	ha		Other Database Import	GISAID
EPI131276	h3n2	A/Aichi/2/1968	ha		Other Database Import	GISAID
EPI241119	h3n2	A/NorthernTerritory/60/1968	ha		Other Database Import	GISAID
EPI91010	h3n2	A/HongKong/3/1969	ha		Other Database Import	GISAID
EPI91029	h3n2	A/HongKong/50/1972	ha		Other Database Import	GISAID
EPI91884	h3n2	A/HongKong/46/1971	ha		Other Database Import	GISAID
EPI281164	h3n2	A/HongKong/1-10-MA21-2/1968	ha		Other Database Import	GISAID
EPI492843	h3n2	A/Bilthoven/16190/1968	ha	National Institute For Public Health And The Environment (rivm)	Other Database Import	GISAID
EPI56923	h3n2	A/Albany/3/1969	ha		Other Database Import	GISAID
EPI56885	h3n2	A/Albany/1/1969	ha		Other Database Import	GISAID
EPI364408	h3n2	A/Bilthoven/17938/1969	ha		Other Database Import	GISAID
EPI23766	h3n2	A/Bilthoven/93/1970	ha		Other Database Import	GISAID
EPI362402	h3n2	A/Bilthoven/2668/1970	ha		Other Database Import	GISAID
EPI59645	h3n2	A/Albany/2/1970	ha		Other Database Import	GISAID
EPI128768	h3n2	A/England/878/1969	ha		Other Database Import	GISAID
EPI63899	h3n2	A/Albany/3/1970	ha		Other Database Import	GISAID
EPI61422	h3n2	A/Albany/10/1968	ha		Other Database Import	GISAID
EPI128493	h3n2	A/Memphis/1/1971	ha		Other Database Import	GISAID
EPI128770	h3n2	A/Queensland/7/1970	ha		Other Database Import	GISAID
EPI364424	h3n2	A/Bilthoven/21801/1971	ha		Other Database Import	GISAID
EPI364416	h3n2	A/Bilthoven/21438/1971	ha		Other Database Import	GISAID
EPI60836	h3n2	A/Memphis/3/1971	ha		Other Database Import	GISAID
EPI365178	h3n2	A/England/42/1972	ha		Other Database Import	GISAID
EPI131284	h3n2	A/Memphis/102/1972	ha		Other Database Import	GISAID
EPI94943	h3n2	A/Guangdong/243/1972	ha		Other Database Import	GISAID
EPI241101	h3n2	A/Udorn/307/1972	ha		Other Database Import	GISAID
EPI365194	h3n2	A/Bilthoven/3517/1973	ha		Other Database Import	GISAID
EPI84388	h3n2	A/HongKong/11/1973	ha		Other Database Import	GISAID
EPI92188	h3n2	A/Memphis/3/1973	ha		Other Database Import	GISAID
EPI362455	h3n2	A/Bilthoven/4273/1975	ha		Other Database Import	GISAID
EPI28911	h3n2	A/HongKong/33/1973	ha		Other Database Import	GISAID
EPI92416	h3n2	A/HongKong/49/1974	ha		Other Database Import	GISAID
EPI360963	h3n2	A/Bcm/1/1974	ha		Other Database Import	GISAID
EPI365202	h3n2	A/PortChalmers/1/1973	ha		Other Database Import	GISAID
EPI118984	h3n2	A/MayoClinic/1/1975	ha		Other Database Import	GISAID
EPI118994	h3n2	A/Singapore/4/1975	ha		Other Database Import	GISAID
EPI84312	h3n2	A/HongKong/14/1974	ha		Other Database Import	GISAID
EPI365226	h3n2	A/Bilthoven/7398/1974	ha		Other Database Import	GISAID
EPI59626	h3n2	A/Albany/42/1975	ha		Other Database Import	GISAID
EPI91960	h3n2	A/Memphis/101/1974	ha		Other Database Import	GISAID
EPI92207	h3n2	A/Memphis/102/1974	ha		Other Database Import	GISAID
EPI131278	h3n2	A/Victoria/3/1975	ha		Other Database Import	GISAID
EPI90404	h3n2	A/Beijing/39/1975	ha		Other Database Import	GISAID
EPI61384	h3n2	A/Albany/15/1976	ha		Other Database Import	GISAID
EPI365298	h3n2	A/Bilthoven/5029/1976	ha		Other Database Import	GISAID
EPI59683	h3n2	A/Albany/4/1977	ha		Other Database Import	GISAID
EPI365474	h3n2	A/Rotterdam/8179/1977	ha		Other Database Import	GISAID
EPI365330	h3n2	A/Bilthoven/3895/1977	ha		Other Database Import	GISAID
EPI385926	h3n2	A/Bilthoven/5168/1976	ha		Other Database Import	GISAID
EPI62466	h3n2	A/Memphis/104/1976	ha		Other Database Import	GISAID
EPI492830	h3n2	A/Bilthoven/2271/1976	ha	National Institute For Public Health And The Environment (rivm)	Other Database Import	GISAID
EPI92264	h3n2	A/Memphis/5/1977	ha		Other Database Import	GISAID
EPI94088	h3n2	A/Memphis/19/1978	ha		Other Database Import	GISAID
EPI91922	h3n2	A/Memphis/12/1978	ha		Other Database Import	GISAID
EPI91941	h3n2	A/Memphis/18/1978	ha		Other Database Import	GISAID
EPI360410	h3n2	A/Shanghai/1/1978	ha		Other Database Import	GISAID
EPI360409	h3n2	A/Shanghai/49/1978	ha		Other Database Import	GISAID
EPI360414	h3n2	A/Kuntie/2/1979	ha		Other Database Import	GISAID
EPI360413	h3n2	A/Cnic/20/1979	ha		Other Database Import	GISAID
EPI360422	h3n2	A/Guangdong/30/1981	ha		Other Database Import	GISAID
EPI90782	h3n2	A/Nanjing/13/1980	ha		Other Database Import	GISAID
EPI360417	h3n2	A/Shanghai/28/1980	ha		Other Database Import	GISAID
EPI90423	h3n2	A/HongKong/1/1982	ha		Other Database Import	GISAID
EPI367158	h3n2	A/Bangkok/1/1979	ha		Other Database Import	GISAID
EPI362468	h3n2	A/Rotterdam/577/1980	ha		Other Database Import	GISAID
EPI118974	h3n2	A/Bangkok/2/1979	ha		Other Database Import	GISAID
EPI362475	h3n2	A/Bilthoven/4791/1981	ha		Other Database Import	GISAID
EPI365490	h3n2	A/Netherlands/209/1980	ha		Other Database Import	GISAID
EPI365498	h3n2	A/Lyon/2380/1981	ha		Other Database Import	GISAID
EPI92378	h3n2	A/Memphis/9/1980	ha		Other Database Import	GISAID
EPI94107	h3n2	A/Memphis/4/1980	ha		Other Database Import	GISAID
EPI94126	h3n2	A/Memphis/1/1981	ha		Other Database Import	GISAID
EPI131102	h3n2	A/ChristsHospital/231/1982	ha		Other Database Import	GISAID
EPI6454	h3n2	A/Praha/2/1983	ha		Other Database Import	GISAID
EPI23808	h3n2	A/Bilthoven/10684/1982	ha		Other Database Import	GISAID
EPI362482	h3n2	A/Auckland/4382/1982	ha		Other Database Import	GISAID
EPI365530	h3n2	A/Oslo/13676/1983	ha		Other Database Import	GISAID
EPI360412	h3n2	A/Chaoyang/11/1979	ha		Other Database Import	GISAID
EPI365514	h3n2	A/Netherlands/241/1982	ha		Other Database Import	GISAID
EPI365522	h3n2	A/Philippines/2/1982	ha	Research Institute For Tropical Medicine, Virology Department	Other Database Import	GISAID
EPI362490	h3n2	A/Caen/1/1984	ha		Other Database Import	GISAID
EPI4073	h3n2	A/Texas/17988/1984	ha		Other Database Import	GISAID
EPI29025	h3n2	A/Memphis/33/1983	ha		Other Database Import	GISAID
EPI4067	h3n2	A/Oita/3/1983	ha		Other Database Import	GISAID
EPI364392	h3n2	A/Bcm/1/1984	ha		Other Database Import	GISAID
EPI91048	h3n2	A/HongKong/14/1983	ha		Other Database Import	GISAID
EPI84901	h3n2	A/HongKong/7/1984	ha		Other Database Import	GISAID
EPI95421	h3n2	A/Nanjing/28/1984	ha		Other Database Import	GISAID
EPI365546	h3n2	A/Netherlands/330/1985	ha		Other Database Import	GISAID
EPI365554	h3n2	A/Netherlands/333/1985	ha		Other Database Import	GISAID
EPI365538	h3n2	A/Guildford/V728/1985	ha		Other Database Import	GISAID
EPI365570	h3n2	A/Wellington/4/1985	ha		Other Database Import	GISAID
EPI4149	h3n2	A/Uruguay/3/1988	ha		Other Database Import	GISAID
EPI365578	h3n2	A/Colorado/2/1986	ha		Other Database Import	GISAID
EPI84369	h3n2	A/HongKong/24/1985	ha		Other Database Import	GISAID
EPI239916	h3n2	A/Bangkok/25/1985	ha		Other Database Import	GISAID
EPI360480	h3n2	A/Xuanwu/17/1986	ha		Other Database Import	GISAID
