strain	strain_name	date	country	host	genotype	subgenotype
AB188243	None	2005-10-01	None	None	D	None
MF488702	None	2017-08-26	India	Homo sapiens	D	None
ON585703	None	2018-11-23	Brazil: Novo Horizonte, RO	Homo sapiens	D	D3
OK143479	None	2008-XX-XX	Russia: Moscow	Homo sapiens	D	D3
EU594382	3798-91	2008-08-05	Russia: Volga Region	None	D	None
EU594436	4550-97	2008-08-05	Russia: Krasnoyarsk	None	D	None
EU594435	320-95	2008-08-05	Estonia	None	D	None
AJ627217	None	2006-02-09	Spain	None	D	None
OK143491	None	2008-XX-XX	Russia: Moscow	Homo sapiens	D	D3
LC519787	None	2010-09-01	Bangladesh:Dhaka	Homo sapiens	D	None
KM577663	None	2006-XX-XX	Iran	Homo sapiens	D	None
KM577664	None	2006-XX-XX	Iran	Homo sapiens	D	None
AB583679	None	2011-03-01	Pakistan	Homo sapiens	D	None
KM577665	None	2006-XX-XX	Iran	Homo sapiens	D	None
KT366504	None	2017-12-27	India	Homo sapiens	D	None
MK507912	None	2014-08-XX	India	Homo sapiens	D	D3
KT366497	None	2017-12-27	India	Homo sapiens	D	None
KT366507	None	2017-12-27	India	Homo sapiens	D	None
KF679992	None	2013-12-22	India	Homo sapiens	D	D3
KF679993	None	2013-12-22	India	Homo sapiens	D	D3
KM524359	None	2014-12-23	India	Homo sapiens	D	None
GQ183478	None	2009-XX-XX	India	Homo sapiens	D	None
KF679989	None	2013-12-22	India	Homo sapiens	D	D3
AY373430	None	2003-09-23	India	None	D	None
KT366492	None	2017-12-27	India	Homo sapiens	D	None
GQ183485	None	2009-XX-XX	India	Homo sapiens	D	None
HM750151	None	2011-06-30	China	Homo sapiens	D	None
FJ562338	None	2007-01-19	China	Homo sapiens	D	None
KM577667	None	2006-XX-XX	Iran	Homo sapiens	D	None
DQ315777	None	2009-03-04	India	None	D	D3
GQ183486	None	2009-XX-XX	India	Homo sapiens	D	None
EU939680	None	2005-XX-XX	China	None	D	None
AB188245	None	2005-10-01	None	None	D	None
KU736926	None	2011-04-XX	Sudan	Homo sapiens	D	D3
KU736927	None	2011-04-XX	Sudan	Homo sapiens	D	D3
MW675898	None	1989-XX-XX	Australia	Homo sapiens	D	D3
MT210033	None	2018-11-19	South Africa	Homo sapiens	D	None
KM519455	None	2014-12-21	South Africa	Homo sapiens	D	D3
AY233291	None	2004-04-23	South Africa	None	D	None
AY233295	None	2004-04-23	South Africa	None	D	None
KT347090	None	2007-01-20	South Africa	Homo sapiens	D	D3
MN310708	None	2010-XX-XX	Brazil	Homo sapiens	D	D3
MN310713	None	2010-XX-XX	Brazil	Homo sapiens	D	D3
KP322602	None	2013-11-XX	India	Homo sapiens	D	D3
KC875317	None	2014-10-23	India	Homo sapiens	D	None
KC875337	None	2014-10-23	India	Homo sapiens	D	None
KP090181	None	2003-06-15	Brazil	Homo sapiens	D	D3
KC875334	None	2014-10-23	India	Homo sapiens	D	None
FJ349209	None	1998-04-XX	Belgium	Homo sapiens	D	None
MH724218	None	2012-XX-XX	Brazil	Homo sapiens	D	D3
MH724219	None	2012-XX-XX	Brazil	Homo sapiens	D	D3
KP090177	None	2003-06-15	Brazil	Homo sapiens	D	D3
KP090178	None	2003-06-15	Brazil	Homo sapiens	D	D3
MF618339	None	2018-03-12	India	Homo sapiens	D	None
KU668446	None	2016-08-14	India	Homo sapiens	D	None
JN664911	None	2012-09-26	India	Homo sapiens	D	None
MF618341	None	2018-03-12	India	Homo sapiens	D	None
DQ315776	None	2009-03-04	India	None	D	D3
KU668438	None	2016-08-14	India	Homo sapiens	D	None
KM524350	None	2014-12-23	India	Homo sapiens	D	None
JN664938	None	2012-09-26	India	Homo sapiens	D	None
KU668437	None	2016-08-14	India	Homo sapiens	D	None
JN664937	None	2012-09-26	India	Homo sapiens	D	None
JN664917	None	2012-09-26	India	Homo sapiens	D	None
AM422939	None	2007-06-16	France	None	D	None
KU668436	None	2016-08-14	India	Homo sapiens	D	None
JN664914	None	2012-09-26	India	Homo sapiens	D	None
JN257181	None	2010-04-18	Syria	Homo sapiens	D	None
MF618340	None	2018-03-12	India	Homo sapiens	D	None
KC875335	None	2014-10-23	India	Homo sapiens	D	None
KC875326	None	2014-10-23	India	Homo sapiens	D	None
KC875318	None	2014-10-23	India	Homo sapiens	D	None
