strain	strain_name	date	country
HM034837	Human coronavirus HKU1 Caen1	2005-03-04	None
KF430196	Human coronavirus HKU1 HKU1/human/USA/HKU1-4/2005	2005-04-19	None
KF430200	Human coronavirus HKU1 HKU1/human/USA/HKU1-16/2010	2010-01-08	None
KF430201	Human coronavirus HKU1 HKU1/human/USA/HKU1-18/2010	2010-01-22	None
KF430199	Human coronavirus HKU1 HKU1/human/USA/HKU1-14/2009	2009-12-28	None
KF430202	Human coronavirus HKU1 HKU1/human/USA/HKU1-7/2010	2010-01-03	None
KF686343	Human coronavirus HKU1 HKU1/human/USA/HKU1-13/2010	2010-01-08	None
KF686342	Human coronavirus HKU1 HKU1/human/USA/HKU1-11/2009	2009-12-13	None
KF686341	Human coronavirus HKU1 HKU1/human/USA/HKU1-10/2010	2010-01-16	None
KF686340	Human coronavirus HKU1 HKU1/human/USA/HKU1-5/2009	2009-11-28	None
KF686339	Human coronavirus HKU1 HKU1/human/USA/HKU1-3/2009	2009-10-31	None
KF686338	Human coronavirus HKU1 HKU1/human/USA/HKU1-1/2005	2005-02-18	None
KF686344	Human coronavirus HKU1 HKU1/human/USA/HKU1-15/2009	2009-12-28	None
KF850450	Human coronavirus HKU1 HKU1/human/USA/1102/2005	2005-04-09	None
KF686345	Human coronavirus HKU1 HKU1/human/USA/HKU1-20/2010	2010-01-30	None
KT779556	Human coronavirus HKU1 BJ01-p9	2009-04-23	None
KT779555	Human coronavirus HKU1 BJ01-p3	2009-04-23	None
KY983584	Human coronavirus HKU1 SC2628	2015-XX-XX	None
LC315650	Human coronavirus HKU1 Tokyo/SGH-15/2014	2014-XX-XX	None
LC687393	Human coronavirus HKU1 Fukushima_H519_2019	2019-XX-XX	None
MK167038	Human coronavirus HKU1 SC2521	2017-XX-XX	None
OL770285	Human coronavirus HKU1 HCoV-HKU1/17-26617/WA/AU/2019	2019-XX-XX	None
OL770286	Human coronavirus HKU1 HCoV-HKU1/17-26618/WA/AU/2019	2019-XX-XX	None
ON128609	Human coronavirus HKU1 BCH18024	2018-05-29	None
ON128610	Human coronavirus HKU1 GY18102	2018-06-05	None
ON128615	Human coronavirus HKU1 GZFE18183	2018-12-11	None
ON128612	Human coronavirus HKU1 WZ17244	2018-10-30	None
ON128616	Human coronavirus HKU1 GZFE18186	2018-12-14	None
ON128611	Human coronavirus HKU1 WZ17198	2018-05-26	None
LC315651	Human coronavirus HKU1 Tokyo/SGH-18/2016	2016-XX-XX	None
MH940245	Human coronavirus HKU1 SI17244	2017-06-04	None
MW587043	Human coronavirus HKU1 S0700TRZ	2016-XX-XX	None
ON128613	Human coronavirus HKU1 GZFE18139	2018-09-30	None
ON128614	Human coronavirus HKU1 GZFE18147	2018-10-18	None
OK073086	Human coronavirus HKU1 H78	2015-XX-XX	None
OK073085	Human coronavirus HKU1 R63	2015-XX-XX	None
ON729317	SC770	2017-XX-XX	USA
LC654447	None	2020-XX-XX	Japan
LC654448	None	2020-XX-XX	Japan
LC654449	None	2020-XX-XX	Japan
KY674921	N08-87	2016-XX-XX	USA
KY674941	N09-1663B	2016-XX-XX	USA
KY674942	N09-1627B	2016-XX-XX	USA
KY674943	N09-1605B	2016-XX-XX	USA
KF686346	HKU1/human/USA/HKU1-12/2010	2010-01-09	USA
AY884001	None	2006-06-30	None
DQ339101	N5P8	2006-06-30	None
DQ415896	N19	2006-06-30	China
DQ415897	N20	2006-06-30	China
DQ415898	N21	2006-06-30	China
DQ415899	N22	2006-06-30	China
DQ415900	N23	2006-06-30	China
DQ415902	N25	2006-06-30	China
DQ415903	N3	2006-06-30	China
DQ415904	N6	2006-06-30	China
DQ415905	N7	2006-06-30	China
DQ415906	N9	2006-06-30	China
DQ415907	N10	2006-06-30	China
DQ415908	N11	2006-06-30	China
DQ415909	N13	2006-06-30	China
DQ415910	N14	2006-06-30	China
DQ415911	N15	2006-06-30	China
DQ415912	N16	2006-06-30	China
DQ415913	N17	2006-06-30	China
DQ415914	N18	2006-06-30	China
NC_006577	None	2020-11-20	None
AY597011	None	2006-01-27	None
